Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,x75,RTHIA
517,0.0572407,0,0,0,0,0.0554343,0,0,0,0,0,0,0.0139788,0.0483078,0.0129997,0.0128428,0,0,0.0265176,0,0.030154,0.0171764,0.036537,0.00615086,0.0160412,0.00639574,0.0379362,0.0649396,0.00765669,0.0108864,0.00886215,0.01451,0.010473,0.00952139,0.0109425,0.0105915,0.015779,0.0406862,0.0443926,0.0151304,0.00239064,0.0326946,0.00649544,0.0112127,0.0403693,0,0,0.0155006,0,0.0316466,0.0133366,0.0698212,0.0108205,0.00986716,0.0121638,0.0376913,0.024197,0.0110824,0.0117116,0.0083799,0.00894633,0.00794951,0.00882969,0.0128303,0.00379092,0.0171168,0.0114671,0.00661092,0.0486528,0.0463283,0,0,0,0,0,0.0257065
518,0.0569821,0,0,0,0,0.0552715,0,0,0,0,0,0,0.0141273,0.0482514,0.0131234,0.0126615,0,0,0.0267035,0,0.0301235,0.0172519,0.0364444,0.00642234,0.0160184,0.00637453,0.0376578,0.0650853,0.00761011,0.0107599,0.00871787,0.014494,0.0104788,0.00948851,0.0109631,0.0105362,0.0159386,0.0408203,0.044293,0.0151487,0.00240138,0.0327489,0.0064048,0.0109598,0.0402369,0,0,0.0155518,0,0.0317941,0.0132971,0.0697891,0.0107714,0.00995129,0.0121397,0.0374292,0.0240313,0.0108922,0.0116126,0.0082616,0.00892545,0.0080469,0.00880583,0.0128361,0.00386381,0.0172101,0.0113706,0.00643024,0.0485234,0.0460156,0,0,0,0,0,0.0258734
519,0.0567557,0,0,0,0,0.0550927,0,0,0,0,0,0,0.0142008,0.0482404,0.0131817,0.0124521,0,0,0.0268032,0,0.0301726,0.0172583,0.0363574,0.00654144,0.0159811,0.00635053,0.0373431,0.0652789,0.00754749,0.0106219,0.00862728,0.0144588,0.0105413,0.00954311,0.0109944,0.0104816,0.015981,0.0409253,0.0443395,0.0151859,0.00237386,0.0327701,0.0063052,0.0106927,0.0402191,0,0,0.0154623,0,0.0319173,0.0131872,0.0697195,0.0110476,0.0100683,0.0121168,0.0371601,0.0238787,0.0107571,0.0114361,0.00812559,0.0089446,0.00817409,0.00878778,0.0128408,0.00401934,0.0172249,0.0110577,0.00631004,0.0483686,0.0457463,0,0,0,0,0,0.0260125
520,0.0565403,0,0,0,0,0.0549459,0,0,0,0,0,0,0.0142451,0.0482867,0.0132387,0.0122722,0,0,0.0268786,0,0.0302784,0.0172642,0.0362451,0.0065805,0.0159626,0.00636123,0.0371357,0.0655122,0.00746659,0.0104785,0.00856766,0.0144747,0.010619,0.00964566,0.0110155,0.0104269,0.0160222,0.0410209,0.0445347,0.0152928,0.00244279,0.0327752,0.0062827,0.010525,0.0400991,0,0,0.0153867,0,0.0320096,0.013119,0.0695675,0.0109553,0.0102158,0.0121053,0.0369798,0.0236772,0.0106934,0.0113226,0.00792247,0.00901515,0.00829312,0.00878792,0.0128216,0.0041938,0.0172833,0.0107135,0.00622053,0.0482503,0.0454916,0,0,0,0,0,0.0261389
521,0.0563128,0,0,0,0,0.0548309,0,0,0,0,0,0,0.0142777,0.0483415,0.0132905,0.0121122,0,0,0.0269351,0,0.0303686,0.0173221,0.0361181,0.00663199,0.0159496,0.00640036,0.0369594,0.0657539,0.00741148,0.0103503,0.00853448,0.0145268,0.010727,0.00976706,0.0110727,0.0103665,0.0160606,0.0411006,0.0447236,0.0154545,0.00256833,0.0327862,0.00625157,0.0103825,0.0400652,0,0,0.0152488,0,0.0320928,0.013045,0.0693822,0.0106863,0.0104036,0.0120783,0.0368569,0.0235107,0.0105538,0.0112618,0.00767892,0.00896659,0.00841237,0.00879565,0.0127594,0.00445541,0.0172644,0.0107239,0.0061118,0.0481417,0.0452273,0,0,0,0,0,0.0262499
522,0.0560905,0,0,0,0,0.0546854,0,0,0,0,0,0,0.0143425,0.0483921,0.0133603,0.0119329,0,0,0.0269922,0,0.0304714,0.0174128,0.0359899,0.00671301,0.0159483,0.00623906,0.0367576,0.0659879,0.00733478,0.0102491,0.00851211,0.0145636,0.0108288,0.00987239,0.0111689,0.0102887,0.0161813,0.0411391,0.044935,0.0156606,0.00273104,0.0328002,0.00621005,0.0101943,0.0398591,0,0,0.0151301,0,0.0321448,0.012853,0.0692331,0.0108735,0.0105115,0.0120798,0.0367026,0.02331,0.0104055,0.0111779,0.00755939,0.00889686,0.00850528,0.00878989,0.0127789,0.00476809,0.0171536,0.0105241,0.00604078,0.0479701,0.044942,0,0,0,0,0,0.0263332
523,0.0558638,0,0,0,0,0.0545069,0,0,0,0,0,0,0.0144001,0.048462,0.0134451,0.0117316,0,0,0.0270476,0,0.0306429,0.0174869,0.035896,0.00680396,0.0159375,0.00607854,0.0365769,0.0662133,0.00724257,0.0101365,0.00845915,0.0146218,0.0109283,0.00997297,0.0112579,0.0102176,0.0163672,0.0411789,0.0452222,0.0158202,0.00291891,0.0327855,0.00617888,0.00996833,0.0396522,0,0,0.0150665,0,0.0322049,0.0127505,0.0690989,0.0110826,0.0105813,0.0120902,0.0365154,0.0230502,0.0103412,0.011064,0.0074825,0.00886908,0.00859219,0.00878758,0.0129222,0.00513322,0.0170553,0.0100238,0.00599286,0.0477381,0.0446957,0,0,0,0,0,0.0263956
524,0.0556186,0,0,0,0,0.0543507,0,0,0,0,0,0,0.0144528,0.0485599,0.013549,0.0115436,0,0,0.027161,0,0.0307306,0.0175972,0.0358842,0.00689807,0.0159114,0.00598168,0.0363957,0.0664136,0.00714798,0.0100126,0.00839243,0.0147168,0.011029,0.0100596,0.0113139,0.0101632,0.0164831,0.0412469,0.0454617,0.0160583,0.00311472,0.0327569,0.0061977,0.0097985,0.0395092,0,0,0.0150036,0,0.032293,0.0127219,0.0689786,0.0112662,0.0107304,0.0120539,0.036403,0.0228062,0.0102339,0.0109378,0.00740622,0.00887824,0.00867374,0.00881736,0.0131248,0.00548627,0.0170552,0.00960585,0.005934,0.0475176,0.044495,0,0,0,0,0,0.0264881
525,0.0553532,0,0,0,0,0.054152,0,0,0,0,0,0,0.0145863,0.0486481,0.0136541,0.0113584,0,0,0.0273278,0,0.0307232,0.0177731,0.0358984,0.00705146,0.0159112,0.00592713,0.0361804,0.0665499,0.0070529,0.00986326,0.00833445,0.0147925,0.0111022,0.0101059,0.0113425,0.0101102,0.01653,0.0413313,0.0456003,0.0163098,0.00329861,0.0327465,0.00628626,0.0095995,0.0393703,0,0,0.0149517,0,0.0323848,0.012608,0.0689007,0.0114303,0.0108683,0.0119515,0.03628,0.0225598,0.0101114,0.010817,0.00732692,0.00891026,0.00873821,0.00889648,0.0133366,0.0058632,0.0170459,0.00923285,0.00591137,0.0472968,0.044271,0,0,0,0,0,0.0265911
526,0.055115,0,0,0,0,0.0539009,0,0,0,0,0,0,0.0146966,0.0487283,0.0137598,0.0111425,0,0,0.027476,0,0.030761,0.0179416,0.0358987,0.00716877,0.0159258,0.00589939,0.0359243,0.0666754,0.00696329,0.00971986,0.00826326,0.0148489,0.0111566,0.0101265,0.0113771,0.0100729,0.0165894,0.0414503,0.0457665,0.0164864,0.00360385,0.0327393,0.00633685,0.00932945,0.0391937,0,0,0.0149128,0,0.0324621,0.0124531,0.0689105,0.0114611,0.0109348,0.011934,0.0360846,0.0222804,0.010072,0.0106869,0.00727447,0.00899378,0.00880516,0.0090313,0.0134768,0.00619016,0.0169914,0.00891635,0.0059071,0.0470595,0.0440458,0,0,0,0,0,0.0266912
