Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x75,x74
542,0.0329129,0,0,0,0,0.0302186,0,0,0,0,0,0,0.0260739,0.0585235,0.0177765,0.00300913,0,0,0.0400659,0,0.0281211,0.0195653,0.032985,0.01648,0.0129146,0.00676762,0.00604227,0.0349516,0.00961512,0.0104133,0.00676439,0.0125196,0.0181211,0.0181866,0.0134368,0.03371,0.0348839,0.035649,0.049114,0.0183769,0.0139457,0.0347066,0.00707512,0.00460307,0.0269602,0,0,0.0298459,0,0.0344913,0.0134845,0.0592396,0.0105054,0.0193687,0.00258341,0.000719215,0.010758,0.00656685,0.0411181,0.00412931,0.00444791,0.00382045,0.0100761,0.00339795,0.00445034,0.0114847,0.0215703,0.0202616,0.0084077,0.0306155,0.0239693,0,0,0,0,0
543,0.0327832,0,0,0,0,0.030132,0,0,0,0,0,0,0.0224732,0.0586333,0.016357,0.00278233,0,0,0.0402533,0,0.02811,0.0197446,0.0331112,0.0155071,0.0130124,0.006167,0.00612617,0.0347612,0.00936084,0.0105636,0.00647122,0.0128549,0.016553,0.0171665,0.0125095,0.0329677,0.0304657,0.0357061,0.0491838,0.0184193,0.0135387,0.0346525,0.00712221,0.0044074,0.026875,0,0,0.0298414,0,0.0345407,0.0134366,0.0594666,0.010768,0.0193632,0.00238291,0.000699417,0.010679,0.00667348,0.0413946,0.00424247,0.00434771,0.00376892,0.0101988,0.00346679,0.00464582,0.0109981,0.0214561,0.0200517,0.00841164,0.0305744,0.0239699,0,0,0,0,0
544,0.0326021,0,0,0,0,0.0299864,0,0,0,0,0,0,0.019288,0.0587239,0.0149377,0.00267864,0,0,0.0402441,0,0.0280696,0.019794,0.0332527,0.0146343,0.0131672,0.00518031,0.00621924,0.0344453,0.00915901,0.0107761,0.00633881,0.0132218,0.0148735,0.0157101,0.0116087,0.0323702,0.0262845,0.0355764,0.0492408,0.0184787,0.0130116,0.0346105,0.00714041,0.00422384,0.0267322,0,0,0.029602,0,0.0345878,0.013338,0.0596654,0.0109663,0.0193401,0.0021556,0.000795195,0.0105412,0.00672621,0.0416688,0.00433161,0.00411076,0.00378624,0.0103176,0.00353953,0.00489118,0.0103559,0.0212796,0.0198768,0.00837261,0.0304982,0.0239268,0,0,0,0,0
545,0.0324158,0,0,0,0,0.0298273,0,0,0,0,0,0,0.0166306,0.058774,0.0134755,0.0021604,0,0,0.0400377,0,0.0280892,0.0198076,0.0333734,0.0138154,0.0132764,0.00415344,0.0063377,0.0340316,0.00898031,0.0110842,0.00631606,0.0135801,0.013308,0.0142704,0.010718,0.0318932,0.0225825,0.0352941,0.0493226,0.0185794,0.0123023,0.0345641,0.00717911,0.00400372,0.0266173,0,0,0.0293501,0,0.0346296,0.0131826,0.0599089,0.0112445,0.0192351,0.00190743,0.000945762,0.0103469,0.00674793,0.0419308,0.0043555,0.00389788,0.00371558,0.0103958,0.00364211,0.00528473,0.0095538,0.0211339,0.0196503,0.00834595,0.0303931,0.0238509,0,0,0,0,0
546,0.0320847,0,0,0,0,0.0296248,0,0,0,0,0,0,0.0145384,0.058798,0.0119896,0.0018344,0,0,0.0398327,0,0.028193,0.0198764,0.033543,0.0129054,0.0133534,0.00363262,0.00645887,0.0335584,0.00876481,0.0114822,0.00636916,0.0140194,0.0123124,0.0129369,0.00965027,0.0313605,0.0194947,0.0348996,0.0494374,0.0186846,0.0115552,0.0344924,0.00724217,0.00376687,0.026445,0,0,0.0289145,0,0.0346632,0.0129902,0.0601499,0.0115343,0.0191607,0.00168722,0.00119258,0.010142,0.006761,0.0421805,0.004378,0.00374453,0.00373313,0.0104777,0.00378192,0.0056754,0.00869994,0.0208979,0.0193398,0.00841488,0.0302157,0.023712,0,0,0,0,0
547,0.0318226,0,0,0,0,0.0294248,0,0,0,0,0,0,0.0130975,0.0588957,0.0106469,0.00177837,0,0,0.0398084,0,0.0282139,0.02001,0.0337978,0.0123424,0.0134551,0.00307784,0.00660351,0.033206,0.00865338,0.0119056,0.00658521,0.0145781,0.0114453,0.011727,0.00876773,0.030862,0.0170591,0.0346228,0.0495437,0.0188372,0.0108282,0.0343849,0.00730772,0.00360927,0.0263299,0,0,0.0284144,0,0.0346605,0.0127351,0.0602826,0.0118959,0.0191268,0.00147991,0.0015421,0.00984799,0.00675147,0.0423679,0.0044048,0.00357727,0.00395914,0.0105587,0.00395523,0.0060651,0.0078695,0.0205025,0.0190403,0.00849281,0.0299995,0.023645,0,0,0,0,0
548,0.0316485,0,0,0,0,0.0292306,0,0,0,0,0,0,0.0121771,0.0590743,0.00929653,0.00196053,0,0,0.0398317,0,0.028033,0.0200825,0.0340925,0.0117111,0.0135584,0.00264626,0.0067263,0.0329357,0.00852473,0.0123032,0.00695084,0.0151942,0.0104813,0.0105767,0.00802701,0.030326,0.0150123,0.0343689,0.0495634,0.0190648,0.0101222,0.0342835,0.00739795,0.00352115,0.026268,0,0,0.0279681,0,0.0346682,0.0125493,0.0603391,0.0121981,0.0191005,0.00133906,0.00196865,0.00958506,0.00674844,0.0425372,0.00442842,0.00342578,0.00416922,0.0106006,0.00414602,0.00645653,0.00713642,0.0201553,0.0187763,0.00847117,0.0297693,0.0236342,0,0,0,0,0
549,0.0314545,0,0,0,0,0.0290807,0,0,0,0,0,0,0.0117291,0.0592218,0.00794374,0.00201156,0,0,0.0398495,0,0.0280288,0.0201853,0.0343486,0.0111387,0.0136396,0.00232447,0.00682512,0.0326203,0.00835119,0.0126682,0.00740115,0.0158201,0.00953711,0.00946308,0.00738579,0.0297795,0.0132654,0.0341379,0.0496914,0.0192374,0.00944759,0.0342729,0.00748166,0.0033402,0.0262011,0,0,0.027929,0,0.0347292,0.0124833,0.0605531,0.0124205,0.019086,0.00114493,0.00220211,0.00946641,0.00673782,0.0427289,0.00444067,0.00335908,0.00428775,0.0106696,0.00430629,0.00682368,0.00647211,0.0199219,0.0186247,0.00847807,0.0295966,0.0236596,0,0,0,0,0
550,0.0310752,0,0,0,0,0.0287847,0,0,0,0,0,0,0.0118653,0.0593074,0.00699333,0.00205547,0,0,0.0395624,0,0.0280516,0.020112,0.0345828,0.0111036,0.0137146,0.00220729,0.00690032,0.032143,0.00813528,0.0129368,0.00792911,0.0164522,0.00872898,0.00845782,0.00686109,0.0292296,0.0116213,0.0337644,0.049832,0.0193632,0.00874942,0.034291,0.00752941,0.00315461,0.0259795,0,0,0.0279423,0,0.0347666,0.0124408,0.0607493,0.0127397,0.0190777,0.00100487,0.00235502,0.00944842,0.00671714,0.0429099,0.00445096,0.00333843,0.00427861,0.0108028,0.0044007,0.00717886,0.00582155,0.019729,0.0186518,0.00851509,0.0293498,0.0235488,0,0,0,0,0
551,0.0307882,0,0,0,0,0.0285441,0,0,0,0,0,0,0.0107885,0.0594113,0.00631154,0.0021357,0,0,0.0391788,0,0.0281545,0.0200883,0.0347882,0.011086,0.013815,0.00245888,0.00702098,0.0317146,0.00796696,0.0131708,0.00843416,0.0170104,0.00784849,0.0075831,0.00642156,0.0288699,0.011007,0.0333065,0.0499555,0.0195231,0.00800133,0.0343088,0.00753562,0.00301913,0.0258058,0,0,0.0278506,0,0.0348106,0.0124074,0.060983,0.013014,0.0190742,0.000969712,0.00235454,0.00936357,0.0066379,0.0430501,0.00444417,0.00313215,0.0042419,0.0109774,0.00447455,0.0074938,0.00521404,0.0195455,0.018749,0.00859547,0.029155,0.0234461,0,0,0,0,0
