Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68
19,0.0143245,0.0276961,0.0510994,0.0131334,0.0254534,0.0115121,0,0,0.0141364,0,0.0225579,0.00902138,0.044358,0.0274207,0.0216322,0.0230713,0.0299478,0.0156972,0.00731722,0.0131493,0.0200145,0.0441374,0.0159906,0.0124593,0.0145581,0.0203654,0.0535425,0.0112663,0.0105793,0.00640273,0.0234974,0.0139755,0.0252833,0.0166231,0.00448787,0,0,0.0493074,0,0.0220956,0.0329175,0.0571945,0.0360998,0.0146759,0.0142452,0.0265698,0.0190479,0.013923,0.0579513,0.0137812,0.0130727,0.0100505,0.00807271,0.011869,0.012186,0.0296355,0.0286463,0.0108514,0.014042,0.0306638,0.00668091,0,0,0,0,0,0,0,0
20,0.0145919,0.0280961,0.0517849,0.0131212,0.0253559,0.0116251,0,0,0.0143817,0,0.0225617,0.00918501,0.0445988,0.0274998,0.02125,0.0226264,0.0302517,0.0159507,0.00736643,0.0125841,0.0197774,0.0435872,0.0154006,0.0119314,0.014174,0.0198595,0.0543194,0.0115454,0.0105319,0.00645664,0.0405892,0.0137048,0.0372384,0.0169909,0.00485891,0,0,0.0501288,0,0.0224142,0.0333715,0.056659,0.0467074,0.0144327,0.0144614,0.0265248,0.0194663,0.01654,0.0583782,0.0162702,0.0159925,0.013632,0.0105572,0.0180193,0.01664,0.0461669,0.0287981,0.0110904,0.0144316,0.0311996,0.00645788,0,0,0,0,0,0,0,0
21,0.0146747,0.028291,0.0523552,0.0129864,0.025166,0.0120019,0,0,0.014731,0,0.0224438,0.00927851,0.0448169,0.0276423,0.0209455,0.0219763,0.0305227,0.0163336,0.00747163,0.0117887,0.0193723,0.0429542,0.014843,0.0114293,0.0137977,0.0193454,0.0547991,0.0118911,0.0104669,0.00645839,0.0559456,0.0134088,0.0482632,0.0172218,0.00503028,0,0,0.0507749,0,0.0228573,0.0337609,0.0560233,0.0569494,0.0143718,0.0156905,0.0265229,0.0198583,0.0196612,0.0590925,0.0202702,0.0199732,0.0168562,0.0149246,0.0237662,0.0210287,0.0602143,0.0289761,0.0110854,0.0148331,0.0316288,0.00626863,0,0,0,0,0,0,0,0
22,0.0147512,0.0284554,0.0528775,0.0128594,0.0248995,0.0120987,0,0,0.0151052,0,0.0223735,0.00942534,0.0449202,0.0277552,0.0207204,0.0211114,0.0306739,0.016744,0.00730814,0.0107682,0.0187515,0.0423177,0.0143627,0.0109385,0.0134869,0.0188357,0.0549615,0.0123635,0.0104438,0.00651959,0.0676116,0.0131351,0.0564221,0.0173167,0.00514111,0,0,0.051284,0,0.0233353,0.0340893,0.0555028,0.0648076,0.0142839,0.0168351,0.0265075,0.0201377,0.0224909,0.0599071,0.0241599,0.0238708,0.0189848,0.0185008,0.0277752,0.0240646,0.0705792,0.0292116,0.0111456,0.0151434,0.0320085,0.00600711,0,0,0,0,0,0,0,0
23,0.0147427,0.0285466,0.0528569,0.0127714,0.0245869,0.0119824,0,0,0.0154386,0,0.0223581,0.00957006,0.0449032,0.0278363,0.0207748,0.0200681,0.0306777,0.0170972,0.00692858,0.00961378,0.0179588,0.0417219,0.0138468,0.0104867,0.0132141,0.0183694,0.0549109,0.012872,0.0104584,0.00661137,0.0740741,0.0128886,0.0605908,0.0173142,0.00516552,0,0,0.0515695,0,0.0237995,0.0342281,0.0552811,0.0692367,0.014181,0.0172938,0.0264266,0.0203102,0.0243879,0.060401,0.026234,0.0263673,0.0196962,0.0202235,0.0294731,0.0252412,0.0761541,0.0293909,0.0111431,0.0153668,0.0322409,0.00564787,0,0,0,0,0,0,0,0
24,0.0146484,0.0285595,0.0523691,0.0127175,0.0241579,0.0120211,0,0,0.0158479,0,0.0223695,0.0096648,0.0447153,0.0279121,0.0209077,0.0189045,0.0305899,0.0174029,0.00647974,0.00841111,0.0169854,0.0412454,0.0133419,0.010162,0.0130179,0.0179085,0.0545229,0.0134491,0.0104234,0.00665003,0.0744628,0.0126376,0.0602017,0.0171287,0.00513361,0,0,0.051642,0,0.0242696,0.034152,0.0554013,0.0693309,0.0141437,0.0169266,0.0262851,0.0204167,0.0247795,0.0603356,0.02571,0.0263739,0.0192696,0.0199146,0.02896,0.024745,0.0762915,0.0294443,0.0109586,0.0157278,0.0323465,0.00522963,0,0,0,0,0,0,0,0
25,0.0145782,0.0285596,0.0513672,0.012563,0.0235609,0.0122332,0,0,0.0163336,0,0.0224183,0.00978084,0.0444528,0.0278483,0.0210886,0.0176149,0.0305259,0.0176602,0.00610612,0.00728497,0.0158106,0.0410041,0.0129256,0.0100665,0.012847,0.0174182,0.0536266,0.0140443,0.0103465,0.0065886,0.0688578,0.0124486,0.0553923,0.0168666,0.00508239,0,0,0.0510515,0,0.0247808,0.0336398,0.0558456,0.064501,0.014262,0.0158725,0.026329,0.0204979,0.0235543,0.0596117,0.0232881,0.023989,0.0178377,0.0178744,0.0263007,0.0226479,0.0709128,0.0290904,0.0107308,0.0160026,0.0325518,0.00481637,0,0,0,0,0,0,0,0
26,0.0145061,0.0285351,0.0500939,0.0123769,0.0230218,0.0120596,0,0,0.0169118,0,0.0223824,0.00997055,0.044167,0.0278517,0.0214271,0.0162403,0.030399,0.0179754,0.00572974,0.00619204,0.0143244,0.0410779,0.0126966,0.0102123,0.0128322,0.0169961,0.0524385,0.0147146,0.0102957,0.00659867,0.0589234,0.0122713,0.0475915,0.0163809,0.00493194,0,0,0.0506598,0,0.0252439,0.0332261,0.0564192,0.0556043,0.014567,0.0145004,0.0265328,0.0203983,0.0213828,0.0585558,0.0201602,0.0203191,0.015724,0.0149495,0.0222679,0.0195362,0.0611469,0.0288304,0.0105964,0.0162082,0.0327196,0.00450561,0,0,0,0,0,0,0,0
27,0.0144409,0.0285619,0.0484851,0.0123873,0.02248,0.0120615,0,0,0.0174671,0,0.0224263,0.0102069,0.0439538,0.0277843,0.0219208,0.0147586,0.0303215,0.0183234,0.00535418,0.00519686,0.0125284,0.0414603,0.0127285,0.0105336,0.0129103,0.0165949,0.0509697,0.015351,0.0102514,0.00675693,0.0465589,0.0121158,0.038016,0.015799,0.00476615,0,0,0.0501822,0,0.0255796,0.032728,0.0569772,0.0440955,0.0150484,0.0133202,0.0267405,0.0201426,0.0188038,0.0574651,0.0170468,0.0164754,0.0134284,0.0120116,0.0175644,0.0159573,0.0487653,0.0284752,0.0105088,0.0162263,0.0327571,0.00435301,0,0,0,0,0,0,0,0
28,0.0143493,0.0285528,0.0463646,0.0124537,0.0220134,0.0120144,0,0,0.0179656,0,0.0224506,0.0104566,0.0437082,0.0277342,0.022129,0.0132866,0.0301558,0.0187174,0.0050209,0.00452847,0.0109588,0.0420641,0.0128595,0.0110281,0.0130451,0.0161708,0.0490398,0.0158891,0.0102047,0.00697613,0.0341609,0.0120446,0.0281697,0.0152372,0.00463708,0,0,0.0495633,0,0.0257811,0.032118,0.0574757,0.0329429,0.0155724,0.0127451,0.026863,0.0196767,0.0165286,0.0565718,0.0145614,0.0131621,0.0113522,0.0102045,0.0130524,0.0123078,0.0360047,0.027998,0.010376,0.0160465,0.0326972,0.00439542,0,0,0,0,0,0,0,0
29,0.014269,0.0285159,0.0439883,0.0125362,0.0217824,0.0119381,0,0,0.0185004,0,0.0224263,0.0106947,0.0433091,0.0279337,0.0223589,0.0118597,0.029855,0.0191859,0.00475167,0.00421396,0.00966704,0.042933,0.0130907,0.0116935,0.0132946,0.0157369,0.0468276,0.016284,0.0101694,0.00724242,0.0234208,0.0119986,0.020127,0.0145776,0.00457443,0,0,0.049129,0,0.0258537,0.0315573,0.0577872,0.0249648,0.0161783,0.0129421,0.0268136,0.0190478,0.014744,0.0560081,0.0131903,0.0108371,0.00963192,0.0103359,0.00980347,0.00908281,0.0254965,0.0276969,0.0103945,0.0157347,0.032518,0.00469522,0,0,0,0,0,0,0,0
30,0.0142805,0.0285988,0.0410191,0.0125667,0.0216356,0.0119608,0,0,0.0192666,0,0.0224731,0.0110053,0.0427902,0.0281134,0.0225463,0.0107131,0.029692,0.0198038,0.00482451,0.00464188,0.00842554,0.0438723,0.0133731,0.012488,0.0135164,0.0151843,0.0437872,0.0166686,0.0101222,0.007522,0.016186,0.0120065,0.0153153,0.014025,0.00457882,0,0,0.048611,0,0.0259315,0.0309603,0.0578102,0.0198907,0.0166991,0.0133579,0.0268966,0.0185471,0.0134868,0.0559747,0.0128146,0.00971803,0.00832934,0.011393,0.00831477,0.00731664,0.0196845,0.0273348,0.0106609,0.0153947,0.0324949,0.00529731,0,0,0,0,0,0,0,0
31,0.0142535,0.0286799,0.0370466,0.0125022,0.0218933,0.0119328,0,0,0.0204422,0,0.0226446,0.0115403,0.0422536,0.028443,0.0222672,0.0102008,0.0295242,0.0205835,0.00522637,0.00581961,0.00751594,0.0448269,0.01357,0.0134204,0.0137222,0.014532,0.0395377,0.0173934,0.0101469,0.00784135,0.0112178,0.0119892,0.0129002,0.0134291,0.00467234,0,0,0.0482159,0,0.026067,0.0304836,0.0576333,0.0171565,0.01715,0.0133598,0.0269385,0.0182026,0.0123051,0.0561272,0.0124649,0.00876296,0.00783264,0.0121539,0.00795562,0.00783781,0.0164599,0.0270992,0.010744,0.0151104,0.0325814,0.0060136,0,0,0,0,0,0,0,0
