Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70
9,0.0171353,0.0280275,0.0922266,0.0106396,0.0380722,0.00276542,0,0,0.0268939,0,0.0247938,0.0141564,0.0339645,0.0502948,0.0155438,0.0294509,0.0279722,0.0158038,0.0241446,0.0414812,0.0229405,0.0681316,0.0257948,0.0440028,0.0194283,0.0163282,0.121213,0.0199315,0.0106351,0.00832793,0.0104454,0.0166439,0.0049631,0.00627443,0.0170645,0,0,0.0335195,0,0.0172856,0.0234431,0.0584613,0.0091724,0.0236338,0.00778752,0.0254014,0.0271474,0.00580149,0.0555317,0.00649942,0.00535591,0.0124005,0.00926459,0.0113748,0.0124966,0.0133021,0.0133518,0.00960738,0.0129571,0.0274455,0.00685035,0,0,0,0,0,0,0,0,0,0
10,0.0175803,0.0284298,0.0925379,0.0105794,0.0378588,0.00304714,0,0,0.0274348,0,0.0249362,0.0143031,0.0341625,0.0499562,0.0154609,0.0275721,0.0284227,0.0161326,0.0232748,0.0385704,0.0226094,0.0676716,0.0244613,0.0424762,0.0188476,0.0164365,0.121056,0.0201763,0.0105918,0.00855725,0.0106195,0.0168086,0.00558243,0.00633835,0.0167872,0,0,0.0317442,0,0.0170272,0.0226157,0.0581912,0.00970952,0.0237334,0.00800105,0.0254791,0.0273586,0.00547511,0.0555342,0.00664431,0.0053671,0.0129409,0.00895271,0.0115706,0.0131146,0.0129886,0.012917,0.00934295,0.0127258,0.0275453,0.00658796,0,0,0,0,0,0,0,0,0,0
11,0.0151099,0.0256947,0.0923602,0.0105197,0.0375952,0.00335298,0,0,0.0281677,0,0.0246745,0.0149297,0.0342217,0.0494146,0.0151491,0.0257558,0.0285038,0.0157037,0.0222672,0.0356619,0.0221434,0.0670519,0.022925,0.0406492,0.0181493,0.0164701,0.120176,0.0230657,0.010748,0.00898235,0.0111372,0.0169036,0.00606366,0.00627158,0.0180702,0,0,0.0300223,0,0.0169727,0.0215783,0.0580523,0.010383,0.023825,0.00809623,0.0251453,0.0275543,0.00520933,0.0554826,0.00673429,0.00532981,0.0133221,0.00883552,0.0117251,0.0135674,0.0128311,0.0129034,0.00940338,0.0122816,0.0262702,0.00879124,0,0,0,0,0,0,0,0,0,0
12,0.0151047,0.0253653,0.0915647,0.0104596,0.0369282,0.00372194,0,0,0.0285291,0,0.0247999,0.0149384,0.0342932,0.0483493,0.0149828,0.0242217,0.0286726,0.0159707,0.0214026,0.0328178,0.0218105,0.0664737,0.0212161,0.0386004,0.0173834,0.0163749,0.118685,0.0236023,0.0106571,0.00908149,0.011602,0.0171432,0.00664041,0.00624016,0.0184234,0,0,0.0287795,0,0.0167984,0.0210966,0.0579684,0.0115888,0.0237918,0.00829944,0.0249029,0.0276461,0.00533105,0.0556089,0.00691993,0.00551163,0.0138454,0.0086615,0.0120625,0.0141968,0.0133545,0.0129211,0.00888122,0.0119733,0.0260864,0.00947876,0,0,0,0,0,0,0,0,0,0
13,0.0190897,0.02938,0.0902612,0.010558,0.0360471,0.00436795,0,0,0.0286774,0,0.025441,0.0143301,0.0340863,0.0469899,0.014992,0.0229332,0.0290257,0.0176359,0.0206098,0.0299216,0.021408,0.0658953,0.0194378,0.0365178,0.0165891,0.0161546,0.116569,0.0200543,0.0103461,0.00882058,0.0121931,0.0173881,0.00732255,0.00620638,0.0161806,0,0,0.0266247,0,0.0165856,0.0201045,0.0577463,0.0129238,0.0238436,0.00872874,0.0248442,0.0272438,0.00561857,0.0556711,0.00724065,0.00588027,0.014477,0.00832105,0.0126057,0.0150283,0.0139019,0.0123816,0.00826105,0.0114559,0.0279077,0.00726672,0,0,0,0,0,0,0,0,0,0
14,0.0199292,0.0300654,0.0883769,0.0106317,0.034871,0.00487521,0,0,0.0291479,0,0.0255893,0.0146365,0.0338925,0.0457019,0.0148763,0.0218762,0.0292775,0.0185867,0.0198392,0.0271408,0.0208261,0.0650483,0.0178427,0.0345625,0.0158043,0.0159042,0.1139,0.0199914,0.0102453,0.00901338,0.0127291,0.0173446,0.00777439,0.00626581,0.0159007,0,0,0.0254018,0,0.0164315,0.0193373,0.0576122,0.0136566,0.023966,0.00907531,0.0246091,0.0271605,0.00570083,0.0554918,0.00745173,0.00616057,0.0146374,0.00805331,0.0129152,0.0154914,0.0147414,0.0124529,0.00793238,0.0109761,0.0282759,0.00765253,0,0,0,0,0,0,0,0,0,0
15,0.0206488,0.0306293,0.0858552,0.0103756,0.0333492,0.00531461,0,0,0.0292551,0,0.0256648,0.014792,0.0339062,0.0440432,0.0147883,0.0212066,0.0294744,0.019317,0.0188144,0.0245538,0.0204517,0.0642432,0.0162421,0.0323583,0.0150835,0.0155038,0.110418,0.0198019,0.0101862,0.00902879,0.0135317,0.0173713,0.00836747,0.00632644,0.0158145,0,0,0.0244923,0,0.0163353,0.0189077,0.0574421,0.0145833,0.024129,0.00944286,0.0243546,0.0271274,0.00575218,0.0553449,0.00766613,0.00651683,0.0147762,0.0078572,0.0130346,0.0160633,0.0157103,0.0125566,0.00762516,0.0107254,0.0285882,0.00790219,0,0,0,0,0,0,0,0,0,0
16,0.0183444,0.0283527,0.0827737,0.0100657,0.0315032,0.00587055,0,0,0.0295036,0,0.0254323,0.0152687,0.034176,0.041856,0.0147549,0.0209359,0.0294666,0.0163157,0.0178631,0.0225263,0.0202298,0.0634116,0.0147006,0.0300119,0.0143132,0.0149533,0.106199,0.0215936,0.0104045,0.00928204,0.0145498,0.0173335,0.00911727,0.00637657,0.0165847,0,0,0.024122,0,0.0163745,0.0187618,0.0573567,0.0157442,0.0243488,0.00977613,0.0239726,0.0273089,0.00578291,0.0551866,0.00784533,0.00691071,0.0150507,0.00779183,0.0133214,0.0166371,0.0166686,0.0130991,0.00765469,0.0106346,0.0273089,0.00806514,0,0,0,0,0,0,0,0,0,0
17,0.0182758,0.0281366,0.0791354,0.00992659,0.0293133,0.00629027,0,0,0.0294742,0,0.025536,0.0151449,0.0346796,0.0389973,0.0148116,0.0214164,0.0295382,0.0159771,0.0174754,0.0215655,0.0204092,0.062731,0.0135165,0.0281062,0.0135751,0.0141697,0.101617,0.0216632,0.0104217,0.00921333,0.0156584,0.0173764,0.00974441,0.00640472,0.0169914,0,0,0.0236812,0,0.0163471,0.0188079,0.0572998,0.0165501,0.0244709,0.0100991,0.0237373,0.0274144,0.00590688,0.0551953,0.00799673,0.00737045,0.0156419,0.00761367,0.0135747,0.0170595,0.0178444,0.0132726,0.0075183,0.0105917,0.0272592,0.00821564,0,0,0,0,0,0,0,0,0,0
18,0.018381,0.0280573,0.0753389,0.00982919,0.026592,0.00654024,0,0,0.0294721,0,0.025641,0.0151105,0.0349299,0.0357529,0.0146816,0.0231356,0.0296664,0.0157904,0.0174081,0.0222155,0.0213008,0.0621005,0.0133121,0.0272188,0.0130838,0.0131972,0.0973265,0.0216659,0.0104477,0.00918011,0.0167318,0.0174143,0.010297,0.00632333,0.0174284,0,0,0.0232773,0,0.0163515,0.0188444,0.0572156,0.0172054,0.024568,0.0104132,0.0235861,0.0275325,0.00609509,0.0553198,0.00812468,0.00780893,0.0160327,0.00747118,0.0137592,0.0173934,0.0190655,0.0134573,0.0075883,0.0104945,0.0271902,0.00827723,0,0,0,0,0,0,0,0,0,0
