Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LHEE
48,0.0187482,0.0281457,0.0279315,0.0119364,0.018951,0.0264826,0,0,0.0307783,0,0.0253546,0.0123079,0.0448369,0.0218712,0.0141358,0.0426208,0.0253224,0.0103542,0.0122542,0.010413,0.0507189,0.0146838,0.0172284,0.0132375,0.0166262,0.0318301,0.0274791,0.0104018,0.00746166,0.0248221,0.0168967,0.0111621,0.021318,0.0194551,0,0,0.0308763,0,0.0170052,0.022817,0.0598935,0.0108399,0.0184713,0.0125273,0.0372553,0.0198434,0.00822464,0.0487682,0.0104541,0.011084,0.0120756,0.0109367,0.00821397,0.011785,0.0270959,0.0226104,0.00870647,0.0112516,0.0346272,0.02478,0,0,0,0,0,0,0,0.0239305
49,0.018791,0.0281505,0.022609,0.0118896,0.0191545,0.026565,0,0,0.0309848,0,0.0255503,0.0124375,0.0452509,0.0220141,0.0152449,0.0423616,0.0251051,0.0113084,0.0132553,0.0120737,0.0507584,0.0154437,0.0166121,0.0132872,0.0171276,0.0243388,0.0274306,0.0104097,0.00749716,0.0255861,0.0170157,0.0112734,0.0212267,0.0195663,0,0,0.0300134,0,0.0169312,0.0224421,0.060072,0.010951,0.0181487,0.0127383,0.0373353,0.0200513,0.00870023,0.0485508,0.0105745,0.011801,0.0121152,0.0111479,0.00807828,0.0118155,0.0279045,0.0224052,0.00870075,0.0112464,0.0346557,0.0248885,0,0,0,0,0,0,0,0.0247809
50,0.0187868,0.0281569,0.0198624,0.0117812,0.0200211,0.0267241,0,0,0.0312063,0,0.025736,0.0125781,0.045446,0.022184,0.0171558,0.0419296,0.0249082,0.0135217,0.0156373,0.0150754,0.0513754,0.0162032,0.016314,0.0133172,0.0174938,0.0198397,0.0273677,0.0104371,0.00751562,0.0260742,0.0171439,0.0113448,0.0213147,0.0196559,0,0,0.0292155,0,0.0169048,0.0221,0.0601377,0.0110071,0.0178111,0.0128846,0.0375162,0.0202093,0.0091313,0.0482807,0.0106362,0.012388,0.0119784,0.0115557,0.00785393,0.0116743,0.0284379,0.0222975,0.00876286,0.0111726,0.0346712,0.0249527,0,0,0,0,0,0,0,0.0262621
51,0.0187958,0.0281914,0.0197002,0.0116706,0.021262,0.0269542,0,0,0.0314482,0,0.0259272,0.0127451,0.0454348,0.0221811,0.0196911,0.0417,0.0247776,0.016932,0.0193941,0.0189137,0.0525462,0.0169484,0.0163107,0.013381,0.0176682,0.0182671,0.0273273,0.0104282,0.00752777,0.0264312,0.0171664,0.0113655,0.0213924,0.0197657,0,0,0.0284916,0,0.0168109,0.0218176,0.060183,0.0110804,0.0174512,0.0129304,0.037858,0.020335,0.00954011,0.0479137,0.0106699,0.0129022,0.0118499,0.012023,0.00758491,0.011613,0.0288898,0.0222512,0.0087647,0.0111077,0.0347315,0.0250034,0,0,0,0,0,0,0,0.0280616
52,0.0188649,0.0282995,0.0213051,0.0115217,0.0229314,0.0272465,0,0,0.0317222,0,0.0261488,0.0129677,0.0452879,0.0217266,0.0225602,0.0417147,0.0247317,0.0208541,0.02378,0.0229009,0.0540571,0.0177684,0.0163573,0.0133719,0.0177295,0.0188123,0.027346,0.0104008,0.00755246,0.0268479,0.0171339,0.0114287,0.0214124,0.0199452,0,0,0.0279329,0,0.0167004,0.0216169,0.0602013,0.0111878,0.0170504,0.0129166,0.0384232,0.0205738,0.00990251,0.0474319,0.0106708,0.013338,0.0117522,0.0124771,0.00727122,0.0116164,0.0294314,0.0222285,0.00870198,0.0111269,0.0348998,0.0250008,0,0,0,0,0,0,0,0.0299509
53,0.0192536,0.0284101,0.0314222,0.0113583,0.0311079,0.0273879,0,0,0.0321051,0,0.0264485,0.0131961,0.0450938,0.021101,0.0254592,0.0416727,0.0250116,0.0246587,0.0278988,0.0265072,0.0556781,0.020453,0.0188947,0.0181118,0.0169779,0.0326677,0.0276035,0.0103643,0.00760806,0.0272736,0.0171262,0.0114944,0.0214068,0.0204208,0,0,0.0278243,0,0.0166495,0.0216015,0.0602319,0.0114162,0.01673,0.0128796,0.0389999,0.0210254,0.0102706,0.0468753,0.0106242,0.0137609,0.0116562,0.01289,0.00695244,0.0115964,0.030016,0.0224188,0.00881689,0.0112343,0.0350326,0.0251253,0,0,0,0,0,0,0,0.040325
54,0.0193197,0.0285605,0.0442908,0.0111923,0.0414885,0.027463,0,0,0.0327933,0,0.026874,0.0136954,0.0448345,0.0209832,0.0282749,0.0417072,0.0251774,0.0279414,0.0311533,0.0294037,0.0571651,0.0231086,0.0225559,0.0242395,0.0181008,0.0480582,0.0280212,0.0104824,0.00767098,0.0276733,0.017108,0.0115717,0.0213959,0.020569,0,0,0.0276092,0,0.0166283,0.0215443,0.0602335,0.0116965,0.0165394,0.0127386,0.0396092,0.0213343,0.0105156,0.0463686,0.0105514,0.0140566,0.0114955,0.0133166,0.00684929,0.0116721,0.0304041,0.0226142,0.00890003,0.0114154,0.0352701,0.0249542,0,0,0,0,0,0,0,0.0534017
55,0.0186871,0.028838,0.0529694,0.0108803,0.0482534,0.0272731,0,0,0.0333133,0,0.027233,0.01507,0.0447776,0.021064,0.030403,0.0418987,0.0251912,0.0302881,0.0330818,0.0312393,0.05818,0.0242314,0.0247611,0.0276274,0.0192115,0.0577842,0.0287715,0.0106763,0.00807758,0.0280125,0.0170845,0.0116599,0.0212098,0.0200796,0,0,0.0275061,0,0.0166655,0.0214866,0.0601992,0.0119237,0.0163985,0.0124809,0.0400696,0.0215172,0.0107413,0.045986,0.0104468,0.0142641,0.0112243,0.0138464,0.00691024,0.0117492,0.0307805,0.0229868,0.00917978,0.0116429,0.0355883,0.0240273,0,0,0,0,0,0,0,0.061994
56,0.0192715,0.0291144,0.0560448,0.0106141,0.0501246,0.0267988,0,0,0.0338921,0,0.0278071,0.0152917,0.0448369,0.0210638,0.0314946,0.0422156,0.0258791,0.0313922,0.0336281,0.0319513,0.058456,0.0239479,0.0251828,0.0277823,0.0190022,0.0616464,0.0293174,0.0106817,0.00817846,0.0281481,0.0169739,0.01154,0.0209094,0.0204814,0,0,0.0282525,0,0.0167265,0.0220695,0.060184,0.0124404,0.0163293,0.0121291,0.0403754,0.0221964,0.0109667,0.0457563,0.0102513,0.0144116,0.0110782,0.0144079,0.00697881,0.0119604,0.0310859,0.0236555,0.00953425,0.0120333,0.0358285,0.0240343,0,0,0,0,0,0,0,0.0650774
57,0.0197635,0.0294436,0.0536047,0.0103539,0.0472393,0.0261617,0,0,0.0347457,0,0.0281937,0.0157013,0.0450084,0.0208801,0.0314889,0.0424734,0.0265496,0.0313861,0.0331181,0.0315821,0.0579627,0.0226278,0.0240283,0.0251285,0.0176858,0.058729,0.0301297,0.0105346,0.00833123,0.0281098,0.016758,0.0116348,0.0204926,0.0207173,0,0,0.0289729,0,0.0167131,0.0226171,0.0601807,0.013432,0.0163061,0.0118025,0.0404636,0.0228457,0.0111157,0.0455851,0.00995062,0.0145512,0.0111472,0.0147226,0.00725529,0.012428,0.0311901,0.0243065,0.00982856,0.0123833,0.0361214,0.0240009,0,0,0,0,0,0,0,0.0618377
