Timestep,C7,CLAV,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LANK
21,0.00983661,0.0260663,0.0623885,0.0118215,0.00762813,0,0,0.0191043,0,0.0230178,0.0113973,0.0381425,0.030534,0.0158059,0.0151407,0.0207445,0.0103047,0.00921096,0.0154306,0.0127484,0.0586128,0.0125065,0.0229573,0.015201,0.0120446,0.0757387,0.0156933,0.0101308,0.00768602,0.011062,0.0177402,0.0100831,0.00639749,0.0053228,0,0,0.0312987,0,0.0177054,0.0215084,0.0571398,0.0144107,0.0231539,0.0117274,0.00987149,0.0176784,0.00647803,0.0531855,0.00804265,0.0105286,0.0155559,0.00626355,0.0138182,0.0167875,0.0121637,0.0168271,0.00550636,0.00905513,0.0270198,0.00245939,0,0,0,0,0,0,0,0.0296952
22,0.0101164,0.0262212,0.0570032,0.01177,0.00810677,0,0,0.0189787,0,0.0231239,0.0112551,0.0385072,0.0280174,0.0155697,0.015433,0.020652,0.0103678,0.00892949,0.0139189,0.0127875,0.0579495,0.0110767,0.0201392,0.014207,0.0113413,0.0682511,0.0156608,0.0102109,0.00748545,0.0112624,0.0178205,0.0108207,0.00514523,0.00540492,0,0,0.0311095,0,0.0177044,0.0216185,0.0572284,0.0155814,0.0231145,0.0120673,0.00947955,0.0178712,0.00684483,0.0531224,0.00814291,0.0109958,0.0162026,0.00605676,0.0141624,0.0176341,0.0119181,0.0168151,0.00565565,0.00909455,0.0269743,0.00217044,0,0,0,0,0,0,0,0.0272067
23,0.0104059,0.0264327,0.0519828,0.0117012,0.00800173,0,0,0.0191978,0,0.0232041,0.0113687,0.0389961,0.0248824,0.0152794,0.0167484,0.0209377,0.0105543,0.00998715,0.0149167,0.0137988,0.0572284,0.0110233,0.0190105,0.0137142,0.0105479,0.0622669,0.0159004,0.0102586,0.00735857,0.011595,0.0177863,0.0114096,0.00447075,0.00560915,0,0,0.0311694,0,0.0176749,0.0218317,0.0570428,0.016293,0.0230435,0.0124376,0.00920177,0.0182778,0.00723216,0.0530439,0.00836328,0.0114646,0.0166266,0.00589509,0.0143407,0.0181473,0.0119576,0.0171287,0.00583405,0.00918719,0.0270753,0.00223949,0,0,0,0,0,0,0,0.0241692
24,0.0108698,0.0265143,0.0469528,0.0117632,0.00769533,0,0,0.0195755,0,0.0234503,0.0116255,0.0394127,0.0213415,0.0149722,0.0194704,0.0214406,0.0107708,0.011641,0.017578,0.0157471,0.0566602,0.012242,0.0190054,0.0135505,0.00968937,0.0568752,0.0161837,0.0103135,0.00742255,0.0118426,0.0176942,0.0115405,0.00494131,0.0059304,0,0,0.0315263,0,0.0176339,0.022164,0.0567269,0.0168627,0.0229253,0.0128463,0.00897835,0.0188381,0.00764872,0.0531713,0.00880898,0.0120316,0.0169926,0.00569883,0.0144939,0.0186997,0.0120788,0.0175009,0.00617444,0.0092021,0.0274308,0.00245696,0,0,0,0,0,0,0,0.020713
25,0.0114167,0.0267739,0.0404352,0.0117727,0.0076402,0,0,0.0199473,0,0.0235966,0.0118139,0.0397167,0.01753,0.0147519,0.0220487,0.0217092,0.0109325,0.013028,0.0194927,0.0174556,0.056266,0.0133527,0.0182529,0.0130687,0.00869731,0.049438,0.0164319,0.0103686,0.00755992,0.0124073,0.0177106,0.011797,0.00610922,0.00609349,0,0,0.0316658,0,0.0176392,0.0224127,0.0564557,0.0176344,0.0229657,0.0132429,0.00873728,0.0192783,0.00807861,0.0533239,0.00935024,0.012638,0.017425,0.00565181,0.0147741,0.0194021,0.0126744,0.0176492,0.00640882,0.00925091,0.0276492,0.00259574,0,0,0,0,0,0,0,0.0171313
26,0.0117682,0.0270624,0.0330897,0.0117566,0.0072842,0,0,0.0202397,0,0.0235813,0.0119134,0.0400784,0.0141854,0.0146374,0.0235417,0.0218923,0.0110826,0.0143631,0.0201554,0.0183941,0.0557836,0.0140875,0.0171478,0.0121595,0.00757484,0.0404794,0.0168182,0.0103669,0.00766471,0.0133629,0.0178397,0.0120343,0.0066255,0.0059691,0,0,0.0314128,0,0.0176532,0.0224284,0.0563258,0.0182837,0.0230429,0.0135172,0.0086056,0.01952,0.00838779,0.0534313,0.00956422,0.0131643,0.0177231,0.00560316,0.0149756,0.019847,0.0138669,0.0175871,0.00636013,0.00922464,0.0277899,0.00250217,0,0,0,0,0,0,0,0.0138264
27,0.011997,0.0271204,0.0256597,0.0118036,0.00657988,0,0,0.0203064,0,0.0234626,0.0118315,0.0405427,0.0117395,0.0146416,0.0236961,0.0218097,0.0111851,0.0145802,0.0197523,0.0183505,0.0550693,0.0143916,0.0159721,0.0110223,0.00652945,0.0312277,0.0170128,0.0103289,0.00767858,0.0145666,0.0179728,0.0120974,0.00672341,0.00571104,0,0,0.0304964,0,0.0175267,0.0220036,0.0563051,0.0185641,0.0229003,0.0137232,0.00847996,0.0195755,0.00847559,0.0536254,0.00953483,0.0135143,0.0177943,0.00548793,0.0150268,0.0200528,0.0154362,0.0171508,0.00618137,0.00902591,0.027735,0.00212275,0,0,0,0,0,0,0,0.0113305
28,0.0120838,0.0271174,0.0193719,0.0119418,0.00642831,0,0,0.0202982,0,0.0234718,0.0118954,0.0411079,0.0112376,0.0147561,0.0226049,0.0214923,0.0112845,0.0140139,0.0186596,0.0173337,0.0541204,0.0146435,0.015246,0.0102673,0.00623867,0.0226725,0.0171753,0.0103039,0.0077381,0.0156978,0.0181513,0.0120763,0.00660369,0.00549514,0,0,0.0293897,0,0.0173832,0.0214713,0.056314,0.0187755,0.0224703,0.0140714,0.00840743,0.0195155,0.00857642,0.0537742,0.00966227,0.0138645,0.0179728,0.00551544,0.0150863,0.0204099,0.0167551,0.0164785,0.00612794,0.00880948,0.0276287,0.00167158,0,0,0,0,0,0,0,0.0105263
29,0.0120473,0.0269488,0.0152447,0.0119565,0.00672293,0,0,0.0202688,0,0.0234053,0.0119975,0.0417171,0.0128681,0.0149816,0.020628,0.0211121,0.0114725,0.0129172,0.0171501,0.0155756,0.0531899,0.0149043,0.0148061,0.00997733,0.00700704,0.0156371,0.0172282,0.0102816,0.00776197,0.0167453,0.0184296,0.0121062,0.00609112,0.00530142,0,0,0.0281743,0,0.0173246,0.0208984,0.0562169,0.0192108,0.022097,0.014419,0.00848601,0.0193028,0.00878012,0.0534721,0.00973217,0.0143528,0.0182542,0.00557385,0.0152011,0.0208175,0.0180443,0.0158588,0.00606037,0.00856667,0.0274877,0.00160357,0,0,0,0,0,0,0,0.011369
30,0.012245,0.0266915,0.0153731,0.0120589,0.0066409,0,0,0.0203888,0,0.023619,0.0120631,0.0422642,0.0157347,0.0152884,0.0182695,0.0208421,0.0117106,0.0113881,0.0153995,0.0136104,0.0522687,0.0151104,0.0146295,0.0101987,0.00845921,0.012801,0.0172646,0.0103457,0.00786526,0.0177571,0.0186476,0.0121581,0.00590567,0.00529316,0,0,0.0270903,0,0.0172793,0.0204788,0.0561396,0.0196963,0.0218478,0.0146967,0.00873812,0.0191553,0.00900038,0.0530975,0.00978851,0.0149171,0.0185696,0.00569782,0.0153848,0.0212584,0.0192986,0.0152538,0.00589776,0.00846211,0.0273184,0.00208819,0,0,0,0,0,0,0,0.0134426
31,0.0124213,0.0264639,0.0188751,0.012045,0.00645211,0,0,0.0204752,0,0.0236837,0.0120688,0.0426848,0.0185186,0.0156288,0.0161003,0.0206356,0.0120029,0.0103593,0.0137883,0.0120245,0.0516299,0.0151174,0.0145205,0.0106597,0.0100426,0.0154418,0.0172186,0.0103983,0.00787434,0.018767,0.0187028,0.0121697,0.0059907,0.00537776,0,0,0.025889,0,0.0171006,0.0198915,0.0561147,0.0197902,0.0215469,0.0149203,0.00903676,0.019005,0.00923279,0.0527013,0.00989337,0.0154918,0.0188019,0.00588445,0.0154544,0.0216205,0.0205121,0.0146291,0.00559876,0.00818418,0.0271987,0.00285253,0,0,0,0,0,0,0,0.0160431
32,0.0124995,0.0263466,0.0238344,0.0120697,0.00629845,0,0,0.0205196,0,0.023777,0.0120362,0.0429641,0.02085,0.016047,0.0147355,0.0204799,0.0123378,0.01041,0.0132373,0.0117156,0.0513289,0.0149918,0.0144464,0.0111509,0.0114768,0.0206504,0.017289,0.010439,0.00784018,0.0198268,0.0187297,0.0120834,0.00609586,0.00548572,0,0,0.0248101,0,0.0169374,0.0192859,0.0561014,0.0198947,0.0212578,0.015094,0.00944869,0.0187816,0.00950717,0.0523745,0.00999411,0.0160282,0.0188737,0.00616329,0.0153388,0.0218081,0.0216677,0.0141124,0.00532756,0.00795615,0.0272052,0.0036138,0,0,0,0,0,0,0,0.0187649
33,0.0125867,0.0262625,0.02867,0.0120185,0.0063423,0,0,0.0205566,0,0.0238447,0.0119814,0.0430316,0.023297,0.0165129,0.0146526,0.0203418,0.0127424,0.0123901,0.0142808,0.0131972,0.051454,0.0148661,0.0143584,0.0115495,0.0125685,0.0257853,0.0174237,0.0104644,0.00779937,0.0208938,0.0187569,0.0120836,0.00605557,0.00569454,0,0,0.0238407,0,0.0168161,0.0187293,0.0560946,0.0200885,0.0209035,0.0152519,0.00999115,0.0185874,0.00981421,0.0521111,0.0101125,0.0165144,0.0188551,0.00655475,0.0150753,0.0217968,0.0225728,0.0136758,0.00516861,0.00782187,0.0272694,0.00432959,0,0,0,0,0,0,0,0.0214243
