Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,LILC,LTHIP
21,0.00140392,0.000330309,0.00975361,0.0160733,0.00984568,0.00391091,0,0,0.00143987,0,0.0219446,0.00193138,0.0464336,0.014597,0.00132936,0.00222705,0.00170177,0.00656345,0.00566129,0.00523842,0.00529955,0.00805755,0.00437726,0.0152478,0.0132275,0.00384395,0.00917565,0.00107615,0.0510214,0.0215908,0.014347,0.00366494,0.00220304,0,0,0.00388272,0,0.0184813,0.00318252,0.0629652,0.013359,0.0237232,0.013652,0.00847041,0.00248363,0.0110262,0.0541648,0.0102015,0.0177078,0.022937,0.0247705,0.00930433,0.0250773,0.0604207,0.00264595,0.00398748,0.00270424,0.00270104,0.00242186,0,0,0,0,0,0,0,0.0230811,0.0416611
22,0.0016483,0.000923195,0.0112208,0.0165615,0.00904154,0.00401282,0,0,0.00267031,0,0.0218675,0.00273345,0.0461206,0.0151172,0.00200511,0.00206648,0.00245807,0.00679037,0.00573303,0.00577252,0.00540674,0.00812157,0.00481389,0.0154152,0.0153566,0.00487503,0.00909387,0.00150153,0.0493532,0.021517,0.0197682,0.0048389,0.00229485,0,0,0.00345299,0,0.0181753,0.0036649,0.0613835,0.0197319,0.0222195,0.0273088,0.00780739,0.00304094,0.0162916,0.0595256,0.0228381,0.0226932,0.0262099,0.0225436,0.00890474,0.0263972,0.0564721,0.00221601,0.00391252,0.00272829,0.002823,0.00346778,0,0,0,0,0,0,0,0.0231156,0.0415524
23,0.000900638,0.000583683,0.0114716,0.0163255,0.00865763,0.0040686,0,0,0.00128473,0,0.0221005,0.00185558,0.0461415,0.0146585,0.00267957,0.00283503,0.00134541,0.00613514,0.00393615,0.00663676,0.00561991,0.00785278,0.00508321,0.0157618,0.015441,0.0036239,0.00912223,0.00105238,0.053347,0.0211854,0.0142842,0.00262521,0.00150727,0,0,0.0015304,0,0.0181766,0.00279154,0.0635737,0.015042,0.0231501,0.0127217,0.00790496,0.00261286,0.00744187,0.0533425,0.00908428,0.0132896,0.0228144,0.0252106,0.00972261,0.0246136,0.0632389,0.00110569,0.00327922,0.00216368,0.00239911,0.00205881,0,0,0,0,0,0,0,0.0237149,0.0415365
24,0.000734645,0.0013045,0.0135792,0.0166898,0.00808676,0.00456892,0,0,0.00257579,0,0.0220614,0.00247589,0.0458738,0.0151099,0.00352688,0.00250421,0.00222969,0.00641591,0.00453101,0.0071707,0.00579525,0.00840212,0.00542986,0.0159122,0.0185086,0.00465726,0.00908827,0.00139584,0.0518739,0.021234,0.0196447,0.00414109,0.00148237,0,0,0.00181361,0,0.0181311,0.00305357,0.0621778,0.0200658,0.0215504,0.0236502,0.00718725,0.00303168,0.0112087,0.0571881,0.0189246,0.0164132,0.0252893,0.0230014,0.00991481,0.0256081,0.0596629,0.00173227,0.00300439,0.00214363,0.00271377,0.00274936,0,0,0,0,0,0,0,0.0239703,0.0412041
25,0.000897205,0.000839541,0.0137679,0.016415,0.00808615,0.0040785,0,0,0.00128822,0,0.0222269,0.00164396,0.0457382,0.014582,0.00492502,0.0033953,0.00130058,0.00584608,0.0030506,0.0082776,0.00617888,0.00805203,0.0058068,0.0163341,0.0186499,0.00392119,0.00909235,0.00131319,0.0545689,0.0210233,0.0142547,0.00186141,0.001069,0,0,0.00172688,0,0.0182279,0.00252074,0.0632379,0.0141484,0.0223567,0.0111237,0.00795325,0.00266394,0.00427647,0.0524436,0.0079495,0.00890831,0.0222631,0.0261349,0.0110038,0.0235583,0.0641798,0.00191914,0.00195733,0.00167175,0.00230129,0.00183214,0,0,0,0,0,0,0,0.0246206,0.0412685
26,0.00124811,0.000807529,0.0135915,0.0163704,0.00779032,0.00224701,0,0,0.00111201,0,0.0222859,0.00149578,0.0462363,0.0136149,0.00649499,0.00364604,0.00126012,0.00606017,0.00235007,0.00960858,0.00614062,0.00702899,0.00570666,0.0165731,0.017974,0.00382358,0.0090987,0.00128869,0.0368044,0.0207007,0.0193362,0.00308139,0.00111759,0,0,0.00294425,0,0.0182365,0.00261816,0.065403,0.0466159,0.0241238,0.00662004,0.00889131,0.00245783,0.00332387,0.0488544,0.00325763,0.0102796,0.0282632,0.024985,0.0166625,0.0366288,0.0553762,0.0025602,0.0015247,0.00128305,0.00162958,0.0023105,0,0,0,0,0,0,0,0.0241724,0.0405921
27,0.00158639,0.000860291,0.0157249,0.0163612,0.00778069,0.00429154,0,0,0.00131633,0,0.022297,0.00149977,0.0455092,0.0142897,0.00752293,0.0040072,0.0013209,0.00561532,0.00230937,0.0101592,0.00706049,0.0074664,0.00648578,0.0169991,0.0206893,0.00385257,0.00912493,0.00128219,0.0538181,0.0205789,0.0136073,0.00191467,0.00154474,0,0,0.00366879,0,0.0180955,0.00300833,0.0632587,0.0110936,0.0219814,0.00855803,0.00849692,0.00273132,0.00344939,0.0516651,0.00723919,0.00584709,0.0209473,0.0273264,0.0124078,0.02191,0.0625063,0.00305747,0.00162663,0.00121417,0.00196122,0.00229879,0,0,0,0,0,0,0,0.0253699,0.0411219
28,0.00196944,0.000972858,0.0166513,0.0163365,0.00785763,0.004726,0,0,0.00160857,0,0.0223349,0.00152351,0.0453873,0.0141043,0.00881586,0.0044272,0.0015064,0.00537212,0.00203899,0.01091,0.00739584,0.00720837,0.00684429,0.0174061,0.0217661,0.00410655,0.00916689,0.00115085,0.0522369,0.0204234,0.0131911,0.00246319,0.00184994,0,0,0.00430066,0,0.0180576,0.00317541,0.0632853,0.00901885,0.0218279,0.00711628,0.00873361,0.00282396,0.00446755,0.0513231,0.00757533,0.00561694,0.0198561,0.0277979,0.0131588,0.0207898,0.0604668,0.00331187,0.00164516,0.000996849,0.00213856,0.00263747,0,0,0,0,0,0,0,0.0258206,0.0411216
29,0.0023355,0.000990586,0.0176107,0.0162807,0.00804654,0.0049804,0,0,0.00185521,0,0.0223654,0.00145318,0.0453241,0.0140306,0.0101372,0.00474958,0.00168487,0.0051826,0.00186802,0.0117884,0.00784384,0.00693049,0.00716713,0.0177957,0.0229957,0.00417163,0.00920377,0.00107975,0.0497815,0.0203099,0.012634,0.00307407,0.00214944,0,0,0.00491607,0,0.0180497,0.00339317,0.0634034,0.00746486,0.0216941,0.00590531,0.00893079,0.00286505,0.0058757,0.0509634,0.00834317,0.00644643,0.0184587,0.0279284,0.0136832,0.0195352,0.0577634,0.00357316,0.00174325,0.0008504,0.00222696,0.00303558,0,0,0,0,0,0,0,0.0261854,0.0410573
30,0.00266673,0.00106911,0.0188359,0.0162144,0.00820765,0.00516656,0,0,0.00209869,0,0.0224033,0.00134236,0.0453205,0.0140155,0.0114017,0.00494385,0.00157936,0.00505299,0.00186547,0.0130008,0.00839143,0.00669933,0.00746221,0.0181276,0.02446,0.00428165,0.0092529,0.00111179,0.0466808,0.0202301,0.0120064,0.00349607,0.0024812,0,0,0.00536033,0,0.0180511,0.00356233,0.0636847,0.00712495,0.0216366,0.00568248,0.00911605,0.00287792,0.00754053,0.0506776,0.00966513,0.00807975,0.0166942,0.0276,0.0137275,0.0181102,0.0543569,0.00376889,0.00185197,0.000758092,0.0020041,0.0033786,0,0,0,0,0,0,0,0.0265173,0.0409112
31,0.0028691,0.001162,0.0200426,0.0161448,0.00848126,0.00515204,0,0,0.00254305,0,0.0224595,0.00148354,0.0452592,0.0138072,0.0127362,0.00500302,0.00154371,0.00501505,0.00220121,0.0143402,0.00900736,0.00647326,0.0076235,0.0184319,0.0256967,0.00427387,0.0093089,0.00123944,0.0434307,0.020207,0.0114301,0.00377386,0.0028001,0,0,0.00255956,0,0.0179926,0.00191073,0.064173,0.00795645,0.0217424,0.00715752,0.00936934,0.00191131,0.00941601,0.0504547,0.0115468,0.0101661,0.0145546,0.0267756,0.0130641,0.0165772,0.050045,0.000964889,0.00176444,0.000998883,0.0018036,0.00350115,0,0,0,0,0,0,0,0.0268926,0.0408212
32,0.00307839,0.00127485,0.0210382,0.0160862,0.00879144,0.00497543,0,0,0.00298406,0,0.0224948,0.00160674,0.0451851,0.0134737,0.0141513,0.00498926,0.00152708,0.00525577,0.00298987,0.0155688,0.00958695,0.0062621,0.00767392,0.0187138,0.0266432,0.00460113,0.00934982,0.00115667,0.0394344,0.0202017,0.0106891,0.00388384,0.00286564,0,0,0.00576832,0,0.0181265,0.00396186,0.0646298,0.009762,0.0217661,0.00940646,0.00948439,0.00288942,0.0112157,0.0500898,0.0134484,0.0120665,0.0121586,0.0254943,0.0118653,0.0150641,0.0451862,0.00411813,0.00196675,0.000746313,0.00153243,0.00372361,0,0,0,0,0,0,0,0.0270385,0.0408173
33,0.00329369,0.0016039,0.0223273,0.0160715,0.00915284,0.00428261,0,0,0.00337972,0,0.0225203,0.00162357,0.0456241,0.0128157,0.0157702,0.00472208,0.00176337,0.0060202,0.00427998,0.0170864,0.00993856,0.00596723,0.00748389,0.0188984,0.027913,0.00479165,0.00936277,0.00109933,0.0277688,0.0201874,0.0125904,0.00409393,0.00304492,0,0,0.0052408,0,0.018077,0.00347214,0.064412,0.0232281,0.022219,0.0200864,0.00912825,0.00252224,0.01651,0.0517485,0.0223115,0.01964,0.0118476,0.0224343,0.0109841,0.0187435,0.0309336,0.00339435,0.00196507,0.000650325,0.00149886,0.00384752,0,0,0,0,0,0,0,0.0267144,0.0407459
