Timestep,C7,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,CLAV
57,0.0083204,0.0174247,0.0113883,0.0191495,0.00865308,0,0,0.0226859,0,0.0255663,0.013991,0.0434796,0.0232463,0.0175774,0.017998,0.0233078,0.0162861,0.0219933,0.0206224,0.0182179,0.0554774,0.0154422,0.0148433,0.0120642,0.0160704,0.0203667,0.0162387,0.0111595,0.00605453,0.0146378,0.0188725,0.0131023,0.0049199,0.00718687,0,0,0.0108433,0,0.0159338,0.0110422,0.0600139,0.0242835,0.0213784,0.0110387,0.010953,0.0141149,0.00788929,0.0481203,0.00817634,0.0130167,0.0162936,0.0116749,0.0135305,0.0193891,0.019349,0.0112363,0.00834596,0.00757356,0.0241667,0.00479222,0,0,0,0,0,0,0,0,0.0212795
58,0.00861146,0.015386,0.0114003,0.0170811,0.00849492,0,0,0.0225859,0,0.0254011,0.0140199,0.0433556,0.021351,0.0170799,0.0173504,0.0237517,0.0160461,0.0205692,0.0193075,0.0166933,0.0546569,0.0144382,0.0140115,0.0116352,0.0154593,0.0204019,0.0160776,0.0111097,0.00617236,0.0132295,0.018742,0.0142882,0.00502737,0.00742923,0,0,0.0114329,0,0.0159645,0.0116432,0.0598033,0.024387,0.021589,0.010034,0.0110924,0.0145623,0.00657592,0.0484412,0.00730092,0.0111419,0.0155665,0.0114874,0.013551,0.018208,0.01776,0.0119765,0.00906973,0.00789295,0.0240984,0.00507349,0,0,0,0,0,0,0,0,0.0214122
59,0.00889827,0.0129635,0.0113875,0.0149027,0.0082189,0,0,0.0225926,0,0.0252698,0.0140216,0.0432519,0.0177194,0.016581,0.0172375,0.0241917,0.0159469,0.0196312,0.018633,0.0158906,0.0538545,0.0130731,0.0130655,0.0115112,0.0144628,0.0193618,0.0159633,0.0110511,0.006354,0.0114536,0.0185729,0.015467,0.00536749,0.00795256,0,0,0.0125369,0,0.0160223,0.0125192,0.0596329,0.0240707,0.0216979,0.00878861,0.0114427,0.0153517,0.00507993,0.0488206,0.00629487,0.0088023,0.0144468,0.0114972,0.0133061,0.0166214,0.0155663,0.013123,0.00972976,0.00827056,0.0241762,0.00560282,0,0,0,0,0,0,0,0,0.0216034
60,0.00906115,0.00988047,0.0113698,0.0115611,0.00778399,0,0,0.0227019,0,0.025147,0.0140966,0.0429968,0.0140847,0.0161453,0.0172159,0.0245089,0.0160044,0.0192306,0.0188507,0.0155074,0.053178,0.0127172,0.0132911,0.0116907,0.0124919,0.0162437,0.0159717,0.0109528,0.00654484,0.00980518,0.018368,0.0169309,0.00592071,0.00881883,0,0,0.014326,0,0.0160987,0.0137549,0.0594729,0.0234161,0.0217743,0.00740227,0.0118699,0.0165682,0.00352762,0.0493226,0.00529366,0.00584661,0.0128612,0.0118341,0.0127486,0.0144361,0.0123915,0.0147969,0.0102362,0.00874506,0.0243227,0.00625392,0,0,0,0,0,0,0,0,0.0217529
61,0.00907627,0.00828228,0.0113991,0.0082829,0.00754573,0,0,0.022714,0,0.0250092,0.0141979,0.0429172,0.0127181,0.015924,0.0164895,0.0247359,0.0161135,0.0190917,0.0194416,0.0149603,0.0530459,0.0137667,0.0142573,0.0120133,0.0102542,0.0140609,0.0158842,0.0108081,0.00669026,0.00924045,0.0181361,0.018596,0.00685238,0.00962212,0,0,0.0164946,0,0.0161765,0.0151414,0.0593509,0.0224874,0.021932,0.00615292,0.0124191,0.0178465,0.00243941,0.049941,0.00457537,0.00253707,0.0108175,0.0125385,0.0117871,0.011567,0.00859294,0.0166056,0.0108269,0.00926314,0.0243298,0.00670295,0,0,0,0,0,0,0,0,0.0217579
62,0.00912974,0.00923837,0.011416,0.00639854,0.00791854,0,0,0.0223353,0,0.0247901,0.0141495,0.0433369,0.0129464,0.0159709,0.0155382,0.0248907,0.0161414,0.0184738,0.0190742,0.0139736,0.0534598,0.0149886,0.0150285,0.0121132,0.00878459,0.014905,0.0153537,0.0107077,0.00672202,0.0103114,0.017905,0.0202089,0.00804384,0.0103005,0,0,0.0185141,0,0.0162661,0.0163667,0.0592843,0.0219393,0.0222584,0.00542358,0.0129234,0.0187874,0.00281613,0.0506273,0.00458598,0.00180054,0.0087278,0.013425,0.0105766,0.00891348,0.00503681,0.0181837,0.0113775,0.00966206,0.0240559,0.00709006,0,0,0,0,0,0,0,0,0.0215362
63,0.00946165,0.0112945,0.0115318,0.00576711,0.00818829,0,0,0.0214784,0,0.024562,0.0137676,0.0438454,0.0132741,0.0161653,0.0150368,0.0251445,0.0160413,0.0161596,0.0168485,0.0124812,0.0536841,0.0154713,0.0153043,0.0119772,0.00838286,0.0176927,0.0143363,0.0107084,0.00662719,0.0121141,0.0177696,0.0217255,0.00932389,0.010668,0,0,0.0199449,0,0.0163732,0.0171817,0.0593009,0.0218674,0.0226445,0.00529265,0.0133522,0.0191234,0.00398677,0.0513926,0.00542502,0.00412074,0.00738903,0.0141854,0.00936351,0.00852878,0.00215639,0.0192179,0.0117458,0.00986975,0.023614,0.0076205,0,0,0,0,0,0,0,0,0.0212065
64,0.0101412,0.0132639,0.0117031,0.00584413,0.00814258,0,0,0.0203056,0,0.0243964,0.0131914,0.0439576,0.0135514,0.0162063,0.0149904,0.0256526,0.0158317,0.0122671,0.0138385,0.0110332,0.053198,0.0152926,0.0151992,0.0117148,0.00868282,0.0206293,0.0132573,0.0107791,0.00639714,0.0138004,0.0177468,0.0230702,0.0106019,0.0104922,0,0,0.0207435,0,0.0164655,0.0175944,0.0593923,0.0219995,0.0229648,0.00564447,0.0137578,0.0188795,0.00509732,0.0522512,0.00673497,0.00613084,0.00726363,0.0146887,0.00839341,0.0106712,0.00271863,0.0196686,0.0117883,0.0098652,0.0231889,0.00807571,0,0,0,0,0,0,0,0,0.0210248
65,0.0108754,0.0149918,0.0119188,0.00624549,0.00810867,0,0,0.0191928,0,0.0243358,0.0125645,0.043882,0.013956,0.0161417,0.0148267,0.0262651,0.0155087,0.00875313,0.0113462,0.0102836,0.0523412,0.0146973,0.0148844,0.0115168,0.00947258,0.0231594,0.0122066,0.0109178,0.00607701,0.0157547,0.0177513,0.0239079,0.0118156,0.0099956,0,0,0.0210354,0,0.0164998,0.0176264,0.0595029,0.0220436,0.0232222,0.00633839,0.0140939,0.018268,0.00599012,0.0531691,0.00813867,0.00767182,0.00785855,0.0150121,0.00772893,0.0132848,0.00599922,0.0196523,0.0115442,0.00968882,0.0227431,0.00818441,0,0,0,0,0,0,0,0,0.0209496
66,0.0112846,0.016309,0.012218,0.00639987,0.00836113,0,0,0.0183658,0,0.0242349,0.0120399,0.0440257,0.0141368,0.0161175,0.0139179,0.0267127,0.0151503,0.00737037,0.00991994,0.010211,0.0517316,0.014129,0.0145315,0.0116018,0.0105998,0.025064,0.0113771,0.0110271,0.00577126,0.0178112,0.017909,0.0241749,0.0129381,0.00902883,0,0,0.0209092,0,0.016535,0.0172794,0.059587,0.0217867,0.0233566,0.00717317,0.0142382,0.0172981,0.00672167,0.0540959,0.00936365,0.00888314,0.00850264,0.0153537,0.00717173,0.0152207,0.0101193,0.0191201,0.0109158,0.00921408,0.0222639,0.00789785,0,0,0,0,0,0,0,0,0.0207616
