Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,RFHD
19,0.00402796,0.000679869,0.0615285,0.0154456,0.0170712,0.00978999,0,0,0.00778557,0,0.0225072,0.00131415,0.0467569,0.0514651,0.0291029,0.0220139,0.00453861,0.00698789,0.019367,0.0393381,0.00925367,0.0643646,0.0212402,0.0293467,0.0124098,0.0330435,0.0895458,0.00851724,0.00859257,0.00104728,0.0197574,0.0208429,0.0174633,0.00143983,0.00120405,0,0,0.00412787,0.0183795,0.000704791,0.0642157,0.016563,0.0232313,0.00501163,0.0162889,0.00409925,0.00350632,0.0491766,0.00265414,0.00393874,0.00377382,0.0187192,0.00196904,0.00488612,0.0237323,0.00450476,0.00169537,0.00071252,0.0029735,0.000701792,0,0,0,0,0,0,0,0,0,0,0
20,0.00400681,0.000733122,0.0650924,0.0157519,0.0177677,0.00873911,0,0,0.00814101,0,0.0225215,0.00158761,0.0465794,0.0494731,0.028491,0.0216068,0.00454576,0.00767189,0.019255,0.0388013,0.009164,0.0641235,0.0227224,0.0311708,0.0125305,0.0340039,0.0936447,0.00891858,0.00867709,0.00150621,0.0177033,0.0195374,0.0162514,0.00114062,0.00105567,0,0,0.00309099,0.0192083,0.00165038,0.0641794,0.0148453,0.023419,0.00438171,0.0157,0.00455314,0.00389643,0.0496024,0.00224674,0.00472282,0.00339438,0.0186727,0.00165247,0.00426861,0.0219504,0.00465644,0.00295688,0.00234892,0.00271328,0.000903349,0,0,0,0,0,0,0,0,0,0,0
21,0.00358325,0.000466436,0.0676442,0.0157645,0.0184018,0.0078871,0,0,0.010467,0,0.0224761,0.00382631,0.0462012,0.047389,0.0277693,0.0205815,0.00471012,0.00837104,0.0187345,0.0379005,0.00920063,0.0638518,0.0235476,0.0324969,0.0125574,0.0346651,0.0963338,0.0109832,0.00868304,0.00170649,0.0163338,0.0210051,0.0151228,0.000892998,0.000792508,0,0,0.00318012,0.0183972,0.000881324,0.0641084,0.0132746,0.0236296,0.0041126,0.0153654,0.00435681,0.00430756,0.0499313,0.00222463,0.00557031,0.00355865,0.0184702,0.00169515,0.00401704,0.0202855,0.00458492,0.00106725,0.000959979,0.00308724,0.00105731,0,0,0,0,0,0,0,0,0,0,0
22,0.00351484,0.000475448,0.0702236,0.015753,0.0191437,0.00702112,0,0,0.0110012,0,0.0225684,0.00422701,0.0457815,0.0447433,0.0270025,0.018775,0.0044539,0.00874016,0.0176263,0.0360673,0.00931171,0.0634303,0.0240214,0.0332138,0.0124449,0.035032,0.0983936,0.011371,0.00877791,0.00199355,0.0151248,0.0210799,0.0150864,0.000631546,0.000776626,0,0,0.00288051,0.0183994,0.00120505,0.0640912,0.0130591,0.0238988,0.00437167,0.0150566,0.00451417,0.00459346,0.0500541,0.00249787,0.00626042,0.00393355,0.0178342,0.00193953,0.00421714,0.0179505,0.00473091,0.00132485,0.00111587,0.00313504,0.00104312,0,0,0,0,0,0,0,0,0,0,0
23,0.00355042,0.000448882,0.0724371,0.0158791,0.0199867,0.00607593,0,0,0.0113757,0,0.0226414,0.00439431,0.0451038,0.0414333,0.0262145,0.0160961,0.00426634,0.00892791,0.0161245,0.0328155,0.0097186,0.0629557,0.0240823,0.0334299,0.0121777,0.0348419,0.099469,0.0115576,0.00883556,0.00224389,0.0138654,0.021179,0.0148737,0.000762361,0.000864749,0,0,0.00286862,0.0183987,0.00159531,0.064076,0.0128076,0.0241778,0.00497559,0.0146608,0.00476072,0.00462347,0.0501056,0.00290319,0.00676914,0.0047395,0.0170611,0.0019532,0.00493348,0.0153977,0.00505672,0.00167811,0.00141592,0.00318967,0.000909157,0,0,0,0,0,0,0,0,0,0,0
24,0.00348106,0.000469213,0.0740201,0.0163845,0.0211128,0.00493323,0,0,0.0115671,0,0.02279,0.00456606,0.0440566,0.0372469,0.0253972,0.0125361,0.00402596,0.00902985,0.0140476,0.0285778,0.0105962,0.0624792,0.0237589,0.0331294,0.0120173,0.0341464,0.0999794,0.0115091,0.0088739,0.00249722,0.0124556,0.0212685,0.0140339,0.00131026,0.00107759,0,0,0.00323887,0.0183583,0.00207735,0.0640133,0.0119876,0.0244404,0.00541881,0.0140192,0.00513882,0.00458099,0.0502218,0.00303649,0.00705517,0.00591065,0.0165728,0.00229527,0.00624472,0.0130888,0.00552234,0.00204539,0.00171376,0.00330711,0.000757362,0,0,0,0,0,0,0,0,0,0,0
25,0.0034744,0.000695811,0.0765653,0.0168043,0.0239934,0.00351558,0,0,0.0115555,0,0.0230525,0.00472607,0.0428887,0.031107,0.0244901,0.00768838,0.0036958,0.00902317,0.0107702,0.0219883,0.0127895,0.0622672,0.0231019,0.0321564,0.0124138,0.0328312,0.0999266,0.0114199,0.00900112,0.00268534,0.0111152,0.0213615,0.013339,0.00247469,0.00144895,0,0,0.00400177,0.018358,0.002553,0.0639042,0.0116708,0.0248834,0.00575813,0.0131042,0.00571649,0.0044638,0.0501981,0.00320948,0.00726039,0.00711668,0.0159592,0.00295809,0.00755079,0.0107266,0.00617835,0.00241842,0.00197043,0.00353753,0.000733014,0,0,0,0,0,0,0,0,0,0,0
26,0.00352144,0.00105044,0.0778923,0.0169983,0.0275592,0.00259372,0,0,0.0111705,0,0.023293,0.0046066,0.0419478,0.0261465,0.0235734,0.00677675,0.00337743,0.00885726,0.00799425,0.0141945,0.015768,0.0621976,0.0221301,0.0302034,0.0133576,0.0317904,0.098248,0.011033,0.00914858,0.00275049,0.0097619,0.021487,0.0126727,0.00387296,0.0017572,0,0,0.00491018,0.0183806,0.00294334,0.063811,0.0119973,0.0253371,0.00588892,0.0121814,0.00625396,0.00435639,0.0501598,0.00351654,0.00759637,0.00803228,0.0152751,0.00369507,0.00874949,0.00813035,0.0068752,0.00285342,0.00220902,0.00387517,0.00080135,0,0,0,0,0,0,0,0,0,0,0
27,0.00379751,0.0014048,0.0764916,0.0170533,0.0295908,0.0025982,0,0,0.0104879,0,0.0235002,0.00424633,0.0412379,0.0240308,0.0227709,0.0120121,0.00333066,0.00880703,0.00755589,0.00757851,0.0188608,0.0620964,0.0207785,0.0268368,0.0134801,0.0311956,0.0939733,0.0104731,0.00925972,0.00272738,0.0081544,0.0211893,0.0118438,0.00491343,0.00210278,0,0,0.00585832,0.0184867,0.00360319,0.0637524,0.0120173,0.0256674,0.00597473,0.0113946,0.00689423,0.00440795,0.0501153,0.00388527,0.00813504,0.00910079,0.0147925,0.00437642,0.00996594,0.00593468,0.00756044,0.00350578,0.00269414,0.00430971,0.000964176,0,0,0,0,0,0,0,0,0,0,0
28,0.00381277,0.00190478,0.0728924,0.0167331,0.0307101,0.00354939,0,0,0.0151131,0,0.0232044,0.00679491,0.0404008,0.0240183,0.0219531,0.01942,0.00356802,0.00946655,0.00983736,0.00717345,0.0228578,0.0620795,0.0193739,0.0224663,0.0127761,0.0305632,0.087425,0.0134192,0.00942229,0.00266,0.00738457,0.021536,0.0112681,0.00581051,0.0024164,0,0,0.00755883,0.018357,0.00405457,0.0637194,0.0120493,0.0259659,0.00638837,0.0105672,0.00773706,0.00452031,0.0501459,0.00417885,0.00881844,0.00994022,0.0142074,0.00503914,0.0110244,0.00395472,0.00894462,0.00303354,0.00228703,0.00487199,0.00109399,0,0,0,0,0,0,0,0,0,0,0
