Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66
186,0.00228645,0.00065041,0.0202335,0.0155465,0.0132034,0.00265633,0,0,0.0020596,0,0.0223452,0.000682735,0.0494224,0.0108539,0.0240545,0.00157314,0.00226713,0.00124393,0.005527,0.00669068,0.00483169,0.0451646,0.00663827,0.0100846,0.00604934,0.0178508,0.0221677,0.00231448,0.00909067,0.000574684,0.0163212,0.0215432,0.0278756,0.0106681,0.00231805,0,0,0.0153364,0,0.0200395,0.0049694,0.0653201,0.0530643,0.0267067,0.0105224,0.00749714,0.011743,0.0147797,0.0519293,0.00631668,0.0248744,0.0345036,0.0283524,0.024794,0.0442026,0.0350298,0.0190133,0.00928671,0.00425969,0.00059358,0.000792118,0,0,0,0,0,0
187,0,0.0015018,0.0217619,0.0159404,0.0136367,0.00238855,0,0,0.000888859,0,0.0221764,0.00123559,0.0490996,0.0113253,0.0247899,0.00209555,0.00232602,0.00139713,0.00537657,0.00599001,0.00552968,0.0449319,0.00688216,0.0102484,0.00620325,0.0178196,0.0242026,0.00214109,0.00902981,0.000700727,0.0249678,0.0212642,0.0192059,0.00978001,0.00255428,0,0,0.0141061,0,0.0200414,0.00437582,0.0644883,0.0431297,0.025477,0.0119816,0.00738436,0.00988881,0.0131287,0.0520137,0.00717026,0.0225925,0.0324919,0.0266053,0.0198694,0.0405335,0.0420636,0.0176566,0.00947173,0.00411877,0.000226048,0.00208425,0,0,0,0,0,0
188,0.00226807,0.000623134,0.0222902,0.0155807,0.0141366,0.00234539,0,0,0.00196957,0,0.0223068,0.000747921,0.0486192,0.0120856,0.024886,0.00343528,0.00237742,0.00198512,0.0047667,0.00430768,0.00658108,0.0449068,0.00719629,0.0101791,0.0064728,0.0179436,0.0251199,0.00304291,0.00908645,0.000645119,0.0281628,0.0214078,0.0191649,0.00935416,0.0018303,0,0,0.0142947,0,0.0196975,0.00440706,0.0645059,0.0442131,0.025056,0.0123944,0.00655182,0.0115099,0.0117722,0.0518217,0.00724886,0.0211437,0.0329776,0.0263716,0.019656,0.041198,0.0464505,0.018721,0.00940438,0.00405171,0.000996333,0.000400405,0,0,0,0,0,0
189,0.00253864,0.000631397,0.0231228,0.0154691,0.0146242,0.00278641,0,0,0.00406593,0,0.0222862,0.00169632,0.0478195,0.0126518,0.0251579,0.00510896,0.00274044,0.00240774,0.00425985,0.00252908,0.00787649,0.0445366,0.00731324,0.00982507,0.00656695,0.0179699,0.0256851,0.00437904,0.00912186,0.00087977,0.0278411,0.0211796,0.0252903,0.0093813,0.00189184,0,0,0.014025,0,0.0194941,0.00433253,0.0654379,0.0526774,0.0251226,0.0121395,0.00518232,0.0114439,0.0108845,0.0512044,0.00650048,0.0203665,0.0350999,0.0270448,0.0228826,0.0450892,0.0482327,0.018199,0.00943025,0.00373957,0.00133417,0.00029335,0,0,0,0,0,0
190,0.0033803,0.000848962,0.0259129,0.0154049,0.0150106,0.00225297,0,0,0.00422656,0,0.0222597,0.00175889,0.0467253,0.0127315,0.0261795,0.00614594,0.00271123,0.00279817,0.00376104,0.00221121,0.00867359,0.0446749,0.00796644,0.0103487,0.00701591,0.0179436,0.0293998,0.00462653,0.00916985,0.00103303,0.0427627,0.0210513,0.0088397,0.00779889,0.00226473,0,0,0.0120129,0,0.0195308,0.00333725,0.0637126,0.0239553,0.0229698,0.016094,0.00503125,0.0108021,0.0095312,0.0537087,0.0113737,0.0166109,0.0286901,0.0258059,0.0131395,0.0333995,0.0558971,0.0161703,0.0087662,0.00392985,0.00143723,0.000460248,0,0,0,0,0,0
191,0.00253626,0.000988716,0.0273903,0.0154117,0.0153451,0.00248365,0,0,0.00454092,0,0.0222849,0.00179693,0.0457562,0.0126709,0.0266199,0.00784959,0.00267988,0.00335432,0.00333272,0.00106427,0.00985516,0.0444791,0.00819391,0.010043,0.00692096,0.0180558,0.0312428,0.00490049,0.00920314,0.00114166,0.0447354,0.0208805,0.0104538,0.00726601,0.00248982,0,0,0.0108931,0,0.0193857,0.00291882,0.0633697,0.0222194,0.0221978,0.01769,0.00480777,0.0103171,0.00912407,0.0543873,0.0130558,0.0153181,0.0285843,0.0257165,0.0126769,0.0321705,0.0570774,0.0150136,0.00848805,0.00367236,0.00157948,0.0011628,0,0,0,0,0,0
192,0,0.00126552,0.0292765,0.0157722,0.0157456,0.00305047,0,0,0.00570109,0,0.0221913,0.00229686,0.0452488,0.0126278,0.0272087,0.00956717,0.00277899,0.00409302,0.00315869,0.00107728,0.0111123,0.0442311,0.00836126,0.00972868,0.00683756,0.01812,0.0335474,0.00572595,0.0091292,0.0013135,0.0448571,0.0205116,0.0123566,0.00676746,0.00198913,0,0,0.00922059,0,0.0194111,0.00287555,0.0626113,0.0213867,0.0212069,0.0202037,0.00491224,0.00797878,0.00953746,0.0554717,0.0156885,0.0147971,0.0285941,0.0254285,0.0123546,0.0311245,0.0562227,0.012638,0.00822861,0.00356531,0.00137461,0.00157926,0,0,0,0,0,0
193,0.00250036,0.0012198,0.0320391,0.0155126,0.0164885,0.00361478,0,0,0.00553192,0,0.0223467,0.00180822,0.0454572,0.0125519,0.0274105,0.0109265,0.00297258,0.00428796,0.003228,0.00178959,0.0122868,0.0442775,0.0088226,0.00994329,0.00722661,0.0184159,0.0371146,0.00559366,0.00921068,0.00115259,0.0438005,0.0205155,0.0131933,0.00657943,0.00261859,0,0,0.00880756,0,0.0191235,0.00299119,0.0618151,0.0207233,0.0204233,0.0213967,0.00469939,0.00919277,0.00964693,0.0563987,0.0172352,0.0139307,0.0278988,0.0252442,0.0122764,0.0298565,0.0542962,0.0128742,0.00789583,0.00351129,0.00201977,0.0015476,0,0,0,0,0,0
194,0.00261712,0.00124025,0.0340242,0.0155452,0.0172764,0.00400791,0,0,0.00549799,0,0.0223503,0.00160584,0.0456778,0.0125511,0.0277618,0.0125393,0.00351806,0.00450348,0.00366842,0.00297317,0.0135902,0.0442331,0.00914081,0.00982386,0.0074242,0.0186538,0.0394751,0.00556077,0.00922233,0.00101613,0.0421824,0.0203155,0.0133246,0.0064876,0.00269797,0,0,0.00755545,0,0.0191111,0.00304513,0.0619311,0.0192315,0.020077,0.0213528,0.0041679,0.00871039,0.00951273,0.0571406,0.0178201,0.0126273,0.0264158,0.0251821,0.0119446,0.0277412,0.0518138,0.0116623,0.00748448,0.00350504,0.00216784,0.00179179,0,0,0,0,0,0
195,0.00232875,0.00133305,0.0350615,0.015597,0.0180224,0.00430715,0,0,0.00579142,0,0.0223622,0.00163987,0.0456366,0.0127193,0.0280536,0.0143774,0.00387172,0.00472236,0.0045778,0.00483442,0.015003,0.0442884,0.00948826,0.00957089,0.00754299,0.0188922,0.0405603,0.00573206,0.00921087,0.000974072,0.0398603,0.0201414,0.0129741,0.006268,0.0028158,0,0,0.00643826,0,0.0191036,0.00306336,0.062021,0.0174672,0.0197827,0.0203354,0.00362115,0.00816934,0.00918606,0.0574308,0.0175422,0.0111114,0.0245664,0.0251214,0.0114884,0.0251274,0.0488164,0.0102271,0.00690359,0.00350128,0.00235727,0.00205595,0,0,0,0,0,0
