Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,LGTR
111,0.0190789,0.0330532,0.012187,0.0107169,0.0131775,0.0144343,0,0,0.0230833,0,0.0255862,0.0152074,0.00691433,0.0200537,0.0165797,0.0346574,0.0236646,0.0163516,0.0202248,0.0138834,0.0560822,0.0146021,0.0162383,0.0125478,0.0105517,0.0159716,0.0146612,0.0103099,0.00901677,0.015904,0.015238,0.019134,0.00642774,0.00893526,0,0,0.0411965,0,0.0183429,0.0280428,0.052087,0.0213778,0.0229196,0.0111924,0.0259168,0.0237019,0.00800449,0.0562095,0.010331,0.00664432,0.0115462,0.00909159,0.0123773,0.0127854,0.00776905,0.029048,0.00902345,0.013833,0.0359319,0.0066215,0,0,0,0,0,0,0.0404269
112,0.0188922,0.0328825,0.0139974,0.0105633,0.0112338,0.0147823,0,0,0.0228574,0,0.0256533,0.015266,0.00561177,0.0198225,0.0159366,0.0350387,0.0234543,0.0144278,0.0182798,0.012812,0.0561835,0.0149982,0.0161115,0.0122294,0.00978164,0.0189816,0.0145864,0.010343,0.00899176,0.0163221,0.0149155,0.0206989,0.00734572,0.00890729,0,0,0.0430901,0,0.0186719,0.0290802,0.0518161,0.0234091,0.0226908,0.011455,0.0265786,0.0240872,0.00881735,0.056924,0.0115265,0.00825961,0.0107986,0.00971496,0.0115852,0.0138659,0.00732935,0.0302299,0.00958735,0.0143386,0.0358826,0.0056749,0,0,0,0,0,0,0.0403785
113,0.0189017,0.0325727,0.0159279,0.0105015,0.0101132,0.0149838,0,0,0.0222775,0,0.0257139,0.0149794,0.0063836,0.0201419,0.0156942,0.0350239,0.0230728,0.0125364,0.0162753,0.0119746,0.0560051,0.0148904,0.015789,0.0118733,0.00986316,0.022215,0.0141783,0.0104776,0.00877779,0.0165854,0.0146992,0.0222884,0.00827992,0.00879581,0,0,0.044169,0,0.0189087,0.0296026,0.0513946,0.0251607,0.0223928,0.0119453,0.0268027,0.0239921,0.00980614,0.05772,0.0128566,0.0100775,0.0103859,0.010255,0.0109542,0.0157128,0.00654968,0.0307787,0.00985978,0.0145663,0.0353547,0.00504175,0,0,0,0,0,0,0.0405478
114,0.0191303,0.0323137,0.0165622,0.0104775,0.00949703,0.0152896,0,0,0.0214546,0,0.0257668,0.0145273,0.0080858,0.0205939,0.0154475,0.0350999,0.0225859,0.011117,0.0146806,0.0116131,0.0555714,0.0145062,0.015409,0.0117196,0.0104419,0.0242263,0.0136203,0.0106951,0.00845547,0.0165193,0.0146393,0.0233245,0.00938723,0.00850049,0,0,0.0445076,0,0.0190837,0.0296576,0.0509942,0.0259884,0.0220337,0.0126156,0.0268652,0.023519,0.0109549,0.0586213,0.0142032,0.0119568,0.0101571,0.0107209,0.0103592,0.0174937,0.00676668,0.0306791,0.00979843,0.0145464,0.0347184,0.00490335,0,0,0,0,0,0,0.0406978
115,0.0194951,0.032056,0.017039,0.0105568,0.00872747,0.0155332,0,0,0.0207689,0,0.0257564,0.014259,0.00982208,0.0207407,0.0149952,0.0352228,0.0221152,0.0105372,0.0137786,0.0117025,0.0551739,0.014212,0.0150101,0.011712,0.0111911,0.0256206,0.0130497,0.0108071,0.0081241,0.017088,0.0146732,0.023554,0.0104033,0.0081495,0,0,0.0442882,0,0.0191656,0.029361,0.0508468,0.025591,0.0216506,0.0134397,0.0269006,0.0228502,0.0122094,0.0596624,0.0155485,0.0138224,0.00986432,0.0110963,0.00974255,0.0186768,0.00755564,0.0302325,0.00935355,0.0143405,0.034131,0.00515841,0,0,0,0,0,0,0.0408953
116,0.0198756,0.0317696,0.0181682,0.010694,0.00763012,0.0155964,0,0,0.0202056,0,0.0257191,0.0141093,0.0108706,0.0208474,0.0145288,0.0352114,0.0217888,0.01076,0.0138254,0.0119886,0.054806,0.0142364,0.014866,0.0118056,0.0118031,0.0269907,0.0125134,0.0108664,0.0078583,0.0170529,0.0147591,0.0226117,0.0111354,0.00778276,0,0,0.0439685,0,0.0192,0.0290352,0.0508462,0.0243896,0.0213558,0.0143607,0.0269208,0.0220505,0.0134286,0.0607478,0.0168723,0.0156545,0.00922447,0.0115084,0.00897304,0.0190674,0.00871867,0.0296066,0.00879791,0.0139936,0.0335664,0.00562002,0,0,0,0,0,0,0.0411586
117,0.0200769,0.0313189,0.019613,0.0109119,0.00640947,0.0153345,0,0,0.0196563,0,0.0256264,0.0138978,0.0112913,0.0212339,0.0144178,0.0348243,0.0215696,0.0115215,0.0147384,0.0122497,0.0544421,0.0143624,0.0148933,0.0119237,0.0119937,0.0286138,0.0120094,0.0109324,0.00766956,0.0168839,0.0149283,0.0204916,0.0115291,0.00747589,0,0,0.043591,0,0.0192498,0.0287102,0.0507778,0.0227353,0.0212887,0.0152508,0.026712,0.021229,0.0145399,0.0618043,0.0180386,0.0174074,0.00822944,0.0121084,0.00804576,0.018697,0.0107129,0.0287138,0.0084846,0.0135647,0.0328549,0.00606232,0,0,0,0,0,0,0.0414241
118,0.0200089,0.0307598,0.0211461,0.01111,0.00528652,0.0149123,0,0,0.0193205,0,0.0254841,0.0136535,0.0114038,0.0215518,0.0146776,0.0342495,0.0214525,0.0123432,0.0158907,0.0123406,0.0542451,0.0143208,0.0148445,0.0118754,0.0117293,0.0307463,0.0117064,0.0109853,0.00757158,0.0169572,0.0150872,0.0176599,0.0117608,0.00725808,0,0,0.0433505,0,0.0192975,0.0284155,0.0505784,0.0214436,0.021352,0.0160403,0.0263694,0.0205104,0.0155532,0.0627612,0.0189972,0.0190148,0.00701388,0.0128491,0.00706208,0.0177319,0.0139267,0.0279489,0.00813613,0.0132179,0.0322115,0.00634766,0,0,0,0,0,0,0.0415991
119,0.0197286,0.0305082,0.0228286,0.0112023,0.00447596,0.0152781,0,0,0.0194813,0,0.0253821,0.0136376,0.010953,0.0209794,0.0149708,0.0347243,0.0215181,0.0125242,0.0164703,0.0121114,0.0542467,0.0140584,0.0146744,0.0116545,0.0111599,0.0328324,0.0118591,0.0110151,0.00767661,0.0174709,0.0150534,0.0147506,0.0125452,0.00678759,0,0,0.0436702,0,0.0193796,0.0285104,0.0503792,0.0214098,0.0213246,0.0166745,0.0265541,0.0200699,0.0163557,0.0636014,0.0198097,0.0201961,0.00574434,0.0136634,0.00619759,0.0164352,0.0185362,0.0278769,0.00784362,0.0130526,0.0322767,0.0060675,0,0,0,0,0,0,0.041484
120,0.0194107,0.030229,0.024757,0.0112069,0.00430444,0.0155519,0,0,0.0199027,0,0.025276,0.0139173,0.0103616,0.0203654,0.0154134,0.0349303,0.0217029,0.0122178,0.0167917,0.0118733,0.0543038,0.013769,0.0147092,0.0113752,0.0106123,0.0349858,0.0120921,0.0110092,0.00790445,0.0188896,0.0149458,0.0124283,0.0130406,0.00638385,0,0,0.0441323,0,0.0195352,0.0289516,0.0503788,0.0226402,0.0212911,0.0171886,0.0264309,0.0197371,0.0170076,0.0642389,0.0204041,0.0212154,0.00467841,0.0144394,0.0056459,0.0150173,0.0229691,0.0280389,0.00774584,0.0129453,0.0325648,0.00561672,0,0,0,0,0,0,0.0413032
