Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69
19,0.0206861,0.0267983,0.0156443,0.0132303,0.0151818,0.00691108,0,0,0.0198152,0,0.0228324,0.0116887,0.0413385,0.0197332,0.0239179,0.0172487,0.0218676,0.0158421,0.00721029,0.0117971,0.0158315,0.0512675,0.0183544,0.0168944,0.0174197,0.0215552,0.0164487,0.0153393,0.0107036,0.00654952,0.0440956,0.0146913,0.011777,0.00592303,0.0208739,0,0,0.0387522,0,0.0203177,0.0259853,0.0565365,0.0392583,0.0213278,0.0171148,0.0208739,0.0232462,0.0162156,0.0605965,0.0203085,0.0211432,0.015123,0.017155,0.00716136,0.0268588,0.0627026,0.0147692,0.009552,0.0110852,0.0252931,0.0118843,0,0,0,0,0,0,0,0,0
20,0.0208111,0.0271276,0.0167521,0.013314,0.0158516,0.00681326,0,0,0.0192603,0,0.0228273,0.0115188,0.0414368,0.020109,0.0239305,0.0177555,0.0219045,0.0158881,0.00725629,0.0118392,0.016288,0.0510763,0.0183207,0.016736,0.017496,0.0217953,0.0175703,0.0149912,0.0107221,0.00650345,0.0413354,0.0145641,0.0108529,0.00634168,0.0209584,0,0,0.0386868,0,0.0204701,0.0259994,0.0567683,0.0367202,0.0212518,0.0180554,0.0211502,0.0236526,0.0161129,0.0601695,0.0206159,0.0210554,0.0132819,0.015765,0.00662554,0.0247754,0.0586064,0.0144253,0.00971636,0.0110877,0.0257192,0.0116832,0,0,0,0,0,0,0,0,0
21,0.0210186,0.0274557,0.0177318,0.0133924,0.0164871,0.00676637,0,0,0.0185754,0,0.0227709,0.0112738,0.0416685,0.0204447,0.0238342,0.0182706,0.0219297,0.0158874,0.00726425,0.0117825,0.0168456,0.0508352,0.0182661,0.0165013,0.0175187,0.0219579,0.0189478,0.0145701,0.0107421,0.00643888,0.0376659,0.0144983,0.0103346,0.00707232,0.0211368,0,0,0.0385972,0,0.0206331,0.0260038,0.0569847,0.0339425,0.0210825,0.0187537,0.0214767,0.0241052,0.0159571,0.0596831,0.020547,0.0206336,0.0115156,0.0142139,0.0065544,0.0224193,0.0533381,0.0140825,0.00993061,0.0110736,0.0263598,0.0114,0,0,0,0,0,0,0,0,0
22,0.0212159,0.0277501,0.0191798,0.0134611,0.0170349,0.00678177,0,0,0.0178613,0,0.0227147,0.0110241,0.0419213,0.0207715,0.0236257,0.0186548,0.0220043,0.0158251,0.00726541,0.0118097,0.0172723,0.0505887,0.0181238,0.0161338,0.0174958,0.0220385,0.0201779,0.0141421,0.0107655,0.00637666,0.0330973,0.0144875,0.0104954,0.0075945,0.0213985,0,0,0.0384767,0,0.0207711,0.0259463,0.0574347,0.0310596,0.020761,0.0190618,0.0215879,0.0244598,0.015626,0.0593158,0.0200272,0.0198763,0.00987173,0.0125472,0.00656291,0.0198222,0.0470305,0.013745,0.0102078,0.0110224,0.026678,0.0111715,0,0,0,0,0,0,0,0,0
23,0.0213636,0.0280217,0.0208326,0.0135364,0.0174262,0.0067223,0,0,0.0170531,0,0.0226692,0.0107725,0.0420755,0.0210007,0.0234233,0.0189296,0.0220442,0.0156082,0.00718531,0.011809,0.0173567,0.0503376,0.017892,0.0157591,0.0173995,0.0220492,0.0213006,0.0136476,0.0107849,0.00632932,0.0278786,0.0145696,0.0114755,0.00790666,0.0217163,0,0,0.0384172,0,0.0209374,0.0257884,0.0577274,0.0287547,0.0203247,0.0187047,0.0215374,0.024783,0.0147383,0.0588548,0.0188259,0.0185537,0.0085423,0.0110345,0.00653424,0.017145,0.040052,0.0134263,0.0105563,0.0109052,0.0268765,0.0109615,0,0,0,0,0,0,0,0,0
24,0.0214723,0.0282916,0.0222698,0.0136336,0.0177059,0.00675702,0,0,0.0163295,0,0.0226602,0.0105603,0.0422214,0.0211246,0.0232215,0.0191665,0.0220815,0.0152352,0.00701344,0.011642,0.0174725,0.0500655,0.0175255,0.0153822,0.0172139,0.0219705,0.0223608,0.0131748,0.0108019,0.00631043,0.0224284,0.014604,0.013009,0.00818847,0.0220297,0,0,0.0382594,0,0.0210614,0.0256446,0.0577803,0.0272428,0.0198526,0.0177969,0.0213506,0.0251098,0.0135384,0.0582722,0.0169996,0.0166802,0.00767746,0.00986881,0.0066875,0.0144804,0.0328498,0.0131553,0.0109865,0.0107549,0.0272571,0.0107373,0,0,0,0,0,0,0,0,0
25,0.0215772,0.0285222,0.0232671,0.0137013,0.0179013,0.00683026,0,0,0.0156944,0,0.0226405,0.0103557,0.0424434,0.0212364,0.0229119,0.019318,0.0221923,0.0149473,0.00679416,0.0113102,0.0176354,0.0497384,0.0172154,0.0149392,0.0169562,0.0217916,0.0232685,0.0127626,0.0108018,0.00622114,0.017381,0.0146204,0.01479,0.00847011,0.0223536,0,0,0.0380096,0,0.0211657,0.0253908,0.0577345,0.0262081,0.0193946,0.0167205,0.0211171,0.0253764,0.0124132,0.0576856,0.0149426,0.0145756,0.00740246,0.00908386,0.00718476,0.0118665,0.0258783,0.0129928,0.0114466,0.0106187,0.0276327,0.0105293,0,0,0,0,0,0,0,0,0
26,0.0216669,0.0287485,0.0240291,0.0136804,0.0180835,0.00708927,0,0,0.0149678,0,0.02258,0.0101336,0.0427064,0.0212833,0.0225593,0.0193052,0.0224276,0.0147599,0.00650432,0.0108292,0.0176321,0.0493385,0.0168725,0.0144731,0.0166764,0.0215127,0.0241378,0.0123529,0.0107965,0.00610238,0.0144975,0.0146389,0.0166236,0.00877506,0.022645,0,0,0.0379255,0,0.0213247,0.0251977,0.057656,0.0257502,0.0189803,0.0157729,0.0209002,0.0256349,0.0117868,0.0571903,0.0131853,0.0128301,0.00774278,0.00866965,0.00775294,0.00964411,0.020101,0.0129192,0.0119398,0.0105004,0.0280717,0.010333,0,0,0,0,0,0,0,0,0
27,0.0216844,0.028914,0.0249388,0.0136547,0.0182644,0.00708024,0,0,0.0142819,0,0.0225345,0.009948,0.0429732,0.0213382,0.0222524,0.0191658,0.0227948,0.0146781,0.00613915,0.0102069,0.017413,0.0488365,0.0164036,0.0140019,0.0163715,0.0211666,0.0250709,0.0120191,0.010775,0.00610413,0.0150911,0.0146316,0.0181563,0.00915881,0.0228379,0,0,0.0379377,0,0.0215387,0.0250855,0.0575837,0.0255229,0.01866,0.0151973,0.0207235,0.0258591,0.0123166,0.0569088,0.012588,0.0123754,0.00852095,0.00864016,0.00825433,0.008321,0.0169019,0.0129401,0.0125617,0.0103797,0.0284848,0.0101367,0,0,0,0,0,0,0,0,0
28,0.0217553,0.0290916,0.0257374,0.0135897,0.0183161,0.00691678,0,0,0.0137082,0,0.0225057,0.00981716,0.0431893,0.0214377,0.0219349,0.0189024,0.0232369,0.0147031,0.0057066,0.00947606,0.0171237,0.0482384,0.0159667,0.0135881,0.0160185,0.0207646,0.0259005,0.0117592,0.0108149,0.0061301,0.028757,0.0145997,0.0271596,0.00946051,0.0229445,0,0,0.0380135,0,0.0217859,0.0249836,0.0571643,0.0331593,0.018493,0.014336,0.0205972,0.0260003,0.0142738,0.0571869,0.0134263,0.0137624,0.0125784,0.00850396,0.0135551,0.0128299,0.0318293,0.0130393,0.0132198,0.01025,0.0288702,0.00998433,0,0,0,0,0,0,0,0,0
