Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,LGTR,LTHII
67,0.00397682,0.00528478,0.0450775,0.0159674,0.011675,0.00508036,0,0,0.00866031,0,0.0226297,0.00303722,0.00818878,0.0265908,0.0261939,0.00423353,0.00439575,0.0138668,0.0159498,0.0390079,0.0144128,0.00734974,0.00694671,0.019202,0.0531584,0.0061945,0.00920634,0.000974297,0.0146995,0.0187062,0.0110452,0.00248108,0.00626876,0,0,0.0184204,0,0.0195342,0.00980404,0.0671917,0.0149662,0.0235811,0.0130536,0.00951255,0.00622486,0.00889899,0.045046,0.00960112,0.00918367,0.0117457,0.016061,0.00806675,0.0107613,0.0177194,0.0121099,0.00455153,0.00303101,0.00627757,0.00535564,0,0,0,0,0,0,0,0,0,0,0.0496575,0.025483
68,0.00419426,0.00546921,0.0468466,0.016021,0.0118875,0.00485485,0,0,0.00874047,0,0.0226428,0.00296279,0.00816945,0.0260726,0.0266408,0.0042609,0.00476819,0.0143083,0.0161485,0.0384395,0.0145532,0.00745657,0.00679767,0.0191546,0.0549346,0.00620687,0.00917383,0.000956892,0.0325384,0.0185708,0.0259934,0.00309587,0.00675473,0,0,0.0195269,0,0.0196645,0.0104096,0.0668788,0.0306346,0.0242988,0.0123975,0.00949452,0.00683129,0.0123525,0.0449045,0.0114741,0.0134165,0.0145896,0.0180044,0.0151338,0.0140736,0.0363573,0.0127988,0.00453861,0.003259,0.00671092,0.00571477,0,0,0,0,0,0,0,0,0,0,0.0498369,0.0258593
69,0.00447166,0.00561823,0.0488844,0.0159791,0.012181,0.00534234,0,0,0.00886648,0,0.022576,0.00284873,0.00848667,0.025758,0.0267739,0.00420569,0.00513498,0.0144825,0.0160957,0.0379291,0.0145527,0.00743608,0.00666492,0.019097,0.0570057,0.00626883,0.00912862,0.000921639,0.049197,0.0184457,0.0396073,0.00339577,0.00723522,0,0,0.0206488,0,0.019813,0.0109813,0.0665294,0.0458265,0.0247844,0.0125117,0.00955862,0.00740366,0.0162956,0.0451503,0.014468,0.0178767,0.0171842,0.0214765,0.021665,0.0180435,0.0529394,0.0134949,0.00455085,0.00344446,0.0071194,0.00597418,0,0,0,0,0,0,0,0,0,0,0.0500639,0.0260828
70,0.00472012,0.0058023,0.0506355,0.0158809,0.0124394,0.0056024,0,0,0.00905936,0,0.0225188,0.00279259,0.0090139,0.0255354,0.0265709,0.00405716,0.00552253,0.0145774,0.0157759,0.0375103,0.014383,0.00710712,0.00651842,0.018996,0.0592215,0.00639158,0.0091298,0.000833158,0.0635161,0.0182751,0.0511593,0.00336299,0.00779781,0,0,0.0216761,0,0.0199721,0.0115579,0.0661294,0.0585257,0.0250546,0.012912,0.00965485,0.00799859,0.0194517,0.0456691,0.0173701,0.021309,0.018824,0.0249674,0.0267979,0.0211968,0.0668079,0.0141504,0.00456894,0.00364738,0.00745974,0.00623624,0,0,0,0,0,0,0,0,0,0,0.0501664,0.0260829
71,0.00495922,0.00601237,0.0523932,0.0156832,0.0125547,0.00613864,0,0,0.00932147,0,0.0224453,0.00278067,0.00956414,0.0253126,0.0259556,0.00391401,0.00601694,0.014412,0.0151767,0.0370571,0.0140254,0.00648711,0.00653687,0.0188138,0.0612738,0.00658577,0.00920797,0.000707586,0.0744681,0.018099,0.0598182,0.00315598,0.00843146,0,0,0.0225764,0,0.0201749,0.0120158,0.0658179,0.0680115,0.0252303,0.0136016,0.00977785,0.00862609,0.0212098,0.0463113,0.0193545,0.0231094,0.0196417,0.0277042,0.0304104,0.0233954,0.0774355,0.0147442,0.0045169,0.00383622,0.00788741,0.00660931,0,0,0,0,0,0,0,0,0,0,0.0500881,0.0257584
72,0.00529361,0.00626762,0.0535242,0.0154526,0.0124645,0.00679188,0,0,0.00955657,0,0.0223489,0.00276946,0.00991445,0.0251862,0.0249654,0.003811,0.0065088,0.0141719,0.0144631,0.0366421,0.0135175,0.00580678,0.00650749,0.0185111,0.0627269,0.00673771,0.00927322,0.000608187,0.0805612,0.0178713,0.0643892,0.00292613,0.00907532,0,0,0.0231161,0,0.0204025,0.0122722,0.0656946,0.0734349,0.025367,0.014036,0.00989645,0.00928735,0.0216038,0.0467554,0.0198628,0.0232468,0.0198792,0.0291762,0.0322239,0.0244896,0.0835777,0.015197,0.00435051,0.00401763,0.00836612,0.00710057,0,0,0,0,0,0,0,0,0,0,0.0497907,0.0250467
73,0.00549168,0.00645164,0.0547035,0.0154224,0.012457,0.00674126,0,0,0.00977131,0,0.0223088,0.00272077,0.010529,0.0252875,0.0236198,0.003827,0.00685346,0.013619,0.0133461,0.0363731,0.0128821,0.00489402,0.00652168,0.0182546,0.0643701,0.0068374,0.0092272,0.000460587,0.0810975,0.0176993,0.0644994,0.0026117,0.00954861,0,0,0.0239011,0,0.0204002,0.0128058,0.0658452,0.0742122,0.0254328,0.0138253,0.00985645,0.0100295,0.0209309,0.0468558,0.0189871,0.0220415,0.0197948,0.0293398,0.0322743,0.0245831,0.0842844,0.0160789,0.00446703,0.00420409,0.00876922,0.00749575,0,0,0,0,0,0,0,0,0,0,0.049196,0.0240153
74,0.00581339,0.00666093,0.0550451,0.0152646,0.0120842,0.00694614,0,0,0.00997497,0,0.0222297,0.00275238,0.0108565,0.0254088,0.0220942,0.00394056,0.00717897,0.0130323,0.0124256,0.0361547,0.01229,0.00432628,0.00658668,0.0178671,0.065131,0.00687411,0.0092018,0.000447078,0.0763543,0.0175279,0.060692,0.00253593,0.0100521,0,0,0.0240707,0,0.0207465,0.0126527,0.0661993,0.0706411,0.0253657,0.0133028,0.0098046,0.0102971,0.0195857,0.0466298,0.0173782,0.0198414,0.0193804,0.0283037,0.0307002,0.0238767,0.0801521,0.0161815,0.00408182,0.00427903,0.00906171,0.0079904,0,0,0,0,0,0,0,0,0,0,0.0486931,0.0226812
75,0.00593554,0.00670154,0.0558522,0.0150213,0.011892,0.00680065,0,0,0.0102912,0,0.0221027,0.00285299,0.0117029,0.0256722,0.0201275,0.00417778,0.00740235,0.0119717,0.0110048,0.0361082,0.0114713,0.0038613,0.00678196,0.0175007,0.0665695,0.00703186,0.00916539,0.000550635,0.0678155,0.0174601,0.0541544,0.00277643,0.0102943,0,0,0.0243732,0,0.0208686,0.0126014,0.0666252,0.063635,0.0252669,0.0128326,0.00971386,0.0103157,0.018116,0.046113,0.0155906,0.0172424,0.01859,0.0264725,0.0279398,0.0223569,0.0721639,0.016298,0.00380743,0.00436167,0.00918655,0.00824266,0,0,0,0,0,0,0,0,0,0,0.048252,0.0209362
76,0.00592417,0.00659811,0.0567786,0.0147679,0.0118657,0.00725862,0,0,0.0106097,0,0.0219658,0.00300089,0.0127602,0.0259257,0.01783,0.0044347,0.00751054,0.010991,0.00945545,0.0362462,0.0105578,0.00354259,0.00691541,0.017076,0.0682753,0.00724051,0.009119,0.000719423,0.0571554,0.0174427,0.0458797,0.0033448,0.0102691,0,0,0.0245451,0,0.0207945,0.0125738,0.0670061,0.0538848,0.0252761,0.0127726,0.00960745,0.0100287,0.0169267,0.045351,0.0140639,0.0148318,0.0174279,0.0240489,0.0242347,0.0200475,0.0616734,0.0162365,0.00344658,0.00425767,0.00910168,0.00817038,0,0,0,0,0,0,0,0,0,0,0.0477275,0.0188545
77,0.00579372,0.00640116,0.057975,0.0147387,0.0120278,0.00692057,0,0,0.0108419,0,0.0219581,0.00312582,0.0138206,0.0261847,0.0151672,0.00456209,0.00741248,0.00997859,0.00811128,0.0366373,0.00959503,0.00355319,0.00693953,0.0165371,0.07014,0.00736413,0.00903217,0.000819969,0.0465861,0.0175278,0.0370153,0.00393907,0.00997932,0,0,0.0245312,0,0.0206349,0.0124228,0.0673148,0.0435959,0.0254007,0.0129796,0.00952561,0.00952193,0.0160897,0.0445759,0.0130709,0.0127559,0.0160604,0.0215915,0.0200844,0.0174705,0.0506507,0.0159889,0.00304533,0.00402255,0.00883858,0.00773686,0,0,0,0,0,0,0,0,0,0,0.0472355,0.0164207
