Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,RTIBA,x75
844,0.0572588,0.0644952,0,0,0,0,0,0,0.0366424,0,0.0187717,0.0730037,0,0,0.0179404,0,0,0.0353407,0.0746734,0.0218985,0.0107253,0.0137372,0.022426,0.0248938,0.0207638,0.0349031,0.0471787,0.0295134,0.015104,0.0144419,0.0224566,0.0237028,0.00911554,0.0124346,0.0107868,0.0243276,0.0448042,0,0.0103915,0.059736,0.0402005,0,0,0.0115033,0,0,0.0403104,0.0597335,0.0287312,0.0281581,0.0128774,0.0456341,0.0343256,0.035243,0.122878,0.0415129,0.0319145,0.0693714,0.052349,0.0851404,0.0161699,0.0217783,0.0130244,0.0220381,0.0412252,0.0145636,0,0,0,0,0,0,0,0,0.0464846,0
845,0.0572567,0.0644563,0,0,0,0,0,0,0.0365086,0,0.0188597,0.0729943,0,0,0.0178113,0,0,0.0352953,0.0746926,0.0216507,0.0107525,0.0137384,0.0223892,0.0246341,0.0207838,0.034878,0.0471649,0.0295108,0.0150842,0.014416,0.022665,0.0237594,0.00924759,0.0124635,0.0107319,0.0243849,0.0449394,0,0.0104988,0.0597728,0.0401644,0,0,0.0114736,0,0,0.0403169,0.0597253,0.0288363,0.0281232,0.0128898,0.0455795,0.0342228,0.0352665,0.122888,0.0415388,0.031969,0.069321,0.0523289,0.0851245,0.0163154,0.0217229,0.013001,0.0220374,0.0411942,0.0146643,0,0,0,0,0,0,0,0,0.0464834,0
846,0.0572747,0.0643996,0,0,0,0,0,0,0.0363436,0,0.0189353,0.0729865,0,0,0.0176871,0,0,0.0352156,0.0747066,0.021439,0.0107756,0.0137164,0.022341,0.0244019,0.0208156,0.0348418,0.0471508,0.0295221,0.0149986,0.014372,0.0227494,0.0239783,0.00941576,0.0124726,0.0106028,0.0244239,0.0449603,0,0.0104648,0.0597701,0.0401609,0,0,0.0115421,0,0,0.0402621,0.0597221,0.0288357,0.0281061,0.0129007,0.0455161,0.0341693,0.0353021,0.122905,0.0415659,0.0319926,0.0692735,0.0523102,0.0851101,0.016364,0.0216522,0.0131185,0.0219658,0.0411317,0.0147791,0,0,0,0,0,0,0,0,0.0464781,0
847,0.0572969,0.0643331,0,0,0,0,0,0,0.0361671,0,0.0190336,0.0729562,0,0,0.0176134,0,0,0.0352315,0.0747168,0.0211243,0.0107867,0.0136708,0.0223096,0.0241441,0.0208369,0.0348224,0.047156,0.0295175,0.0148707,0.0143299,0.0228412,0.024206,0.00968263,0.0125059,0.0105393,0.0244474,0.0448982,0,0.0103201,0.0597424,0.0402243,0,0,0.011525,0,0,0.0402505,0.0597229,0.0287612,0.0280987,0.0129166,0.0454779,0.0341205,0.0353237,0.122924,0.041582,0.0319567,0.0692318,0.0523032,0.0851054,0.0163263,0.0216114,0.0130489,0.0219907,0.0410677,0.0148816,0,0,0,0,0,0,0,0,0.0464789,0
848,0.0572976,0.0642464,0,0,0,0,0,0,0.0360497,0,0.0191343,0.0729119,0,0,0.0175393,0,0,0.0353201,0.074729,0.0207995,0.0108301,0.013616,0.0222806,0.023881,0.020868,0.0347725,0.0471546,0.0295029,0.0148183,0.0143184,0.0229571,0.0242603,0.00999263,0.012549,0.0105191,0.0244781,0.0447736,0,0.0102587,0.0596965,0.0403105,0,0,0.0114847,0,0,0.0402639,0.0597324,0.0287948,0.0281004,0.0129288,0.0454723,0.0340734,0.0353276,0.122914,0.0415831,0.0319055,0.0692101,0.0523222,0.0851108,0.0162947,0.0215824,0.0130229,0.022013,0.0409954,0.0150028,0,0,0,0,0,0,0,0,0.0464791,0
849,0.0572974,0.0641361,0,0,0,0,0,0,0.0359782,0,0.0191908,0.0728839,0,0,0.0174082,0,0,0.0353551,0.0747548,0.0206419,0.0108677,0.0136042,0.0222458,0.0236273,0.0209618,0.0347367,0.0471414,0.0294855,0.014956,0.0143141,0.0230036,0.0242023,0.0101181,0.0125945,0.0104966,0.0245243,0.0446741,0,0.0102489,0.0596631,0.0403944,0,0,0.0114126,0,0,0.0402645,0.0597491,0.0289271,0.0280669,0.0129439,0.0454657,0.0340386,0.0353016,0.122916,0.0415731,0.0318579,0.0692122,0.0523365,0.0851411,0.0163033,0.0215538,0.0130324,0.0220315,0.0409149,0.0151559,0,0,0,0,0,0,0,0,0.0464863,0
850,0.0573222,0.0640384,0,0,0,0,0,0,0.0359576,0,0.0192169,0.0728892,0,0,0.0172681,0,0,0.0353241,0.0747525,0.020691,0.0108405,0.0136288,0.022202,0.0233699,0.0210003,0.034761,0.047123,0.0294666,0.0151261,0.0142954,0.022934,0.0242785,0.0100556,0.0126595,0.0105286,0.0245693,0.0446213,0,0.0102629,0.0596588,0.0404782,0,0,0.0113239,0,0,0.0402924,0.0597803,0.0290316,0.028021,0.0129736,0.0454334,0.0339951,0.0352798,0.122914,0.0415431,0.0318306,0.0692155,0.0523567,0.0851617,0.0163293,0.0215288,0.0128971,0.0221284,0.0408466,0.0152801,0,0,0,0,0,0,0,0,0.0465006,0
851,0.0573502,0.0639434,0,0,0,0,0,0,0.0358065,0,0.0192834,0.0729439,0,0,0.0171371,0,0,0.0353136,0.0747471,0.0205035,0.0107254,0.0135725,0.0221253,0.0231344,0.0208071,0.0347768,0.0471111,0.0294329,0.0146911,0.0142738,0.0229589,0.024472,0.0101423,0.0127474,0.0105096,0.0246244,0.0445578,0,0.0102687,0.059646,0.0405825,0,0,0.0113323,0,0,0.0402756,0.0598395,0.0290939,0.0279817,0.0129952,0.0453816,0.0339408,0.0352583,0.1229,0.0415144,0.0318327,0.0692175,0.0523698,0.0851706,0.0163287,0.0214892,0.0128621,0.0221505,0.0407738,0.0153688,0,0,0,0,0,0,0,0,0.0465151,0
852,0.0573815,0.0638511,0,0,0,0,0,0,0.0358081,0,0.019305,0.0729754,0,0,0.0170216,0,0,0.0353187,0.0747382,0.0205429,0.0106851,0.0135825,0.022055,0.0229215,0.0207208,0.0347856,0.0471099,0.0294234,0.0149218,0.0142086,0.0228316,0.0245281,0.0100955,0.0128265,0.0104407,0.0246521,0.0444636,0,0.0102672,0.0596388,0.0407067,0,0,0.0113073,0,0,0.0402677,0.0599035,0.0291403,0.027918,0.0130305,0.0453082,0.0338742,0.0352474,0.122895,0.0415055,0.0318541,0.0692168,0.0523799,0.0851693,0.0163076,0.0214465,0.0128498,0.0221354,0.0406933,0.0154574,0,0,0,0,0,0,0,0,0.0465189,0
853,0.0574177,0.0637574,0,0,0,0,0,0,0.0358771,0,0.0193375,0.0730143,0,0,0.0169292,0,0,0.0353092,0.074736,0.0205513,0.0107235,0.0135949,0.0220025,0.0227121,0.020671,0.0347997,0.047112,0.0294412,0.0153993,0.014206,0.0226983,0.0243302,0.0100328,0.0128948,0.0103785,0.0246516,0.0443374,0,0.0103302,0.0596128,0.0408312,0,0,0.0112551,0,0,0.0402748,0.0599429,0.0291972,0.0278403,0.0130795,0.0452147,0.0338244,0.0352057,0.122898,0.0415007,0.0318823,0.0692118,0.052387,0.0851658,0.0162941,0.0213916,0.0128509,0.022118,0.040612,0.0155727,0,0,0,0,0,0,0,0,0.0465053,0
854,0.0576483,0.0628012,0,0,0,0,0,0,0.0357991,0,0.0194288,0.0730286,0,0,0.016682,0,0,0.0354725,0.0747107,0.0203223,0.0106738,0.0135506,0.0220723,0.0237867,0.0206345,0.034797,0.0471361,0.029469,0.015564,0.0143257,0.0227499,0.02424,0.0101764,0.0135355,0.0105567,0.0246293,0.0441807,0,0.0104499,0.0595504,0.0414834,0,0,0.0113299,0,0,0.0403123,0.0599308,0.0293511,0.0278521,0.0130799,0.0452455,0.0339433,0.035213,0.12291,0.0415426,0.03188,0.0691486,0.0523648,0.085113,0.0163101,0.0208307,0.0128124,0.0222165,0.0398959,0.0158307,0,0,0,0,0,0,0,0,0.046458,0
855,0.057281,0.0636339,0,0,0,0,0,0,0.0357434,0,0.0194786,0.073165,0,0,0.0166704,0,0,0.0353415,0.0747732,0.0203353,0.0107282,0.0135618,0.0218316,0.0225067,0.0206026,0.0347382,0.0470766,0.0295102,0.0156247,0.0143921,0.022666,0.0241077,0.0101988,0.0131557,0.0103358,0.0246391,0.0441658,0,0.01047,0.0596095,0.0411341,0,0,0.0113054,0,0,0.0401855,0.0600124,0.0294581,0.0277639,0.0131633,0.0450575,0.0337298,0.035142,0.122901,0.041488,0.0319159,0.069165,0.0524114,0.0851156,0.0163697,0.0208874,0.0127149,0.0221525,0.0404367,0.0156099,0,0,0,0,0,0,0,0,0.046525,0
856,0.0571242,0.0637373,0,0,0,0,0,0,0.0355449,0,0.0195219,0.0732535,0,0,0.016647,0,0,0.0353231,0.0748151,0.0203575,0.0107992,0.0135239,0.0216626,0.0223249,0.0205697,0.0347501,0.0470272,0.0295233,0.0153911,0.0144181,0.0226072,0.0240567,0.0103368,0.0132336,0.010304,0.0246255,0.0441456,0,0.0104408,0.0597347,0.0412383,0,0,0.0112646,0,0,0.040143,0.0600718,0.0295632,0.0277983,0.013194,0.0450394,0.0337169,0.0351405,0.122888,0.0414857,0.0319153,0.0691454,0.0524112,0.0850798,0.0164046,0.0205249,0.0126678,0.0221569,0.0404444,0.0155327,0,0,0,0,0,0,0,0,0.0465383,0
857,0.0570946,0.0636586,0,0,0,0,0,0,0.0353472,0,0.0194993,0.0732733,0,0,0.016569,0,0,0.0353031,0.0748475,0.0204807,0.0108349,0.0135022,0.0216084,0.022151,0.0205303,0.0348304,0.0470035,0.0295313,0.015154,0.0144688,0.0225318,0.0239972,0.0104857,0.0133141,0.0103086,0.0246166,0.0440739,0,0.0104214,0.0597954,0.0412776,0,0,0.0112655,0,0,0.0401281,0.0600892,0.029609,0.0277755,0.0132382,0.0450097,0.0336645,0.0351244,0.122877,0.0415126,0.0318622,0.0691155,0.0523756,0.0850557,0.0164013,0.0205088,0.0126337,0.0221508,0.040367,0.0156741,0,0,0,0,0,0,0,0,0.0465531,0
858,0.0570795,0.0635935,0,0,0,0,0,0,0.0353348,0,0.0194502,0.0732975,0,0,0.016511,0,0,0.0352883,0.0748719,0.0205894,0.0108693,0.0135073,0.0215575,0.0219732,0.020507,0.034845,0.0469728,0.0295461,0.0150431,0.0144798,0.0224524,0.0239402,0.0105066,0.0134001,0.0102646,0.0246111,0.0439469,0,0.010433,0.0598042,0.0413308,0,0,0.0113723,0,0,0.0401385,0.0601029,0.029649,0.0277513,0.0132402,0.0449745,0.0336764,0.0351045,0.122877,0.0415397,0.0318086,0.0690822,0.0523534,0.0850255,0.0163938,0.0204695,0.0126572,0.0221141,0.040311,0.0157988,0,0,0,0,0,0,0,0,0.0466099,0
859,0.0570762,0.0635288,0,0,0,0,0,0,0.0354614,0,0.0194154,0.0733417,0,0,0.0165006,0,0,0.0352863,0.0748829,0.02068,0.0109197,0.0135101,0.0214885,0.0217539,0.0205566,0.0348091,0.0469498,0.0295662,0.015004,0.0144998,0.0223658,0.0238623,0.010475,0.0134748,0.0102281,0.0246097,0.0437853,0,0.0104435,0.0598056,0.0414153,0,0,0.0114269,0,0,0.040245,0.0601292,0.0296974,0.0277498,0.01322,0.0449404,0.033699,0.0350896,0.122895,0.0415401,0.0317448,0.0690482,0.0523563,0.0849949,0.0164147,0.0204483,0.0125875,0.0221365,0.0402379,0.0158986,0,0,0,0,0,0,0,0,0.0467513,0
