Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74,x75
925,0.0517044,0.0510672,0,0,0,0,0,0,0.0334093,0,0.0196098,0.0706299,0,0,0.0196546,0,0,0.0343331,0.072327,0.0186126,0.00909257,0.0120279,0.0268952,0.0313681,0.022517,0.0362986,0.0491549,0.0311061,0.0142343,0.0124532,0.0222393,0.0237921,0.012735,0.0146025,0.0108938,0.0183225,0.0481479,0,0.0117077,0.0613918,0.0486491,0,0,0.0198881,0,0,0.0398468,0.059108,0.0275682,0.029488,0.0122059,0.0464489,0.0543034,0.0369561,0.124291,0.0415165,0.0329243,0.0711676,0.0485377,0.0536695,0.0868111,0.0185983,0.0169421,0.0092096,0.0227456,0.0306134,0.0265769,0,0,0,0,0,0,0,0,0
926,0.0516926,0.0511949,0,0,0,0,0,0,0.0333045,0,0.0195537,0.0704988,0,0,0.0196364,0,0,0.0342919,0.072301,0.0186821,0.00896418,0.0120355,0.0270822,0.0313309,0.0225217,0.0364062,0.0491899,0.0310304,0.0142314,0.0123127,0.0223372,0.0239098,0.012794,0.0145776,0.0107777,0.0182544,0.0483828,0,0.0116701,0.0614136,0.0486697,0,0,0.019957,0,0,0.039902,0.0591005,0.0275974,0.0294407,0.0122002,0.0464855,0.0544575,0.0369333,0.124286,0.0415047,0.0329595,0.0711497,0.0484968,0.0537091,0.0867865,0.0187172,0.0173005,0.00910207,0.0228942,0.0307006,0.026473,0,0,0,0,0,0,0,0,0
927,0.0517042,0.0513158,0,0,0,0,0,0,0.0332919,0,0.0194977,0.0703614,0,0,0.0195581,0,0,0.0343322,0.0722531,0.018746,0.00883178,0.0119898,0.0272548,0.0312879,0.0225682,0.0364726,0.0492395,0.0309555,0.0142011,0.0122727,0.0223981,0.02404,0.0127842,0.0146186,0.0106643,0.0182186,0.0486333,0,0.0116369,0.0614626,0.0486656,0,0,0.020107,0,0,0.039909,0.0591025,0.0276178,0.0293778,0.012151,0.0465372,0.0545825,0.0369074,0.124209,0.0414932,0.0329615,0.0711358,0.0484533,0.0536811,0.0867727,0.018832,0.017659,0.00895623,0.0230208,0.0308112,0.0263381,0,0,0,0,0,0,0,0,0
928,0.0517485,0.05147,0,0,0,0,0,0,0.033251,0,0.0194837,0.0702026,0,0,0.0194147,0,0,0.0345187,0.0722239,0.0186749,0.0086716,0.0118977,0.0274719,0.0311807,0.0226315,0.0365357,0.0492844,0.0309954,0.01416,0.012363,0.0223774,0.0241435,0.0128106,0.0147095,0.0104866,0.0184126,0.0488422,0,0.0116307,0.0614696,0.0486282,0,0,0.0206248,0,0,0.0396733,0.059118,0.0276262,0.0293391,0.0120616,0.0467101,0.0547682,0.0368995,0.124148,0.0414729,0.0328796,0.0711499,0.0484209,0.0536721,0.0867768,0.018905,0.0178355,0.00898546,0.0230086,0.0309476,0.0261925,0,0,0,0,0,0,0,0,0
929,0.0517802,0.0515962,0,0,0,0,0,0,0.0331233,0,0.01949,0.0700981,0,0,0.0193627,0,0,0.0347533,0.0721749,0.0185176,0.00855063,0.0118369,0.0276783,0.0312014,0.0227538,0.0366558,0.0493471,0.0310607,0.0141097,0.0122874,0.0223444,0.0241434,0.0129495,0.0147572,0.010447,0.018422,0.049039,0,0.0116239,0.0614824,0.0485906,0,0,0.0207356,0,0,0.0396201,0.0591258,0.0276126,0.0292193,0.0119912,0.0468482,0.0549213,0.0368993,0.124121,0.0414633,0.0328119,0.0711774,0.0483932,0.0536781,0.0868004,0.0189968,0.0181127,0.00889511,0.0231347,0.0310649,0.0260554,0,0,0,0,0,0,0,0,0
930,0.0517856,0.0516861,0,0,0,0,0,0,0.0330214,0,0.0195037,0.0699838,0,0,0.0192879,0,0,0.0348486,0.0721066,0.0185095,0.00841056,0.0117743,0.0279151,0.0312357,0.0228762,0.0368109,0.0494001,0.0311142,0.0140684,0.0120687,0.0223195,0.0241602,0.0131402,0.0147847,0.0104225,0.0184081,0.0492447,0,0.0116117,0.0614803,0.0485621,0,0,0.020836,0,0,0.0396635,0.0591263,0.0276346,0.0291674,0.0119323,0.0469557,0.0550841,0.0368672,0.124145,0.0414435,0.0328101,0.0711752,0.0483535,0.0537159,0.086779,0.0191055,0.0183232,0.0087967,0.0232814,0.0311496,0.0259272,0,0,0,0,0,0,0,0,0
931,0.0517387,0.0517647,0,0,0,0,0,0,0.0329492,0,0.0195349,0.0698693,0,0,0.0192582,0,0,0.0348783,0.0720576,0.0185601,0.00827862,0.0117623,0.0281546,0.0312632,0.0229994,0.0368729,0.0494394,0.0311474,0.0140405,0.0119424,0.0223412,0.024173,0.013256,0.0147347,0.0103738,0.0183804,0.0494783,0,0.0115925,0.0613854,0.0485691,0,0,0.0209256,0,0,0.0397644,0.0591112,0.0276573,0.0291773,0.0118983,0.0470132,0.0552348,0.0368563,0.124155,0.0414337,0.0328256,0.0711631,0.0482961,0.0537591,0.086731,0.0192344,0.0184087,0.00874179,0.0233897,0.0312047,0.0258327,0,0,0,0,0,0,0,0,0
932,0.0516676,0.0518323,0,0,0,0,0,0,0.0329352,0,0.0195694,0.0697596,0,0,0.0192597,0,0,0.0347949,0.0720281,0.0186064,0.0081544,0.011756,0.0283478,0.0312876,0.0231072,0.0368452,0.0494576,0.0311759,0.0140326,0.0119641,0.0224492,0.0242199,0.0132551,0.014612,0.0102859,0.0182918,0.0497385,0,0.0115663,0.0612594,0.0486285,0,0,0.0210166,0,0,0.0398864,0.0590882,0.0276541,0.0292319,0.0118817,0.0470265,0.0553353,0.0368579,0.124128,0.0414398,0.0328768,0.0711506,0.0482403,0.0537757,0.0867829,0.019363,0.0183462,0.00872224,0.0234546,0.031237,0.0257694,0,0,0,0,0,0,0,0,0
933,0.0515891,0.0518797,0,0,0,0,0,0,0.0328771,0,0.0196155,0.0696866,0,0,0.0192861,0,0,0.0346621,0.0720183,0.0186133,0.00807826,0.0117254,0.0284961,0.0312682,0.0231097,0.0368648,0.0494565,0.0311565,0.0140441,0.0121354,0.0225109,0.0242662,0.0132386,0.0144776,0.0102107,0.0181803,0.0499828,0,0.0115349,0.0612169,0.0487348,0,0,0.0211318,0,0,0.0400447,0.0590733,0.0276351,0.0292199,0.0118663,0.0470205,0.0554162,0.0368528,0.124117,0.041465,0.0329098,0.0711407,0.0481847,0.0538061,0.086859,0.0194753,0.0181562,0.00868378,0.0235085,0.0312709,0.0257097,0,0,0,0,0,0,0,0,0
934,0.0515319,0.051912,0,0,0,0,0,0,0.0328114,0,0.0196224,0.0696167,0,0,0.019332,0,0,0.0345908,0.0720245,0.018672,0.00799213,0.0117149,0.0285982,0.0312125,0.0230757,0.0368801,0.0494614,0.0311252,0.0140884,0.0122283,0.0225669,0.0243239,0.0132207,0.0143356,0.0101693,0.0180635,0.050232,0,0.0115202,0.0612187,0.048879,0,0,0.0213166,0,0,0.0401712,0.059094,0.0276446,0.0291553,0.0118327,0.0469953,0.0555036,0.03685,0.124114,0.0414825,0.0328958,0.0711556,0.0481117,0.0538709,0.0869119,0.0195939,0.0179662,0.00850422,0.02354,0.0313049,0.0256376,0,0,0,0,0,0,0,0,0
