Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,LBL,x77
103,0.0310883,0.0611664,0,0,0,0.0428907,0,0.0245916,0.0693157,0,0,0,0.0199885,0,0,0.0423523,0.0588967,0.025722,0.0395797,0.0294573,0,0,0.0564293,0.0396296,0.0278215,0.0502189,0.0566667,0.0271756,0.0597837,0.0641422,0.0369768,0.0338914,0,0.0100209,0,0.0340532,0.0132422,0.0134809,0.0258815,0,0.0247853,0.0464122,0.0404976,0,0,0.0208506,0,0,0.022189,0.0758158,0.0315019,0.0183691,0.030941,0.0605749,0.0285357,0.0375917,0.0546278,0.071449,0.0619642,0.0331658,0.0205399,0.010109,0.0406251,0.030587,0.0340374,0.010808,0.00722588,0.0567423,0.0469371,0,0,0,0,0,0,0,0,0
104,0.031274,0.0612244,0,0,0,0.0432948,0,0.024831,0.0688735,0,0,0,0.0198856,0,0,0.0424239,0.0592602,0.0258081,0.0395931,0.0297749,0,0,0.0561621,0.0394356,0.0276677,0.0497202,0.056286,0.0269826,0.0599665,0.0643455,0.0369586,0.0340888,0,0.0105514,0,0.0340339,0.0133958,0.0132658,0.0298664,0,0.0251533,0.047049,0.0407435,0,0,0.0206692,0,0,0.022202,0.0753795,0.0298288,0.0188032,0.0319336,0.0603544,0.0280786,0.0382569,0.0532652,0.0708573,0.062591,0.0340818,0.0213682,0.0110951,0.0417929,0.024077,0.0341876,0.0108676,0.00707847,0.0568857,0.0466483,0,0,0,0,0,0,0,0,0
105,0.0313928,0.0612873,0,0,0,0.0438882,0,0.0251535,0.0682066,0,0,0,0.0197806,0,0,0.0422655,0.0595734,0.0256884,0.0394799,0.030004,0,0,0.0557438,0.0391099,0.0275706,0.0492691,0.0558582,0.0267554,0.0602663,0.0646307,0.0372139,0.0342445,0,0.0111872,0,0.0340485,0.0132235,0.0132912,0.0327894,0,0.0262142,0.0477655,0.0409954,0,0,0.0204414,0,0,0.0221666,0.0747941,0.0289333,0.019597,0.032816,0.0600822,0.0275526,0.0392288,0.0515411,0.0703669,0.0633191,0.0350612,0.0223216,0.0123883,0.0429634,0.0196078,0.0344716,0.0107316,0.00689415,0.0568885,0.0463137,0,0,0,0,0,0,0,0,0
106,0.0314149,0.0613793,0,0,0,0.0449389,0,0.0253836,0.0676677,0,0,0,0.0196869,0,0,0.0422574,0.0598638,0.0254614,0.0393695,0.0300788,0,0,0.0553411,0.0389151,0.0274633,0.0488393,0.0554813,0.0264949,0.0606215,0.0649034,0.0375415,0.0346405,0,0.0122321,0,0.0340825,0.013482,0.0129604,0.0349073,0,0.0274384,0.0484851,0.0412305,0,0,0.0201922,0,0,0.0221772,0.0741563,0.0285704,0.0206034,0.0336525,0.0599132,0.0269975,0.0402346,0.049927,0.0700465,0.0640283,0.0359567,0.0233265,0.0138027,0.0440321,0.0168597,0.0348357,0.0105972,0.00671126,0.0569432,0.0459934,0,0,0,0,0,0,0,0,0
107,0.0313541,0.061439,0,0,0,0.046258,0,0.0254295,0.0673138,0,0,0,0.019592,0,0,0.0422556,0.0601547,0.0250447,0.0392213,0.0300178,0,0,0.0549553,0.0385774,0.027345,0.0484658,0.0552739,0.0263111,0.0609417,0.0651955,0.0375953,0.035038,0,0.013627,0,0.0341347,0.0135963,0.0128086,0.0356837,0,0.0287266,0.0491577,0.0414465,0,0,0.0199378,0,0,0.0222489,0.073533,0.0291035,0.0216891,0.0341424,0.0597836,0.0265418,0.0411923,0.0485636,0.0698576,0.0646693,0.0367854,0.0242544,0.0151288,0.0449579,0.016113,0.0351366,0.0105704,0.00653381,0.057042,0.0457629,0,0,0,0,0,0,0,0,0
108,0.0312484,0.0615535,0,0,0,0.0472768,0,0.0253373,0.06719,0,0,0,0.0194906,0,0,0.0422297,0.0604074,0.0247007,0.039082,0.0299252,0,0,0.0545149,0.0384112,0.0272386,0.0482025,0.0551919,0.0261945,0.0610938,0.0654338,0.0376739,0.0353115,0,0.0147154,0,0.03412,0.0136714,0.0126836,0.0360603,0,0.029629,0.0496714,0.0416124,0,0,0.0196956,0,0,0.0222808,0.0731494,0.0299205,0.0223486,0.0345476,0.0596555,0.0262221,0.0420193,0.047662,0.0697553,0.0652418,0.0375126,0.0249879,0.0161442,0.0456075,0.0161035,0.0352997,0.0105132,0.00641648,0.0571885,0.0455865,0,0,0,0,0,0,0,0,0
109,0.0311832,0.0616802,0,0,0,0.0486241,0,0.0250674,0.0672952,0,0,0,0.019376,0,0,0.0420543,0.060579,0.0242706,0.0389089,0.0296714,0,0,0.054054,0.0383531,0.0271648,0.0481282,0.0549011,0.0261718,0.0612197,0.0656405,0.0377777,0.035529,0,0.0160963,0,0.0340288,0.0136336,0.0125973,0.0355549,0,0.0305304,0.0501725,0.0417059,0,0,0.019471,0,0,0.0223323,0.073001,0.0314122,0.0228001,0.0344716,0.0595807,0.0259279,0.0424207,0.0468669,0.0695712,0.0655907,0.0380019,0.0252807,0.0167873,0.0459155,0.0174991,0.0353545,0.0105051,0.00634123,0.0572659,0.04547,0,0,0,0,0,0,0,0,0
110,0.0311915,0.0617623,0,0,0,0.0501663,0,0.0246139,0.0673337,0,0,0,0.0192968,0,0,0.0418641,0.0607233,0.0237549,0.0385545,0.0292857,0,0,0.0536013,0.0379933,0.0271023,0.0482039,0.0547122,0.026219,0.0614199,0.0658105,0.0376689,0.0357425,0,0.017573,0,0.0339375,0.0135614,0.0125245,0.0349394,0,0.031043,0.0506295,0.0417667,0,0,0.0193817,0,0,0.0223885,0.0730574,0.0328379,0.023084,0.0342514,0.0595639,0.025672,0.0423165,0.0462407,0.0692024,0.0655582,0.0383038,0.0250979,0.0169938,0.0459263,0.0192047,0.0355165,0.0104689,0.00630038,0.0572948,0.0454038,0,0,0,0,0,0,0,0,0
111,0.0311713,0.0618634,0,0,0,0.0516911,0,0.0239633,0.0675041,0,0,0,0.0192742,0,0,0.0418544,0.0608415,0.0231193,0.0380295,0.0288438,0,0,0.0531742,0.0377192,0.0270256,0.0484124,0.0546969,0.0262953,0.0614,0.0659703,0.0373953,0.0358791,0,0.0190426,0,0.0338401,0.0135502,0.0124968,0.0344894,0,0.0309921,0.0509875,0.0417963,0,0,0.0193462,0,0,0.0224427,0.0732338,0.0335587,0.023305,0.0340165,0.059629,0.0255997,0.0416492,0.0459901,0.0686957,0.065167,0.0383149,0.024568,0.0167717,0.045806,0.0206219,0.0356143,0.0104822,0.00630406,0.0572988,0.0453203,0,0,0,0,0,0,0,0,0
112,0.0311148,0.0619873,0,0,0,0.0530761,0,0.0231264,0.0678277,0,0,0,0.0192624,0,0,0.041882,0.0608386,0.0225676,0.037367,0.0283499,0,0,0.0527708,0.0376391,0.0269302,0.0487337,0.0547659,0.0263657,0.0613367,0.0660137,0.0372268,0.0358619,0,0.020403,0,0.0337132,0.0135661,0.012478,0.0339858,0,0.0305259,0.0511611,0.0418096,0,0,0.0193201,0,0,0.0224878,0.0734904,0.0331273,0.0234591,0.0337775,0.0597542,0.0256918,0.0405559,0.0462305,0.0681836,0.0644225,0.0379725,0.0238809,0.0160526,0.0454906,0.0214216,0.0356129,0.0105612,0.00633471,0.0572936,0.045248,0,0,0,0,0,0,0,0,0
