Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x75,x76,x78,x73,x77
40,0.033581,0.0593644,0,0,0,0.035162,0,0.0146488,0.0357766,0,0,0,0,0.0188729,0,0,0.04393,0.0605055,0.0541209,0.0284385,0.0296951,0,0,0.0614365,0.0419715,0.0446282,0.0678782,0.0651737,0.0263581,0.0631075,0.062855,0.0324461,0.0471623,0,0.0613907,0,0.0379602,0.014264,0.0145373,0.0125609,0,0.0298165,0.0499222,0.0407259,0,0,0.025467,0,0,0.0226622,0.0725744,0.00403574,0.0247658,0.0341787,0.0553204,0.0400322,0.0316563,0.0425174,0.0650749,0.0567169,0.0310198,0.0292308,0.0161183,0.0381733,0.0276388,0.0308053,0.0114023,0.0137607,0.0577008,0.0518621,0,0,0,0,0,0,0,0,0
41,0.0334038,0.0593196,0,0,0,0.0350859,0,0.0151504,0.0355902,0,0,0,0,0.0189462,0,0,0.0440543,0.0604836,0.055372,0.0293939,0.0297297,0,0,0.0620254,0.0421689,0.0457541,0.0686773,0.0653588,0.0266138,0.0635619,0.0632841,0.03273,0.0474563,0,0.0637231,0,0.0381901,0.0147101,0.0143231,0.0134346,0,0.0298453,0.0506672,0.0407839,0,0,0.0256419,0,0,0.0225783,0.0725607,0.00415816,0.0246323,0.0335638,0.0550212,0.0401716,0.0319595,0.0424399,0.065164,0.0570812,0.0309513,0.0292691,0.0163296,0.0382112,0.0262901,0.0308323,0.0113888,0.0137269,0.0580136,0.0516288,0,0,0,0,0,0,0,0,0
42,0.0333155,0.0592774,0,0,0,0.0350507,0,0.0155516,0.0356281,0,0,0,0,0.0190525,0,0,0.0442557,0.0604597,0.0565999,0.0304644,0.0297598,0,0,0.0625887,0.0423145,0.0464677,0.0697729,0.0655315,0.0270874,0.0642017,0.0639022,0.0331707,0.0478603,0,0.0658492,0,0.0384077,0.0152962,0.0140574,0.0142259,0,0.029942,0.0513634,0.0408109,0,0,0.0256578,0,0,0.0225206,0.0725486,0.00439816,0.0245023,0.0330869,0.0545874,0.0402251,0.0321798,0.0423642,0.0652321,0.0574113,0.0308934,0.0293812,0.0164968,0.0383577,0.0251614,0.0308702,0.0113436,0.0136049,0.0584332,0.0514289,0,0,0,0,0,0,0,0,0
43,0.0337585,0.0588563,0,0,0,0.0352011,0,0.0157781,0.0357067,0,0,0,0,0.0140693,0,0,0.0351295,0.0603969,0.0576766,0.0317332,0.0295736,0,0,0.0633007,0.0391261,0.0473222,0.0708257,0.0657548,0.0277051,0.0648452,0.0646176,0.0338808,0.0482955,0,0.0676374,0,0.0384742,0,0.0217766,0.014847,0,0.0300779,0.0521823,0.0407419,0,0,0.0261849,0,0,0.022423,0.0725658,0.00466976,0.0244653,0.032603,0.0543713,0.0401528,0.0324298,0.0422158,0.0653019,0.057806,0.0310384,0.0294831,0.0165988,0.0384536,0.0242449,0.0304175,0.0113342,0.0135656,0.0583453,0.051338,0,0,0,0,0,0,0,0,0
44,0.033252,0.0594175,0,0,0,0.0355191,0,0.0157777,0.0357711,0,0,0,0,0.0192952,0,0,0.0440288,0.0605311,0.0581614,0.0324133,0.0295096,0,0,0.0634898,0.0424154,0.0481929,0.0715689,0.0658171,0.02811,0.0656554,0.0654772,0.034692,0.0488307,0,0.0690108,0,0.0385713,0.0155659,0.013495,0.0155992,0,0.0300899,0.0532851,0.0408198,0,0,0.0257017,0,0,0.022278,0.0727064,0.0047895,0.0244643,0.0323113,0.0538535,0.0402712,0.0325939,0.0419826,0.0652551,0.0580814,0.0314497,0.0296133,0.0167648,0.0385031,0.0231587,0.0311483,0.0112827,0.0132859,0.0591432,0.0509992,0,0,0,0,0,0,0,0,0
45,0.033627,0.0590763,0,0,0,0.0356547,0,0.0157279,0.0357699,0,0,0,0,0.0139839,0,0,0.0349154,0.0606199,0.058385,0.0329707,0.0292917,0,0,0.0641311,0.0391198,0.0490436,0.0724776,0.0659456,0.0286579,0.0664377,0.0664121,0.0355018,0.0492941,0,0.0700233,0,0.0386419,0,0.0216137,0.0161162,0,0.0300221,0.0542711,0.0407451,0,0,0.0258803,0,0,0.0223262,0.0728045,0.00497579,0.0244655,0.0319337,0.0538222,0.0400349,0.0328163,0.0417413,0.0653059,0.058406,0.0316711,0.0296385,0.0168164,0.0384713,0.0222814,0.0308408,0.0113171,0.0133249,0.0588706,0.0509394,0,0,0,0,0,0,0,0,0
46,0.0329965,0.0597149,0,0,0,0.0355771,0,0.0155482,0.035975,0,0,0,0,0.01915,0,0,0.0435025,0.0607734,0.0584762,0.0334972,0.0291697,0,0,0.0641657,0.0422904,0.0496326,0.0733043,0.0660478,0.0290364,0.0671708,0.0673585,0.0363081,0.0496922,0,0.0705469,0,0.0388882,0.0151003,0.0134582,0.0166954,0,0.0300833,0.0551791,0.0408008,0,0,0.0253426,0,0,0.0222337,0.0730277,0.00506143,0.0243738,0.0315473,0.0533046,0.0400272,0.032856,0.0413584,0.0651326,0.0586318,0.0314025,0.0296981,0.0169016,0.0385557,0.0214514,0.031586,0.0112015,0.0130354,0.059569,0.0505944,0,0,0,0,0,0,0,0,0
47,0.0334435,0.0594207,0,0,0,0.0354088,0,0.0155753,0.0362821,0,0,0,0,0.0138541,0,0,0.0349171,0.0608461,0.0582484,0.0343598,0.0287977,0,0,0.0646183,0.039262,0.0503003,0.0740804,0.0663042,0.0296568,0.0677202,0.0681271,0.0370072,0.0498163,0,0.0705315,0,0.0391264,0,0.0216005,0.0172145,0,0.0301395,0.055833,0.0406999,0,0,0.0255367,0,0,0.0223533,0.073153,0.00519888,0.0243385,0.0311239,0.0532285,0.0395979,0.0329012,0.0409746,0.0651213,0.0588455,0.0311409,0.0297132,0.0170189,0.0385602,0.0207552,0.031272,0.0111829,0.0130653,0.0594531,0.0505605,0,0,0,0,0,0,0,0,0
48,0.0333208,0.0596345,0,0,0,0.0350881,0,0.015649,0.0365429,0,0,0,0,0.0137764,0,0,0.0349036,0.0610766,0.0577439,0.0348803,0.0284201,0,0,0.0647548,0.0392751,0.0508973,0.0749273,0.0664025,0.030297,0.0680884,0.0687803,0.0374902,0.0496771,0,0.0699548,0,0.0393024,0,0.0215653,0.0178319,0,0.0301443,0.0563133,0.0406917,0,0,0.025487,0,0,0.0223415,0.0732129,0.00528576,0.0243528,0.0308167,0.0529272,0.0393413,0.0329534,0.0406124,0.0650369,0.0589146,0.0311991,0.0298716,0.0171262,0.038588,0.0198805,0.0314283,0.0110894,0.0128999,0.0595533,0.0503972,0,0,0,0,0,0,0,0,0
49,0.0327852,0.0602556,0,0,0,0.0342404,0,0.0157863,0.0372554,0,0,0,0,0.0190074,0,0,0.0433518,0.06113,0.0564911,0.0355294,0.0278196,0,0,0.0645363,0.0424018,0.0513644,0.0756816,0.0665264,0.0309216,0.0682757,0.0693155,0.0379475,0.0491933,0,0.0686354,0,0.0394169,0.0151208,0.0132809,0.018297,0,0.030224,0.0569106,0.0407403,0,0,0.0249094,0,0,0.0223071,0.0734399,0.00526761,0.0242999,0.0304917,0.0522693,0.0392355,0.0330361,0.0400993,0.0647584,0.0590238,0.0307699,0.0301838,0.017273,0.0386709,0.0193359,0.0321097,0.0110029,0.0126678,0.0599043,0.0500994,0,0,0,0,0,0,0,0,0
50,0.0332062,0.0599947,0,0,0,0.0332154,0,0.0160191,0.0377692,0,0,0,0,0.0137294,0,0,0.0348553,0.0610101,0.0550659,0.0362729,0.027039,0,0,0.0647642,0.0392213,0.0519649,0.0763839,0.066779,0.0314918,0.0682244,0.0696353,0.0382646,0.0485149,0,0.066622,0,0.0395143,0,0.0215314,0.0188361,0,0.0302537,0.0570699,0.0406285,0,0,0.0250917,0,0,0.0223954,0.0735878,0.00525668,0.0243357,0.0302731,0.0521272,0.0387868,0.0330881,0.0397124,0.0644074,0.0591049,0.030498,0.0300718,0.0172265,0.0387433,0.0187259,0.0316914,0.0109768,0.0127116,0.059469,0.0500401,0,0,0,0,0,0,0,0,0
51,0.0326725,0.0606383,0,0,0,0.0319543,0,0.0163658,0.0385327,0,0,0,0,0.0189444,0,0,0.0432011,0.0609164,0.0533451,0.0368648,0.0263148,0,0,0.0644293,0.0421697,0.0524798,0.0768375,0.0669481,0.0318164,0.0681542,0.0699791,0.0386507,0.0477668,0,0.0635856,0,0.0396488,0.0150373,0.0132093,0.0193183,0,0.0303597,0.0573025,0.0406488,0,0,0.0245604,0,0,0.0223158,0.0738521,0.00509347,0.02441,0.0303257,0.0515304,0.0386795,0.0330884,0.0391822,0.0641022,0.0591108,0.0306991,0.0299691,0.0172427,0.0389221,0.0180821,0.0322797,0.0108475,0.0124084,0.0596228,0.049714,0,0,0,0,0,0,0,0,0
52,0.0325761,0.0608997,0,0,0,0.0309379,0,0.0167547,0.0391174,0,0,0,0,0.0188573,0,0,0.0431542,0.060932,0.0515827,0.0368409,0.0255547,0,0,0.064369,0.0419104,0.0527588,0.0773179,0.066976,0.0320081,0.0681293,0.0703915,0.0390609,0.0470037,0,0.0596031,0,0.0397839,0.0150146,0.0133205,0.0198126,0,0.0304223,0.0574981,0.0406506,0,0,0.0244322,0,0,0.0222298,0.0739865,0.00500322,0.0245706,0.0305205,0.051335,0.0383258,0.0331374,0.038769,0.0639453,0.0591245,0.0315139,0.0300554,0.0174528,0.0390078,0.0174399,0.0324177,0.0107309,0.0122612,0.0588919,0.0495315,0,0,0,0,0,0,0,0,0
53,0.0325245,0.0611181,0,0,0,0.0299966,0,0.0172097,0.0400346,0,0,0,0,0.018812,0,0,0.0431052,0.0608168,0.0495423,0.0370408,0.0246405,0,0,0.0642539,0.0416662,0.0528685,0.077806,0.0669623,0.0322945,0.0681576,0.0709031,0.0396523,0.0461825,0,0.0546744,0,0.0398716,0.0151203,0.0132588,0.0202986,0,0.0306248,0.0576331,0.0406573,0,0,0.0242914,0,0,0.0221609,0.0741778,0.00480846,0.0246692,0.0307162,0.0511795,0.0378797,0.0332801,0.0383562,0.0637656,0.0591656,0.0320195,0.0302518,0.0175234,0.0391014,0.0169076,0.0326071,0.0106672,0.0120802,0.0586229,0.0494212,0,0,0,0,0,0,0,0,0
