Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x76,x77,LTHI,RANK,x75,LBL,
58,0.0322785,0.0601215,0,0,0,0.0433127,0,0.0222058,0.0709973,0,0,0,0.023859,0,0,0.041217,0.0556638,0.0227471,0.0394334,0.0291458,0,0,0.0562541,0.040186,0.0498211,0.0570061,0.0274217,0.0613024,0.0659165,0.0385276,0.0361249,0,0.00890652,0,0.0325322,0.013322,0.0147422,0.0218916,0,0.0430274,0.0421273,0,0,0.0188711,0,0,0.0235897,0.0777717,0.041723,0.0203117,0.0347913,0.0610698,0.0304845,0.0362632,0.0619894,0.0760276,0.0586141,0.0282788,0.0195587,0.0056903,0.0633999,0.0382358,0.00970163,0.00700154,0.0532656,0.0533549,0,0,0,0,0,0,0,0.027375,0.0280882,0,0,0
59,0.032265,0.0600036,0,0,0,0.0420999,0,0.0228906,0.0713889,0,0,0,0.0240516,0,0,0.0411662,0.0563107,0.0231858,0.0392911,0.0292687,0,0,0.0559366,0.0402467,0.0494145,0.0569792,0.0275033,0.0607626,0.0653884,0.0379943,0.035658,0,0.00787185,0,0.0322101,0.0131696,0.0149024,0.021468,0,0.0432483,0.0421971,0,0,0.0191326,0,0,0.0234569,0.0780014,0.0409189,0.0204653,0.0343252,0.0611385,0.0304614,0.0363306,0.0623918,0.0757752,0.0588082,0.0282923,0.0199786,0.00541073,0.0627659,0.0381373,0.00957368,0.00677262,0.0529488,0.0533604,0,0,0,0,0,0,0,0.0269748,0.0276588,0,0,0
60,0.0322983,0.0598948,0,0,0,0.0416532,0,0.0231857,0.0714208,0,0,0,0.0242088,0,0,0.0410942,0.0568418,0.0228879,0.0392303,0.0291511,0,0,0.0557556,0.0403217,0.0491407,0.0568728,0.0275627,0.0605543,0.0651887,0.0377027,0.035593,0,0.00765395,0,0.0320075,0.013073,0.0148996,0.0203874,0,0.043484,0.0421752,0,0,0.0192208,0,0,0.0233662,0.0781349,0.0392916,0.0203468,0.0335254,0.061032,0.0303181,0.0362016,0.0624337,0.0752199,0.0589568,0.0283454,0.0204219,0.00517931,0.0606149,0.0380836,0.0095829,0.00670887,0.0526963,0.0533697,0,0,0,0,0,0,0,0.0266258,0.0272109,0,0,0
61,0.0323165,0.0598149,0,0,0,0.0412912,0,0.0234875,0.0713238,0,0,0,0.0242761,0,0,0.0410136,0.057368,0.0223991,0.039235,0.0289992,0,0,0.0555674,0.0402818,0.0489728,0.0567639,0.0275766,0.0603853,0.0650336,0.0375349,0.0354792,0,0.00741185,0,0.0318601,0.0129479,0.0148383,0.0189677,0,0.0438004,0.0421455,0,0,0.0192958,0,0,0.0232772,0.0782024,0.0367092,0.0201439,0.0327052,0.060775,0.0301572,0.035937,0.0620142,0.0743845,0.0590006,0.0286759,0.0206378,0.00489844,0.056812,0.038038,0.00957733,0.00664293,0.0525445,0.0533402,0,0,0,0,0,0,0,0.0263795,0.0269713,0,0,0
62,0.0325482,0.0597424,0,0,0,0.0453547,0,0.0258859,0.0712485,0,0,0,0.0234318,0,0,0.0413671,0.0570767,0.0230726,0.0398382,0.0287732,0,0,0.0559768,0.0405847,0.0503123,0.0570177,0.0273578,0.0590108,0.0638261,0.0362272,0.0340628,0,0.012252,0,0.0322152,0.0126008,0.0146002,0.0194345,0,0.0442325,0.0414292,0,0,0.0199615,0,0,0.0224098,0.0787137,0.0317522,0.0187423,0.0328697,0.0595796,0.0297456,0.0347337,0.0583407,0.0711966,0.0582068,0.0319038,0.016542,0.00533285,0.0589803,0.0381385,0.0101646,0.00640879,0.0524773,0.0536794,0,0,0,0,0,0,0,0.0275313,0.0251396,0,0,0
63,0.0325493,0.0596358,0,0,0,0.0447605,0,0.0261302,0.0710063,0,0,0,0.0235448,0,0,0.0412208,0.0573411,0.0225408,0.0398411,0.0287034,0,0,0.05577,0.0403714,0.0501474,0.056874,0.0273071,0.0590135,0.0638108,0.0362317,0.0340166,0,0.0113527,0,0.0320993,0.0125831,0.0144545,0.0177294,0,0.0447378,0.041566,0,0,0.0199352,0,0,0.0223795,0.0783699,0.028448,0.0187517,0.0326099,0.0593501,0.0295328,0.0345305,0.0574882,0.0704626,0.0581643,0.0325356,0.0172219,0.00629142,0.0513438,0.0381453,0.0101289,0.00635679,0.0523788,0.0534995,0,0,0,0,0,0,0,0.0272899,0.0251414,0,0,0
64,0.0325379,0.0595232,0,0,0,0.0443038,0,0.026291,0.0706655,0,0,0,0.023613,0,0,0.0410502,0.0575898,0.0221032,0.0398295,0.0287025,0,0,0.0555614,0.0402135,0.0500234,0.0567199,0.0271811,0.0591237,0.0638789,0.0363449,0.0340972,0,0.0107468,0,0.0320094,0.0125687,0.0142898,0.0179809,0,0.0453078,0.041715,0,0,0.019903,0,0,0.0223312,0.0778727,0.0251,0.0190216,0.0326613,0.0590548,0.0292643,0.0344477,0.0562238,0.0697136,0.0581593,0.0332179,0.0179439,0.00745915,0.0432827,0.038207,0.010031,0.00627988,0.0522616,0.0532902,0,0,0,0,0,0,0,0.0271617,0.02526,0,0,0
65,0.0325416,0.0593871,0,0,0,0.0440098,0,0.0263907,0.0703714,0,0,0,0.0236629,0,0,0.040832,0.0579247,0.0218855,0.0398075,0.0287407,0,0,0.0552786,0.0399692,0.0499749,0.0565022,0.0269966,0.0593363,0.0640336,0.036592,0.0342989,0,0.0105434,0,0.0319726,0.012517,0.0140967,0.0202328,0,0.0459096,0.0418948,0,0,0.0198464,0,0,0.0222853,0.0773967,0.0222281,0.0192905,0.0329931,0.058748,0.0289614,0.0346176,0.0546408,0.0690188,0.0581476,0.0338177,0.0187628,0.00863469,0.0354038,0.0382954,0.00992032,0.00617825,0.052153,0.0530449,0,0,0,0,0,0,0,0.0270798,0.0248808,0,0,0
66,0.0325608,0.0592435,0,0,0,0.0439275,0,0.0264363,0.0700885,0,0,0,0.0236978,0,0,0.0405934,0.0583559,0.0218282,0.0397534,0.0288158,0,0,0.0548808,0.0396782,0.0498838,0.0562352,0.026753,0.0595551,0.0642072,0.0368542,0.0345276,0,0.0106129,0,0.0319987,0.0124295,0.0139407,0.0236731,0,0.046438,0.0421298,0,0,0.0197751,0,0,0.0222645,0.0769738,0.0195661,0.0189179,0.0333011,0.0584285,0.0287057,0.0347825,0.0529434,0.0683908,0.0582734,0.0344557,0.0196427,0.00993395,0.0282945,0.038369,0.0098468,0.00608876,0.0520911,0.0527884,0,0,0,0,0,0,0,0.0269774,0.0249306,0,0,0
67,0.0326491,0.0590933,0,0,0,0.0448129,0,0.0263175,0.0697653,0,0,0,0.023962,0,0,0.0403705,0.0587651,0.0216468,0.0395895,0.0287404,0,0,0.0544192,0.0394867,0.0497789,0.0559411,0.0265422,0.059812,0.0644664,0.0370653,0.0348183,0,0.0116793,0,0.0320294,0.0127039,0.0132794,0.0269219,0,0.047016,0.0422996,0,0,0.0194823,0,0,0.0223706,0.0765971,0.0172943,0.0190533,0.033314,0.0580429,0.0284147,0.0347022,0.0510203,0.0678132,0.0585197,0.0351594,0.0205823,0.0113326,0.0229264,0.0384833,0.00987835,0.00621826,0.0520871,0.0525385,0,0,0,0,0,0,0,0.0268245,0.0256404,0,0,0
