Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77
123,0.0316661,0.0624225,0,0,0,0.0389441,0,0.00922156,0.0490509,0,0,0,0,0.019427,0,0,0.04293,0.0577803,0.0344641,0.0267329,0.0253068,0,0,0.0626926,0.0351108,0.0363273,0.0626893,0.0645361,0.0286377,0.0555144,0.0586358,0.0265718,0.0366521,0,0.0287638,0,0.0344739,0.013587,0.014177,0.00422392,0,0.0285628,0.0458453,0.0424909,0,0,0.0284429,0,0,0.0241627,0.0711354,0.00937699,0.0276973,0.0342506,0.061106,0.039774,0.0314842,0.0462135,0.0661325,0.0561375,0.0287753,0.0276775,0.0137853,0.0355292,0.0413199,0.0270626,0.0125983,0.0124445,0.0590848,0.0446608,0,0,0,0,0,0,0,0
124,0.0317622,0.0624722,0,0,0,0.0378634,0,0.0103139,0.0481541,0,0,0,0,0.0193073,0,0,0.0428356,0.0573324,0.0369115,0.0269526,0.0255874,0,0,0.0630963,0.0355303,0.0373312,0.0635073,0.065056,0.0288464,0.0567611,0.0592063,0.0275123,0.0382433,0,0.0343451,0,0.0346345,0.0135169,0.0142185,0.00424367,0,0.028495,0.0464878,0.0425144,0,0,0.02829,0,0,0.0241634,0.0711724,0.00958165,0.0275219,0.0336089,0.0608033,0.0397272,0.0312964,0.0461725,0.066102,0.0562325,0.0287205,0.0274575,0.0135462,0.0354735,0.0413506,0.0271533,0.0126098,0.0123844,0.0591157,0.0447743,0,0,0,0,0,0,0,0
125,0.0318329,0.0626043,0,0,0,0.0368985,0,0.0104262,0.0469953,0,0,0,0,0.0191866,0,0,0.0426763,0.0566786,0.0391276,0.0272659,0.0260237,0,0,0.06333,0.0359111,0.0381452,0.0640492,0.0654631,0.0290357,0.0577363,0.0597512,0.0280986,0.0397003,0,0.0385905,0,0.034834,0.0134117,0.014228,0.00435371,0,0.0284775,0.0471297,0.0425154,0,0,0.0279952,0,0,0.0241231,0.0711238,0.00963601,0.0272312,0.0331582,0.060372,0.0394944,0.031264,0.0461363,0.0660972,0.0564291,0.028562,0.0272872,0.0134611,0.0354838,0.0408973,0.0275606,0.0126017,0.0122401,0.059141,0.0448594,0,0,0,0,0,0,0,0
126,0.0318428,0.0628046,0,0,0,0.0359834,0,0.0103429,0.0458099,0,0,0,0,0.0190711,0,0,0.0425974,0.0563584,0.040983,0.0276641,0.0264854,0,0,0.0633603,0.0362831,0.0387877,0.0645588,0.0658609,0.029248,0.0585254,0.0603302,0.0287608,0.0410243,0,0.0418347,0,0.0350164,0.0134511,0.0141623,0.004578,0,0.0285422,0.0476931,0.0425067,0,0,0.0276391,0,0,0.0240321,0.0710346,0.00954334,0.0270213,0.0330025,0.0598678,0.0392184,0.0313999,0.0461563,0.0661158,0.0566573,0.0286046,0.027217,0.0134853,0.0355044,0.0400162,0.0280067,0.0125956,0.0121076,0.0592441,0.0449008,0,0,0,0,0,0,0,0
127,0.0318186,0.0630364,0,0,0,0.0354231,0,0.0107002,0.0447206,0,0,0,0,0.0189715,0,0,0.0426623,0.0560787,0.0423958,0.028103,0.0269012,0,0,0.0632897,0.0366816,0.0394324,0.0650881,0.0662759,0.0293373,0.0593315,0.0608609,0.0294802,0.0421521,0,0.0444656,0,0.0351692,0.0136528,0.014022,0.005025,0,0.0286357,0.0481377,0.04245,0,0,0.027323,0,0,0.0239362,0.0709722,0.00936087,0.0269986,0.0328991,0.0593896,0.0389805,0.0316299,0.0461477,0.0661345,0.0568608,0.0286576,0.0273105,0.0135075,0.0354959,0.0387848,0.0283676,0.01259,0.0120194,0.05935,0.0448871,0,0,0,0,0,0,0,0
128,0.0318057,0.063248,0,0,0,0.0349491,0,0.0112339,0.0436624,0,0,0,0,0.0189086,0,0,0.0428064,0.0559857,0.0435788,0.0285434,0.0272352,0,0,0.0632553,0.0370755,0.0400764,0.0656119,0.0666445,0.0294197,0.059841,0.0611734,0.0299729,0.0429247,0,0.046954,0,0.0353279,0.0138261,0.0139169,0.00571368,0,0.0287616,0.0484607,0.0423241,0,0,0.0271055,0,0,0.0239107,0.0709578,0.00915853,0.0270572,0.0327425,0.0590524,0.0388821,0.0318999,0.0460256,0.0661652,0.0570771,0.0287521,0.0274132,0.0135197,0.0355738,0.0373593,0.0286942,0.0125557,0.011952,0.05944,0.0448449,0,0,0,0,0,0,0,0
129,0.0317417,0.0634222,0,0,0,0.034371,0,0.0116382,0.0426517,0,0,0,0,0.0188736,0,0,0.0429783,0.0560451,0.0448233,0.0289662,0.0274718,0,0,0.0632702,0.0374752,0.0406925,0.0661467,0.0669524,0.0295391,0.0599769,0.0612209,0.0301494,0.0433269,0,0.0496938,0,0.0355036,0.0139435,0.0138812,0.00655975,0,0.0286826,0.0487368,0.0421627,0,0,0.0269343,0,0,0.0239196,0.070955,0.0089973,0.0271236,0.0325013,0.0588605,0.0388984,0.0321375,0.0458188,0.0662363,0.0572847,0.0286673,0.0274441,0.0135401,0.0357941,0.0359007,0.0289504,0.0125763,0.0119275,0.0594889,0.0449031,0,0,0,0,0,0,0,0
130,0.0316433,0.0635446,0,0,0,0.0338485,0,0.0120019,0.0416807,0,0,0,0,0.0188477,0,0,0.0431618,0.0561515,0.0462257,0.0293293,0.0275353,0,0,0.0633122,0.0378711,0.0412919,0.0667224,0.0672314,0.0296513,0.059906,0.0610983,0.0301066,0.0435086,0,0.0526453,0,0.0356729,0.0140118,0.0138988,0.00739834,0,0.0286749,0.0490216,0.0420256,0,0,0.0268356,0,0,0.0239215,0.0709583,0.00866471,0.027252,0.0321742,0.0587522,0.0390042,0.0323484,0.045463,0.0662837,0.0574051,0.0285893,0.0274944,0.0137386,0.0359622,0.0346083,0.0291187,0.0126432,0.0119279,0.0595113,0.044899,0,0,0,0,0,0,0,0
131,0.031513,0.0635981,0,0,0,0.0334506,0,0.0125219,0.0407892,0,0,0,0,0.0188382,0,0,0.043334,0.0562443,0.0478029,0.0296889,0.0274011,0,0,0.063368,0.038259,0.0419033,0.0673428,0.0675269,0.0297268,0.0597831,0.0609265,0.0301469,0.0436523,0,0.0557985,0,0.0358472,0.0140156,0.0139713,0.00819059,0,0.0286989,0.0493701,0.0418934,0,0,0.0268101,0,0,0.0238904,0.0709465,0.00839304,0.0273874,0.0317662,0.0586792,0.0391414,0.0325899,0.0450631,0.066286,0.0574754,0.028544,0.0275974,0.0138967,0.0361156,0.0334441,0.0292242,0.0126908,0.0120187,0.0595456,0.0448231,0,0,0,0,0,0,0,0
132,0.0313727,0.0635993,0,0,0,0.0333569,0,0.0131914,0.0397904,0,0,0,0,0.0188678,0,0,0.0435126,0.0563621,0.0496789,0.0302282,0.0271956,0,0,0.0635174,0.0386045,0.042614,0.0680247,0.0678237,0.0298035,0.0597484,0.0608768,0.0304374,0.0438904,0,0.0591948,0,0.0360468,0.0140572,0.0140189,0.00901347,0,0.0287358,0.04984,0.0417994,0,0,0.0268193,0,0,0.0238242,0.0708919,0.00817493,0.0274642,0.0314271,0.0586511,0.0393054,0.0328326,0.04467,0.0663224,0.0577863,0.0285566,0.0277333,0.0139299,0.0363339,0.0322559,0.0293048,0.0127122,0.0120628,0.0595776,0.0447446,0,0,0,0,0,0,0,0
