Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,LBL,LMR
24,0.0333867,0.0598236,0,0,0,0.0306768,0,0.0245761,0.0695488,0,0,0,0.0202672,0,0,0.0430889,0.0554443,0.0191973,0.0376894,0.0261318,0,0.0544283,0.042482,0.0286571,0.0543972,0.0589097,0.02805,0.0582264,0.0636369,0.0350178,0.0329583,0,0.00761536,0,0.0361165,0.0139094,0.0154773,0.0238648,0,0.0271067,0.044206,0.0375484,0,0,0.0202323,0,0,0.0228687,0.0762377,0.0518517,0.0197259,0.0361552,0.0603932,0.0278011,0.0338612,0.0602121,0.0754455,0.0569856,0.0249409,0.0204127,0.00856058,0.0304879,0.0672145,0.0350554,0.00927563,0.00929277,0.0556638,0.0520307,0,0,0,0,0,0,0,0,0
25,0.0335605,0.059769,0,0,0,0.030461,0,0.0246994,0.0700315,0,0,0,0.0202391,0,0,0.043151,0.0559506,0.0193213,0.0375478,0.0262055,0,0.0539997,0.0421895,0.0284048,0.0539389,0.058876,0.0282218,0.0579742,0.0635255,0.0348728,0.032729,0,0.00773584,0,0.0360499,0.0139402,0.0155032,0.0240955,0,0.0269539,0.0445376,0.0375321,0,0,0.0202306,0,0,0.0228659,0.0761995,0.0520481,0.0197675,0.0358364,0.060536,0.0276584,0.033859,0.0612916,0.0756497,0.0568622,0.0250765,0.020846,0.00866581,0.0305925,0.0678907,0.0349895,0.00926685,0.00924418,0.055307,0.0521524,0,0,0,0,0,0,0,0,0
26,0.0335759,0.0596933,0,0,0,0.0303395,0,0.0247827,0.0703717,0,0,0,0.020173,0,0,0.0432403,0.0565366,0.0194571,0.0373685,0.0263415,0,0.0536925,0.0419913,0.0280362,0.0534769,0.0588848,0.0284054,0.0577257,0.0632365,0.0347568,0.0324662,0,0.00777707,0,0.0359825,0.0139157,0.0155311,0.0238929,0,0.0267674,0.044911,0.0375275,0,0,0.0202522,0,0,0.0228508,0.0762281,0.0517233,0.0197624,0.035289,0.0606576,0.0275703,0.0338986,0.0620389,0.0757238,0.0566702,0.0254123,0.0212637,0.00859042,0.0307147,0.0678404,0.0349473,0.00921061,0.00917995,0.0549781,0.0522526,0,0,0,0,0,0,0,0,0
27,0.0335226,0.0595989,0,0,0,0.03028,0,0.0248487,0.0708408,0,0,0,0.0201136,0,0,0.0434571,0.0569832,0.0196295,0.0371027,0.026493,0,0.0532049,0.041798,0.0277465,0.0531239,0.0587831,0.028541,0.0575235,0.0629093,0.0344286,0.0322873,0,0.00782748,0,0.0359171,0.0139832,0.0154841,0.0232806,0,0.0265911,0.0453568,0.0375639,0,0,0.0203673,0,0,0.0228315,0.0761907,0.0507053,0.0198696,0.0344978,0.0607,0.0275582,0.0342284,0.0627128,0.0758603,0.0569298,0.0255698,0.0216489,0.00837986,0.0307966,0.0668896,0.0348156,0.00921791,0.00918308,0.0546938,0.0522024,0,0,0,0,0,0,0,0,0
28,0.0337836,0.0594691,0,0,0,0.0324657,0,0.0258638,0.0711745,0,0,0,0.0194869,0,0,0.0441337,0.0571889,0.020018,0.0374582,0.0268432,0,0.0534157,0.0421611,0.0283208,0.0535044,0.0587468,0.0284672,0.0569691,0.0623792,0.0338774,0.0316996,0,0.00563377,0,0.0361334,0.0138182,0.0151626,0.0272416,0,0.023339,0.0458058,0.0368929,0,0,0.0210733,0,0,0.0220989,0.0771249,0.0456076,0.0186507,0.0339872,0.059619,0.0274919,0.0331681,0.059593,0.0727778,0.0562818,0.0286176,0.0162355,0.00393076,0.033648,0.0748034,0.0346942,0.00961935,0.00906357,0.0543474,0.052713,0,0,0,0,0,0,0,0,0
29,0.0338318,0.0593106,0,0,0,0.0326837,0,0.0259322,0.0713629,0,0,0,0.0193894,0,0,0.0441619,0.0575199,0.020131,0.0374695,0.0269204,0,0.0532055,0.0417652,0.0280584,0.0531713,0.0585266,0.0283772,0.0569904,0.0623216,0.0339335,0.0317155,0,0.00546791,0,0.0360336,0.0138077,0.0151041,0.0247283,0,0.02331,0.0459673,0.037029,0,0,0.0211462,0,0,0.0220549,0.0769611,0.0430827,0.0185974,0.0336714,0.0594946,0.0275022,0.0332295,0.0599691,0.0725873,0.0566241,0.0287664,0.0172017,0.00434827,0.0341874,0.0697116,0.0345867,0.00960763,0.00908077,0.0539511,0.0525275,0,0,0,0,0,0,0,0,0
30,0.0339125,0.0591477,0,0,0,0.0330278,0,0.026025,0.0712484,0,0,0,0.0192577,0,0,0.0440925,0.0577905,0.0203008,0.0375198,0.026948,0,0.0529734,0.041392,0.0278489,0.0528319,0.0582766,0.0282473,0.057076,0.062384,0.0340998,0.0317437,0,0.00524405,0,0.0359303,0.0137186,0.0150546,0.0218506,0,0.0230902,0.0461775,0.0372133,0,0,0.0211901,0,0,0.0220294,0.0766137,0.0399307,0.0186102,0.0332396,0.0592765,0.0274906,0.0333829,0.0599985,0.0722807,0.057028,0.029103,0.0182279,0.004869,0.0350621,0.0625838,0.0344901,0.00965683,0.00905379,0.0536665,0.052116,0,0,0,0,0,0,0,0,0
31,0.0339711,0.0590796,0,0,0,0.033486,0,0.0261858,0.0710133,0,0,0,0.0190853,0,0,0.0441121,0.0580743,0.0204786,0.0376137,0.0270093,0,0.0527851,0.0410724,0.0276668,0.0524496,0.0579862,0.0281662,0.0572104,0.0624648,0.0342195,0.031855,0,0.00493135,0,0.0358245,0.0138094,0.0149142,0.0197145,0,0.0228755,0.0465835,0.0374444,0,0,0.0211769,0,0,0.0220305,0.0763173,0.0365257,0.0186324,0.0329873,0.0590396,0.0273367,0.0335217,0.0593606,0.071743,0.0574599,0.0298163,0.0191491,0.00554411,0.0362184,0.0541958,0.0344632,0.00972036,0.00903054,0.0535067,0.0518009,0,0,0,0,0,0,0,0,0
32,0.0340333,0.0591011,0,0,0,0.0339294,0,0.0263907,0.0707184,0,0,0,0.0189346,0,0,0.0440211,0.0584327,0.0206743,0.0376259,0.0271128,0,0.0524871,0.040792,0.0275047,0.0520032,0.057652,0.0281052,0.057375,0.0625251,0.0344004,0.0319847,0,0.00462039,0,0.035713,0.0137754,0.0148203,0.0195796,0,0.0229944,0.0472504,0.0376955,0,0,0.0211859,0,0,0.0220148,0.0760425,0.0330972,0.0187589,0.0328636,0.0587741,0.0271886,0.0338091,0.0582439,0.071115,0.0580038,0.0307445,0.0200502,0.00634832,0.0374554,0.0451829,0.0344359,0.00964304,0.00897265,0.053462,0.0515437,0,0,0,0,0,0,0,0,0
33,0.0341055,0.0591489,0,0,0,0.0343748,0,0.0265642,0.0703672,0,0,0,0.0188063,0,0,0.043821,0.0588362,0.0208727,0.0375891,0.0271962,0,0.052125,0.0403471,0.0273597,0.0515896,0.0573522,0.0279909,0.0575813,0.0625779,0.034604,0.0321241,0,0.00431543,0,0.03554,0.0136559,0.0147244,0.0218583,0,0.0231685,0.0479225,0.0380099,0,0,0.0212117,0,0,0.0219889,0.075646,0.0298393,0.0191591,0.0329647,0.0584496,0.0270133,0.0340642,0.056652,0.0704454,0.0586037,0.0315536,0.0210348,0.00735248,0.0386995,0.0362674,0.0344431,0.00958114,0.00890519,0.0535141,0.0512193,0,0,0,0,0,0,0,0,0
