Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77,LHEE,LBR
82,0.0281499,0.064334,0,0,0,0.0374355,0,0.0243371,0.0503589,0,0,0,0.0190074,0,0,0.0434401,0.0568398,0.0386601,0.0291766,0,0,0.0617682,0.0326324,0.0476586,0.0664976,0.0659244,0.0348122,0.0629487,0.0679426,0.0409097,0.0377904,0,0.0198135,0,0.0375402,0.014632,0.0130637,0.0261982,0,0.0271102,0.0576884,0.0418003,0,0,0.019829,0,0,0.0228496,0.074584,0.0107949,0.0252076,0.0357193,0.0494605,0.0337137,0.0299428,0.0374531,0.0580787,0.0550108,0.0319391,0.0291405,0.0144964,0.0417839,0.0119263,0.0370316,0.0111579,0.00856648,0.060051,0.0424484,0,0,0,0,0,0,0,0,0.037952,0
83,0.0281404,0.0643675,0,0,0,0.0371999,0,0.0241169,0.0502514,0,0,0,0.0189787,0,0,0.0434845,0.0567049,0.0389497,0.0286135,0,0,0.0618723,0.032701,0.0477389,0.0671414,0.065899,0.0349221,0.0631687,0.0682172,0.0410035,0.0381464,0,0.0202726,0,0.037426,0.0145988,0.0131921,0.0254701,0,0.0265594,0.0576679,0.0417681,0,0,0.0197981,0,0,0.0228293,0.0750086,0.0108876,0.0246723,0.0353878,0.0492589,0.0336226,0.0296885,0.0376181,0.0581386,0.0548505,0.0313368,0.0290536,0.0143046,0.0413588,0.0128526,0.0370642,0.0111194,0.00845537,0.0601361,0.0424969,0,0,0,0,0,0,0,0,0.0377487,0
84,0.0281084,0.0644199,0,0,0,0.037886,0,0.0233132,0.0498285,0,0,0,0.0189622,0,0,0.0435404,0.0566602,0.0391162,0.0270084,0,0,0.0619937,0.032812,0.0480197,0.0684836,0.0658918,0.034799,0.0636894,0.0687358,0.0410729,0.038853,0,0.0194523,0,0.0373607,0.0145255,0.013357,0.0248735,0,0.0260977,0.0575586,0.0417339,0,0,0.0198159,0,0,0.0228175,0.0749819,0.0108744,0.0243397,0.035096,0.0489781,0.0335612,0.02931,0.037932,0.0584156,0.0546311,0.0307193,0.0292312,0.0141403,0.0408415,0.0137673,0.037033,0.0110771,0.00843147,0.0601978,0.0425482,0,0,0,0,0,0,0,0,0.0369634,0
85,0.0281056,0.0644607,0,0,0,0.0381682,0,0.0223284,0.0489771,0,0,0,0.0189331,0,0,0.0435705,0.0568048,0.0390585,0.0255418,0,0,0.0621678,0.032857,0.0482832,0.0697153,0.0658609,0.0344878,0.0641474,0.0689294,0.0410488,0.0395628,0,0.0190519,0,0.0372151,0.0144627,0.0134873,0.0239037,0,0.0254404,0.0575844,0.0416775,0,0,0.0198128,0,0,0.022822,0.0748295,0.0109596,0.0240726,0.0346595,0.0488193,0.0335588,0.0289079,0.0383398,0.0586467,0.0543747,0.0301818,0.0294008,0.0140615,0.0402629,0.0151448,0.0369859,0.0110827,0.00841421,0.0601839,0.0426569,0,0,0,0,0,0,0,0,0.0362362,0
86,0.0281521,0.0644647,0,0,0,0.0380941,0,0.0213234,0.0480051,0,0,0,0.0189184,0,0,0.0435684,0.0569064,0.038907,0.0244431,0,0,0.0622464,0.032841,0.0484689,0.0708188,0.06583,0.0339528,0.0644362,0.0688575,0.0409079,0.040232,0,0.0191282,0,0.0371358,0.0143917,0.0136181,0.0229832,0,0.0248139,0.0576513,0.0416028,0,0,0.0198612,0,0,0.0228089,0.0746479,0.0110685,0.0234818,0.0342485,0.048798,0.0337087,0.028517,0.0387189,0.0587373,0.0540833,0.0296637,0.0294643,0.0140216,0.0395785,0.0165734,0.0368731,0.0111047,0.00842207,0.060131,0.0427863,0,0,0,0,0,0,0,0,0.0357236,0
87,0.028206,0.0644766,0,0,0,0.037658,0,0.0206542,0.0471673,0,0,0,0.0189334,0,0,0.0435172,0.0567663,0.0388837,0.0237612,0,0,0.0622911,0.0329692,0.0485772,0.0715982,0.0658162,0.0333974,0.0645877,0.0687033,0.0406114,0.0409386,0,0.0196168,0,0.0371465,0.0143249,0.0137086,0.022268,0,0.0242225,0.0576499,0.041536,0,0,0.019916,0,0,0.0227987,0.0744775,0.0112498,0.0229836,0.0339423,0.0488116,0.0338603,0.0281881,0.0389446,0.0588186,0.0538461,0.0292241,0.0293813,0.0139527,0.038803,0.018044,0.0367902,0.0110806,0.00853903,0.0600816,0.0428919,0,0,0,0,0,0,0,0,0.0356503,0
88,0.0282321,0.0645195,0,0,0,0.0371081,0,0.0202972,0.046744,0,0,0,0.0189804,0,0,0.0434759,0.0566149,0.0389341,0.0232607,0,0,0.0623853,0.033227,0.0487311,0.072127,0.0658367,0.0329336,0.0646643,0.0685888,0.0402267,0.0417635,0,0.0198177,0,0.0371619,0.0142594,0.0137862,0.0217727,0,0.0235346,0.0574426,0.0414741,0,0,0.0198852,0,0,0.0227748,0.0743652,0.0115397,0.0227535,0.0338043,0.048736,0.0338708,0.0279083,0.039119,0.0588457,0.0536089,0.0288276,0.0292446,0.0138283,0.0381709,0.0196405,0.0367805,0.0110388,0.00860253,0.0600407,0.0430005,0,0,0,0,0,0,0,0,0.0355887,0
89,0.0282451,0.0646212,0,0,0,0.036526,0,0.0200983,0.0465838,0,0,0,0.0192249,0,0,0.0433643,0.0564664,0.0388806,0.0229555,0,0,0.0625426,0.0333454,0.0486114,0.0722739,0.0656919,0.032211,0.064685,0.0684701,0.039837,0.0422428,0,0.0192166,0,0.0372006,0.0144228,0.0134277,0.021471,0,0.0227558,0.0572264,0.0414221,0,0,0.0197608,0,0,0.0227434,0.0743273,0.0119102,0.0226158,0.0339211,0.0485909,0.0337152,0.0275288,0.0391472,0.058779,0.0532532,0.0285506,0.0291413,0.01363,0.0376628,0.0214018,0.0368872,0.0109908,0.00858344,0.0600007,0.0431419,0,0,0,0,0,0,0,0,0.0348582,0
90,0.0282852,0.0647424,0,0,0,0.0352688,0,0.0199504,0.0468585,0,0,0,0.0192701,0,0,0.0432625,0.0561537,0.0391246,0.0230334,0,0,0.0626643,0.0332816,0.0481229,0.0718853,0.0653881,0.0313123,0.0644859,0.0683023,0.0393326,0.0420547,0,0.0185593,0,0.0372838,0.0143399,0.0135881,0.0214951,0,0.0219607,0.0568459,0.0413828,0,0,0.0196107,0,0,0.0227556,0.0744363,0.0124194,0.0224144,0.0341153,0.0483415,0.0334715,0.027183,0.0389991,0.0588137,0.0528944,0.0282574,0.0289873,0.0134389,0.037142,0.0232281,0.0370634,0.0109913,0.00842483,0.0599664,0.0432996,0,0,0,0,0,0,0,0,0.033391,0
91,0.028286,0.0648832,0,0,0,0.0337211,0,0.0195383,0.0473182,0,0,0,0.0193885,0,0,0.0431552,0.0559456,0.0394499,0.0234511,0,0,0.062755,0.0334612,0.0472175,0.0712676,0.0650961,0.0302417,0.0640409,0.0681377,0.0387231,0.0413269,0,0.017816,0,0.0372983,0.0144815,0.0133963,0.0218225,0,0.0212275,0.0561771,0.0412959,0,0,0.0193877,0,0,0.0227777,0.0746117,0.0129555,0.0221889,0.0344089,0.0479758,0.0331552,0.0268397,0.0388397,0.058979,0.0524784,0.0279349,0.0287926,0.0135301,0.0365543,0.0251794,0.0372909,0.0109868,0.0082459,0.0599355,0.0434846,0,0,0,0,0,0,0,0,0.0314151,0
