Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,RTIBA
19,0,0.0365133,0.0567307,0,0,0,0.0514309,0,0.0239032,0.0696357,0,0,0,0,0.0191582,0,0,0.0415852,0.0636866,0.0134627,0.0323173,0.0269251,0,0,0.0446051,0.039463,0.0228079,0.0479751,0.0549237,0.0282134,0.0604257,0.0655148,0.0365087,0.0355621,0,0.0203786,0,0.0359628,0.0134865,0.0129674,0.0332456,0,0.0364017,0.0512855,0.0392058,0,0,0.0191471,0,0,0.0209209,0.0747416,0.011783,0.0216133,0.0411391,0.0556261,0.0244364,0.0382794,0.0480723,0.0681623,0.0643197,0.0389881,0.0143928,0.0812143,0.0190075,0.0385381,0.00912291,0.00568859,0.0515722,0.0535104,0,0,0,0,0,0,0,0
20,0,0.0365571,0.0567971,0,0,0,0.0517863,0,0.0232791,0.0699928,0,0,0,0,0.0192461,0,0,0.0417145,0.0636309,0.0130559,0.0318729,0.0266803,0,0,0.0445715,0.0393628,0.0224748,0.0480888,0.0549195,0.028314,0.0602502,0.065434,0.0362464,0.0354096,0,0.0208375,0,0.0357272,0.0135219,0.0129586,0.0310228,0,0.0354727,0.0508169,0.0391795,0,0,0.019174,0,0,0.0209406,0.0751031,0.0121249,0.0209816,0.0409563,0.0555501,0.0245679,0.0374051,0.0485126,0.0679387,0.0633804,0.0383538,0.0137712,0.0806712,0.0201496,0.0383635,0.00914305,0.00587133,0.0515225,0.0536123,0,0,0,0,0,0,0,0
21,0,0.0365788,0.0568487,0,0,0,0.0521881,0,0.0226164,0.0702009,0,0,0,0,0.0193728,0,0,0.0418349,0.0635239,0.012778,0.0314275,0.0264464,0,0,0.0446387,0.0393932,0.0221199,0.0482155,0.0549859,0.0284062,0.0600883,0.0653777,0.0360921,0.0353105,0,0.0212759,0,0.0354973,0.0135886,0.0129172,0.0287592,0,0.0345986,0.0502306,0.0391435,0,0,0.0192347,0,0,0.0209496,0.0754647,0.012082,0.0202557,0.0405665,0.0553504,0.0247431,0.0367362,0.0488175,0.0677519,0.0625651,0.0375869,0.0130272,0.0799691,0.0215599,0.038201,0.00920698,0.00610738,0.0514634,0.0538013,0,0,0,0,0,0,0,0
22,0,0.0365656,0.0569333,0,0,0,0.0527185,0,0.0219003,0.0703368,0,0,0,0,0.0194682,0,0,0.0419528,0.0634097,0.0126655,0.0309849,0.0262551,0,0,0.0446968,0.0393493,0.0218486,0.0483651,0.0550764,0.0284642,0.0599539,0.0653238,0.0359607,0.0352125,0,0.0217838,0,0.0353132,0.0135435,0.013031,0.0267973,0,0.034506,0.0496659,0.0390525,0,0,0.019261,0,0,0.0209671,0.0756921,0.010905,0.0196286,0.0398519,0.0553139,0.024923,0.0362124,0.0490782,0.0676015,0.061886,0.0368734,0.0123356,0.0790156,0.023234,0.0380647,0.00928954,0.00623068,0.0514281,0.0539957,0,0,0,0,0,0,0,0
23,0,0.0365234,0.0570849,0,0,0,0.0533346,0,0.0211146,0.0704299,0,0,0,0,0.0195239,0,0,0.0420944,0.0633239,0.0127655,0.0305103,0.0261029,0,0,0.0446697,0.0393977,0.0217138,0.0485145,0.055142,0.0284381,0.0598355,0.0652786,0.0357483,0.0351381,0,0.0224307,0,0.0352025,0.0136014,0.0130898,0.0252006,0,0.0358087,0.0492068,0.0389358,0,0,0.0192489,0,0,0.020959,0.0757164,0.00890291,0.0193792,0.0388247,0.0553832,0.0250526,0.0357662,0.0492776,0.0674648,0.0613022,0.0364675,0.0119085,0.0779659,0.0247773,0.0379907,0.00927372,0.00627573,0.0514474,0.0541562,0,0,0,0,0,0,0,0
24,0,0.0365214,0.0572177,0,0,0,0.054121,0,0.0203411,0.0703942,0,0,0,0,0.0195523,0,0,0.0421099,0.0632366,0.0130695,0.0299899,0.0259582,0,0,0.0444507,0.0392544,0.0216899,0.0487184,0.0551532,0.0283718,0.0597695,0.0652824,0.0355878,0.0350637,0,0.0230764,0,0.0351888,0.0136676,0.0130474,0.0235705,0,0.0372868,0.0491092,0.0389116,0,0,0.0191835,0,0,0.0209609,0.0753084,0.0057847,0.0197366,0.0380365,0.0554403,0.0250859,0.0353349,0.0493213,0.0673014,0.060856,0.0365443,0.0116518,0.0771871,0.0259024,0.0379924,0.00927653,0.0062724,0.0515658,0.054211,0,0,0,0,0,0,0,0
25,0,0.0365435,0.0573707,0,0,0,0.0547852,0,0.0196799,0.0700666,0,0,0,0,0.019601,0,0,0.0420231,0.0631455,0.0136251,0.0293959,0.0258832,0,0,0.043866,0.0389637,0.0217346,0.0489389,0.0551801,0.0282029,0.0598183,0.0653985,0.0354959,0.034985,0,0.0235918,0,0.0353221,0.0137672,0.0129371,0.0216504,0,0.036236,0.0494955,0.0389977,0,0,0.019077,0,0,0.0209772,0.0745676,0.00243028,0.0204206,0.0383286,0.0554427,0.0250506,0.034939,0.0489669,0.0670413,0.0605394,0.0369564,0.0114453,0.076945,0.0263108,0.0381168,0.00928689,0.00622364,0.0518406,0.0540148,0,0,0,0,0,0,0,0
26,0,0.0365473,0.0575026,0,0,0,0.0569583,0,0.0186178,0.0692564,0,0,0,0,0.0195982,0,0,0.0418941,0.06293,0.0148848,0.028521,0.0261499,0,0,0.0430959,0.0382849,0.0215608,0.0496086,0.0551485,0.028046,0.0601008,0.0656318,0.0351743,0.0354801,0,0.025667,0,0.035603,0.0138254,0.0128522,0.0196641,0,0.0339677,0.0502865,0.0391612,0,0,0.0189657,0,0,0.0210306,0.0737918,0.00219524,0.0212686,0.0399205,0.0552443,0.0249879,0.0345757,0.0481157,0.0666077,0.0601419,0.0371157,0.0113312,0.0775225,0.0253068,0.0382887,0.00934106,0.00615372,0.0521624,0.0536542,0,0,0,0,0,0,0,0
27,0,0.0364113,0.0577191,0,0,0,0.056792,0,0.0185016,0.0686309,0,0,0,0,0.019563,0,0,0.0417758,0.0632525,0.0158743,0.0278023,0.0261482,0,0,0.0425701,0.0375464,0.0219179,0.0493986,0.0550386,0.0277123,0.0599493,0.0656858,0.034958,0.0349958,0,0.0250139,0,0.0360006,0.0139089,0.0127466,0.0193557,0,0.0332583,0.0511547,0.0393902,0,0,0.0188419,0,0,0.0211131,0.0734479,0.0048918,0.0221464,0.0420567,0.0551881,0.0249215,0.0346343,0.0470385,0.0660658,0.0600251,0.0365702,0.0112693,0.0788989,0.0229055,0.0385379,0.00938498,0.00606642,0.0525101,0.0531672,0,0,0,0,0,0,0,0
28,0,0.0362918,0.0579239,0,0,0,0.0571463,0,0.0178743,0.0677817,0,0,0,0,0.019517,0,0,0.0417253,0.0633519,0.0174531,0.0270057,0.0263524,0,0,0.0423065,0.0370989,0.0221025,0.0494231,0.0549836,0.0274576,0.059914,0.0657495,0.0345909,0.0349145,0,0.0254358,0,0.0363361,0.0139448,0.0127355,0.019491,0,0.0337977,0.0519021,0.0395954,0,0,0.0187932,0,0,0.0211857,0.0731621,0.0072114,0.0228751,0.0436681,0.0549863,0.0249937,0.0350889,0.0462975,0.065733,0.0602684,0.0356889,0.0113508,0.0805378,0.0217704,0.0386298,0.00942446,0.0060854,0.0529054,0.0525922,0,0,0,0,0,0,0,0
