Timestep,,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x75,x76,x77,LFIN
19,0,0.0300944,0.0643411,0,0,0,0.060239,0,0.0119623,0.0684435,0,0,0,0,0.0437433,0,0.0447612,0.0630976,0.0219552,0.0286451,0.0290715,0,0,0.0433564,0.0245007,0.0214155,0.0449287,0.0533677,0.0269781,0.0643383,0.0694109,0.0388506,0.038766,0,0.0307181,0,0.0470448,0.0964162,0.0225162,0.0211969,0,0.0274145,0.0525786,0.0405895,0,0,0.0174396,0,0,0.0231028,0.0726585,0.0170054,0.0253714,0.0382097,0.0563381,0.0227939,0.0348244,0.0479892,0.065756,0.0595119,0.0337137,0.0271569,0.0135612,0.0435059,0.0192391,0.0380088,0.00950445,0.00681639,0.0578138,0.0475257,0,0,0,0,0,0,0,0,0
20,0,0.0306442,0.063851,0,0,0,0.0710158,0,0.0161587,0.0681701,0,0,0,0,0.0430415,0,0.0456787,0.0617113,0.0224442,0.0289064,0.0272767,0,0,0.0439313,0.0246073,0.0230311,0.0486415,0.0545621,0.0262373,0.0607499,0.0666059,0.0348139,0.0351098,0,0.0434447,0,0.0478546,0.0973399,0.0214607,0.0186524,0,0.0274555,0.0526826,0.0409536,0,0,0.0179344,0,0,0.0221146,0.0726319,0.0164197,0.0238047,0.0395554,0.0546635,0.0231067,0.033581,0.0474796,0.0649395,0.0584051,0.0338067,0.0283564,0.0140676,0.0437042,0.0216811,0.0384244,0.0103736,0.00669286,0.0577512,0.0478953,0,0,0,0,0,0,0,0,0
21,0,0.0307995,0.0634801,0,0,0,0.0609968,0,0.011001,0.0671787,0,0,0,0,0.0426823,0,0.0459373,0.062873,0.0269923,0.0267748,0.0299876,0,0,0.0427148,0.0242136,0.0213288,0.0458366,0.0532747,0.026328,0.06404,0.0692692,0.0375057,0.0386703,0,0.0321515,0,0.0476854,0.0983109,0.0209526,0.0176013,0,0.0267233,0.0520372,0.0429937,0,0,0.0171543,0,0,0.0230308,0.073032,0.0159927,0.0247877,0.0382893,0.0545761,0.0243001,0.0324767,0.0490585,0.0653701,0.0571285,0.0331204,0.0291802,0.0138138,0.0430079,0.0231572,0.0383678,0.00952123,0.00677179,0.0579118,0.0474271,0,0,0,0,0,0,0,0,0
22,0,0.0313068,0.0630887,0,0,0,0.0602271,0,0.0114767,0.0666638,0,0,0,0,0.0415808,0,0.0466007,0.0624137,0.0294192,0.026034,0.0299662,0,0,0.0428628,0.0244243,0.0216162,0.0466551,0.0534561,0.0258505,0.0634978,0.0688754,0.0364413,0.0381547,0,0.0316141,0,0.0472747,0.100029,0.0199629,0.0164328,0,0.0260361,0.0513391,0.0442673,0,0,0.0170286,0,0,0.0230739,0.0735797,0.0162764,0.0239275,0.0375951,0.0533818,0.0254656,0.0309803,0.0493846,0.0650957,0.0555009,0.0330485,0.0286934,0.0132083,0.0425292,0.025361,0.0383074,0.00944877,0.006765,0.0579468,0.0474317,0,0,0,0,0,0,0,0,0
23,0,0.0318753,0.0624392,0,0,0,0.0588154,0,0.0123788,0.0654949,0,0,0,0,0.0403272,0,0.047536,0.0622114,0.0316947,0.025394,0.0297962,0,0,0.0435062,0.0249612,0.0221419,0.0474999,0.0537372,0.025507,0.0627662,0.0682522,0.0349752,0.0376209,0,0.0305267,0,0.0465786,0.101911,0.0187081,0.0159869,0,0.0254374,0.0507971,0.0454336,0,0,0.0171394,0,0,0.0229532,0.0740405,0.0165361,0.0228203,0.0375747,0.0520056,0.026838,0.0298078,0.0490082,0.0645475,0.0542864,0.0329437,0.027758,0.0122943,0.0420399,0.0261317,0.0380236,0.00955232,0.00689158,0.0578994,0.0476845,0,0,0,0,0,0,0,0,0
24,0,0.0322874,0.0618207,0,0,0,0.0569387,0,0.0135414,0.0638292,0,0,0,0,0.0390201,0,0.0486682,0.0621654,0.033465,0.0249187,0.029395,0,0,0.0444282,0.025682,0.0228594,0.0482786,0.0540733,0.0252079,0.0617346,0.0672372,0.03319,0.0369131,0,0.029197,0,0.0452977,0.103944,0.0172524,0.015994,0,0.02503,0.0502885,0.0464465,0,0,0.0174851,0,0,0.0227816,0.0744127,0.0164599,0.0221928,0.0378707,0.0507859,0.0282703,0.0290837,0.0482798,0.0638088,0.0534006,0.0326862,0.0270409,0.0116315,0.0415702,0.0260472,0.0375412,0.00968049,0.00708711,0.0579223,0.0478966,0,0,0,0,0,0,0,0,0
25,0,0.0325692,0.0613235,0,0,0,0.0549992,0,0.0142155,0.0614059,0,0,0,0,0.0379152,0,0.049799,0.0623276,0.0347327,0.0245616,0.0293981,0,0,0.045699,0.0264233,0.0237531,0.0490922,0.054382,0.0247597,0.0604665,0.0657951,0.0315654,0.0362676,0,0.027623,0,0.04359,0.105875,0.0165787,0.015964,0,0.0248723,0.0496022,0.0472112,0,0,0.0184449,0,0,0.0224491,0.0746378,0.0159174,0.0219805,0.0383509,0.05005,0.0297931,0.0284522,0.0475716,0.0631255,0.0524831,0.0323365,0.0268278,0.0113934,0.0411815,0.0257022,0.0369001,0.00984233,0.00691386,0.0578648,0.0481034,0,0,0,0,0,0,0,0,0
26,0,0.0328578,0.060922,0,0,0,0.0600265,0,0.0155245,0.0592146,0,0,0,0,0.0373172,0,0.0514638,0.0617826,0.0330111,0.0256368,0.0283822,0,0,0.0479364,0.0274117,0.0262117,0.0525201,0.05651,0.0248764,0.0567301,0.0619294,0.0273072,0.0339186,0,0.0320028,0,0.0424666,0.107404,0.0166763,0.0145286,0,0.025068,0.0495027,0.0467236,0,0,0.0202379,0,0,0.0211017,0.0746553,0.0148133,0.0209115,0.0395399,0.0486321,0.0308017,0.0275317,0.0463617,0.0622209,0.0514956,0.0327664,0.0263301,0.0116092,0.0414953,0.0269145,0.0359453,0.0108765,0.00676403,0.0576872,0.0485777,0,0,0,0,0,0,0,0,0
27,0,0.0328741,0.0608687,0,0,0,0.0570351,0,0.0139167,0.0574189,0,0,0,0,0.0374062,0,0.0527901,0.0616022,0.0323338,0.0255066,0.0282603,0,0,0.0490153,0.0282397,0.0276146,0.0535085,0.0574683,0.0250963,0.0560016,0.0608725,0.0264027,0.0342973,0,0.0264729,0,0.0411167,0.108568,0.0180224,0.0145955,0,0.0254594,0.0489783,0.0467643,0,0,0.0209151,0,0,0.0208703,0.0745506,0.0138765,0.0215303,0.0399054,0.0486546,0.0321906,0.0274133,0.0460846,0.0622712,0.0512445,0.0328316,0.0264637,0.0120194,0.0414161,0.0259469,0.035106,0.0109128,0.00704943,0.057713,0.0486996,0,0,0,0,0,0,0,0,0
28,0,0.032756,0.0609738,0,0,0,0.054034,0,0.0124066,0.0556869,0,0,0,0,0.0381235,0,0.0542535,0.0616109,0.031116,0.0253804,0.0279559,0,0,0.0499753,0.0289566,0.0290741,0.0547036,0.0586287,0.0255558,0.0554973,0.0599614,0.0259857,0.0348757,0,0.0191742,0,0.0402985,0.10905,0.020135,0.0145304,0,0.0258999,0.0487268,0.0465707,0,0,0.0215915,0,0,0.0206603,0.0741038,0.0131207,0.021926,0.0401847,0.049206,0.033447,0.027374,0.0460582,0.0625532,0.051209,0.0330346,0.0265821,0.0124792,0.0414855,0.0251501,0.0343022,0.0109753,0.00737781,0.0578266,0.0488521,0,0,0,0,0,0,0,0,0
