Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x74,x75,x76,x77,x73,LBL
109,0.03295,0.0600487,0,0,0,0.0377145,0,0.0222723,0.0601562,0,0,0,0.020636,0,0,0.0435304,0.0534799,0.0225828,0.0441553,0.0265176,0,0,0.06256,0.0450035,0.0337363,0.057569,0.058779,0.0252392,0.06157,0.0666023,0.0369076,0.0358952,0,0.00602387,0,0.0336906,0.0135432,0.0150293,0.0209811,0,0.0226021,0.0431656,0.039596,0,0,0.0218932,0,0,0.0227197,0.0744662,0.0404276,0.014124,0.0307357,0.0554692,0.0329393,0.0354202,0.050968,0.0731302,0.0592511,0.0229998,0.0193457,0.00810915,0.0283345,0.0628315,0.0354487,0.00996171,0.0101459,0.0549146,0.0517583,0,0,0,0,0,0,0,0,0
110,0.0328396,0.059863,0,0,0,0.0385074,0,0.0223573,0.0609076,0,0,0,0.0206734,0,0,0.0437515,0.0533524,0.0222393,0.0438739,0.0265451,0,0,0.0625108,0.0447421,0.0332282,0.0570061,0.0587026,0.0254382,0.0613349,0.0664771,0.0369514,0.0357249,0,0.00623247,0,0.0335887,0.0136616,0.0150923,0.0206628,0,0.0228907,0.0432039,0.0396131,0,0,0.0220267,0,0,0.0226625,0.0746187,0.0401205,0.0140844,0.0304995,0.0557672,0.0329897,0.035325,0.0512332,0.0730767,0.0591147,0.0230707,0.0193868,0.00783929,0.0283352,0.0621992,0.035312,0.00990075,0.0102368,0.0548133,0.051653,0,0,0,0,0,0,0,0,0
111,0.0327422,0.0597155,0,0,0,0.0393179,0,0.022423,0.0616774,0,0,0,0.0207981,0,0,0.0439048,0.0532916,0.0218937,0.0435195,0.0265937,0,0,0.0623711,0.0446245,0.0326822,0.0564724,0.0586135,0.0256411,0.0610242,0.0663741,0.0369734,0.035542,0,0.00667175,0,0.0335551,0.0136292,0.0152581,0.0204593,0,0.0230545,0.0433371,0.0395688,0,0,0.0221192,0,0,0.0226165,0.0748923,0.0400751,0.0141681,0.0305123,0.0561292,0.03294,0.0352076,0.0514571,0.0730279,0.0589786,0.0232269,0.0193269,0.00752215,0.0283259,0.061828,0.0352824,0.00985414,0.0102587,0.0547336,0.0515955,0,0,0,0,0,0,0,0,0
112,0.0326876,0.0596184,0,0,0,0.0400523,0,0.0224836,0.0625465,0,0,0,0.0208809,0,0,0.043874,0.0532988,0.0217349,0.0430758,0.0266328,0,0,0.0620218,0.044613,0.0321929,0.0561112,0.0585332,0.0258555,0.0609559,0.0661088,0.0369543,0.0353882,0,0.00718568,0,0.0335418,0.0134768,0.0154468,0.0204943,0,0.0230595,0.0435518,0.0394866,0,0,0.0221552,0,0,0.0225911,0.0751575,0.0402247,0.0144284,0.0306442,0.0567027,0.0328081,0.0350882,0.0516601,0.0729145,0.0588895,0.023375,0.0191205,0.00708426,0.0284652,0.0616773,0.0352644,0.00985937,0.0102401,0.0547201,0.0514854,0,0,0,0,0,0,0,0,0
113,0.0326642,0.0595777,0,0,0,0.0408082,0,0.022555,0.0634622,0,0,0,0.0209581,0,0,0.0438108,0.0533706,0.0216324,0.0425878,0.0266733,0,0,0.0615353,0.0447178,0.0318633,0.0556287,0.0584515,0.026071,0.0609144,0.0658433,0.0369743,0.0352963,0,0.00773585,0,0.0335523,0.0133865,0.0155448,0.0206898,0,0.0231105,0.0437931,0.0394065,0,0,0.0221179,0,0,0.0225832,0.0754052,0.0405687,0.0147514,0.0308588,0.0574396,0.0325898,0.0349848,0.0518868,0.0728039,0.0587408,0.0236096,0.0187529,0.00652827,0.0287341,0.0619463,0.035298,0.00984218,0.0101479,0.0548,0.0513705,0,0,0,0,0,0,0,0,0
114,0.0326536,0.059573,0,0,0,0.0415911,0,0.0226735,0.0643696,0,0,0,0.021048,0,0,0.0437013,0.0534894,0.0216089,0.042111,0.0267334,0,0,0.0610133,0.0449663,0.0314982,0.0552113,0.0583873,0.0262972,0.0607834,0.0657597,0.0369519,0.035186,0,0.00835419,0,0.0336435,0.0133417,0.0155538,0.0209268,0,0.0232562,0.0440027,0.0393573,0,0,0.0220337,0,0,0.0225965,0.0756827,0.0408954,0.0150542,0.0311295,0.0578748,0.0322917,0.0348559,0.0520892,0.0726992,0.0585493,0.0239938,0.0182038,0.00589014,0.0290965,0.062509,0.0354596,0.00981524,0.0100076,0.0549505,0.0513001,0,0,0,0,0,0,0,0,0
115,0.0326624,0.0595762,0,0,0,0.0418991,0,0.0227628,0.0652438,0,0,0,0.0211298,0,0,0.0436077,0.0536148,0.0217819,0.0416063,0.0267969,0,0,0.0604017,0.0451162,0.0311851,0.0548892,0.058321,0.0265291,0.0605871,0.0656362,0.0369526,0.0350083,0,0.00888014,0,0.0337509,0.0132724,0.0155953,0.0212768,0,0.0232428,0.0441411,0.0393442,0,0,0.0219375,0,0,0.022593,0.0759566,0.0412967,0.0154188,0.0313808,0.0582707,0.0319648,0.0347941,0.0523257,0.0726351,0.0584222,0.0244909,0.0174889,0.00521783,0.0295713,0.0631348,0.0356429,0.00978344,0.00986313,0.0551779,0.0512551,0,0,0,0,0,0,0,0,0
116,0.0326058,0.0596021,0,0,0,0.0421802,0,0.0228498,0.0660593,0,0,0,0.0211621,0,0,0.0434716,0.0536572,0.0218605,0.0411165,0.0268649,0,0,0.0597218,0.0451709,0.0308031,0.0544717,0.058242,0.0267219,0.0603364,0.0654518,0.0369105,0.0348432,0,0.00926562,0,0.0338658,0.0132194,0.0155699,0.0218017,0,0.0230454,0.0442314,0.0392996,0,0,0.0218336,0,0,0.0226025,0.0761995,0.0416865,0.015865,0.0315986,0.0587088,0.031617,0.0347374,0.0526468,0.0726061,0.0583585,0.0250555,0.0167305,0.00458202,0.0301383,0.064122,0.0358454,0.0097467,0.00968151,0.0554276,0.0510706,0,0,0,0,0,0,0,0,0
117,0.0325257,0.0596537,0,0,0,0.0426371,0,0.0229587,0.0668134,0,0,0,0.0211798,0,0,0.0433511,0.0536543,0.0219078,0.040693,0.0269476,0,0,0.0590452,0.0452204,0.0303764,0.0539344,0.0581578,0.0268863,0.0602344,0.0653285,0.0368349,0.0347405,0,0.00960909,0,0.0339633,0.0132034,0.0154832,0.0224711,0,0.0229828,0.0443083,0.0392338,0,0,0.0216803,0,0,0.0225944,0.076401,0.0422961,0.0163834,0.0318052,0.0590722,0.0312436,0.0346959,0.0530135,0.0725734,0.0583338,0.025633,0.0161322,0.00420341,0.0306251,0.0657112,0.0360646,0.00972407,0.00948621,0.0556772,0.0509197,0,0,0,0,0,0,0,0,0
118,0.031943,0.0598539,0,0,0,0.0394034,0,0.0213473,0.067655,0,0,0,0.0218157,0,0,0.0428354,0.0540039,0.0213091,0.0395873,0.0274277,0,0,0.0575624,0.0446843,0.0288561,0.0522565,0.0575552,0.0268543,0.061179,0.0661617,0.037956,0.0358033,0,0.00563503,0,0.0333795,0.0133547,0.0155805,0.0202362,0,0.0259491,0.0438569,0.0400293,0,0,0.0207412,0,0,0.0235878,0.0757994,0.0461724,0.0181444,0.0315194,0.0602744,0.0310898,0.0355027,0.0558974,0.0747108,0.0591498,0.0232988,0.0206091,0.00742865,0.0282202,0.0591726,0.036148,0.00894498,0.00961068,0.056024,0.0501999,0,0,0,0,0,0,0,0,0
