Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,x74,x76,x77,x78,LBL,x75
184,0.0297809,0.0625551,0,0,0,0.0449324,0,0.0175081,0.053151,0,0,0,0.0201324,0,0,0.0437443,0.0547615,0.0205359,0.0441503,0.0284907,0,0,0.065723,0.040389,0.0357486,0.0616836,0.0581045,0.0222871,0.0643666,0.0683961,0.0379012,0.0409807,0,0.0116905,0,0.0349115,0.0132067,0.0167024,0.0211668,0,0.0265042,0.0400535,0.0412497,0,0,0.0220985,0,0,0.0239359,0.0745213,0.0381611,0.0158757,0.03406,0.0570298,0.0361065,0.0384712,0.0538809,0.0769815,0.0630858,0.0209204,0.0202955,0.00894203,0.0263746,0.059243,0.0334522,0.0100195,0.0135517,0.058964,0.0489011,0,0,0,0,0,0,0,0,0,0
185,0.0296399,0.0624902,0,0,0,0.0457204,0,0.0175717,0.0542889,0,0,0,0.0201473,0,0,0.0438449,0.0545997,0.0201628,0.0442537,0.0283624,0,0,0.0655123,0.0401276,0.0351485,0.060761,0.0579589,0.0225412,0.0644588,0.0685336,0.0381382,0.040662,0,0.0123362,0,0.0346704,0.013252,0.016449,0.0208758,0,0.026717,0.0395908,0.0412174,0,0,0.0221419,0,0,0.0238792,0.0751097,0.0375147,0.0157381,0.0338602,0.0569611,0.0362122,0.0386336,0.0541302,0.0771393,0.0631147,0.0208236,0.0206558,0.00883175,0.0263711,0.058212,0.0333763,0.00997954,0.0136242,0.0588904,0.0487325,0,0,0,0,0,0,0,0,0,0
186,0.0295682,0.0623327,0,0,0,0.0464181,0,0.0176749,0.0553723,0,0,0,0.0202595,0,0,0.0439018,0.054349,0.0197672,0.0443205,0.0282486,0,0,0.0653488,0.03999,0.0343744,0.0598166,0.0578033,0.0227969,0.0645344,0.0686793,0.0384097,0.040558,0,0.0130046,0,0.0344258,0.0133276,0.0162952,0.0208874,0,0.0268432,0.0391857,0.0412022,0,0,0.0221045,0,0,0.0238151,0.075525,0.0370174,0.0155111,0.0335059,0.0570642,0.0363908,0.0387918,0.0542883,0.0772301,0.0631492,0.0206562,0.0210762,0.00872509,0.0262422,0.0572216,0.0332812,0.0100302,0.0137435,0.0587647,0.0485925,0,0,0,0,0,0,0,0,0,0
187,0.0295045,0.0622019,0,0,0,0.0470001,0,0.0177371,0.0564363,0,0,0,0.0203926,0,0,0.0439165,0.0540498,0.0195169,0.0443904,0.0281042,0,0,0.0652671,0.0398864,0.0335629,0.0589351,0.0576741,0.0230614,0.0645564,0.0688075,0.0386586,0.0404767,0,0.0137298,0,0.0342047,0.0133498,0.0161128,0.0208125,0,0.0268856,0.03889,0.041142,0,0,0.0220769,0,0,0.0238374,0.075663,0.0364547,0.0153396,0.0330493,0.0572112,0.0364835,0.0389463,0.0544534,0.0773142,0.0631639,0.0205436,0.0214673,0.00880396,0.0261357,0.0562708,0.0331875,0.0100961,0.0138314,0.0586583,0.0484377,0,0,0,0,0,0,0,0,0,0
188,0.0294261,0.0620846,0,0,0,0.0474211,0,0.017812,0.0575166,0,0,0,0.0205734,0,0,0.0438472,0.0537117,0.0193831,0.044419,0.0279683,0,0,0.0651619,0.0398616,0.032788,0.0579968,0.0575952,0.0233274,0.064548,0.0688946,0.0388985,0.0403095,0,0.0143871,0,0.0340348,0.0133656,0.0159312,0.0206111,0,0.0269088,0.0387211,0.0410763,0,0,0.0221664,0,0,0.0239403,0.0757227,0.0358504,0.0152277,0.0326495,0.0573812,0.0364722,0.0390333,0.0546873,0.0773635,0.0631249,0.0205292,0.0216101,0.008894,0.0260958,0.0553237,0.0331199,0.0101379,0.0138748,0.0585148,0.0483515,0,0,0,0,0,0,0,0,0,0
189,0.0293478,0.0619603,0,0,0,0.0477393,0,0.0179286,0.0586069,0,0,0,0.0208544,0,0,0.0438383,0.0534473,0.0193976,0.0443026,0.0278721,0,0,0.0649951,0.0399356,0.032116,0.0571208,0.0575516,0.0236984,0.0645233,0.0689183,0.0390716,0.0400703,0,0.0148684,0,0.033923,0.0134474,0.0158303,0.0204636,0,0.0268739,0.0387904,0.0410276,0,0,0.0221695,0,0,0.0238879,0.0759253,0.0352288,0.0152837,0.0324607,0.0577224,0.0364198,0.0390355,0.0549281,0.07738,0.0630457,0.0206721,0.02141,0.00875778,0.0262342,0.0544356,0.0331232,0.0101575,0.013898,0.0583479,0.0482619,0,0,0,0,0,0,0,0,0,0
190,0.029292,0.0617879,0,0,0,0.0482483,0,0.0179748,0.0596372,0,0,0,0.0211283,0,0,0.0437993,0.053315,0.0193212,0.0440539,0.0278383,0,0,0.0647475,0.0399804,0.0315057,0.0563773,0.0575019,0.024087,0.0644698,0.0689203,0.0391983,0.0398687,0,0.0153764,0,0.0338587,0.0134892,0.0157268,0.0203611,0,0.0268535,0.0389957,0.0409641,0,0,0.0221813,0,0,0.0239311,0.0762168,0.0347141,0.0154849,0.0325652,0.0582276,0.0362194,0.0389497,0.0552461,0.0774286,0.062894,0.0210582,0.0211408,0.00851212,0.0265521,0.053612,0.0331571,0.010142,0.0138342,0.0582362,0.0481422,0,0,0,0,0,0,0,0,0,0
191,0.0293395,0.0615145,0,0,0,0.0490289,0,0.0176849,0.0604481,0,0,0,0.0213861,0,0,0.0436068,0.0536058,0.0189171,0.04373,0.0279071,0,0,0.0644749,0.0401169,0.0309179,0.055797,0.0574201,0.0244787,0.0645336,0.0689772,0.0393785,0.0400381,0,0.0162109,0,0.033913,0.0134406,0.0156398,0.020313,0,0.0269424,0.0392471,0.040821,0,0,0.0220387,0,0,0.0238864,0.0764238,0.0343931,0.0155688,0.0328843,0.0588324,0.0359249,0.0386863,0.0556859,0.0774886,0.0626467,0.0215001,0.0210354,0.00822798,0.0269716,0.0528117,0.0331825,0.0102048,0.0137031,0.0581091,0.048078,0,0,0,0,0,0,0,0,0,0
192,0.02925,0.0613461,0,0,0,0.0484325,0,0.0184153,0.0619606,0,0,0,0.0214674,0,0,0.0435036,0.0536851,0.0192536,0.0436433,0.0276997,0,0,0.0638466,0.0401869,0.0305611,0.0550065,0.057507,0.0249834,0.064079,0.0686432,0.03933,0.0394045,0,0.0154899,0,0.0338061,0.0132719,0.0158517,0.0205342,0,0.0266312,0.0393734,0.0407192,0,0,0.0217938,0,0,0.0240041,0.0768321,0.0337145,0.0158712,0.0332239,0.0595315,0.0355706,0.0385915,0.0562913,0.0776806,0.0625387,0.0218779,0.0210527,0.00791105,0.0273979,0.0518795,0.0333455,0.0101288,0.0135601,0.0581167,0.0479269,0,0,0,0,0,0,0,0,0,0
193,0.0291329,0.0612458,0,0,0,0.0485232,0,0.0184675,0.0629555,0,0,0,0.0216824,0,0,0.0432792,0.0538284,0.0192741,0.0433128,0.0276995,0,0,0.0632029,0.0403594,0.0301643,0.0544499,0.0574857,0.0252716,0.0639478,0.0685821,0.0393947,0.0391144,0,0.0155696,0,0.0337399,0.0132465,0.0157881,0.0207641,0,0.0264293,0.0396258,0.0405902,0,0,0.0218079,0,0,0.0240692,0.0770282,0.0335605,0.0160841,0.0335839,0.0602167,0.0351562,0.0384362,0.0567564,0.0777326,0.0622841,0.0223438,0.0207758,0.00755656,0.0278357,0.0514358,0.0334726,0.00999473,0.0133394,0.05813,0.0478316,0,0,0,0,0,0,0,0,0,0
194,0.0290616,0.0612315,0,0,0,0.0485401,0,0.0185428,0.0638673,0,0,0,0.0218435,0,0,0.0430436,0.0540084,0.0193621,0.0430042,0.0277413,0,0,0.0625504,0.0405115,0.0299616,0.053953,0.0574867,0.0254273,0.0638282,0.0685525,0.0394702,0.0388662,0,0.0155338,0,0.0337053,0.0132017,0.0156774,0.0209198,0,0.0263438,0.0398463,0.0404514,0,0,0.0213989,0,0,0.0237924,0.0771398,0.0336061,0.0163421,0.0338571,0.0607829,0.0347714,0.0382896,0.0572232,0.077802,0.0620497,0.0228725,0.0204248,0.00740238,0.0282596,0.0514168,0.0335907,0.00986738,0.0131115,0.0581783,0.0477498,0,0,0,0,0,0,0,0,0,0
195,0.0290906,0.0612012,0,0,0,0.0484779,0,0.0186908,0.0646945,0,0,0,0.0220412,0,0,0.0427862,0.0542731,0.0195029,0.0427063,0.0278163,0,0,0.0619237,0.0406292,0.0296333,0.0534438,0.0574633,0.0255664,0.0637419,0.0684689,0.0395451,0.0387706,0,0.0154012,0,0.0336613,0.0132417,0.0156375,0.0209847,0,0.0263509,0.0399274,0.0403717,0,0,0.0208566,0,0,0.0235303,0.0772876,0.0336986,0.0167204,0.0342545,0.0612226,0.0344684,0.038132,0.057632,0.0778197,0.0618132,0.0233811,0.0201498,0.00708695,0.0287401,0.0519142,0.0338211,0.00986134,0.0128996,0.0580617,0.0477012,0,0,0,0,0,0,0,0,0,0
196,0.0289873,0.0611796,0,0,0,0.0484073,0,0.018818,0.0654745,0,0,0,0.0222104,0,0,0.0426425,0.0545675,0.0199971,0.0423898,0.0279126,0,0,0.0612428,0.0406951,0.0292222,0.053024,0.0573998,0.0257436,0.063622,0.0683157,0.0395821,0.0386859,0,0.015275,0,0.0335803,0.0132386,0.0156231,0.0210304,0,0.0264874,0.0399261,0.0403365,0,0,0.0206415,0,0,0.0236383,0.0773884,0.0337627,0.0172573,0.0345423,0.0615378,0.034091,0.0380435,0.0581513,0.0778866,0.0616525,0.0238645,0.019993,0.00691094,0.0292415,0.0528538,0.0339935,0.00981987,0.0126669,0.0579378,0.0476118,0,0,0,0,0,0,0,0,0,0
197,0.0288557,0.0611223,0,0,0,0.0482234,0,0.0188454,0.0661475,0,0,0,0.0223186,0,0,0.0425039,0.0549191,0.0200849,0.0420954,0.0280096,0,0,0.0605827,0.040797,0.0287118,0.0525744,0.0573016,0.0259392,0.0634968,0.0681986,0.0395755,0.0385245,0,0.0150489,0,0.0335546,0.0132203,0.0155726,0.0210113,0,0.0267661,0.0399725,0.040272,0,0,0.0208094,0,0,0.0238899,0.0773962,0.033916,0.0175686,0.0346805,0.0617207,0.0337247,0.0380055,0.0588251,0.0780097,0.0615264,0.0242273,0.0200528,0.00700333,0.029663,0.0540515,0.0340716,0.0097538,0.0124296,0.0579597,0.0476414,0,0,0,0,0,0,0,0,0,0
198,0.0288,0.0611208,0,0,0,0.0480867,0,0.0188476,0.0667732,0,0,0,0.022437,0,0,0.0423991,0.0552503,0.0202212,0.0418206,0.0281185,0,0,0.0599662,0.0408675,0.0282082,0.0521587,0.0572255,0.0261253,0.0633806,0.0680965,0.0395553,0.0383475,0,0.0148918,0,0.0334835,0.0132243,0.0154876,0.020975,0,0.0270163,0.0400166,0.0402199,0,0,0.0207912,0,0,0.0238769,0.0774032,0.0341556,0.017657,0.034739,0.0618173,0.0334291,0.0380661,0.0595805,0.0781906,0.0614605,0.0244659,0.0202315,0.00709088,0.0299579,0.0553951,0.0341527,0.00964734,0.0122259,0.0578482,0.0476717,0,0,0,0,0,0,0,0,0,0
