Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75
645,0.0158282,0.0174874,0,0,0,0,0,0,0.0186082,0.0170662,0.00940524,0.00446116,0,0,0.0173087,0,0.0137729,0.0131196,0.0363174,0.0175692,0.0161706,0.0111466,0.0291561,0.021938,0.00386391,0.00598383,0.00494303,0.0108328,0.011688,0.0117277,0.00380112,0.0194911,0.0260394,0.0131224,0.0123809,0.00784369,0.00755506,0.0110499,0.00790289,0.0128488,0.0164096,0,0,0.0134097,0,0.00713752,0.0104361,0.0518611,0.00765511,0.0116661,0.0146065,0.0271907,0.00848938,0.00865969,0.0413911,0.0178991,0.0125448,0.00780968,0.0213462,0.00436623,0.0054572,0.00613412,0.0113952,0.00463811,0.00450783,0.0250341,0.015462,0,0,0,0,0,0,0,0,0
646,0.0157075,0.0180004,0,0,0,0,0,0,0.0184366,0.0171945,0.00923005,0.00456482,0,0,0.0166603,0,0.0142371,0.012526,0.0362751,0.0173391,0.0159181,0.0113102,0.0289049,0.0222775,0.00383087,0.00625397,0.00492469,0.0108369,0.0116523,0.0117178,0.00381208,0.0194506,0.0257126,0.0128025,0.0125263,0.00682796,0.00764113,0.0112934,0.00793421,0.0130323,0.0162387,0,0,0.013399,0,0.00742353,0.0108764,0.0519895,0.0076859,0.0114674,0.0146828,0.0271169,0.00839776,0.00867696,0.0413177,0.0178788,0.0125876,0.00777199,0.0213139,0.00434362,0.00546713,0.00619302,0.0109706,0.00713873,0.0041983,0.0250658,0.0152599,0,0,0,0,0,0,0,0,0
647,0.0156173,0.018418,0,0,0,0,0,0,0.0182056,0.0171014,0.00906228,0.00479157,0,0,0.0164582,0,0.0148261,0.0123794,0.0363263,0.0169927,0.016057,0.011329,0.0287104,0.0223694,0.00378044,0.00635595,0.00480385,0.0109244,0.0116527,0.0116835,0.0038566,0.0194356,0.0252215,0.012829,0.0127222,0.00598142,0.0077769,0.0113784,0.0080465,0.0131526,0.016085,0,0,0.0133992,0,0.00741588,0.0113579,0.0519742,0.00785663,0.0114273,0.0147145,0.0269967,0.00819529,0.00865049,0.041308,0.017881,0.0125905,0.00769447,0.0212663,0.00429357,0.00543739,0.00607056,0.0105581,0.00941526,0.00425897,0.0248931,0.0150549,0,0,0,0,0,0,0,0,0
648,0.0150177,0.019761,0,0,0,0,0,0,0.0181204,0.0163645,0.0090901,0.00529935,0,0,0.0225098,0,0.0165162,0.0169438,0.0363239,0.01649,0.016063,0.011201,0.0278326,0.0217134,0.00367089,0.00639892,0.00464115,0.0109866,0.0115977,0.011607,0.00381755,0.0194227,0.0248904,0.0170834,0.0132439,0.00534833,0.00773437,0.0110967,0.00798804,0.0135175,0.0153386,0,0,0.0137309,0,0.00669916,0.0118242,0.0519217,0.00785515,0.0115055,0.0146007,0.0261363,0.00873829,0.00857648,0.041271,0.0178241,0.0125281,0.00762757,0.0213026,0.00427929,0.00536653,0.00592881,0.0103377,0.0119071,0.00516695,0.025749,0.0143579,0,0,0,0,0,0,0,0,0
649,0.0150234,0.0195318,0,0,0,0,0,0,0.0180736,0.0163617,0.00920728,0.00552787,0,0,0.0205232,0,0.0164594,0.0155717,0.0363444,0.0164756,0.0160495,0.0110456,0.0275744,0.02209,0.00357367,0.00640956,0.00448384,0.0109835,0.0114526,0.0115137,0.00375482,0.0194128,0.024729,0.0155976,0.0133344,0.00469996,0.00774724,0.0107143,0.00796035,0.0136863,0.0153451,0,0,0.0142284,0,0.00630533,0.0120338,0.0519611,0.00788704,0.0113756,0.0146472,0.0260024,0.0086916,0.00854754,0.0411764,0.017712,0.0124705,0.00759104,0.0213016,0.00425109,0.00536573,0.00589743,0.0105232,0.0126228,0.00569223,0.0249896,0.0142493,0,0,0,0,0,0,0,0,0
650,0.0150575,0.0192413,0,0,0,0,0,0,0.0178619,0.016318,0.00917506,0.00573476,0,0,0.0183375,0,0.0163461,0.0139631,0.0364916,0.0163616,0.0162086,0.0107918,0.0274093,0.0225434,0.00349988,0.00635939,0.00429807,0.0110125,0.0113062,0.0114068,0.00374432,0.0194046,0.0243859,0.0139684,0.0134476,0.00414678,0.00766262,0.0103632,0.00783813,0.0137291,0.0154091,0,0,0.0146368,0,0.00612803,0.0120251,0.0519605,0.00778264,0.0113019,0.014498,0.0258927,0.00865197,0.00848655,0.0410399,0.017362,0.012319,0.00765751,0.0213457,0.00431331,0.00537768,0.00588204,0.0107617,0.0124916,0.00586649,0.0241028,0.0142016,0,0,0,0,0,0,0,0,0
651,0.0147352,0.0192507,0,0,0,0,0,0,0.0176983,0.0160327,0.00907084,0.00600103,0,0,0.0188534,0,0.0169208,0.014244,0.0365919,0.0160611,0.0162299,0.0105672,0.0269026,0.022173,0.00342588,0.00630206,0.00413369,0.0110123,0.0112087,0.0113886,0.00375475,0.0193889,0.0240865,0.0142168,0.0136996,0.00389287,0.00757413,0.0100927,0.00775015,0.0138246,0.0149361,0,0,0.0147132,0,0.005813,0.0117989,0.0519391,0.00772008,0.0112369,0.0140443,0.0254071,0.00861489,0.00841744,0.040933,0.0168897,0.0121163,0.00767085,0.0213744,0.00438845,0.00541453,0.00588299,0.0107858,0.0125528,0.00604531,0.0235552,0.0137978,0,0,0,0,0,0,0,0,0
652,0.0143479,0.0193996,0,0,0,0,0,0,0.0177192,0.0157681,0.00914738,0.00635698,0,0,0.0195995,0,0.0176856,0.0146964,0.0365859,0.0154759,0.0161382,0.0103251,0.0263091,0.021925,0.00334692,0.00624598,0.00396879,0.0109495,0.0110218,0.0113302,0.00368142,0.0193594,0.024001,0.0146928,0.0139283,0.00388316,0.00752646,0.00991874,0.00769059,0.0139989,0.0142598,0,0,0.0146515,0,0.00552712,0.0115663,0.0519214,0.00770562,0.0111578,0.0137538,0.0248275,0.00870539,0.00831786,0.040813,0.0168455,0.0118852,0.0075877,0.0213796,0.0044023,0.0054035,0.00577258,0.0108909,0.0128566,0.00603173,0.0232853,0.0132988,0,0,0,0,0,0,0,0,0
653,0.0139506,0.0196957,0,0,0,0,0,0,0.0177264,0.0155609,0.00921812,0.00678707,0,0,0.0206778,0,0.0183545,0.0154815,0.0365718,0.0150588,0.0160668,0.0102309,0.0257029,0.0217988,0.00322632,0.0062173,0.00374352,0.0108888,0.0108625,0.0112682,0.00366853,0.0193453,0.0239646,0.0154363,0.0140877,0.00408744,0.00748419,0.00980012,0.0076102,0.0141884,0.0134817,0,0,0.0144559,0,0.00525935,0.0113823,0.0518757,0.00769041,0.0111108,0.0135847,0.0241896,0.00882949,0.00818871,0.0406491,0.0167798,0.0116095,0.00746975,0.0213611,0.00433719,0.00534003,0.00559448,0.0109368,0.0134421,0.00583347,0.0232325,0.012715,0,0,0,0,0,0,0,0,0
654,0.013593,0.020018,0,0,0,0,0,0,0.0176926,0.0154568,0.00924301,0.00720574,0,0,0.0220858,0,0.0186373,0.016517,0.036542,0.0147247,0.0159184,0.0102086,0.0250159,0.0218368,0.00308028,0.00617953,0.00353954,0.0108257,0.0107491,0.0112483,0.0036978,0.0193389,0.0239074,0.0164353,0.0141345,0.00429999,0.00739347,0.00977717,0.00751955,0.0143957,0.0127369,0,0,0.0142633,0,0.00505682,0.0113406,0.0518347,0.00765927,0.0110878,0.0134021,0.0235072,0.00903366,0.0080554,0.0404702,0.0165408,0.0113451,0.00735718,0.0213489,0.00426528,0.00527581,0.00545983,0.0107451,0.0137771,0.00582495,0.0233534,0.0121291,0,0,0,0,0,0,0,0,0
