Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,RTIBA
354,0,0,0,0,0.053952,0.0570666,0,0,0,0.0341499,0,0.0218248,0.0574902,0,0,0.0201045,0,0,0.0406453,0.0597783,0.0315498,0.0326245,0.0300621,0.0666778,0.046694,0.0487408,0.0630685,0.0493364,0.0243045,0.0559437,0.0592058,0.0325815,0.0328389,0.014765,0.0367339,0.0156993,0.0143904,0.0275185,0,0.0264007,0.0568651,0.0313052,0,0,0.0220685,0,0,0.0212981,0.0722516,0.0219574,0.0226936,0.0223099,0.0595847,0.0380968,0.0655136,0.0793588,0.0527739,0.0349735,0.0234412,0,0.0351473,0.018968,0.0366822,0.00713762,0.0122665,0.055698,0.0637846,0,0,0,0,0
355,0,0,0,0,0.05395,0.057087,0,0,0,0.0341936,0,0.0218153,0.057473,0,0,0.0200769,0,0,0.0406239,0.0597894,0.0315528,0.0326202,0.0300168,0.0666425,0.046718,0.0486878,0.0630194,0.0493375,0.0243542,0.0559832,0.0592629,0.032592,0.0328745,0.014771,0.0367812,0.015709,0.0143841,0.0275585,0,0.0264098,0.0568869,0.0312717,0,0,0.0221562,0,0,0.021307,0.0722877,0.0219234,0.0227375,0.0223566,0.0595015,0.0381125,0.0654981,0.0795041,0.0528264,0.0351002,0.0234604,0,0.0351287,0.0189225,0.0366524,0.00716674,0.0122454,0.055686,0.0637867,0,0,0,0,0
356,0,0,0,0,0.0539354,0.0571448,0,0,0,0.0342296,0,0.0218056,0.0574629,0,0,0.0200377,0,0,0.0406484,0.0598074,0.0315843,0.0325987,0.0300273,0.0666088,0.0467604,0.0486684,0.0630205,0.0493243,0.0243778,0.0559746,0.0592813,0.0325786,0.0328622,0.014737,0.0368221,0.0157055,0.0143704,0.0276202,0,0.0263949,0.0569127,0.031262,0,0,0.0222242,0,0,0.0213495,0.0722767,0.0218849,0.0228268,0.0223775,0.0594124,0.0381301,0.0655401,0.079715,0.0528088,0.0351434,0.0235023,0,0.0351717,0.0188397,0.0366024,0.00715806,0.0122575,0.0555831,0.063755,0,0,0,0,0
357,0,0,0,0,0.0540408,0.0568026,0,0,0,0.039632,0,0.0203269,0.0570413,0,0,0.0209019,0,0,0.0398969,0.059849,0.0356302,0.0325987,0.0322731,0.0671041,0.0465449,0.0501565,0.0632978,0.0485004,0.0245774,0.0542515,0.0592711,0.0308564,0.0283027,0.0183892,0.036549,0.0163152,0.0140882,0.0298402,0,0.0265035,0.0566225,0.0314747,0,0,0.0212697,0,0,0.0223955,0.0719872,0.0213437,0.0228807,0.0225252,0.0599592,0.0379444,0.0656602,0.0799815,0.0528289,0.0353265,0.0232117,0,0.0351562,0.0162772,0.0368078,0.00755567,0.0129878,0.0549185,0.0639086,0,0,0,0,0
358,0,0,0,0,0.0539716,0.0571173,0,0,0,0.0343108,0,0.0217945,0.0574776,0,0,0.0199676,0,0,0.0405898,0.0598252,0.0315689,0.0325965,0.0299838,0.0665562,0.0467805,0.048611,0.0630096,0.0493509,0.0243814,0.0560142,0.05925,0.0326278,0.0329276,0.0147533,0.0368138,0.0154204,0.0146767,0.0276486,0,0.0264669,0.056929,0.0313702,0,0,0.0221609,0,0,0.0215214,0.0723383,0.0221181,0.0228498,0.0224106,0.0594373,0.0381823,0.0654997,0.0796405,0.0528336,0.035195,0.0235125,0,0.0352001,0.0188293,0.0366003,0.00711579,0.0125701,0.0551992,0.0637157,0,0,0,0,0
359,0,0,0,0,0.0539325,0.0571317,0,0,0,0.0343573,0,0.0217707,0.057467,0,0,0.0199719,0,0,0.0407138,0.059812,0.0315976,0.0325909,0.0299557,0.0665295,0.0468081,0.0486068,0.0630223,0.0493695,0.0243567,0.0560021,0.0592469,0.0326225,0.032917,0.0147517,0.0368277,0.015473,0.014607,0.0276988,0,0.0264902,0.0569352,0.0314006,0,0,0.0221879,0,0,0.0215187,0.0723624,0.0222276,0.0228576,0.0224269,0.0594565,0.0382331,0.0655404,0.0797237,0.0528406,0.0353032,0.0235083,0,0.0351762,0.0188077,0.0365478,0.00707309,0.0126114,0.0551218,0.0636519,0,0,0,0,0
360,0,0,0,0,0.0538933,0.0571012,0,0,0,0.0343478,0,0.0217521,0.0574684,0,0,0.0199848,0,0,0.0408064,0.0598077,0.031618,0.0325874,0.0298989,0.0665138,0.0468322,0.0485313,0.0630241,0.0494081,0.02435,0.0560251,0.0592737,0.0326209,0.0329571,0.0146856,0.0368361,0.0155499,0.0145778,0.0277182,0,0.0264568,0.0569295,0.0314175,0,0,0.0222321,0,0,0.0215519,0.0723707,0.0222132,0.0228176,0.0224714,0.0594872,0.0382772,0.0655536,0.0796448,0.0528451,0.035362,0.0234752,0,0.0351673,0.0187965,0.0365043,0.00710092,0.0126446,0.0550819,0.0636015,0,0,0,0,0
361,0,0,0,0,0.053851,0.0570835,0,0,0,0.0343788,0,0.0217202,0.0574805,0,0,0.0199596,0,0,0.0408781,0.0598083,0.0316526,0.0325958,0.0298558,0.0665038,0.0468545,0.04847,0.0630307,0.0494351,0.0243523,0.0560543,0.0592873,0.0326293,0.0330008,0.0146249,0.0368435,0.0155894,0.014567,0.0277243,0,0.0263959,0.0569211,0.0314254,0,0,0.0222812,0,0,0.021587,0.07234,0.0221066,0.0227146,0.0224907,0.0595108,0.0382997,0.0655871,0.0796295,0.0528515,0.0354027,0.023456,0,0.0351228,0.0187521,0.0365387,0.0070926,0.0126776,0.0551068,0.0635612,0,0,0,0,0
362,0,0,0,0,0.0538376,0.0570796,0,0,0,0.0344796,0,0.0216996,0.0575185,0,0,0.0199047,0,0,0.0408997,0.0597882,0.0316803,0.0326293,0.0298239,0.0665603,0.0468619,0.0484252,0.0630303,0.0494453,0.0243332,0.0560842,0.0593047,0.0326517,0.033035,0.0146051,0.0368511,0.015587,0.0145691,0.0277554,0,0.0263786,0.0568884,0.0314146,0,0,0.0223193,0,0,0.0215731,0.072337,0.0220563,0.0226977,0.0224519,0.0594874,0.0382884,0.0656084,0.0797193,0.0528909,0.0354465,0.0234612,0,0.0350798,0.0187192,0.0364962,0.00703581,0.0126951,0.0551508,0.0635471,0,0,0,0,0
363,0,0,0,0,0.05384,0.057082,0,0,0,0.0346069,0,0.0216818,0.0575526,0,0,0.019844,0,0,0.0408972,0.0597796,0.0317191,0.0326567,0.029805,0.0666403,0.0468501,0.0483913,0.063009,0.049461,0.024338,0.0561152,0.0593337,0.0326765,0.0330553,0.0145787,0.0368656,0.0155676,0.0145696,0.0277989,0,0.0263487,0.0568613,0.0314129,0,0,0.0223669,0,0,0.0215669,0.0723901,0.0219648,0.0227595,0.0224164,0.0594505,0.038277,0.0656372,0.079855,0.0529497,0.0355104,0.0234686,0,0.0351068,0.018642,0.036388,0.00700947,0.0127134,0.0551889,0.0635437,0,0,0,0,0
