Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RASI,RTIBI,
9,0,0,0,0,0.0596975,0.0534964,0,0,0,0.021618,0,0.0159176,0.0455588,0,0,0.0214024,0,0,0.0378247,0.0661948,0.0358329,0.0352079,0.0246423,0.0696116,0.042097,0.0535793,0.0745051,0.0525435,0.0144068,0.0579899,0.0594324,0.0303788,0.0395542,0.0466364,0.0354749,0.0137953,0.0148219,0.0100052,0,0.0261888,0.0315449,0,0,0.0224642,0,0,0.022961,0.0751391,0.0208754,0.021897,0.0243007,0.0572886,0.0367664,0.0703636,0.0864723,0.0530886,0.0231228,0.0210531,0.0277352,0.0287397,0.0505343,0.0394254,0.00686359,0.0115208,0.0467087,0.0748506,0,0,0,0,0,0
10,0,0,0,0,0.0595155,0.0535329,0,0,0,0.0215408,0,0.0159031,0.0455987,0,0,0.021412,0,0,0.0378563,0.0659705,0.035497,0.0353415,0.0244645,0.0697104,0.0420683,0.0536831,0.0746727,0.0525909,0.0145115,0.0578653,0.0594145,0.0303415,0.0392866,0.0462065,0.0353998,0.0138036,0.0148269,0.0100599,0,0.0260696,0.0315727,0,0,0.0224282,0,0,0.0229617,0.0751602,0.0209372,0.0219251,0.0239816,0.0573654,0.0368923,0.0703284,0.0865222,0.0531615,0.0231501,0.0210598,0.0278135,0.0287779,0.0503913,0.0392461,0.00678222,0.0118129,0.0464613,0.0745292,0,0,0,0,0,0
11,0,0,0,0,0.0593139,0.0535817,0,0,0,0.021483,0,0.0158729,0.045629,0,0,0.02142,0,0,0.037911,0.0657382,0.0351542,0.0355362,0.0243186,0.0698676,0.0420655,0.0537094,0.0748511,0.0526402,0.0145906,0.0577767,0.0594559,0.0303488,0.0390337,0.0457345,0.0353386,0.0138351,0.0148452,0.0102015,0,0.0259474,0.0315648,0,0,0.0224747,0,0,0.0230088,0.0751746,0.0210467,0.0218963,0.0236298,0.0574494,0.0370354,0.0702794,0.0865494,0.0531801,0.0231823,0.0210415,0.0279417,0.0288602,0.0503032,0.0390666,0.00672117,0.012109,0.046269,0.0742142,0,0,0,0,0,0
12,0,0,0,0,0.0591503,0.0536705,0,0,0,0.0214273,0,0.0158494,0.0454948,0,0,0.0214349,0,0,0.0380032,0.0656111,0.0347661,0.035918,0.0242565,0.0701353,0.0422272,0.0537828,0.0749847,0.0526248,0.014745,0.0577493,0.059565,0.0304182,0.0388476,0.04511,0.0352897,0.013848,0.0149455,0.0085819,0,0,0.0314557,0,0,0.0225466,0,0,0.0230656,0.0757616,0.0196273,0.0213844,0.023005,0.0573553,0.037156,0.0700947,0.0857902,0.052564,0.0234187,0.0215274,0.0279931,0.0299734,0.0499811,0.0388688,0.00664845,0.0123819,0.0461197,0.0739769,0,0,0,0,0,0
13,0,0,0,0,0.0589748,0.0537829,0,0,0,0.0214449,0,0.0157932,0.0457706,0,0,0.0214337,0,0,0.0380438,0.0653305,0.0344469,0.035908,0.0240692,0.0701894,0.042081,0.0535817,0.075225,0.0527634,0.0148585,0.0576233,0.0595773,0.0304105,0.0386113,0.0445908,0.0352152,0.0138767,0.0149364,0.0101852,0,0.0258112,0.0314772,0,0,0.0225669,0,0,0.0231946,0.0751279,0.0211789,0.0216391,0.0230615,0.0575322,0.0374452,0.070266,0.0866962,0.0533311,0.0234415,0.0210157,0.0281428,0.0289513,0.0503404,0.0386301,0.00658544,0.0127649,0.0461016,0.0734194,0,0,0,0,0,0
14,0,0,0,0,0.0588044,0.053888,0,0,0,0.0214439,0,0.0157504,0.0458356,0,0,0.0214195,0,0,0.0380934,0.0651542,0.0340982,0.036112,0.0239374,0.0703859,0.0420667,0.0535463,0.0754271,0.0528203,0.0150232,0.0575649,0.0596189,0.030432,0.0384192,0.0439844,0.0351559,0.0138757,0.014976,0.0102927,0,0.0257274,0.0313669,0,0,0.022398,0,0,0.0232459,0.0751105,0.0212698,0.0215269,0.0230634,0.0575515,0.0376647,0.0702694,0.0868058,0.0532633,0.0235514,0.0210257,0.0283075,0.0289864,0.0502577,0.0383993,0.00655452,0.0131314,0.0460989,0.0729913,0,0,0,0,0,0
15,0,0,0,0,0.0586238,0.0539976,0,0,0,0.0214623,0,0.0156938,0.0458417,0,0,0.0213839,0,0,0.038149,0.064964,0.0337455,0.0363608,0.0238322,0.0705941,0.0420657,0.0536876,0.0756174,0.0528655,0.0151711,0.0575107,0.0596718,0.030467,0.0382257,0.0433122,0.0350937,0.0138942,0.0150062,0.0103885,0,0.0256526,0.031323,0,0,0.0222387,0,0,0.0233259,0.0750821,0.0213908,0.0213737,0.0228555,0.0575767,0.0378889,0.0702383,0.086888,0.0532394,0.0235512,0.0210316,0.0284487,0.029029,0.0500997,0.0381841,0.0065282,0.0134909,0.0461752,0.0725829,0,0,0,0,0,0
16,0,0,0,0,0.0584462,0.054105,0,0,0,0.0215085,0,0.0156345,0.0458328,0,0,0.0213408,0,0,0.0382086,0.06475,0.0334185,0.036606,0.0237401,0.0707758,0.0420997,0.0539718,0.0757761,0.0529223,0.0153102,0.0574285,0.0597144,0.0304752,0.0380279,0.0425837,0.0350515,0.0139236,0.0150399,0.0104086,0,0.0255731,0.0313372,0,0,0.0221287,0,0,0.023428,0.0750006,0.0215011,0.0211916,0.0223409,0.0576186,0.0381066,0.0701961,0.0869608,0.0534783,0.0235611,0.0210279,0.0285498,0.029099,0.0498473,0.0379558,0.00649159,0.0138399,0.0463152,0.0721819,0,0,0,0,0,0
17,0,0,0,0,0.0582762,0.0541757,0,0,0,0.0215556,0,0.0155972,0.0457825,0,0,0.0213151,0,0,0.0383051,0.0645664,0.0331171,0.0368386,0.0236324,0.0709354,0.0421531,0.0541049,0.0759751,0.0529922,0.015549,0.05732,0.0597152,0.0304515,0.0378161,0.0418349,0.0350165,0.0139606,0.0150992,0.0103244,0,0.0254443,0.0313409,0,0,0.0220286,0,0,0.0235587,0.0749059,0.0215156,0.0210315,0.0219464,0.0576775,0.0383363,0.0701632,0.0870378,0.0538064,0.0236266,0.0210934,0.028624,0.0292306,0.049528,0.0377326,0.00645886,0.014207,0.0464753,0.0717686,0,0,0,0,0,0
18,0,0,0,0,0.058083,0.0542338,0,0,0,0.0215918,0,0.0155831,0.0457394,0,0,0.0212998,0,0,0.0383903,0.0644191,0.0328205,0.0370745,0.0234943,0.071098,0.0421334,0.0542787,0.0761838,0.0530389,0.0158581,0.0571637,0.0596588,0.030386,0.037555,0.0410199,0.0349927,0.0139945,0.015161,0.0102169,0,0.0252659,0.0313678,0,0,0.0219252,0,0,0.0237306,0.0748276,0.0214881,0.0209039,0.0217038,0.0577515,0.0385696,0.0700926,0.087075,0.0537728,0.0236854,0.0211864,0.0286,0.029411,0.049204,0.0375003,0.00645515,0.0145963,0.046732,0.0713676,0,0,0,0,0,0
