Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,RTIBI
19,0.0161775,0.0168888,0,0,0,0.0596839,0.021045,0.0358199,0.00764231,0,0,0,0,0.0108917,0,0.0168074,0.00626148,0.0362217,0.0281453,0.0217892,0.0102372,0,0,0.0200674,0.0149616,0.00720582,0.0166638,0.0140006,0.0345346,0.00665894,0.015921,0.0146994,0.00896429,0,0.0603361,0,0.0102886,0.00513414,0.00440609,0.00893436,0.028729,0.00893501,0.00403208,0.00677734,0,0,0.0492913,0,0.0301591,0.0336247,0.0381242,0.0192344,0.0297755,0.00809717,0.0157046,0.0157276,0.0182739,0.0141855,0.021071,0.0203379,0.0182012,0.00938665,0.0184576,0.0145102,0.0169889,0.0217674,0.0332046,0.0169379,0.00819114,0,0,0,0,0.0168679
20,0.0161834,0.0168318,0,0,0,0.0613218,0.0209289,0.0366208,0.00816907,0,0,0,0,0.010876,0,0.0167702,0.00624486,0.0361336,0.0286636,0.0219103,0.0102241,0,0,0.0202161,0.0145268,0.00739253,0.0165038,0.0142185,0.0349286,0.00680022,0.0161075,0.0147358,0.00878855,0,0.0622476,0,0.0102019,0.00509036,0.00440601,0.00916942,0.028832,0.0090313,0.00388489,0.00689262,0,0,0.0494493,0,0.0302338,0.0338952,0.0384107,0.0190331,0.0297329,0.00817732,0.0153305,0.0157708,0.0178981,0.0137527,0.0204087,0.019411,0.0178596,0.00940816,0.0180905,0.0145326,0.017209,0.0219473,0.0338088,0.0170583,0.00852811,0,0,0,0,0.0170179
21,0.0162438,0.0167876,0,0,0,0.0629668,0.0207755,0.0375074,0.0087212,0,0,0,0,0.010817,0,0.0166763,0.00626401,0.036021,0.0293797,0.022081,0.0102232,0,0,0.0202778,0.0140985,0.00754083,0.016272,0.0143547,0.0352255,0.00688983,0.016182,0.0148076,0.00871591,0,0.0640145,0,0.0101505,0.005022,0.0044781,0.00962897,0.0288742,0.00925003,0.00369226,0.00698784,0,0,0.0496956,0,0.0302375,0.0341375,0.0384839,0.0189753,0.0297603,0.00848098,0.014853,0.0157548,0.0175074,0.0132639,0.0196802,0.0185263,0.0175587,0.00959624,0.0179268,0.0150495,0.0174609,0.022186,0.0341159,0.0172189,0.00882715,0,0,0,0,0.0171353
22,0.0163658,0.0167197,0,0,0,0.064207,0.0207139,0.0381678,0.00926658,0,0,0,0,0.0106847,0,0.0166111,0.00629478,0.0358178,0.0301839,0.0222789,0.0101184,0,0,0.0202025,0.013686,0.00759296,0.0161345,0.0143623,0.0355839,0.00665356,0.0159699,0.0148788,0.00875916,0,0.0653079,0,0.010099,0.00500993,0.00454635,0.0100666,0.0288897,0.00993908,0.00350439,0.00698272,0,0,0.0499031,0,0.0301892,0.0343893,0.0384261,0.0195526,0.0299236,0.00893976,0.0142507,0.0157335,0.0170064,0.0131155,0.0189314,0.0179779,0.0176758,0.00979243,0.0182539,0.0158856,0.0177511,0.0225411,0.0345119,0.0173431,0.00909299,0,0,0,0,0.0172545
23,0.0165034,0.0166567,0,0,0,0.065171,0.0207039,0.0387224,0.0098259,0,0,0,0,0.0104664,0,0.0165453,0.00623357,0.0355948,0.0310317,0.0225518,0.0100056,0,0,0.0199996,0.01323,0.00757025,0.0160667,0.0143226,0.0359576,0.00636403,0.0154384,0.0148446,0.00887949,0,0.0663178,0,0.0100109,0.00499519,0.00457062,0.0109126,0.028854,0.0109568,0.00339467,0.00697384,0,0,0.0500658,0,0.0300822,0.0345936,0.0383219,0.0207245,0.0301807,0.00944643,0.0135995,0.0156991,0.0162188,0.0130407,0.0182296,0.0174525,0.0180299,0.0101004,0.0189243,0.016995,0.0180532,0.0228364,0.0349071,0.0173969,0.0092933,0,0,0,0,0.0174292
24,0.0166198,0.0166211,0,0,0,0.0660289,0.0207024,0.0395295,0.0104132,0,0,0,0,0.0102534,0,0.0164826,0.00615132,0.035413,0.0318983,0.0228096,0.0100254,0,0,0.0197495,0.0127482,0.00758985,0.0159059,0.0143701,0.036233,0.00616734,0.0148232,0.0148001,0.00901178,0,0.0672439,0,0.00979824,0.00496413,0.00455138,0.0124915,0.0288855,0.0124184,0.00333592,0.00692997,0,0,0.0503904,0,0.0300762,0.0347509,0.0383051,0.0225332,0.0304975,0.00999645,0.0130244,0.0156483,0.0155829,0.0129317,0.0176436,0.016784,0.0182886,0.0105854,0.0197863,0.0187911,0.0182532,0.0230044,0.0351911,0.0173959,0.00940523,0,0,0,0,0.0174419
25,0.0167202,0.0165431,0,0,0,0.0668891,0.020772,0.0404799,0.0106863,0,0,0,0,0.0100438,0,0.0164596,0.00608846,0.0352482,0.0327324,0.0230497,0.0101243,0,0,0.0194812,0.01227,0.00767725,0.0157598,0.0144595,0.0364717,0.00605636,0.0145252,0.0149489,0.00910216,0,0.0680716,0,0.00953087,0.00494917,0.00458803,0.014494,0.0289166,0.0143106,0.00334336,0.00674665,0,0,0.0507254,0,0.0300832,0.0347098,0.0384445,0.0246729,0.0308282,0.0104421,0.0125208,0.0155486,0.0151671,0.0128417,0.0171752,0.0160937,0.0183136,0.0111014,0.0205914,0.0213671,0.0183284,0.0229738,0.0353844,0.0172979,0.00945782,0,0,0,0,0.0173761
26,0.0168426,0.0164822,0,0,0,0.0676278,0.0208395,0.0411007,0.0105841,0,0,0,0,0.00973706,0,0.0165024,0.00601723,0.0350607,0.0333698,0.023264,0.0101942,0,0,0.01933,0.0118307,0.00780872,0.0156682,0.0145918,0.0366956,0.00605294,0.0145676,0.015196,0.00910312,0,0.0685806,0,0.00920254,0.00497817,0.00465229,0.0165375,0.0289495,0.0164627,0.00338364,0.0065686,0,0,0.0508033,0,0.0301146,0.0346764,0.0387621,0.0270465,0.0311696,0.0106732,0.0121517,0.0154753,0.0148701,0.0127859,0.0167321,0.0155034,0.018104,0.0115937,0.0211983,0.0244408,0.0184139,0.022877,0.0356193,0.0170981,0.00946742,0,0,0,0,0.0172079
27,0.0170097,0.0164378,0,0,0,0.0681377,0.0208024,0.0414061,0.0108312,0,0,0,0,0.00928894,0,0.0164389,0.00585585,0.0349512,0.033792,0.0234046,0.0101935,0,0,0.019337,0.0113713,0.00792759,0.0155841,0.0146992,0.0368579,0.00610369,0.014538,0.0152901,0.00904782,0,0.069043,0,0.00868582,0.00502441,0.00464381,0.0183945,0.0290005,0.0183393,0.00352144,0.00644138,0,0,0.050794,0,0.0301728,0.0347455,0.0391754,0.0297914,0.0315502,0.0107037,0.0119236,0.01543,0.0146532,0.0126767,0.0164629,0.0150442,0.0179535,0.0121202,0.0221205,0.0275686,0.0184824,0.0228931,0.035945,0.0168167,0.00943829,0,0,0,0,0.0170466
28,0.0172087,0.0163576,0,0,0,0.0685738,0.0207986,0.0415869,0.0112388,0,0,0,0,0.00893795,0,0.0164573,0.00569594,0.0349517,0.0341895,0.0235398,0.0102078,0,0,0.0194561,0.0109084,0.00800026,0.015456,0.0147818,0.0369305,0.00618558,0.0143939,0.0152144,0.00897295,0,0.0693722,0,0.00815948,0.00509001,0.00464725,0.0199417,0.0290213,0.0199733,0.00369458,0.00637361,0,0,0.0509775,0,0.0301825,0.0346766,0.0396403,0.0328433,0.0319933,0.0105635,0.0117984,0.0153431,0.0144955,0.0124942,0.0163256,0.0146806,0.017811,0.0128108,0.0229748,0.0307898,0.0184399,0.0229815,0.0360035,0.0164916,0.009407,0,0,0,0,0.0168679
