Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LWRA,LBR
20,0.00591203,0.00574529,0,0,0,0.0453265,0.0179787,0.0202076,0.00790584,0,0,0,0.00394919,0,0.0203502,0.00250615,0.0383078,0.00702734,0.018688,0.00700584,0,0,0.00587947,0.00410688,0.0131196,0.0103249,0.0107191,0.0275535,0.0128244,0.0169974,0.00933459,0.0263856,0,0.0555045,0,0.00462846,0.00171362,0.0157171,0.0139486,0.0119843,0.0109882,0.00526291,0,0,0.0101594,0,0.0131602,0.00727394,0.0371737,0.0211522,0.0267216,0.020437,0.0125984,0.00756426,0.00489103,0.0207594,0.0054472,0.00799151,0.0145708,0.0298045,0.0104585,0.0170639,0.0166276,0.00396995,0.00810619,0,0.00606754,0.00311312,0,0,0,0,0.00452833,0
21,0.00570774,0.00497386,0,0,0,0.0414838,0.0177758,0.018181,0.00760742,0,0,0,0.00361198,0,0.0204047,0.00234089,0.0384345,0.00507969,0.0196053,0.00789258,0,0,0.00586499,0.00375435,0.0138545,0.0109186,0.0129531,0.028215,0.0133376,0.0181475,0.0100575,0.0271915,0,0.0506898,0,0.00450419,0.00163603,0.0157344,0.0136323,0.0119128,0.0111567,0.00522778,0,0,0.0104627,0,0.0137412,0.00723951,0.0375839,0.020975,0.0263662,0.0207848,0.012871,0.00725578,0.00517971,0.0206727,0.00592939,0.00847949,0.0147289,0.0296127,0.0103525,0.0170075,0.0167517,0.00370152,0.00711133,0.00870729,0.00568988,0.0034712,0,0,0,0,0.00435908,0
22,0.00537744,0.00436859,0,0,0,0.0361488,0.0175156,0.0157736,0.00724391,0,0,0,0.00310361,0,0.0204884,0.00207718,0.0384053,0.00659892,0.0205599,0.0124059,0,0,0.00571036,0.0033412,0.0142974,0.01258,0.0152426,0.0288342,0.0141297,0.0194224,0.0110592,0.0282913,0,0.0441615,0,0.00418645,0.001473,0.0158561,0.0137417,0.0120572,0.0113382,0.00523337,0,0,0.0100547,0,0.0137773,0.00725175,0.0380203,0.0211102,0.0261125,0.0213467,0.0129028,0.0067853,0.00542549,0.0204931,0.00653535,0.00906029,0.0149879,0.0294022,0.0103036,0.0171359,0.0169287,0.00356762,0.00731883,0.00885164,0.00519531,0.00375675,0,0,0,0,0.00425539,0
23,0.00505764,0.00406438,0,0,0,0.030629,0.0173488,0.0132956,0.00664786,0,0,0,0.0025469,0,0.0204129,0.00189308,0.0382049,0.00986935,0.0212342,0.0181776,0,0,0.00546948,0.00296006,0.0145105,0.0153595,0.0173358,0.0293165,0.0151617,0.0203357,0.0118772,0.0292326,0,0.0370098,0,0.00377493,0.00138875,0.0158938,0.0138548,0.0121038,0.0116118,0.00524848,0,0,0.00958666,0,0.0137804,0.00724392,0.0384398,0.0211877,0.0259201,0.02152,0.0127025,0.00642279,0.00556405,0.0204389,0.00684421,0.00939405,0.0150772,0.029392,0.0102842,0.0171842,0.0168927,0.00336339,0.00752075,0.00914114,0.00472283,0.00394662,0,0,0,0,0.00422975,0
24,0.00497255,0.00415958,0,0,0,0.026158,0.0175472,0.0113403,0.00575598,0,0,0,0.00275417,0,0.0204365,0.00193443,0.0380256,0.0138771,0.0215338,0.0235963,0,0,0.00522568,0.00263476,0.0150665,0.0189629,0.0193448,0.0296377,0.0162622,0.0206856,0.0123358,0.0295402,0,0.0304171,0,0.00375666,0.00127945,0.0159363,0.0136786,0.0120662,0.0115781,0.00478423,0,0,0.011297,0,0.0137943,0.00802292,0.0387918,0.0210536,0.0258716,0.0214473,0.0122014,0.00615938,0.00557515,0.0205141,0.00696228,0.00948022,0.015058,0.0295242,0.0102875,0.0171295,0.0170335,0.00369841,0.00776871,0.00977257,0.00471813,0.00345662,0,0,0,0,0.00442682,0
25,0.0047956,0.00297842,0,0,0,0.0237868,0.0177534,0.011617,0.00495172,0,0,0,0.00212507,0,0.0203515,0.00214736,0.0378788,0.0178405,0.0217111,0.0286714,0,0,0.005178,0.00310841,0.0161372,0.0232095,0.0214603,0.0299047,0.017491,0.0209218,0.0122937,0.0295123,0,0.0258079,0,0.00275581,0.00152832,0.0157256,0.0141928,0.0118856,0.0115058,0.00561423,0,0,0.00840887,0,0.0137456,0.00716206,0.0390286,0.0210281,0.0258298,0.0212363,0.0118484,0.00663144,0.0055555,0.0205812,0.00694643,0.00950447,0.0150974,0.0296339,0.0103256,0.0171593,0.0172023,0.00276307,0.00808165,0.00966813,0.00387953,0.00437124,0,0,0,0,0.00433069,0
26,0.00445328,0.00376733,0,0,0,0.0231418,0.0176868,0.0131661,0.0042763,0,0,0,0.00230998,0,0.0204597,0.00172044,0.0379295,0.020884,0.0216252,0.0328192,0,0,0.00513456,0.00231295,0.0174779,0.0267422,0.0227396,0.0302619,0.0188187,0.0208477,0.0118193,0.0291569,0,0.0232619,0,0.00340196,0.00130399,0.0154312,0.0138491,0.0116204,0.011436,0.00442795,0,0,0.0112667,0,0.0137502,0.00822695,0.0392147,0.021157,0.0258893,0.0208717,0.0113697,0.0063678,0.00550876,0.0206416,0.00684051,0.00950593,0.0151381,0.0297213,0.0103284,0.0172716,0.0171489,0.0032412,0.00840098,0.0103223,0.00426688,0.00294596,0,0,0,0,0.00437096,0
27,0.00427768,0.00378167,0,0,0,0.0223533,0.0175742,0.0140084,0.00362242,0,0,0,0.00222239,0,0.0203592,0.00159634,0.0381271,0.0221993,0.0213854,0.0350332,0,0,0.00513021,0.00242201,0.0184781,0.0284598,0.0225544,0.0305916,0.0199078,0.0201595,0.0112476,0.0287256,0,0.0207978,0,0.00338335,0.00107058,0.0145956,0.0139338,0.0108055,0.0114612,0.00432287,0,0,0.0110988,0,0.013709,0.00828076,0.0393692,0.0213495,0.0258917,0.0196894,0.0109278,0.00666733,0.00545896,0.020701,0.00623059,0.00924761,0.0151656,0.0299103,0.0103658,0.0173718,0.0168624,0.0029263,0.00888417,0.0105018,0.00405769,0.00260391,0,0,0,0,0.00425237,0
28,0.00436546,0.00406051,0,0,0,0.0123458,0.0176379,0.00365793,0.0031003,0,0,0,0.00221928,0,0.0202233,0.0013822,0.0385049,0.0155195,0.0212011,0.032672,0,0,0.0053189,0.00203719,0.0181905,0.0265816,0.0196696,0.0311725,0.0206484,0.0203795,0.0116577,0.025962,0,0.0187293,0,0.00331182,0.000954099,0.0155775,0.0142055,0.0116014,0.0116076,0.00400425,0,0,0.0102133,0,0.0136049,0.00796522,0.0395397,0.0212713,0.0259548,0.02021,0.0107205,0.00635841,0.00550299,0.0208478,0.00675505,0.00928911,0.0150002,0.0298323,0.0102553,0.0171359,0.0172286,0.00234289,0.00889781,0.0105873,0.00418902,0.00191402,0,0,0,0,0.00425035,0
29,0.0043298,0.00366827,0,0,0,0.0146526,0.017567,0.00987545,0.00335205,0,0,0,0.00271157,0,0.0201745,0.00152488,0.0388401,0.0171479,0.0213318,0.0303459,0,0,0.00523712,0.00279071,0.0176432,0.0244425,0.0165308,0.0314381,0.0218016,0.0227598,0.0153902,0.0232359,0,0.0253561,0,0.00340797,0.00103835,0.0127835,0.0140478,0.00907157,0.0114003,0.00435215,0,0,0.0108952,0,0.0136709,0.00827046,0.0394926,0.0213569,0.0256611,0.0167583,0.0103657,0.00704834,0.00553298,0.0207927,0.00470406,0.00875661,0.0152458,0.0300916,0.0103388,0.0174816,0.0168064,0.002769,0.00966226,0.0108563,0.00401082,0.00202266,0,0,0,0,0.00416139,0
