Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LBR
103,0.00932736,0.0037577,0,0,0,0.0140538,0.0146912,0.00693771,0.00703391,0,0,0,0.0148572,0,0.020504,0.0110674,0.0331811,0.0116691,0.0174275,0.0111946,0,0,0.00543276,0.010831,0.00350849,0.00553687,0.00699606,0.0305713,0.00895174,0.00743372,0.0081899,0.0180159,0,0.028357,0,0.0114814,0.00243468,0.00703377,0.00682854,0.0156937,0.0062055,0.0102673,0.010452,0,0,0.0171182,0,0.0152464,0.00992755,0.035027,0.0115538,0.0324067,0.0112774,0.0143186,0.0141826,0.00625551,0.0242698,0.0130644,0.0100757,0.0115904,0.0377758,0.00856863,0.00991961,0.00845461,0.00618712,0.00643293,0.0105594,0.00303734,0.00863805,0,0,0,0,0
104,0.00947254,0.00317059,0,0,0,0.0178337,0.0149335,0.0063913,0.00696869,0,0,0,0.0132164,0,0.0203225,0.0101307,0.0330067,0.00817689,0.01685,0.0140273,0,0,0.00463,0.0100114,0.0032541,0.00776554,0.0103495,0.0313388,0.00741564,0.00638742,0.00226043,0.0213494,0,0.0322965,0,0.0100593,0.00229523,0.00662774,0.008043,0.0160481,0.00586051,0.0105133,0.0104473,0,0,0.0141162,0,0.0152144,0.00855172,0.033841,0.00990225,0.0328192,0.0126193,0.0141942,0.0134233,0.00676421,0.0252239,0.0139932,0.0105161,0.0113172,0.036701,0.00705738,0.0100242,0.00930953,0.00522861,0.00606268,0.0100921,0.00210121,0.00871246,0,0,0,0,0
105,0.00892884,0.00260848,0,0,0,0.0171065,0.015404,0.00838613,0.00653858,0,0,0,0.0107118,0,0.0199367,0.00861277,0.0329132,0.0115162,0.0167291,0.0136912,0,0,0.00420901,0.00846328,0.00292967,0.00913633,0.0114369,0.031894,0.00579421,0.00568086,0.00278541,0.023821,0,0.0321086,0,0.00828893,0.00231237,0.0060383,0.00878457,0.0156713,0.00640071,0.0104695,0.00917764,0,0,0.0164067,0,0.0151708,0.00944087,0.0333636,0.00954369,0.0330265,0.0139947,0.0141365,0.0128181,0.00742283,0.0254529,0.0144442,0.0112804,0.0112132,0.0357397,0.00591481,0.0103374,0.00983545,0.00550881,0.00605811,0.0103483,0.000929022,0.00847277,0,0,0,0,0
106,0.00858277,0.0024934,0,0,0,0.0161743,0.0154227,0.00936685,0.00594799,0,0,0,0.0093423,0,0.0198954,0.00768009,0.0329482,0.0141454,0.0166203,0.0122922,0,0,0.00375868,0.00789348,0.00261191,0.0105459,0.0115145,0.0324554,0.00409398,0.00576335,0.00408127,0.025625,0,0.0298071,0,0.00727222,0.0022879,0.00549562,0.0096658,0.0156542,0.00748271,0.0101428,0.00904096,0,0,0.0159545,0,0.0151422,0.00918024,0.0333263,0.0103751,0.0331901,0.0148137,0.0139596,0.0130643,0.00806673,0.0252096,0.014657,0.0122492,0.0114038,0.0350341,0.00525218,0.0109718,0.0100137,0.00518017,0.00601802,0.0102197,0.00120122,0.00842284,0,0,0,0,0
107,0.00830143,0.00285821,0,0,0,0.0163213,0.0150266,0.00971719,0.00538927,0,0,0,0.00942415,0,0.0201814,0.00750989,0.0331786,0.0167526,0.0165353,0.0105572,0,0,0.00319575,0.00826856,0.0028272,0.0121404,0.0111685,0.0330941,0.00263488,0.00645191,0.00524754,0.0268834,0,0.0262142,0,0.00709498,0.00214778,0.00482452,0.010714,0.0157195,0.0086121,0.00960525,0.00973141,0,0,0.0152138,0,0.0151365,0.00889232,0.0336093,0.0113887,0.0333736,0.0146563,0.0135305,0.0142452,0.00855761,0.0247797,0.0145691,0.0128963,0.0113944,0.0345165,0.00493712,0.0120416,0.00937527,0.00503023,0.00604636,0.0100255,0.00239012,0.00834469,0,0,0,0,0
108,0.00793042,0.00288299,0,0,0,0.0164362,0.0150453,0.00990992,0.00490229,0,0,0,0.00804044,0,0.0203736,0.00632618,0.0333017,0.0186951,0.016454,0.0089542,0,0,0.00304351,0.00768565,0.00378728,0.0135638,0.0107824,0.0338258,0.00196241,0.00716963,0.00644259,0.0280047,0,0.0240486,0,0.00602483,0.00216231,0.0042776,0.010987,0.0157976,0.00949724,0.00917447,0.00939131,0,0,0.0158063,0,0.0151519,0.00898024,0.0339903,0.0124638,0.0335871,0.0145021,0.0134635,0.0146654,0.00897174,0.0245139,0.0145521,0.0132774,0.0116026,0.0341426,0.00494507,0.0124285,0.0090984,0.00507731,0.00612443,0.0100883,0.00249322,0.00799737,0,0,0,0,0
109,0.00778833,0.00297722,0,0,0,0.0180588,0.0154096,0.00961955,0.00451368,0,0,0,0.0066115,0,0.0205229,0.00528736,0.0331901,0.0198613,0.0163696,0.00802802,0,0,0.00334846,0.00725746,0.00524507,0.0147518,0.0102457,0.0346609,0.00291404,0.00821599,0.00738665,0.0288961,0,0.0216731,0,0.00498517,0.00233746,0.00372804,0.0110707,0.0158387,0.010077,0.0086962,0.00916554,0,0,0.0164155,0,0.0151211,0.00912378,0.0340825,0.0134041,0.0338431,0.0144609,0.013453,0.0152135,0.00930269,0.0245323,0.0143624,0.0134123,0.0120118,0.0339587,0.00512747,0.0123106,0.00858326,0.00527683,0.00624543,0.0100846,0.00291592,0.00756881,0,0,0,0,0
110,0.00787998,0.00306275,0,0,0,0.0198755,0.0159286,0.00907006,0.00415484,0,0,0,0.00523294,0,0.0202666,0.00438869,0.0332427,0.020329,0.0163354,0.00799587,0,0,0.00422698,0.00706561,0.00670702,0.0155541,0.00974446,0.0355108,0.00456199,0.00945402,0.00808781,0.0296937,0,0.0197859,0,0.00400551,0.00261921,0.00311191,0.0110923,0.0157752,0.0106122,0.00825375,0.00900884,0,0,0.0168501,0,0.0150433,0.0092376,0.033847,0.0143668,0.034113,0.0145569,0.0136827,0.0157231,0.00958528,0.0247176,0.0140859,0.013447,0.0123868,0.0337975,0.00533247,0.0123482,0.00819437,0.00557158,0.0063374,0.010009,0.0033085,0.00713475,0,0,0,0,0
111,0.00804111,0.00315697,0,0,0,0.0211677,0.0163768,0.00859427,0.00398508,0,0,0,0.00400389,0,0.019768,0.00362459,0.0334013,0.0204636,0.0164096,0.0088269,0,0,0.00543638,0.00710534,0.00797794,0.0161276,0.00908344,0.0361861,0.00646667,0.0106831,0.00878483,0.030558,0,0.0199802,0,0.00314079,0.00278212,0.00255857,0.01103,0.0156503,0.0110451,0.0079286,0.00893523,0,0,0.0170384,0,0.0149376,0.00927935,0.0333526,0.0152221,0.0343666,0.0144413,0.0139015,0.0161344,0.00988179,0.0250299,0.0137771,0.0134169,0.0123462,0.0336256,0.00544161,0.012564,0.00776362,0.00580238,0.00652778,0.00985495,0.00359148,0.00678318,0,0,0,0,0
112,0.0080957,0.0033088,0,0,0,0.0221871,0.0166121,0.00823051,0.00404012,0,0,0,0.00318332,0,0.0196784,0.00297572,0.033521,0.0206148,0.0165711,0.0100949,0,0,0.0066107,0.00724994,0.00894127,0.0165851,0.00832407,0.0365641,0.00811468,0.0115137,0.00973984,0.0314735,0,0.0246204,0,0.00265923,0.00284718,0.00223706,0.0109697,0.0156372,0.0115521,0.00762419,0.008758,0,0,0.0171594,0,0.0149129,0.00934214,0.0327323,0.0162229,0.0345517,0.0142707,0.0138549,0.0164323,0.0101134,0.0253647,0.0136267,0.0134248,0.0120655,0.0333752,0.00538789,0.0131508,0.00726482,0.00586428,0.00674856,0.00982782,0.00381772,0.00652823,0,0,0,0,0
