Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
198,0.0160138,0.0112886,0,0,0,0.0181892,0.0187133,0.0236435,0.0116245,0,0,0,0,0.0105636,0,0.0180173,0.00727797,0.0354753,0.0246369,0.0197668,0.00910024,0,0,0.0217697,0.0118904,0.0101116,0.00947266,0.0129359,0.0346245,0.00915033,0.011221,0.0141676,0.0105539,0,0.00554066,0,0.0123318,0.00425476,0.00536228,0.0387015,0.0148496,0.0384306,0.00891305,0.00418446,0,0,0.0193095,0,0.0114307,0.0119006,0.0326622,0.0362148,0.0312631,0.025173,0.0105292,0.013631,0.0162927,0.0228427,0.0286926,0.0212828,0.0144985,0.0288356,0.00968086,0.0169315,0.0473954,0.0121138,0.00573988,0.00506828,0.00447324,0.00855242,0,0,0,0
199,0.0157557,0.0115452,0,0,0,0.0205121,0.0188485,0.0252198,0.0107776,0,0,0,0,0.0109574,0,0.0180282,0.0076351,0.0353909,0.0250178,0.0194725,0.00756588,0,0,0.02187,0.0118586,0.00941787,0.00813471,0.0127259,0.034836,0.00826074,0.0119378,0.0139813,0.0110192,0,0.0065379,0,0.0123364,0.00431186,0.00527496,0.0372913,0.0147238,0.03712,0.00881105,0.00448089,0,0,0.0194028,0,0.0112605,0.0120322,0.0324524,0.0344693,0.0312669,0.0248825,0.010708,0.013845,0.0162273,0.0220917,0.0281149,0.0213117,0.0147328,0.0281711,0.00971247,0.017164,0.046016,0.0120836,0.0060164,0.00521061,0.00489155,0.00869311,0,0,0,0
200,0.0156866,0.0118525,0,0,0,0.0242517,0.0190039,0.0265961,0.00988262,0,0,0,0,0.011418,0,0.018027,0.00783447,0.0353249,0.0250846,0.0192681,0.00623435,0,0,0.0218354,0.0118701,0.0086708,0.00773606,0.0126181,0.0352007,0.00757543,0.0133346,0.0138441,0.0114827,0,0.0144224,0,0.0123149,0.00439375,0.00519025,0.0365529,0.014519,0.0363269,0.00844298,0.00486007,0,0,0.0196163,0,0.0110575,0.0122085,0.0322899,0.0333144,0.031246,0.0240723,0.0109113,0.0142218,0.0160603,0.0212372,0.0274833,0.0213132,0.0147144,0.0277689,0.00968121,0.017313,0.0449462,0.0121794,0.00646445,0.00555657,0.00540996,0.00890635,0,0,0,0
201,0.0158532,0.0122169,0,0,0,0.0282445,0.0191667,0.0277347,0.00903515,0,0,0,0,0.011914,0,0.0180189,0.00787691,0.0354284,0.0248364,0.0191057,0.00535309,0,0,0.0216577,0.0118921,0.0081893,0.00852318,0.0127912,0.035793,0.00721168,0.0148398,0.0137801,0.0119817,0,0.0221304,0,0.0122362,0.00449564,0.00508679,0.0367896,0.0146034,0.0364214,0.0078639,0.0054043,0,0,0.0200144,0,0.0110927,0.0124153,0.0327202,0.03308,0.031266,0.0231825,0.0111449,0.0147318,0.0157709,0.0203547,0.0266937,0.0213647,0.0147146,0.0275869,0.00978665,0.0174099,0.0446296,0.0123884,0.00664206,0.00581587,0.00599945,0.00922266,0,0,0,0
202,0.0161032,0.0126262,0,0,0,0.032065,0.0193879,0.0286483,0.00829467,0,0,0,0,0.012439,0,0.0180538,0.00787927,0.0355091,0.0245188,0.0189778,0.0049423,0,0,0.0212,0.0119834,0.00815524,0.0100193,0.0132348,0.0365887,0.00723343,0.0164024,0.0138345,0.0126153,0,0.029425,0,0.0121876,0.00463473,0.00501052,0.0378614,0.0147178,0.0373601,0.00722058,0.00596547,0,0,0.0203696,0,0.0111198,0.0125562,0.0332816,0.0336483,0.0313349,0.0223229,0.011353,0.0152092,0.0155172,0.0195965,0.0257973,0.0211462,0.0147063,0.0275213,0.0100172,0.0175935,0.0450138,0.0126103,0.00657676,0.00593265,0.00657861,0.00958579,0,0,0,0
203,0.0163587,0.0130283,0,0,0,0.0358618,0.0195735,0.0294703,0.00766148,0,0,0,0,0.0131192,0,0.0181253,0.00803062,0.0353172,0.0247471,0.018863,0.00498083,0,0,0.0204091,0.0121721,0.00857821,0.0118141,0.0137012,0.0374639,0.00753065,0.0181481,0.0137614,0.0135431,0,0.0373031,0,0.0122608,0.00473816,0.00493701,0.0386375,0.0146184,0.0380984,0.0067259,0.00652645,0,0,0.0205785,0,0.0110258,0.0126141,0.0336058,0.0339762,0.0314789,0.0222409,0.011525,0.0156422,0.0153844,0.0191837,0.0251438,0.0210296,0.0147525,0.0275151,0.0099767,0.0177192,0.0451893,0.0128427,0.00653885,0.00589978,0.00705279,0.0100104,0,0,0,0
204,0.0165085,0.0133512,0,0,0,0.0401682,0.0196766,0.030349,0.00722368,0,0,0,0,0.0137734,0,0.0181685,0.00829999,0.0352423,0.0262247,0.0188152,0.00522297,0,0,0.0193945,0.0124328,0.00926229,0.0135397,0.0139702,0.0381013,0.00792234,0.0196513,0.0134241,0.0147953,0,0.0465148,0,0.0124871,0.00478656,0.00489776,0.0389749,0.014349,0.0383857,0.0063802,0.00698495,0,0,0.0204746,0,0.0108572,0.0126287,0.0336538,0.0338942,0.0316507,0.0221514,0.0117438,0.0159482,0.0152286,0.0190491,0.0247622,0.0205811,0.0145374,0.0275152,0.00982951,0.0175223,0.0449885,0.0130206,0.00663102,0.00603729,0.00738472,0.0104618,0,0,0,0
205,0.016587,0.0135552,0,0,0,0.0451547,0.019703,0.0312937,0.00702548,0,0,0,0,0.0143732,0,0.0181588,0.00860142,0.0352887,0.0292634,0.0188078,0.00552089,0,0,0.0182419,0.01263,0.0096898,0.014894,0.0137465,0.0382187,0.00828852,0.0208358,0.0129385,0.0162144,0,0.0560074,0,0.0127333,0.00478631,0.00484008,0.0387785,0.0142729,0.0380835,0.00620472,0.00726241,0,0,0.020304,0,0.0108011,0.0125966,0.0331962,0.0333356,0.0318196,0.0218742,0.0119274,0.016209,0.0150238,0.0190907,0.0244902,0.0200914,0.0140034,0.0274521,0.00979933,0.0171534,0.0442099,0.0130923,0.0065793,0.00610777,0.00758225,0.0108625,0,0,0,0
206,0.0166035,0.0136067,0,0,0,0.0499216,0.0197624,0.0323547,0.00707236,0,0,0,0,0.0148958,0,0.0181983,0.00894135,0.035264,0.032867,0.0187679,0.00597441,0,0,0.0171633,0.0127483,0.0097002,0.0160484,0.0131225,0.0379215,0.00880196,0.0219812,0.0127482,0.0174073,0,0.0635676,0,0.0129884,0.00486024,0.00479444,0.0379596,0.0143922,0.0372088,0.00610565,0.00731972,0,0,0.0202476,0,0.0108659,0.0125365,0.0324779,0.0322964,0.0320111,0.0214826,0.0121036,0.0164188,0.0149268,0.0191875,0.0243782,0.0196845,0.0135085,0.0273017,0.00990433,0.0168263,0.042837,0.0130306,0.0063383,0.00596915,0.00768043,0.0111967,0,0,0,0
207,0.0164813,0.0134589,0,0,0,0.0535349,0.0197881,0.0331085,0.00711228,0,0,0,0,0.0154324,0,0.0182444,0.00921736,0.0352557,0.0347523,0.0188437,0.00656294,0,0,0.0163066,0.0128637,0.00956295,0.0170343,0.0124418,0.0375712,0.00949392,0.0230322,0.0129989,0.0182623,0,0.0692251,0,0.013248,0.00489051,0.00478001,0.036856,0.0146535,0.036117,0.00603931,0.00726261,0,0,0.0202778,0,0.0110085,0.012457,0.0319208,0.0311667,0.0321732,0.0209822,0.012351,0.0164675,0.0151003,0.0191838,0.0245792,0.0194996,0.0130934,0.0270596,0.010029,0.016761,0.0412395,0.0128504,0.00596337,0.00552323,0.00766245,0.0114758,0,0,0,0
