Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RTIBI,x73
203,0.0145506,0.0167227,0,0,0,0.0605003,0.0215311,0.0294349,0.007822,0,0,0,0,0.0192918,0,0.0168953,0.00876116,0.0353575,0.0353472,0.0210128,0.0123504,0,0,0.0229167,0.0140024,0.0105202,0.0135555,0.0136617,0.0315787,0.0108972,0.0238898,0.0103472,0.0170781,0,0.0843559,0,0.0112305,0.00495226,0.0064546,0.01377,0.0122885,0.0130442,0.016281,0.00741925,0,0,0.0139702,0,0.00948503,0.00798568,0.0370668,0.0059058,0.026985,0.0213543,0.0317446,0.0221728,0.0172962,0.0153563,0.0146478,0.0191578,0.00889459,0.0235563,0.00886348,0.0166152,0.0125878,0.00827252,0.00624722,0.0188795,0.0164161,0,0,0,0.00997961,0
204,0.0148275,0.0167246,0,0,0,0.0587431,0.021586,0.0285486,0.00793823,0,0,0,0,0.0198037,0,0.0168756,0.00898415,0.0354298,0.03421,0.0207656,0.0116084,0,0,0.0233649,0.0141261,0.0102949,0.0118583,0.0127871,0.0313608,0.0103562,0.0227187,0.0103376,0.0164338,0,0.0820389,0,0.0113125,0.00499579,0.00654643,0.0133421,0.0122863,0.0130683,0.0166189,0.00778098,0,0,0.0144485,0,0.00946775,0.00813906,0.0372015,0.00568479,0.0267499,0.0217346,0.0324211,0.0225016,0.0174114,0.015503,0.0148789,0.0194862,0.00922781,0.0232502,0.00908366,0.0158774,0.012944,0.0083609,0.00623246,0.0185002,0.0161703,0,0,0,0.0100725,0
205,0.0150978,0.0167334,0,0,0,0.0564861,0.0216367,0.0282471,0.00807331,0,0,0,0,0.0201663,0,0.0168424,0.00910562,0.0355903,0.0328631,0.0205828,0.0111601,0,0,0.0238592,0.014173,0.00997738,0.010207,0.0118068,0.0313031,0.00995966,0.0216838,0.0104718,0.0159212,0,0.078504,0,0.0113944,0.00499839,0.00660786,0.0132131,0.0123149,0.0132043,0.0169182,0.00807566,0,0,0.014867,0,0.00947423,0.00821142,0.0373509,0.00597692,0.0265255,0.021741,0.033009,0.0228355,0.0175839,0.0157497,0.0150425,0.0197321,0.00928135,0.0229485,0.00930153,0.0155455,0.0133104,0.00843681,0.00623688,0.0182167,0.0159,0,0,0,0.0100573,0
206,0.0152663,0.0166905,0,0,0,0.0533999,0.0216678,0.028492,0.00818846,0,0,0,0,0.0202769,0,0.016798,0.00912461,0.0358011,0.0317538,0.0205628,0.0111969,0,0,0.0243348,0.0141423,0.0095208,0.00876343,0.010668,0.0313132,0.00973819,0.0206726,0.010525,0.0156199,0,0.0736899,0,0.0114749,0.00494803,0.00657249,0.0130602,0.0123436,0.0132306,0.0171475,0.00822285,0,0,0.0150903,0,0.0094893,0.00825285,0.0374853,0.00651825,0.0263534,0.0217774,0.0334539,0.0231048,0.0176932,0.0158976,0.0151494,0.0199916,0.00919401,0.0226732,0.00955749,0.0153421,0.0136139,0.00846672,0.0062527,0.0179796,0.0156676,0,0,0,0.0100298,0
207,0.0152877,0.0165176,0,0,0,0.0494614,0.0215945,0.0286924,0.00826675,0,0,0,0,0.0204724,0,0.0167725,0.00923435,0.0360129,0.0310798,0.0207426,0.0115101,0,0,0.0246424,0.0141017,0.00892361,0.00772953,0.00967313,0.0313755,0.00970584,0.0196777,0.0104276,0.0154907,0,0.0675723,0,0.011638,0.00479131,0.00656666,0.0128915,0.0122754,0.0132395,0.0173057,0.0082726,0,0,0.0150495,0,0.00947997,0.00822771,0.037611,0.00708862,0.0262613,0.0220465,0.0336855,0.0231868,0.0177449,0.0159224,0.0151609,0.0202327,0.00910461,0.0224504,0.00998682,0.0151514,0.0137146,0.008569,0.00631271,0.0177053,0.0155071,0,0,0,0.0101263,0
208,0.0151905,0.0162388,0,0,0,0.0447551,0.0214715,0.0283687,0.0083138,0,0,0,0,0.0205728,0,0.0167502,0.00931171,0.0361793,0.0303269,0.0210939,0.0119539,0,0,0.0246988,0.0139186,0.00828115,0.0073124,0.00916588,0.0316019,0.00979788,0.018626,0.0101509,0.0153871,0,0.0601015,0,0.0117662,0.00457397,0.006583,0.0128407,0.0122096,0.0134001,0.0174407,0.00827338,0,0,0.0150568,0,0.00946673,0.00815919,0.0377675,0.00737949,0.0262536,0.0222717,0.033582,0.0230973,0.0177669,0.015902,0.0151178,0.0202413,0.00908575,0.0222616,0.0100643,0.0150863,0.0136561,0.00870674,0.00637305,0.0173723,0.0153436,0,0,0,0.0103231,0
209,0.0150548,0.0158966,0,0,0,0.0393881,0.0214678,0.026988,0.00830855,0,0,0,0,0.0205223,0,0.0167578,0.0095013,0.0362361,0.0288943,0.0216009,0.0122763,0,0,0.0243975,0.0136148,0.00778781,0.00777079,0.00934879,0.032097,0.00976546,0.0172452,0.0102494,0.0151542,0,0.0514416,0,0.0117858,0.00464592,0.00655013,0.0128136,0.0122491,0.0135748,0.0175433,0.00825909,0,0,0.0149627,0,0.0095044,0.00814806,0.0379493,0.00778091,0.0263212,0.02241,0.0330533,0.0228091,0.0177168,0.015878,0.0150332,0.0202474,0.00898162,0.0221688,0.00935121,0.0151489,0.0135066,0.00883334,0.00643082,0.0169438,0.0150658,0,0,0,0.0104567,0
210,0.0147956,0.0153791,0,0,0,0.0346,0.0214284,0.0253231,0.0082417,0,0,0,0,0.0203736,0,0.0167679,0.00984083,0.0362864,0.0275305,0.0221903,0.0124562,0,0,0.0237739,0.0131312,0.00796164,0.00916234,0.0103569,0.0328478,0.0097377,0.0158378,0.0107763,0.0150055,0,0.0432647,0,0.0117216,0.00468704,0.0065404,0.0108768,0.0122511,0.0115505,0.0175635,0.0081766,0,0,0.014581,0,0.00953846,0.00800711,0.0381643,0.00681254,0.0264959,0.0212314,0.0322328,0.0222961,0.0175786,0.0153994,0.0145327,0.0199041,0.00726954,0.0227979,0.0073374,0.0133715,0.0132097,0.0088067,0.00648628,0.0163902,0.0147013,0,0,0,0.00852434,0
211,0.0145595,0.014881,0,0,0,0.0312909,0.0213613,0.0240077,0.008223,0,0,0,0,0.0201403,0,0.0167972,0.0102611,0.0364293,0.0263157,0.0227759,0.0125967,0,0,0.0230633,0.0126708,0.00903956,0.0110104,0.0120973,0.0338664,0.010145,0.0148582,0.0117884,0.0149006,0,0.0367504,0,0.011568,0.00471531,0.00659336,0.00957648,0.0122187,0.0100204,0.0175112,0.00782889,0,0,0.0142421,0,0.00957473,0.00771979,0.0384049,0.00672448,0.0266208,0.0201007,0.0313637,0.0219228,0.017316,0.0149335,0.0140526,0.0195815,0.00592653,0.02348,0.00592944,0.0120604,0.012947,0.00872258,0.00654078,0.0158173,0.0143049,0,0,0,0.00662129,0
212,0.0142626,0.0143823,0,0,0,0.0301498,0.0212649,0.0237984,0.0083643,0,0,0,0,0.0199291,0,0.0168678,0.0104318,0.0366514,0.0260252,0.023464,0.0130993,0,0,0.0222152,0.0121986,0.0107724,0.013001,0.0139178,0.0352284,0.0109246,0.0143648,0.0124867,0.0152025,0,0.0328111,0,0.0114205,0.00474004,0.00656294,0.00879824,0.0122983,0.00882298,0.0174084,0.00759213,0,0,0.013897,0,0.00962833,0.00750921,0.0387123,0.00697413,0.0267068,0.0189242,0.030529,0.0215664,0.0169668,0.014397,0.0135899,0.0191995,0.00470285,0.0240818,0.00458375,0.0110901,0.0126269,0.00857918,0.00651124,0.0153066,0.0137302,0,0,0,0.00502152,0
