Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LBR
17,0.023142,0.0248285,0,0,0,0.0551722,0.0206204,0.033759,0.00574205,0,0,0,0.0102491,0,0.0167236,0.00586228,0.033718,0.0334647,0.017411,0.00801716,0,0,0.0215802,0.027681,0.00837268,0.0105048,0.0121644,0.0306006,0.00565636,0.0157997,0.0101422,0.0194305,0,0.0722156,0,0.0113387,0.00510702,0.00484349,0.0266953,0.0137323,0.0226091,0.0141596,0.00320842,0,0,0.0165525,0,0.0103237,0.0124008,0.0344177,0.0132796,0.0297822,0.00820413,0.0285422,0.0165062,0.0124078,0.0171816,0.0127022,0.0121686,0.0053859,0.0260767,0.0112572,0.00779375,0.0281902,0.012576,0.0146585,0.00979811,0.0238074,0.00354074,0,0,0,0,0
18,0.0229345,0.0248328,0,0,0,0.0541569,0.0205295,0.0329843,0,0,0,0,0.0108655,0,0.0167022,0.00606865,0.0341655,0.0330159,0.0171721,0.00832811,0,0,0.0217202,0.0276297,0.00911055,0.0109533,0.0124211,0.0300074,0.00505507,0.0146933,0.00975925,0.0189011,0,0.0711949,0,0.0114495,0.00505059,0.00484884,0.0256987,0.0137109,0.0216793,0.0148162,0.00323144,0,0,0.0165084,0,0.0102997,0.0122796,0.034818,0.0124146,0.029528,0.0094974,0.0289302,0.0165604,0.0126492,0.0169654,0.0123373,0.0124246,0.00594477,0.0255697,0.0112856,0.0080878,0.0273765,0.0125598,0.0146321,0.00994032,0.0237319,0.00375658,0,0,0,0,0
19,0.0228526,0.0253407,0,0,0,0.0528482,0.0205863,0.0318748,0.00663463,0,0,0,0.0112626,0,0.016708,0.00614573,0.0346379,0.0326092,0.0171145,0.00844831,0,0,0.0220574,0.0275086,0.0104626,0.0115974,0.0126574,0.0294052,0.00433314,0.0135564,0.00949912,0.0183041,0,0.0699455,0,0.0114014,0.00502258,0.00486361,0.0247219,0.0138493,0.0210183,0.0154162,0.00335451,0,0,0.017121,0,0.0100645,0.0126821,0.0352399,0.0119114,0.0293301,0.0107224,0.0295533,0.0169115,0.012792,0.0167859,0.0120676,0.0126175,0.00634469,0.0251157,0.0112635,0.00826014,0.0264353,0.0129315,0.0149481,0,0.0237781,0.00406205,0,0,0,0,0
20,0.0227997,0.0255205,0,0,0,0.0511575,0.0207472,0.0306172,0.00719568,0,0,0,0.0115634,0,0.0167422,0.00622159,0.035056,0.0320695,0.0169243,0.00828683,0,0,0.0223787,0.0275091,0.0115549,0.0123439,0.0126368,0.0288696,0.00345433,0.0125325,0.00939834,0.0177138,0,0.0681696,0,0.0114944,0.00491021,0.00478645,0.0241268,0.0136965,0.0205345,0.0160191,0.00341522,0,0,0.017306,0,0.0102741,0.0126563,0.0356354,0.0116971,0.0291199,0.0119099,0.0301373,0.0171619,0.0129786,0.0166001,0.0120012,0.0128983,0.00675047,0.0247344,0.0112405,0.00844546,0.0258017,0.0131246,0.014852,0.0095787,0.0236779,0.00426698,0,0,0,0,0
21,0.0227756,0.0256784,0,0,0,0.0490034,0.0200082,0.0294508,0.00809036,0,0,0,0.0103496,0,0.0163477,0.00642103,0.0354014,0.0317277,0.016605,0.00783203,0,0,0.0239943,0.0265708,0.0117939,0.0126205,0.0121428,0.0284927,0.00263493,0.011661,0.0098204,0.017289,0,0.0656692,0,0.0115919,0,0.00600762,0.0234056,0.0138253,0.0197236,0.0169715,0.00424172,0,0,0.0183972,0,0.0100559,0.0132748,0.036031,0.0112844,0.0286934,0.0133617,0.0320371,0.0182204,0.0133548,0.0164697,0.0119309,0.013454,0.00730191,0.0242362,0.0113157,0.00869585,0.0251056,0.0137942,0.0153724,0,0.0239422,0.00531192,0,0,0,0,0
22,0.0228898,0.0256668,0,0,0,0.0470958,0.0200692,0.0288107,0.0083413,0,0,0,0.00942226,0,0.0163565,0.00608591,0.0358574,0.0318606,0.0164276,0.00704921,0,0,0.0243342,0.0262565,0.0118801,0.0123425,0.0113965,0.0281688,0.00200562,0.0111735,0.0103263,0.0169798,0,0.0634548,0,0.0111212,0,0.00595565,0.0229505,0.0136232,0.0194182,0.0174625,0.00437294,0,0,0.0184118,0,0.0102772,0.013123,0.0363663,0.0112607,0.0284684,0.0141833,0.0325095,0.0183855,0.0135953,0.0163511,0.0117036,0.0138547,0.00759724,0.0239223,0.0116604,0.00884119,0.0247561,0.0139006,0.0152635,0.00980734,0.0238478,0.00537026,0,0,0,0,0
23,0.0234637,0.0258775,0,0,0,0.0448525,0.0209446,0.028153,0.00840267,0,0,0,0.0104631,0,0.0167458,0.00551272,0.0363784,0.0315894,0.0165139,0.00596922,0,0,0.0242301,0.0274293,0.0117064,0.0118508,0.0104121,0.0279752,0.00208513,0.0109749,0.0100613,0.016722,0,0.0602436,0,0.0107368,0.00515088,0.0045542,0.0223433,0.0138353,0.0190566,0.0177995,0.00401968,0,0,0.0187943,0,0.0100594,0.0134454,0.036579,0.011013,0.0284192,0.014955,0.0324713,0.0182475,0.0136788,0.0161305,0.0115647,0.0141141,0.00787602,0.0236799,0.011949,0.00889653,0.024306,0.0141585,0.0157648,0,0.0239913,0.00480767,0,0,0,0,0
24,0.0234543,0.0253421,0,0,0,0.0420942,0.0207247,0.0279989,0.00819245,0,0,0,0.0111636,0,0.0166428,0.0059101,0.0369809,0.0314754,0.0167989,0.00484706,0,0,0.0244256,0.0276472,0.01115,0.0109232,0.00898633,0.0278776,0.00260418,0.0111491,0.00971926,0.0165115,0,0.0561463,0,0.0113356,0.00505285,0.00457638,0.0217599,0.0136944,0.0186678,0.0180892,0.00387465,0,0,0.0186816,0,0.0102841,0.0133175,0.0367491,0.0107931,0.0283448,0.0156754,0.032736,0.0181355,0.0135307,0.0159588,0.0113809,0.0141531,0.00818873,0.0234804,0.0117497,0.00904635,0.0237811,0.0141079,0.0156328,0.0101417,0.0238691,0.00481274,0,0,0,0,0
25,0.0234649,0.0250393,0,0,0,0.0388368,0.020708,0.0280526,0.00788107,0,0,0,0.0113825,0,0.0166466,0.00608893,0.0375465,0.0316833,0.0172014,0.00391766,0,0,0.0243807,0.0275546,0.0102434,0.00937284,0.00710959,0.0279472,0.00312449,0.0113565,0.00965456,0.0164119,0,0.0510051,0,0.0116442,0.00505349,0.0044945,0.0212914,0.013859,0.0182342,0.0183097,0.00383216,0,0,0.0185778,0,0.0100708,0.0134384,0.0370217,0.0106388,0.0283482,0.0163839,0.0326702,0.0180687,0.0134353,0.0158662,0.0112685,0.0142955,0.00824144,0.0232723,0.0112742,0.00921314,0.023122,0.0139606,0.015925,0,0.0235414,0.0047301,0,0,0,0,0
26,0.0234008,0.0248834,0,0,0,0.0357904,0.0208813,0.0278183,0.00725556,0,0,0,0.0115095,0,0.0167117,0.00628556,0.0379592,0.0316781,0.0177104,0.00384729,0,0,0.0241201,0.0274602,0.00919916,0.00724903,0.00518765,0.0283092,0.00365115,0.0113768,0.00976112,0.0163224,0,0.0453802,0,0.0118683,0.00505945,0.00441797,0.0208619,0.0137083,0.0180538,0.0184477,0.00359978,0,0,0.0181255,0,0.0103353,0.0131371,0.0373,0.0106746,0.0284518,0.0168755,0.0323054,0.017797,0.0134197,0.0157924,0.0111129,0.0143637,0.00787867,0.0231834,0.0106995,0.00921294,0.0225678,0.0136391,0.0156714,0.0103643,0.0231848,0.00453696,0,0,0,0,0
27,0.0233349,0.0246502,0,0,0,0.0332795,0.0208198,0.0271933,0.00642951,0,0,0,0.0116187,0,0.0168435,0.00646961,0.0382167,0.0313436,0.018286,0.00462339,0,0,0.0236479,0.027311,0.00803976,0.00504859,0.00443476,0.029083,0.00435741,0.0113058,0.0101197,0.0162056,0,0.0401274,0,0.0121069,0.00493719,0.00445424,0.0204227,0.013749,0.0179646,0.0184857,0.00336061,0,0,0.0177957,0,0.0103571,0.0130639,0.0375639,0.0107298,0.0285666,0.0172455,0.0316307,0.0175274,0.0133454,0.0157141,0.0109247,0.0143471,0.00764534,0.0231739,0.0105638,0.00898976,0.0220338,0.0132804,0.015828,0.0104211,0.0227741,0.00429715,0,0,0,0,0
28,0.0232146,0.0243423,0,0,0,0.0312104,0.0206275,0.0262885,0.00613351,0,0,0,0.0115087,0,0.0168207,0.0065089,0.0380231,0.0309077,0.0191727,0.00565296,0,0,0.0230389,0.0271111,0.00729566,0.00426667,0.00564266,0.0305624,0.00531699,0.0113359,0.0107508,0.016095,0,0.0357161,0,0.0122084,0.00491368,0.00445652,0.0202897,0.0137835,0.0181115,0.0185243,0.00314146,0,0,0.0175598,0,0.0103628,0.013012,0.0379187,0.0111203,0.0285468,0.0173704,0.0310047,0.0172269,0.0133299,0.0156182,0.0108075,0.0143452,0.00751806,0.0231055,0.010526,0.00881746,0.0217498,0.012961,0.0160517,0.0105389,0.0223209,0.00400486,0,0,0,0,0
29,0.0231202,0.0241108,0,0,0,0.0305251,0.0204765,0.0258759,0.00594652,0,0,0,0.0112796,0,0.0167612,0.00655271,0.0377196,0.0307953,0.0200925,0.00676573,0,0,0.022402,0.0269099,0.00781927,0.0056557,0.00758077,0.0323178,0.00661383,0.0116964,0.0115262,0.0163216,0,0.0331248,0,0.0122629,0.00493562,0.00438795,0.0203374,0.0138417,0.01838,0.0185261,0.00305418,0,0,0.01747,0,0.0103775,0.0130219,0.0383634,0.0116322,0.0284092,0.01741,0.0303941,0.0170255,0.0132689,0.0155149,0.0106309,0.0143542,0.00702552,0.0230264,0.0104138,0.00851796,0.0215317,0.0127816,0.0163202,0.0106241,0.0218982,0.003743,0,0,0,0,0
30,0.0231098,0.0238563,0,0,0,0.0309004,0.0205352,0.0258042,0.00584827,0,0,0,0.0111227,0,0.0168441,0.00655858,0.0374834,0.0302731,0.0209592,0.00786319,0,0,0.0217085,0.0268329,0.00930464,0.00795043,0.00936042,0.0340428,0.00806667,0.0123757,0.0121944,0.0169682,0,0.0320058,0,0.0122704,0.00493383,0.00427035,0.0204753,0.0139114,0.018784,0.0185326,0.00304763,0,0,0.017433,0,0.0104202,0.0130696,0.0388794,0.0122528,0.0282445,0.0172929,0.0298078,0.0168638,0.0132847,0.0153521,0.0104863,0.0143912,0.00667355,0.0228689,0.0103152,0.00829018,0.0214255,0.0127013,0.0165365,0.0107633,0.0215265,0.00352507,0,0,0,0,0
31,0.0231825,0.0236223,0,0,0,0.0316577,0.0205111,0.0258924,0.00596747,0,0,0,0.0110262,0,0.0169474,0.00658174,0.0374247,0.0289846,0.0218224,0.00887782,0,0,0.0209536,0.026846,0.0110508,0.00996772,0.0104067,0.0353447,0.00944476,0.0132162,0.0128364,0.0179057,0,0.0317175,0,0.0123009,0.00487235,0.0042442,0.0205112,0.013923,0.0190527,0.0185405,0.00315439,0,0,0.017388,0,0.0104154,0.0130913,0.0393513,0.0127884,0.0281045,0.0170422,0.0292241,0.0166563,0.0133705,0.0151608,0.0104383,0.0144578,0.0066769,0.0226843,0.0102324,0.00825987,0.0212569,0.0126535,0.0166725,0.0108643,0.0211314,0.00338229,0,0,0,0,0
32,0.0233972,0.0235346,0,0,0,0.0319586,0.0205058,0.025647,0,0,0,0,0.0108784,0,0.0170009,0.00653709,0.0374265,0.0268884,0.0227247,0.01034,0,0,0.0203314,0.0268228,0.0122068,0.0110824,0.0105669,0.0358837,0.0108851,0.0140864,0.0136373,0.018741,0,0.0315595,0,0.0122288,0.0049084,0.00423876,0.0207264,0.0139359,0.0189998,0.0181222,0.00343213,0,0,0.0174804,0,0.0103856,0.0131487,0.0400542,0.0128867,0.0271979,0.0166037,0.0290752,0.0165995,0.0133245,0.015025,0.0102049,0.0143459,0.00691836,0.0226767,0.0103247,0.00837015,0.0212091,0.0127482,0.0167393,0.0109052,0.0208579,0.00362497,0,0,0,0,0
33,0.0236209,0.0233531,0,0,0,0.0311219,0.0204773,0.024564,0,0,0,0,0.0106824,0,0.0170658,0.00654923,0.0377857,0.0245125,0.0233535,0.0127099,0,0,0.0196125,0.0267685,0.0127985,0.0120367,0.0106072,0.0359595,0.0123426,0.0147661,0.0142293,0.0189771,0,0.0308797,0,0.0123081,0.00489763,0.00420762,0.0204639,0.0139418,0.0189566,0.0180689,0.00355771,0,0,0.0172022,0,0.0103862,0.0129319,0.0401865,0.0132936,0.0269239,0.0161674,0.0287408,0.0162222,0.0133729,0.0148422,0.0101117,0.0143267,0.00691141,0.0225554,0.0103872,0.00858743,0.0206139,0.0125302,0.016607,0.0108959,0.0205415,0.00374023,0,0,0,0,0
34,0.0237023,0.0230939,0,0,0,0.0299396,0.020411,0.0235646,0.00696787,0,0,0,0.0103952,0,0.0170931,0.00656682,0.0380638,0.023434,0.0238117,0.0148706,0,0,0.0187712,0.0266809,0.0124504,0.0122929,0.0106053,0.0356971,0.0136873,0.0149866,0.0144672,0.0187515,0,0.0301657,0,0.0123913,0.00484953,0.00416039,0.0199444,0.0139504,0.018891,0.0180214,0.00366201,0,0,0.0166689,0,0.0104253,0.0126014,0.0403517,0.0137374,0.0267673,0.0156222,0.0282999,0.0156777,0.0132275,0.0149204,0.00992634,0.0141602,0.00672314,0.0224007,0.0105006,0.0088657,0.0198324,0.0120494,0.016447,0.0109424,0.0201848,0.00388222,0,0,0,0,0
