Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LBL,LBR
20,0.0042168,0.00159367,0,0,0,0.0391194,0.0170023,0.0115514,0.00612318,0,0,0.0038403,0,0.0216952,0.00274612,0.0315399,0.00816199,0.0174344,0.0134422,0,0,0.00506736,0.0034007,0.00254811,0.0103732,0.00255075,0.0289998,0.0090856,0.0116221,0.00460403,0.0276365,0,0.0535751,0,0.00323622,0.00345215,0.00199805,0.00946,0.0131345,0.0104995,0.00412198,0.00527521,0,0,0.00690268,0,0.0144829,0.00650123,0.0303973,0.0204801,0.0362877,0.00428148,0.00580655,0.00788013,0.0154957,0.0307195,0.0134424,0.016747,0.00851066,0.0299812,0.00410641,0.0126263,0.00412718,0.00593095,0.00306737,0.00776148,0.00531159,0.00807335,0,0,0,0,0,0
21,0.00412454,0.0011617,0,0,0,0.0415148,0.0171366,0.0145584,0.00584245,0,0,0.00465438,0,0.0216823,0.00322205,0.0317775,0.00822954,0.0174112,0.0143999,0,0,0.00489251,0.00332451,0.00103967,0.00772335,0.00366123,0.0282662,0.00926592,0.0113431,0.00455865,0.0275946,0,0.0550282,0,0.00391855,0.00359459,0.00229645,0.00925999,0.0130751,0.0108476,0.00447314,0.00521391,0,0,0.00710818,0,0.0145227,0.00660937,0.0305746,0.0218623,0.0357542,0.00491879,0.0052327,0.00780165,0.0151002,0.0303984,0.0132547,0.0162229,0.00911194,0.0296003,0.00437797,0.013539,0.00502501,0.00591325,0.00309931,0.00766207,0.00590139,0.00805069,0,0,0,0,0,0
22,0.00398173,0.00112555,0,0,0,0.0435616,0.0173111,0.0177962,0.00567917,0,0,0.00536133,0,0.0217951,0.00371713,0.0320007,0.0112024,0.0173298,0.0161655,0,0,0.00453437,0.00334996,0.00194344,0.00499475,0.0054951,0.0275674,0.00974191,0.0106615,0.0048125,0.0275167,0,0.0558806,0,0.00453044,0.00372962,0.00265095,0.00907193,0.0130137,0.0111349,0.00531738,0.0051177,0,0,0.00714165,0,0.0145147,0.00659396,0.0307198,0.0231026,0.0352167,0.00569371,0.00474403,0.00765783,0.0146028,0.0301487,0.0128031,0.0155795,0.00963333,0.0292445,0.00467905,0.0143677,0.00621573,0.00582108,0.00311338,0.00755234,0.00652071,0.00798441,0,0,0,0,0,0
23,0.00378459,0.00125508,0,0,0,0.0446741,0.0174313,0.0209484,0.00586381,0,0,0.00602833,0,0.0219374,0.00416432,0.0322518,0.0163505,0.0171825,0.019136,0,0,0.00422005,0.00347655,0.00470826,0.00527799,0.00851646,0.0268966,0.0107802,0.00914487,0.00534157,0.0273552,0,0.055849,0,0.00501044,0.00378429,0.00296296,0.00901666,0.0129658,0.0114662,0.00623993,0.00494532,0,0,0.00698043,0,0.014477,0.0064672,0.0308971,0.0242474,0.0348477,0.00657775,0.00469978,0.00751898,0.0140236,0.0300024,0.0123179,0.014875,0.0101751,0.0288912,0.00500033,0.0152181,0.00807359,0.00564169,0.00315735,0.00745417,0.00695263,0.00780075,0,0,0,0,0,0
24,0.00307324,0.00184956,0,0,0,0.0441217,0.0174565,0.0254363,0.00695012,0,0,0.00684965,0,0.0218561,0.00476253,0.0328731,0.0263552,0.0163386,0.0276324,0,0,0.00377935,0.00389249,0.0108639,0.0147581,0.016042,0.0265391,0.0143023,0.00578519,0.00646287,0.0268762,0,0.0530987,0,0.0057726,0.0039424,0.00320459,0.00854812,0.0135089,0.0119185,0.0075566,0.00430572,0,0,0.00492152,0,0.0144,0.00482822,0.0310373,0.0255279,0.0344758,0.00796248,0.00545144,0.00627243,0.0134,0.0299129,0.0118218,0.0140061,0.0108091,0.0284602,0.00540833,0.0160608,0.0105597,0.00484299,0.00282368,0.00702719,0.00728163,0.00733605,0,0,0,0,0,0
25,0.00417627,0.00264638,0,0,0,0.0429987,0.0174352,0.0282678,0.00780525,0,0,0.00839687,0,0.022019,0.00599932,0.0337836,0.0335374,0.0159921,0.0338715,0,0,0.00441948,0.00493944,0.0159241,0.0227499,0.0213977,0.0262272,0.0174757,0.00706397,0.00750345,0.0266051,0,0.0499345,0,0.00629021,0.00381082,0.00390786,0.0100568,0.0130176,0.0120566,0.00899304,0.00428889,0,0,0.00556757,0,0.0143981,0.00623852,0.0314558,0.0261594,0.0339732,0.00934857,0.00704896,0.0075958,0.0127325,0.0298422,0.0113273,0.0131716,0.0115655,0.0280654,0.00575319,0.016901,0.0125129,0.0046932,0.00345186,0.00764649,0.00884265,0.00648555,0,0,0,0,0,0
26,0.00425106,0.00301209,0,0,0,0.0416847,0.0174215,0.0292914,0.00850931,0,0,0.00877037,0,0.0220151,0.00640201,0.0346538,0.0369489,0.0161224,0.0369202,0,0,0.00514717,0.00509469,0.0188219,0.0276168,0.0239454,0.0256331,0.0191963,0.00893886,0.00837307,0.02642,0,0.0473034,0,0.00664928,0.0037446,0.00415972,0.0106419,0.0130315,0.0120747,0.00992014,0.00413688,0,0,0.00518126,0,0.0143184,0.00611209,0.0320012,0.026963,0.0334584,0.00994616,0.00810088,0.00747676,0.0122376,0.0296139,0.0110503,0.0127391,0.0123832,0.0276233,0.0060104,0.0178208,0.014585,0.00450362,0.00339884,0.00764366,0.00908004,0.006246,0,0,0,0,0,0
27,0.00435278,0.00328877,0,0,0,0.0394483,0.0174,0.0292759,0.00915134,0,0,0.00909574,0,0.0221041,0.00668838,0.0354828,0.0385723,0.0163227,0.0389408,0,0,0.00581483,0.00520512,0.0209628,0.0315926,0.0258193,0.0250385,0.0205056,0.0109906,0.00923028,0.0260621,0,0.0442714,0,0.00696776,0.00377953,0.00436265,0.011317,0.0132025,0.0120917,0.0108285,0.00401305,0,0,0.00496866,0,0.0143272,0.00602571,0.032626,0.0276766,0.032957,0.0106922,0.00912111,0.00738058,0.011744,0.0292851,0.0107563,0.012303,0.0131545,0.0272189,0.00620793,0.0186602,0.0163719,0.00433997,0.00334216,0.00773921,0.00926618,0.00605312,0,0,0,0,0,0
28,0.00443465,0.00355128,0,0,0,0.036254,0.0175051,0.0281324,0.00979222,0,0,0.00946259,0,0.0221399,0.00692424,0.0362821,0.0385873,0.0165519,0.0403271,0,0,0.00646623,0.00535917,0.0230288,0.034564,0.0272302,0.0244054,0.02149,0.0133306,0.0101952,0.0254823,0,0.0405102,0,0.00723642,0.00384747,0.00451545,0.0119002,0.0134154,0.0121213,0.0117158,0.00383803,0,0,0.00479686,0,0.0143471,0.00595499,0.0332604,0.0282723,0.0324845,0.0115768,0.0101494,0.00726723,0.0112785,0.0289402,0.0104426,0.0118409,0.013868,0.0268765,0.00640821,0.0193936,0.0178725,0.00417145,0.0032877,0.0079645,0.00943059,0.00585145,0,0,0,0,0,0
29,0.00446005,0.00372567,0,0,0,0.0324233,0.0175715,0.0262736,0.0102578,0,0,0.00970493,0,0.022216,0.00714592,0.0371132,0.0373551,0.016818,0.0411173,0,0,0.00704867,0.00539621,0.0248921,0.0367015,0.0280454,0.0236137,0.0221999,0.0157678,0.0111927,0.0247158,0,0.0359291,0,0.00738216,0.00391041,0.00466182,0.0123875,0.0135644,0.0121417,0.0125346,0.00366208,0,0,0.00453868,0,0.0143529,0.00587327,0.0337949,0.0287893,0.0320678,0.0123556,0.0110182,0.0072005,0.0108995,0.0286832,0.0101402,0.01147,0.0144401,0.0265816,0.0066718,0.0199596,0.0190083,0.00407758,0.00331112,0.0081408,0.00944035,0.00564148,0,0,0,0,0,0
