Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RTIBI,x73
9,0.0252641,0.0301101,0,0,0,0.0483572,0.021371,0.0288156,0.00460495,0,0,0,0,0.0115823,0,0.0172311,0.00621796,0.0371469,0.0207973,0.020012,0.0126977,0,0,0.0254481,0.034242,0.0088735,0.0201199,0.0149071,0.0341164,0.0103181,0.02124,0.0157709,0.00980587,0,0.0494922,0,0.0138028,0.00522987,0.0048862,0.0150053,0.0294225,0.00938507,0.00420976,0.00681644,0,0,0.0439459,0,0.0318315,0.0338944,0.0380224,0.0269122,0.0209913,0.00729178,0.0242041,0.0251658,0.0204991,0.0139211,0.0222418,0.024981,0.0182561,0.0122056,0.022572,0.0276536,0.0183403,0.020097,0.0356145,0.0323961,0.00793256,0,0,0,0.0154699,0
10,0.0251688,0.029908,0,0,0,0.0494959,0.0211539,0.029041,0.0049053,0,0,0,0,0.0112342,0,0.0171944,0.00609542,0.0369708,0.020595,0.0202386,0.0121649,0,0,0.0257941,0.0337273,0.00883505,0.0197285,0.0146997,0.0345952,0.0101611,0.0211956,0.0159545,0.00939359,0,0.0509377,0,0.0138859,0.00517881,0.0047663,0.0145154,0.029526,0.00927075,0.00331819,0.0068207,0,0,0.0440508,0,0.0319241,0.0340291,0.0377431,0.0254083,0.0211904,0.00848535,0.0236762,0.0252427,0.0200515,0.0137424,0.0218301,0.024266,0.0183819,0.0124601,0.0224559,0.026911,0.0184745,0.0201545,0.0360997,0.0317133,0.0078399,0,0,0,0.0153382,0
11,0.0251226,0.0296754,0,0,0,0.0508875,0.0208735,0.0295295,0.00502706,0,0,0,0,0.0108164,0,0.0171576,0.00595758,0.0368027,0.0209649,0.0205089,0.0114536,0,0,0.0262357,0.0332785,0.00874617,0.0193831,0.0144154,0.0349732,0.00972308,0.0206087,0.0158467,0.00911611,0,0.0523738,0,0.014019,0.005098,0.00462119,0.0140766,0.0295668,0.00911277,0.00242477,0.00695887,0,0,0.0442097,0,0.031951,0.0341437,0.0374654,0.023864,0.0214456,0.00976546,0.0233477,0.0253398,0.0196623,0.0135732,0.0214483,0.0237229,0.0181763,0.012788,0.022141,0.026133,0.0186093,0.0201929,0.0363614,0.0309843,0.00779771,0,0,0,0.0150913,0
12,0.0251509,0.0295448,0,0,0,0.0522992,0.0206576,0.0302301,0.00535241,0,0,0,0,0.0105202,0,0.0172158,0.00585441,0.0366594,0.0219204,0.0204991,0.0107476,0,0,0.026913,0.0329298,0.00857575,0.0189172,0.013949,0.0351586,0.0091459,0.0197018,0.0156215,0.0090085,0,0.0534506,0,0.0141267,0.00504512,0.00450579,0.0137055,0.0295752,0.00888046,0.00159413,0.00709622,0,0,0.0439831,0,0.0319466,0.0342735,0.0372263,0.0223139,0.0216888,0.0109556,0.0232829,0.0254989,0.0193177,0.0134273,0.0210611,0.0232848,0.0178242,0.0130568,0.021713,0.0251204,0.0187857,0.0203396,0.036491,0.0304785,0.00783241,0,0,0,0.0149839,0
13,0.0251618,0.0293883,0,0,0,0.053442,0.0205322,0.0309182,0.00565528,0,0,0,0,0.010311,0,0.0173568,0.00577353,0.0365964,0.0228319,0.0204991,0.0100337,0,0,0.0274678,0.032642,0.00837644,0.0184327,0.0134589,0.0352847,0.00850573,0.018771,0.0152262,0.00900107,0,0.0543515,0,0.0142631,0.00502106,0.00439058,0.0133569,0.0296313,0.00852538,0.00150566,0.00718368,0,0,0.0439793,0,0.0320008,0.0344389,0.0370849,0.0206324,0.0219091,0.0118432,0.023283,0.0257279,0.0189871,0.0133726,0.0205603,0.0225454,0.0175578,0.0131334,0.0211881,0.0238328,0.0189254,0.0205418,0.0366811,0.0300513,0.00776322,0,0,0,0.0149535,0
14,0.0251591,0.029226,0,0,0,0.0542719,0.0205135,0.0312847,0.00601025,0,0,0,0,0.0100412,0,0.0173397,0.005625,0.0365047,0.0233949,0.020567,0.00928903,0,0,0.0279368,0.0323602,0.00824988,0.018039,0.0131561,0.0354869,0.00793978,0.0178293,0.0148289,0.0088776,0,0.0552098,0,0.0143969,0.00495557,0.00432672,0.0130496,0.0296398,0.00828129,0.00221981,0.00734061,0,0,0.0442841,0,0.0320101,0.0346251,0.0371461,0.0190273,0.0220599,0.0121702,0.0233854,0.0260911,0.0187308,0.0134611,0.0201292,0.0219022,0.0174642,0.0129909,0.0207405,0.0225149,0.0191428,0.0206921,0.0367988,0.0297644,0.00779471,0,0,0,0.0149888,0
15,0.0252021,0.0290638,0,0,0,0.0549057,0.0204293,0.0314829,0.00640118,0,0,0,0,0.00972895,0,0.0173231,0.00545913,0.0363809,0.0236287,0.0205053,0.00876844,0,0,0.0281604,0.0319724,0.00826425,0.0177316,0.0130473,0.0356995,0.00772017,0.0173265,0.0148218,0.00870763,0,0.056085,0,0.0144408,0.00490166,0.00425301,0.0126393,0.0296416,0.0081443,0.00268621,0.00730244,0,0,0.0444805,0,0.0320013,0.0347905,0.0373695,0.0178442,0.0221885,0.0121634,0.0232973,0.0264199,0.0184733,0.0134553,0.0196644,0.021695,0.0174299,0.0127642,0.0204564,0.0213098,0.0193303,0.0208497,0.0368795,0.0294936,0.00777695,0,0,0,0.0150228,0
16,0.0252571,0.0288792,0,0,0,0.0556223,0.0203206,0.0316399,0.00680981,0,0,0,0,0.00931461,0,0.0173038,0.00535035,0.0362427,0.0237015,0.0205487,0.0084368,0,0,0.0281159,0.0315595,0.0084033,0.0174997,0.0130137,0.0359582,0.00784408,0.0173691,0.0149686,0.0084663,0,0.0569804,0,0.0145233,0.00485219,0.00422703,0.0123198,0.0297277,0.00801625,0.00294331,0.00712226,0,0,0.0447796,0,0.0320905,0.0350506,0.037608,0.0170153,0.0223707,0.0121215,0.0229212,0.0267954,0.018014,0.0133448,0.0191838,0.0214652,0.0173111,0.0125827,0.0201164,0.0204694,0.0193921,0.0210026,0.0371894,0.029209,0.00775825,0,0,0,0.0152761,0
17,0.0253102,0.0286333,0,0,0,0.0563683,0.0201834,0.0317808,0.00725351,0,0,0,0,0.00888635,0,0.0173349,0.00525475,0.0361036,0.0237083,0.0207074,0.00826005,0,0,0.0278238,0.0310909,0.00854942,0.0172503,0.0129822,0.0362257,0.00786303,0.0176166,0.0150896,0.0082221,0,0.057987,0,0.0146138,0.00481438,0.00419267,0.0123923,0.0298205,0.00819954,0.00313528,0.00683493,0,0,0.0449717,0,0.0321666,0.0352233,0.0376922,0.0165839,0.0226324,0.0121958,0.0222226,0.0271295,0.0175256,0.013411,0.0186237,0.0208399,0.0172688,0.0124242,0.0197523,0.0200051,0.0193948,0.02122,0.0375381,0.0288745,0.00774587,0,0,0,0.0155646,0
18,0.0253655,0.0283783,0,0,0,0.0570618,0.0201442,0.0320104,0.00761352,0,0,0,0,0.00837705,0,0.0173131,0.00516728,0.0359182,0.0236232,0.0207934,0.00812403,0,0,0.0273884,0.0305387,0.00862307,0.0169058,0.0129686,0.0364859,0.00778479,0.0175396,0.0151634,0.00802036,0,0.0588207,0,0.0146525,0.00480128,0.0042398,0.0128142,0.0298561,0.00870171,0.00336395,0.00644066,0,0,0.0449705,0,0.0322029,0.0352568,0.0376006,0.0165145,0.0228226,0.012307,0.0213172,0.0274866,0.0169971,0.0135591,0.0178915,0.0201064,0.0173808,0.0122421,0.0193594,0.0199249,0.0193756,0.0214298,0.0378447,0.0285174,0.00774191,0,0,0,0.0156464,0
19,0.0254062,0.0281028,0,0,0,0.0577279,0.0199735,0.0323148,0.00789277,0,0,0,0,0.00801477,0,0.0173201,0.00509562,0.0357228,0.0239426,0.0209095,0.00785088,0,0,0.0268995,0.0297573,0.00862956,0.016554,0.0129612,0.036757,0.0076863,0.0171843,0.0150691,0.00789236,0,0.0596173,0,0.0145521,0.00476576,0.00411081,0.0136567,0.0298887,0.00963159,0.00354262,0.00597487,0,0,0.0450171,0,0.0322491,0.035234,0.0376284,0.0171088,0.023015,0.012432,0.0202199,0.0278472,0.0164106,0.0135107,0.0171704,0.0194981,0.0175346,0.0122522,0.0190893,0.0203477,0.0193177,0.0215288,0.0380327,0.0281337,0.00777738,0,0,0,0.0156014,0
20,0.0254756,0.02784,0,0,0,0.0583354,0.0197724,0.0326776,0.00840563,0,0,0,0,0.00759897,0,0.0172859,0.00497166,0.0355577,0.0245202,0.0210294,0.00757021,0,0,0.0264264,0.0287779,0.00862813,0.0161747,0.0129344,0.0369787,0.00756093,0.0168457,0.0147817,0.00783668,0,0.0603967,0,0.0143397,0.00471106,0.00401223,0.0143993,0.029893,0.0109109,0.0036637,0.00546856,0,0,0.0450158,0,0.0322671,0.0351865,0.0378564,0.0183687,0.023247,0.0125717,0.0190171,0.0282611,0.0158194,0.0134434,0.0165099,0.0188757,0.0171701,0.0124062,0.019136,0.021486,0.0192733,0.0215836,0.0381799,0.0277421,0.00778773,0,0,0,0.0156674,0
21,0.0258395,0.0262423,0,0,0,0.0587283,0.018933,0.0330112,0.0089819,0,0,0,0,0.00703722,0,0.017701,0.00576425,0.0354234,0.0250537,0.021283,0.00732405,0,0,0.0250615,0.0250734,0.00861409,0.0157237,0.0128589,0.0371766,0.00743725,0.0165991,0.0146765,0.00784285,0,0.0607938,0,0.0144412,0.00482398,0.00365914,0.0155188,0.0297675,0.0127261,0.00387059,0.00492231,0,0,0.0440653,0,0.0323864,0.0350754,0.0378874,0.0202648,0.0235314,0.0127969,0.0169704,0.0313918,0.015306,0.0135219,0.0159761,0.0181784,0.0170663,0.0126276,0.0196423,0.0234343,0.0201139,0.0213783,0.0382557,0.025479,0.00899781,0,0,0,0.0158841,0
22,0.028213,0.0204459,0,0,0,0.0595288,0.0177568,0.0336365,0.00959718,0,0,0,0,0.0149498,0,0.0181566,0.0121711,0.0353159,0.0256234,0.0216884,0.0073054,0,0,0.0253477,0.0221588,0.00872115,0.0155877,0.0130272,0.0374378,0.00741836,0.0165076,0.0148458,0.00778215,0,0.0616227,0,0.0137917,0.00476279,0.00425339,0.0170657,0.0298818,0.0147386,0.00390579,0.0155682,0,0,0.0451019,0,0.0322637,0.0357667,0.0379198,0.0226161,0.0237085,0.013103,0.0167578,0.0334323,0.0148006,0.0136338,0.0153663,0.0174642,0.0170021,0.0130291,0.020193,0.0256481,0.0218348,0.0214534,0.0388905,0.0216751,0.0213821,0,0,0,0.0159746,0
23,0.0339068,0.0275607,0,0,0,0.0607523,0.0171932,0.0345068,0.0104914,0,0,0,0,0.0212624,0,0.018312,0.0181616,0.0351222,0.0259217,0.0221662,0.00727996,0,0,0.0290206,0.0386822,0.00892306,0.0157317,0.0132397,0.0379199,0.00760231,0.0166555,0.0149877,0.00758105,0,0.0631302,0,0.0114384,0.00458139,0.00493789,0.0188231,0.0301444,0.0168925,0.00358571,0.0233895,0,0,0.0464372,0,0.0321294,0.0360028,0.0382744,0.024799,0.0236064,0.013324,0.0199747,0.0281889,0.0142329,0.0136228,0.0146423,0.0167584,0.0165855,0.0137816,0.0203396,0.0281583,0.0221917,0.0220186,0.0394262,0.0335624,0.0355972,0,0,0,0.0157125,0
24,0.0349256,0.0307386,0,0,0,0.0613691,0.0173035,0.0348456,0.0110828,0,0,0,0,0.0209563,0,0.0181284,0.0182492,0.0350393,0.0260829,0.0223484,0.0072571,0,0,0.030058,0.043128,0.00909715,0.0157571,0.0133943,0.0382008,0.00771823,0.0167301,0.0148338,0.00740372,0,0.0639541,0,0.00977925,0.00447165,0.00505589,0.0205108,0.0302225,0.019062,0.00345161,0.0234737,0,0,0.0470166,0,0.0321954,0.0360571,0.0387136,0.0277981,0.0239195,0.013238,0.0204732,0.0258816,0.0139757,0.0135447,0.014423,0.0163687,0.0163829,0.0145293,0.0206917,0.031007,0.0219647,0.0222504,0.0396059,0.0369818,0.0381659,0,0,0,0.0153987,0
25,0.0351345,0.0316283,0,0,0,0.0617412,0.017185,0.0347334,0.0115746,0,0,0,0,0.021687,0,0.0181593,0.0189164,0.0350525,0.0260313,0.0225953,0.00717625,0,0,0.0305145,0.0446008,0.00925337,0.0155522,0.0134917,0.0384367,0.00784939,0.0170223,0.0148344,0.00719001,0,0.0646061,0,0.00962468,0.00448189,0.00529868,0.0220252,0.0302784,0.0208559,0.00338696,0.0234605,0,0,0.0476541,0,0.0321884,0.0360779,0.0391587,0.0311227,0.0244108,0.0128082,0.0203142,0.0251945,0.0139127,0.013385,0.0142896,0.0161452,0.0162923,0.0154263,0.0214335,0.0340241,0.0219406,0.0222743,0.0396986,0.0380487,0.0391269,0,0,0,0.0150698,0
26,0.0350535,0.0322157,0,0,0,0.0619856,0.0170379,0.0342708,0.0121046,0,0,0,0,0.0221404,0,0.0182094,0.0194264,0.0350929,0.0259287,0.0229174,0.00707121,0,0,0.0310597,0.0455724,0.00940968,0.0153238,0.0135385,0.0386775,0.00802589,0.0173468,0.0149464,0.00694536,0,0.0651147,0,0.00937511,0.00454217,0.00547997,0.0234201,0.0302806,0.0224092,0.00364674,0.0231597,0,0,0.0479491,0,0.0321225,0.036058,0.0395775,0.0344843,0.0250043,0.0119262,0.0202508,0.0244875,0.0140136,0.0132055,0.0141976,0.0160545,0.0160579,0.0166245,0.0223489,0.0369809,0.0218497,0.0223772,0.0395607,0.038752,0.0397099,0,0,0,0.0145578,0
27,0.0347093,0.0325564,0,0,0,0.062267,0.0168036,0.0341632,0.0127608,0,0,0,0,0.0224708,0,0.0182489,0.0197529,0.0350995,0.0259211,0.0232911,0.00701881,0,0,0.0316737,0.0461095,0.00952886,0.0151589,0.0135692,0.0389568,0.00831537,0.017522,0.0150171,0.00671823,0,0.0656119,0,0.00910702,0.0046052,0.00564331,0.0248586,0.0303298,0.0239834,0.00396056,0.0226675,0,0,0.0482014,0,0.0321415,0.0361488,0.0398807,0.0376705,0.0256719,0.0106475,0.0202782,0.0237201,0.0142677,0.0131591,0.0141635,0.0160073,0.0155519,0.0182158,0.0229123,0.0399656,0.0217365,0.0225325,0.0390667,0.0391425,0.0398674,0,0,0,0.0138501,0
28,0.0342716,0.0327026,0,0,0,0.0625381,0.0166932,0.0342229,0.0133786,0,0,0,0,0.0228335,0,0.0183349,0.019987,0.0350851,0.0260117,0.0237018,0.0070445,0,0,0.0323446,0.0463615,0.00964808,0.0150968,0.0135854,0.0392382,0.00860584,0.0178132,0.015109,0.00653622,0,0.0660721,0,0.00895634,0.00458109,0.00579895,0.0263764,0.0303928,0.0254825,0.00415751,0.022083,0,0,0.0487424,0,0.0321745,0.0362324,0.0400137,0.0404032,0.0263496,0.00905918,0.0203928,0.0230003,0.0146356,0.0132238,0.0143181,0.0160094,0.0148538,0.0202055,0.0233616,0.0427974,0.0215715,0.0226573,0.0388194,0.0392812,0.039708,0,0,0,0.0130482,0
29,0.0337373,0.0326594,0,0,0,0.0624885,0.0167043,0.0341772,0.0139751,0,0,0,0,0.0232054,0,0.0184905,0.0202318,0.0349582,0.0261601,0.0241187,0.0071361,0,0,0.0329188,0.0464153,0.00980221,0.0151138,0.013628,0.0393187,0.0087952,0.0180835,0.0152834,0.00639755,0,0.066177,0,0.00892481,0.00454757,0.00598886,0.0278677,0.0305135,0.0269459,0.004163,0.0214277,0,0,0.0493814,0,0.032277,0.0363893,0.0400155,0.0425893,0.0269865,0.00727813,0.020603,0.0223635,0.0151094,0.0133414,0.0146652,0.0163537,0.0145678,0.0225529,0.023687,0.0453567,0.0214457,0.0227705,0.0389167,0.0392403,0.0393024,0,0,0,0.0123166,0
30,0.0331549,0.0324777,0,0,0,0.0622364,0.0166387,0.034055,0.01446,0,0,0,0,0.0233387,0,0.018458,0.0203042,0.0347592,0.0263779,0.0245058,0.00720304,0,0,0.0333629,0.0464371,0.00993279,0.0151809,0.013583,0.0393417,0.00896342,0.0182873,0.0154233,0.00630827,0,0.066061,0,0.00891082,0.00449593,0.00608982,0.0290498,0.0305845,0.0285012,0.00413838,0.0208077,0,0,0.049884,0,0.0323369,0.0365415,0.039907,0.0443136,0.0275143,0.00571938,0.0208731,0.0218471,0.0156843,0.0136028,0.0151229,0.0170068,0.0146469,0.0250869,0.0239086,0.0472116,0.0213643,0.02286,0.0388543,0.0390659,0.0387343,0,0,0,0.011854,0
31,0.0324749,0.0322015,0,0,0,0.0621826,0.0164961,0.034099,0.0149079,0,0,0,0,0.0232516,0,0.0183887,0.0201955,0.0345622,0.0267803,0.0248422,0.00724169,0,0,0.0337,0.0463077,0.0100225,0.0153779,0.0135233,0.0393504,0.00915482,0.0182844,0.0155679,0.0063005,0,0.0659108,0,0.00878043,0.00448882,0.00613877,0.0295798,0.0306739,0.0299121,0.00429086,0.020148,0,0,0.0502155,0,0.0324083,0.0367355,0.0397043,0.0458827,0.0278904,0.00486217,0.0211892,0.0213704,0.0163232,0.0139987,0.0156383,0.0177912,0.0147915,0.0275969,0.023938,0.0479982,0.0213453,0.0228321,0.0389055,0.0387711,0.0379577,0,0,0,0.0118391,0
32,0.0317644,0.0318551,0,0,0,0.0622265,0.0164788,0.0341435,0.0152803,0,0,0,0,0.0230402,0,0.0183635,0.0199621,0.0344743,0.0272761,0.0251304,0.00725869,0,0,0.0338796,0.0460316,0.0100043,0.0155197,0.0134265,0.0393311,0.00910842,0.0183233,0.0155049,0.00632689,0,0.0657965,0,0.00861185,0.00447011,0.00619277,0.0290347,0.0307503,0.0308744,0.00467639,0.0195041,0,0,0.0502939,0,0.0324726,0.0368875,0.0395006,0.0463034,0.028147,0.00517203,0.0215072,0.0209734,0.0169366,0.0143869,0.0160994,0.0185799,0.0148432,0.029953,0.0236775,0.0472287,0.0213844,0.0227338,0.0389662,0.0384061,0.0370457,0,0,0,0.0123876,0
33,0.0310869,0.0314369,0,0,0,0.0622692,0.0166041,0.0341748,0.0156845,0,0,0,0,0.0225597,0,0.0183383,0.0195167,0.0345278,0.0278119,0.0253735,0.00729111,0,0,0.0339904,0.0456896,0.00997689,0.0155491,0.0133334,0.0393101,0.00905917,0.0184432,0.0155,0.00632475,0,0.0656634,0,0.00837386,0.00443734,0.00627037,0.0272967,0.0307922,0.0309342,0.00485297,0.0188852,0,0,0.0504517,0,0.0325207,0.0369698,0.0392435,0.0449496,0.0283437,0.00657449,0.0217978,0.0206749,0.0174547,0.0145859,0.0164883,0.0192463,0.0148596,0.0321845,0.0229715,0.0444915,0.0214114,0.0226473,0.0390094,0.0379441,0.0360774,0,0,0,0.0133351,0
34,0.0304859,0.0309471,0,0,0,0.0622883,0.0167111,0.0341554,0.0159803,0,0,0,0,0.0219232,0,0.0182333,0.0190382,0.0346068,0.0283549,0.0254964,0.00728686,0,0,0.0339727,0.0453192,0.00995384,0.0154897,0.0132686,0.0393184,0.00909087,0.0183407,0.0154709,0.00629143,0,0.065567,0,0.00813763,0.00439969,0.00632143,0.0250962,0.0308197,0.0305437,0.00488477,0.018361,0,0,0.0507779,0,0.0325592,0.0370042,0.0390347,0.04311,0.0284934,0.00835685,0.021991,0.0204574,0.0179539,0.0145426,0.0168124,0.0196802,0.0154763,0.0343118,0.0226445,0.0405052,0.0214079,0.0225398,0.0388708,0.0373999,0.0351098,0,0,0,0.0149705,0
