Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73
267,0.0156975,0.0206021,0,0,0,0,0,0,0.0290108,0.0185611,0.0158894,0.00555226,0,0,0.0214147,0,0.023628,0.00765017,0.0431259,0.0118881,0.0263452,0.0179624,0.00725622,0.0127708,0.00991174,0.0140542,0.0137347,0.0338627,0.00991601,0.0133636,0.0032421,0.0302833,0.0347607,0.017289,0.0113653,0.00327176,0.00833862,0.0134211,0.0110396,0.00587809,0.0176783,0,0,0.0512702,0,0.0113566,0.0189406,0.0431455,0.0163115,0.025265,0.0135064,0.00644916,0.0142516,0.0116991,0.045595,0.0119617,0.0133213,0.012778,0.0485013,0.0101109,0.0136174,0.00573449,0.0377577,0.0085396,0.00692942,0.0198706,0.0111803,0,0,0,0,0,0,0
268,0.0164465,0.0210967,0,0,0,0,0,0,0.0292228,0.0185317,0.0160516,0.0054972,0,0,0.0216719,0,0.0235213,0.00782521,0.0431373,0.0119673,0.0264403,0.0179154,0.00742115,0.0131169,0.00984231,0.0140126,0.0137068,0.0338086,0.0100206,0.013461,0.00330973,0.030225,0.0350646,0.0172908,0.0113053,0.00338284,0.00870654,0.0133758,0.011051,0.00582648,0.0183289,0,0,0.0510836,0,0.011531,0.0187322,0.0431781,0.016375,0.0253337,0.0135432,0.00650016,0.0143789,0.0117172,0.0456309,0.0119794,0.0133243,0.0128028,0.048512,0.0102504,0.0136747,0.00577547,0.0378426,0.00880451,0.00714747,0.020109,0.0117578,0,0,0,0,0,0,0
269,0.0161105,0.0216035,0,0,0,0,0,0,0.0120182,0.01834,0.0122538,0.00343738,0,0,0.0223972,0,0.0234875,0.00836699,0.0371716,0.0261677,0.0288953,0.0141874,0.00564209,0.0137242,0.0145515,0.0192789,0.0111555,0.0385496,0.0144697,0.0155113,0.0133598,0.0315296,0.015908,0.017839,0.0113091,0.0036505,0.00861158,0.0131211,0.0103069,0.00483254,0.0167158,0,0,0.0506436,0,0.0117816,0.0183683,0.0435855,0.0153259,0.0251198,0.0135906,0.00602015,0.0165375,0.0127683,0.0462628,0.0126481,0.0140823,0.0119305,0.0478169,0.00941713,0.0127917,0.00558652,0.0388969,0.00880925,0.00697828,0.0208634,0.0114502,0,0,0,0,0,0,0
270,0.019418,0.0230685,0,0,0,0,0,0,0.0299267,0.0182609,0.0165413,0.00515337,0,0,0.0232272,0,0.0234805,0.00883602,0.0431215,0.0120315,0.0265617,0.0179103,0.00798119,0.0145821,0.00975778,0.0138823,0.0136127,0.0336117,0.0103443,0.0135236,0.0034452,0.0301559,0.0355645,0.0179852,0.0112968,0.00380749,0.00894203,0.0130846,0.0110445,0.00554998,0.0207242,0,0,0.0516317,0,0.011655,0.0188678,0.0432822,0.016232,0.0254089,0.0134598,0.00671398,0.0145721,0.0116712,0.0455753,0.0119423,0.0132629,0.0128856,0.0485247,0.010263,0.0138287,0.00530795,0.0382408,0.0090619,0.00699248,0.0212573,0.0141053,0,0,0,0,0,0,0
271,0.0201903,0.0235371,0,0,0,0,0,0,0.0301794,0.018184,0.0166472,0.00508272,0,0,0.023376,0,0.0233228,0.00872883,0.043103,0.0120317,0.0266047,0.0180357,0.00813656,0.0151393,0.00971371,0.0138209,0.0135631,0.03364,0.010377,0.0135039,0.00353645,0.0301689,0.0359705,0.0180593,0.011165,0.00371935,0.00884381,0.0130526,0.0109635,0.00552211,0.0212283,0,0,0.0514521,0,0.0118722,0.0187203,0.0432821,0.0160272,0.0254205,0.0133593,0.00679939,0.0146756,0.0116409,0.0455395,0.0118744,0.0131972,0.0128766,0.0484324,0.0101511,0.0138167,0.00540155,0.0382833,0.00954927,0.00726143,0.0214755,0.0147013,0,0,0,0,0,0,0
272,0.0208404,0.0239137,0,0,0,0,0,0,0.0303756,0.0180429,0.0167108,0.00499836,0,0,0.0234692,0,0.0230932,0.00844416,0.0430764,0.0121194,0.0267072,0.0183148,0.00827329,0.0156595,0.00967822,0.0138054,0.0135043,0.0336877,0.0103538,0.0134104,0.00361808,0.0302297,0.0366323,0.0181152,0.0110132,0.00373842,0.00878483,0.0129556,0.0110007,0.00548195,0.021612,0,0,0.0512596,0,0.0120846,0.0186397,0.0432672,0.0159088,0.0254321,0.0133029,0.00690006,0.0148842,0.011629,0.0455197,0.0118351,0.0131625,0.0128312,0.0483802,0.0102007,0.0137846,0.0055438,0.0382477,0.0100934,0.00758674,0.021651,0.0152341,0,0,0,0,0,0,0
273,0.0214802,0.0242588,0,0,0,0,0,0,0.030575,0.0178465,0.0167177,0.00492128,0,0,0.0235185,0,0.0228429,0.00815251,0.0430528,0.0122907,0.0268552,0.0184805,0.00840323,0.0161372,0.00962924,0.0138418,0.0134615,0.0337028,0.0103885,0.0134433,0.00370336,0.0303327,0.037378,0.0181812,0.0108445,0.00397384,0.00841378,0.0127827,0.0110209,0.00547517,0.0217063,0,0,0.0510965,0,0.0122956,0.0186606,0.0432939,0.0158704,0.0255351,0.0132732,0.0070041,0.0151622,0.0116465,0.0455203,0.0118348,0.0131643,0.0127652,0.0484294,0.010151,0.0137499,0.00563672,0.0382418,0.010682,0.00793313,0.0218249,0.0157438,0,0,0,0,0,0,0
274,0.0220423,0.0245512,0,0,0,0,0,0,0.0309022,0.0176517,0.0167845,0.00480908,0,0,0.0234975,0,0.0225663,0.00800874,0.0430259,0.0123559,0.0270225,0.018602,0.00854609,0.0165599,0.00960629,0.0139234,0.0134985,0.0336799,0.0104507,0.0135676,0.00375854,0.0304137,0.0379537,0.0182238,0.0106609,0.00431599,0.00796129,0.012594,0.0107685,0.00541207,0.0214982,0,0,0.0508462,0,0.0125169,0.0186111,0.0433273,0.0157044,0.0256581,0.0132627,0.00713823,0.0154313,0.0116922,0.0455412,0.0118717,0.0132608,0.0126899,0.048657,0.0101617,0.013587,0.00578136,0.0382402,0.0112773,0.00826782,0.0219725,0.0161709,0,0,0,0,0,0,0
275,0.0226627,0.0248915,0,0,0,0,0,0,0.0313898,0.0175611,0.0169113,0.00457675,0,0,0.0233228,0,0.0223936,0.00803649,0.0429908,0.01238,0.0270785,0.0187494,0.0087678,0.0169725,0.00961662,0.0139877,0.0136027,0.0337436,0.0104887,0.0137668,0.00377151,0.0303603,0.038066,0.0181795,0.0105113,0.00408696,0.0081475,0.0124623,0.0106674,0.00518077,0.021701,0,0,0.050589,0,0.0127451,0.0184902,0.0433113,0.0155419,0.0255852,0.0131483,0.00728682,0.0156813,0.0116711,0.0455449,0.0118376,0.0132665,0.0126418,0.0488063,0.0102148,0.0135261,0.00576026,0.0381998,0.0118373,0.00851731,0.0221471,0.0167061,0,0,0,0,0,0,0
276,0.023299,0.0252693,0,0,0,0,0,0,0.031899,0.0174837,0.0171016,0.00424544,0,0,0.0231559,0,0.0222085,0.00813912,0.0429557,0.0123759,0.0270325,0.0188766,0.00905927,0.0175695,0.00964126,0.0140241,0.0137213,0.0339349,0.0105135,0.014047,0.00376214,0.0302903,0.0381392,0.0180933,0.0103267,0.0039505,0.00823731,0.0123423,0.0106585,0.0047876,0.022178,0,0,0.050328,0,0.0129397,0.0182881,0.0432517,0.0153963,0.0252232,0.0129448,0.00754954,0.0159454,0.0115867,0.0455482,0.0117606,0.0131564,0.0126267,0.0489431,0.0102947,0.0136093,0.00569081,0.0380969,0.0123808,0.00879202,0.0223472,0.0172416,0,0,0,0,0,0,0
