Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74
1854,0.0276514,0.0207036,0,0,0,0,0,0,0.0197543,0.0164762,0.00992851,0.00298422,0,0,0.035228,0,0.0212116,0.0128371,0.0378797,0.0172594,0.0268896,0.0131161,0.00914202,0.0380688,0.0124809,0.0174757,0.0105199,0.0388527,0.010145,0.0115055,0.00869556,0.0299359,0.0269536,0.028265,0.0111808,0.006448,0.00304351,0.00978495,0.0056442,0.00353535,0.018468,0,0,0.0440799,0,0.0204064,0.0136545,0.0434288,0.00632643,0.0243351,0.00788018,0.0086636,0.0207362,0.0107318,0.0453992,0.0120106,0.011663,0.00686944,0.0468421,0.00610881,0.00759537,0.00278949,0.034501,0.0138322,0.00904197,0.0167795,0.0207592,0,0,0,0,0,0,0,0
1855,0.0267991,0.0206676,0,0,0,0,0,0,0.0202279,0.016702,0.0100755,0.0030224,0,0,0.0351169,0,0.0209853,0.013232,0.037866,0.0172865,0.0267044,0.0133752,0.00796895,0.0381417,0.0126731,0.0177238,0.010716,0.0388763,0.0102405,0.0115681,0.00873278,0.0299019,0.0273251,0.0290823,0.0109239,0.00578223,0.00349412,0.0102361,0.00497176,0.00352141,0.0174121,0,0,0.0418511,0,0.0203421,0.0126328,0.0435632,0.00544882,0.0242084,0.00689574,0.00774409,0.0212867,0.0107399,0.0455027,0.0118552,0.0115122,0.00587381,0.0466637,0.00540181,0.00662027,0.000994655,0.0315586,0.0151778,0.009464,0.0168557,0.0198969,0,0,0,0,0,0,0,0
1856,0.0266378,0.0210339,0,0,0,0,0,0,0.0201598,0.016668,0.0100913,0.00298993,0,0,0.0351347,0,0.0211035,0.0134662,0.0378812,0.017269,0.0266141,0.0134337,0.00748148,0.0382652,0.0127226,0.0177363,0.0107486,0.0388937,0.0102705,0.0115219,0.00871915,0.0298708,0.0271704,0.0297825,0.0110319,0.00566936,0.00420395,0.0101952,0.00447206,0.0034556,0.0173438,0,0,0.0414572,0,0.0199712,0.0126101,0.043729,0.00444715,0.0241498,0.00628731,0.00726668,0.021225,0.0107531,0.0455257,0.0118511,0.0114785,0.00499874,0.0463717,0.00468185,0.00582072,0.00161866,0.0306759,0.0148382,0.0092488,0.017267,0.0195891,0,0,0,0,0,0,0,0
1857,0.0265582,0.0215023,0,0,0,0,0,0,0.02,0.0165817,0.0100765,0.00292495,0,0,0.0352125,0,0.0212329,0.0135507,0.0379429,0.0173136,0.0265061,0.0133875,0.00699325,0.0385505,0.0127265,0.0177238,0.0107028,0.0388711,0.0103005,0.0114732,0.008712,0.0298408,0.0269371,0.0306509,0.0111887,0.00570577,0.0048806,0.010164,0.00390998,0.00341313,0.0173722,0,0,0.0407643,0,0.0195508,0.0127021,0.0438934,0.00356165,0.0240402,0.00568936,0.00671965,0.0213348,0.0107823,0.045524,0.0118624,0.0115533,0.00397496,0.0460053,0.00389328,0.0050638,0.00251738,0.0296431,0.0141541,0.00883896,0.0177584,0.019398,0,0,0,0,0,0,0,0
1858,0.0265024,0.0220786,0,0,0,0,0,0,0.0198694,0.0164787,0.0100582,0.00285123,0,0,0.0353805,0,0.0214447,0.0135535,0.0379677,0.0173683,0.0263791,0.0132974,0.00648902,0.0389006,0.0127569,0.0177303,0.0106318,0.038813,0.010344,0.01149,0.0087374,0.0297801,0.0267043,0.0316733,0.0113954,0.00582868,0.0057942,0.0100772,0.00349796,0.00343734,0.0174466,0,0,0.0399913,0,0.0190803,0.0127568,0.0440647,0.00342168,0.0238913,0.00509324,0.00620145,0.021566,0.0108024,0.0455479,0.0118517,0.0115521,0.0029394,0.0454746,0.0032209,0.00430034,0.00367236,0.0284991,0.013294,0.0082965,0.018346,0.0192575,0,0,0,0,0,0,0,0
1859,0.0261946,0.0225374,0,0,0,0,0,0,0.0197569,0.0163981,0.0100346,0.00284915,0,0,0.0355113,0,0.0216345,0.0135378,0.03797,0.0174289,0.0262386,0.0131963,0.00583143,0.0391569,0.012806,0.0177602,0.0105751,0.038756,0.0104138,0.0115184,0.00877872,0.0296937,0.0265085,0.032681,0.0115934,0.00588796,0.00691974,0.00989565,0.0033438,0.00356789,0.0172939,0,0,0.0394783,0,0.0185723,0.0126377,0.0442085,0.00433489,0.0237067,0.00450438,0.00566317,0.0216568,0.0108161,0.0455661,0.0118034,0.0114889,0.00193664,0.044791,0.00276132,0.00361409,0.00508256,0.0274655,0.0124288,0.00777319,0.0188499,0.0189203,0,0,0,0,0,0,0,0
1860,0.0258494,0.0230382,0,0,0,0,0,0,0.0196065,0.0163561,0.010022,0.00291868,0,0,0.0357166,0,0.0218236,0.0134992,0.0379365,0.0175122,0.0261404,0.0131285,0.00529686,0.0393905,0.0128803,0.0177554,0.0105411,0.0386997,0.0104946,0.0115221,0.00882481,0.0295931,0.0262385,0.0337249,0.0117698,0.00589743,0.00804557,0.00989396,0.00348475,0.00387231,0.0172631,0,0,0.039074,0,0.0180909,0.0125181,0.0442638,0.00612841,0.0235056,0.00414827,0.00526952,0.0216885,0.0108894,0.0456428,0.0118409,0.0114753,0.00116914,0.0441359,0.00260111,0.00326823,0.00638875,0.0264423,0.0113625,0.00719154,0.0194233,0.0185563,0,0,0,0,0,0,0,0
1861,0.0254258,0.0236341,0,0,0,0,0,0,0.0194289,0.0163529,0.00999917,0.00322378,0,0,0.0360111,0,0.0219948,0.0135624,0.0378927,0.0175912,0.0259807,0.0130945,0.00465304,0.039528,0.0128935,0.0177573,0.0105435,0.038696,0.0105352,0.0115114,0.00886872,0.0295141,0.0259595,0.034826,0.0119218,0.00582115,0.00923035,0.0100094,0.0038534,0.00454993,0.0172705,0,0,0.038928,0,0.0176567,0.0123649,0.0442798,0.00850628,0.0232725,0.00380902,0.00489933,0.0217841,0.0110124,0.0457039,0.0118191,0.0113887,0.00166636,0.0435138,0.0029577,0.00354428,0.0077659,0.0253816,0.0100953,0.00648393,0.0202234,0.0180553,0,0,0,0,0,0,0,0
1862,0.0250105,0.0244258,0,0,0,0,0,0,0.019226,0.0163787,0.00993109,0.00368209,0,0,0.0365059,0,0.0221664,0.0136769,0.0378415,0.0176928,0.0257936,0.0131519,0.00405454,0.0397385,0.0129257,0.0178218,0.0106072,0.0387839,0.0105805,0.0115495,0.00890632,0.0294606,0.0256883,0.0357544,0.0120631,0.00576204,0.0104255,0.0102329,0.00457591,0.00543865,0.0174843,0,0,0.0387041,0,0.0172196,0.0122612,0.0444879,0.0112539,0.0229937,0.00384934,0.00460241,0.0219711,0.0111675,0.0457997,0.0118263,0.0113801,0.00306906,0.0428121,0.00387275,0.00452065,0.00911865,0.0242898,0.00897136,0.00576798,0.0211823,0.0175261,0,0,0,0,0,0,0,0
1863,0.0246661,0.0253671,0,0,0,0,0,0,0.0190503,0.0164394,0.00985994,0.00426398,0,0,0.0372397,0,0.0223075,0.0138125,0.0377612,0.0178167,0.0255759,0.013273,0.00351427,0.0400709,0.0130325,0.0179736,0.0107082,0.038861,0.0106231,0.011616,0.00892461,0.0294175,0.0254463,0.036464,0.0121915,0.00572878,0.0116671,0.010465,0.00562758,0.00641758,0.0180001,0,0,0.038565,0,0.0167175,0.012263,0.0448276,0.0140582,0.0226708,0.00447132,0.00443253,0.0222799,0.0113066,0.0459493,0.0118706,0.0114905,0.00468423,0.0420154,0.00510276,0.00588856,0.0105333,0.0232377,0.00838516,0.00540597,0.0223364,0.0170205,0,0,0,0,0,0,0,0
1864,0.0245331,0.0265311,0,0,0,0,0,0,0.018887,0.0164945,0.00983552,0.00488564,0,0,0.0380374,0,0.0224122,0.0139053,0.0376716,0.0179828,0.0253624,0.0134112,0.00311389,0.0405381,0.0131882,0.0181997,0.0108841,0.0389617,0.010719,0.0116797,0.00893417,0.0293764,0.025215,0.0372056,0.0123082,0.00564991,0.0129812,0.0107004,0.00682081,0.00736543,0.0188721,0,0,0.0385846,0,0.0162625,0.0126307,0.045215,0.0166032,0.0223574,0.00565552,0.00455309,0.0229219,0.0114799,0.0460636,0.011917,0.0116516,0.00635811,0.0411491,0.00648731,0.00747928,0.011969,0.0222971,0.0081286,0.00523619,0.0236523,0.0166838,0,0,0,0,0,0,0,0
1865,0.0247388,0.0278572,0,0,0,0,0,0,0.0186781,0.0164871,0.00984184,0.00546862,0,0,0.0388648,0,0.0225724,0.0139677,0.0376005,0.0181769,0.0251481,0.0135476,0.00281259,0.0411455,0.0133786,0.0183996,0.0110824,0.0390782,0.0108167,0.0117186,0.00897975,0.029351,0.0249636,0.0380614,0.0124495,0.00554487,0.0144297,0.0109522,0.00807295,0.00821791,0.0200135,0,0,0.0387342,0,0.0158974,0.0130098,0.0455656,0.0190294,0.022046,0.007086,0.00488529,0.0239954,0.0116676,0.0461043,0.0118917,0.0118676,0.00803935,0.0402633,0.00793343,0.0091524,0.0134455,0.0214155,0.00797516,0.00522461,0.0251186,0.0165626,0,0,0,0,0,0,0,0
