Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,LWRB,LBHD
19,0.01105,0.00510228,0,0,0,0,0,0,0.0219854,0.0121678,0.00825351,0.00818689,0,0.0278852,0,0.0240211,0.00893429,0.0434416,0.0140483,0.0260705,0.0167579,0.00825114,0.0196774,0.00913834,0.0162147,0.0102865,0.0367321,0.0091758,0.012435,0.0059385,0.0265999,0.0260059,0.0211428,0.0106194,0.0245572,0.0145618,0.00485311,0.00705243,0.00647849,0,0,0.0454077,0,0.0092519,0.019719,0.0416235,0.0106897,0.0257174,0.00904771,0.00467298,0.0230573,0.00597447,0.0340849,0.00949779,0.00702542,0.00807407,0.0475837,0.00610634,0.00847186,0.0295008,0.0348134,0.0106192,0.00702534,0.00884503,0.0099772,0,0,0,0,0,0,0,0,0
20,0.0104351,0.00605578,0,0,0,0,0,0,0.0223573,0.0121972,0.00823212,0.00817673,0,0.0288555,0,0.0240395,0.00918334,0.0434561,0.0140599,0.0262813,0.0168351,0.00801383,0.0193844,0.00892961,0.0160981,0.0101043,0.0367696,0.00915634,0.0126474,0.00592946,0.026583,0.0264755,0.0218794,0.0105685,0.0247132,0.0146641,0.00496551,0.0069674,0.00662555,0,0,0.0470474,0,0.00933913,0.0200926,0.0416384,0.01063,0.0257692,0.00891189,0.00448385,0.0226948,0.00607478,0.0339197,0.00954954,0.00714793,0.00808302,0.0474695,0.00611474,0.00848322,0.0297517,0.0360086,0.0105668,0.00687276,0.00979158,0.00965077,0,0,0,0,0,0,0,0,0
21,0.00982799,0.00706418,0,0,0,0,0,0,0.0229,0.0121473,0.00828191,0.00810397,0,0.0296684,0,0.0240061,0.00923966,0.0433789,0.0142845,0.0264273,0.0171329,0.00782201,0.018896,0.00900509,0.0162991,0.0100983,0.0366284,0.00926811,0.0126929,0.00594379,0.0265373,0.0272652,0.022468,0.0105446,0.0248855,0.014764,0.00494543,0.00661862,0.00682331,0,0,0.0485853,0,0.00943434,0.0205248,0.0417198,0.0105711,0.0257663,0.00882963,0.00424511,0.022296,0.00615209,0.0338409,0.00926403,0.00723609,0.00805819,0.0474657,0.00600587,0.00842561,0.0296517,0.037177,0.0104522,0.00672322,0.0108785,0.00928778,0,0,0,0,0,0,0,0,0
22,0.00939698,0.00811139,0,0,0,0,0,0,0.0238089,0.0119461,0.00832368,0.00793501,0,0.0305796,0,0.0239351,0.00924243,0.0433302,0.0145395,0.026596,0.0175009,0.00771387,0.01808,0.00945659,0.0166389,0.0102425,0.0366565,0.00937621,0.012988,0.00595018,0.0264005,0.0285608,0.0229753,0.0104914,0.0250401,0.0148672,0.00492279,0.00593904,0.00714592,0,0,0.0501458,0,0.00952361,0.0210231,0.0418399,0.0104999,0.0257517,0.00881466,0.00406803,0.0219556,0.00625738,0.0338573,0.00832189,0.00730899,0.00802396,0.0475966,0.0057793,0.00835672,0.0294469,0.0383551,0.010443,0.00657008,0.0119631,0.00896182,0,0,0,0,0,0,0,0,0
23,0.0091473,0.00928355,0,0,0,0,0,0,0.0242656,0.0118883,0.00814523,0.008135,0,0.0313506,0,0.0238751,0.00921528,0.0436916,0.0136893,0.0265473,0.0169396,0.00780141,0.0172733,0.00912207,0.0159573,0.00984732,0.0371629,0.00906219,0.0128375,0.00583749,0.0262422,0.0289992,0.0233925,0.01041,0.0252939,0.0149737,0.00494324,0.00555433,0.00771403,0,0,0.0517469,0,0.00959764,0.0215587,0.0419329,0.0103634,0.0257601,0.00888589,0.00417987,0.0215102,0.00629988,0.0339083,0.00763157,0.0073122,0.00797593,0.0476779,0.00558574,0.00828321,0.0294436,0.0394644,0.0104764,0.00647124,0.0128927,0.00870542,0,0,0,0,0,0,0,0,0
24,0.00881485,0.0104345,0,0,0,0,0,0,0.0241945,0.0121386,0.00813535,0.00833571,0,0.0319179,0,0.0237812,0.00928505,0.043815,0.0131481,0.0264529,0.0165208,0.00793121,0.0165777,0.00852777,0.0152798,0.00946219,0.0371953,0.00884008,0.0125818,0.00561816,0.026339,0.0288637,0.0237429,0.0102366,0.0256905,0.0151186,0.00502624,0.00562879,0.00818649,0,0,0.0530872,0,0.0097389,0.0218846,0.0418872,0.0100758,0.025786,0.00878403,0.00432736,0.021049,0.00620566,0.0339222,0.00762189,0.00721377,0.00777545,0.0477527,0.00580171,0.00806622,0.0295212,0.0404069,0.0100606,0.00658699,0.0136682,0.00829895,0,0,0,0,0,0,0,0,0
25,0.00711127,0.0116032,0,0,0,0,0,0,0.00731784,0.0123593,0.0061498,0.00945085,0,0.0325458,0,0.0236828,0.00932113,0.0393077,0.0120995,0.0300357,0.0159599,0.00555334,0.0164544,0.0100466,0.0137842,0.0123017,0.0430033,0.0107606,0.00966762,0.00742131,0.0260091,0.0110186,0.0244213,0.0100985,0.0256312,0.0150835,0.0047155,0.0058255,0.00787099,0,0,0.0541296,0,0.0100228,0.0220119,0.0426111,0.00880949,0.0254993,0.00907425,0.00389724,0.0231668,0.0058963,0.0344461,0.00836482,0.00696284,0.00696829,0.047029,0.00546705,0.00712765,0.0291588,0.0424946,0.00975235,0.00639622,0.0152315,0.00693729,0,0,0,0,0,0,0,0,0
26,0.00915601,0.0132254,0,0,0,0,0,0,0.0246171,0.0124628,0.00813125,0.00838754,0,0.0331221,0,0.0235095,0.00927585,0.0436883,0.0128843,0.0264715,0.0163829,0.00817139,0.0149074,0.00820164,0.0148284,0.00911051,0.037093,0.0086732,0.0122983,0.00544526,0.0264963,0.029141,0.0244049,0.010036,0.0254674,0.0154359,0.0049975,0.00566136,0.0100912,0,0,0.0563275,0,0.0100372,0.0228019,0.0419169,0.00999439,0.0259009,0.00863189,0.00457333,0.0199231,0.00632838,0.0338903,0.00879093,0.00730637,0.0077223,0.0475683,0.00628987,0.00804173,0.0291176,0.0424545,0.00975197,0.00633582,0.0158248,0.0080478,0,0,0,0,0,0,0,0,0
27,0.00936109,0.0142563,0,0,0,0,0,0,0.0245754,0.0124242,0.0081854,0.00819997,0,0.0336065,0,0.0233199,0.00912404,0.0435691,0.0128283,0.0264045,0.0163677,0.00840252,0.0139907,0.00797968,0.0145569,0.00906235,0.0369695,0.00861669,0.0121269,0.00543334,0.0266117,0.0291176,0.0246328,0.00986193,0.0254189,0.0155953,0.00502436,0.00571697,0.0108717,0,0,0.0576791,0,0.0102393,0.0230064,0.0419029,0.0100782,0.0259163,0.00856252,0.00475478,0.0194995,0.00629768,0.0337698,0.00856587,0.00733786,0.00775088,0.0474596,0.00599989,0.0080693,0.0291417,0.0432835,0.00961493,0.00622384,0.0166432,0.00795689,0,0,0,0,0,0,0,0,0
28,0.00961652,0.0152084,0,0,0,0,0,0,0.0247581,0.0126735,0.00822539,0.00766948,0,0.034082,0,0.023172,0.00895949,0.0434943,0.0126821,0.0263298,0.0162863,0.00865532,0.0132491,0.00783354,0.0143421,0.00903462,0.0369444,0.00852068,0.012061,0.00538369,0.0266371,0.029329,0.0249506,0.00965348,0.0252639,0.0157221,0.00504492,0.00580478,0.0115815,0,0,0.0588124,0,0.010457,0.0231014,0.0418607,0.0100746,0.0259199,0.00850572,0.00495254,0.0190752,0.0062329,0.0335902,0.00807837,0.00734704,0.00778466,0.0473528,0.00585462,0.00811123,0.0292577,0.0439487,0.00935825,0.00612845,0.0175792,0.0078991,0,0,0,0,0,0,0,0,0
