Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,RTHIA,RTIBA
154,0.0183357,0.0154512,0,0,0,0,0,0,0.0135253,0.0117685,0.0146138,0.00213789,0,0,0.0263515,0,0.0220936,0.0113254,0.0382022,0.0150983,0.0263456,0.00781044,0.00636773,0.0177265,0.00277989,0.0035135,0.0046833,0.0349629,0.00912591,0.0101926,0.00613465,0.0306002,0.0140232,0.0187991,0.0103394,0.00703867,0.0116905,0.0143656,0.00605424,0.00308691,0.011354,0,0,0.0299683,0,0.0128364,0.0101878,0.0426886,0.00974325,0.0252457,0.00758212,0.00838079,0.0193768,0.0063063,0.00716418,0.00777634,0.00271838,0.000714308,0.00254855,0.0107468,0.0221615,0.00846385,0.00705743,0.014238,0.0137481,0,0,0,0,0,0,0,0.0383986,0.0445112
155,0.0179178,0.015189,0,0,0,0,0,0,0.0135184,0.0116216,0.0146663,0.00205144,0,0,0.0261694,0,0.0221619,0.0116305,0.0381715,0.015116,0.0263131,0.00777754,0.00592099,0.0179026,0.00275307,0.00351428,0.00459107,0.0349515,0.00922192,0.0101928,0.00614708,0.0305781,0.0140355,0.0190825,0.0104124,0.00732443,0.0116804,0.0144861,0.00594087,0.00314459,0.0110599,0,0,0.0295894,0,0.0126662,0.00990473,0.0427019,0.00966529,0.0251732,0.00767887,0.00806095,0.0191468,0.00626031,0.00717281,0.00783179,0.00281244,0.000824568,0.00255803,0.0107243,0.0213839,0.00814784,0.0068509,0.0138994,0.0134818,0,0,0,0,0,0,0,0.0384239,0.0445365
156,0.0175315,0.0150852,0,0,0,0,0,0,0.013688,0.0114779,0.0147313,0.00195408,0,0,0.0259094,0,0.0222646,0.0118839,0.0381466,0.0151213,0.0263307,0.00780973,0.00533289,0.0181311,0.00272037,0.00349853,0.00455706,0.0349355,0.00920991,0.0101973,0.00615477,0.0305797,0.014101,0.0193677,0.0104799,0.0074745,0.0116898,0.0145075,0.00617475,0.00303005,0.0108167,0,0,0.0290084,0,0.0123447,0.00971195,0.0426566,0.00993364,0.0250514,0.00755521,0.00764723,0.0190468,0.00618257,0.00697824,0.00778154,0.00273458,0.000699675,0.00253221,0.0105208,0.0203401,0.00786461,0.00661807,0.0138183,0.0132351,0,0,0,0,0,0,0,0.0384203,0.0446056
157,0.0172016,0.015007,0,0,0,0,0,0,0.0139201,0.0113427,0.01474,0.00194829,0,0,0.0256928,0,0.0223617,0.0117168,0.0381118,0.0151256,0.0263554,0.00782588,0.00489502,0.0185023,0.0027481,0.00346295,0.00451769,0.0348633,0.00920067,0.0101785,0.00615347,0.0306115,0.0140851,0.0196541,0.0105444,0.00772384,0.0116718,0.0144789,0.00634137,0.00315165,0.0106718,0,0,0.0283964,0,0.0119727,0.00966267,0.0426184,0.0101523,0.0249849,0.00733161,0.0073309,0.0189784,0.00619605,0.00678569,0.00776219,0.0027234,0.000708951,0.00253234,0.0103259,0.0191688,0.00749301,0.00631427,0.0137982,0.0130253,0,0,0,0,0,0,0,0.0383985,0.0446144
158,0.0169565,0.0148784,0,0,0,0,0,0,0.0138909,0.0112072,0.0146814,0.00196152,0,0,0.0255356,0,0.0224815,0.0112912,0.0380758,0.0151092,0.0262944,0.00781338,0.00452965,0.0189337,0.00278175,0.00342245,0.00447161,0.0348109,0.00915488,0.0101499,0.00616145,0.0306322,0.0139383,0.019995,0.0106247,0.00792395,0.0116608,0.0144127,0.00632162,0.00343742,0.0105153,0,0,0.0276284,0,0.0116542,0.00960441,0.0426106,0.0102123,0.0249305,0.00732294,0.00706005,0.0190165,0.00627607,0.00690135,0.00774319,0.00277241,0.000843008,0.00252078,0.0102119,0.0180833,0.00706511,0.00598658,0.0136806,0.0128742,0,0,0,0,0,0,0,0.0384104,0.0445671
159,0.0167349,0.0145888,0,0,0,0,0,0,0.0137841,0.0110466,0.0146156,0.00200505,0,0,0.025435,0,0.0226612,0.0109324,0.0380365,0.0149733,0.0262501,0.00761332,0.00418942,0.0194225,0.00274114,0.00335058,0.00441812,0.0348153,0.00909755,0.0100605,0.00613752,0.0306192,0.013831,0.0205008,0.0107517,0.00794864,0.0116728,0.0143561,0.00626269,0.0038202,0.0103387,0,0,0.0268813,0,0.0113813,0.00930418,0.0426109,0.0102842,0.0248709,0.00738111,0.00684139,0.0190875,0.00626338,0.00695687,0.00774393,0.00286262,0.000834032,0.00254916,0.0101099,0.0171658,0.00664608,0.00570573,0.0134289,0.0127539,0,0,0,0,0,0,0,0.0384792,0.0445164
160,0.0161912,0.0129195,0,0,0,0,0,0,0.0133824,0.0113144,0.0144274,0.00216342,0,0,0.0254619,0,0.0224083,0.011133,0.0380943,0.0148133,0.0261482,0.00708771,0.00318875,0.0205165,0.00268387,0.00325986,0.00433349,0.0348724,0.0090031,0.00987706,0.00605487,0.0305798,0.0135674,0.0215215,0.0104725,0.00743892,0.011682,0.0147402,0.00631409,0.00457526,0.00935741,0,0,0.0248139,0,0.0112058,0.00871704,0.0425616,0.0104157,0.0246583,0.00750949,0.00616563,0.0195885,0.00631765,0.00696288,0.00781511,0.00308054,0.000928475,0.00270195,0.0100003,0.0143547,0.0082264,0.00672485,0.0122397,0.0125996,0,0,0,0,0,0,0,0.0385708,0.0444719
161,0.0158711,0.0125008,0,0,0,0,0,0,0.0130687,0.0112839,0.0142802,0.00247144,0,0,0.0256177,0,0.0224718,0.0113898,0.0380886,0.0146476,0.0261043,0.00692494,0.00284603,0.0211473,0.00270488,0.00322584,0.00429454,0.034875,0.00893707,0.00975131,0.00598187,0.0305139,0.0134023,0.0224703,0.0105494,0.00739002,0.0117063,0.0147391,0.00635204,0.00516322,0.00907218,0,0,0.0240041,0,0.0109567,0.00868692,0.0425929,0.0105172,0.0246104,0.00750187,0.00592416,0.0195666,0.00626721,0.00694116,0.00788447,0.00320503,0.00105237,0.00285723,0.0100325,0.0135583,0.00802594,0.00657925,0.0120228,0.0123955,0,0,0,0,0,0,0,0.0386106,0.0444296
162,0.0155637,0.0123037,0,0,0,0,0,0,0.0128274,0.0113146,0.0140681,0.00283135,0,0,0.0260195,0,0.022494,0.0118255,0.0380705,0.0144307,0.0260467,0.00696206,0.002597,0.0219236,0.00274645,0.00325522,0.00430815,0.0348166,0.0088297,0.00959646,0.0058628,0.0304519,0.013146,0.0233478,0.0105878,0.00744468,0.011726,0.0147406,0.00639907,0.00579742,0.00900804,0,0,0.0229562,0,0.0106699,0.00892835,0.042642,0.0106608,0.0246054,0.00758112,0.00575922,0.019582,0.00622899,0.00696258,0.00793905,0.00330992,0.00120225,0.00301866,0.0101247,0.0127067,0.00790112,0.00652529,0.0118146,0.0122306,0,0,0,0,0,0,0,0.0386508,0.0443854
163,0.0152264,0.0122253,0,0,0,0,0,0,0.0125276,0.0114054,0.0138774,0.0033089,0,0,0.026496,0,0.0224842,0.0122356,0.0380293,0.0142254,0.0259884,0.00687683,0.00232126,0.0227776,0.00278505,0.00327665,0.00430649,0.0347774,0.00855411,0.00947051,0.00577785,0.0304052,0.0128771,0.0240015,0.0105865,0.0075466,0.0117302,0.0148181,0.00644637,0.00635465,0.00899873,0,0,0.0228049,0,0.0105115,0.00917578,0.0426818,0.0108516,0.0245757,0.00755003,0.00558981,0.0196735,0.00624761,0.00693846,0.00795774,0.00340562,0.00133965,0.00316724,0.0101021,0.0118787,0.00770097,0.00653921,0.0117075,0.012041,0,0,0,0,0,0,0,0.0387133,0.0442979
