Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LFIN
452,0,0,0,0,0.00637186,0.0137335,0,0,0,0.0208985,0.0178046,0.0118329,0.0181339,0,0,0.0199846,0,0.011097,0.0400443,0.0222847,0.00846143,0.0195975,0.0383708,0.00667319,0.0124876,0.0155721,0.010758,0.013547,0.0193998,0.0212404,0.0168988,0.0179148,0.0188011,0.0111963,0.0138546,0.0100064,0.0225251,0.00587144,0.0241976,0.0253843,0.00826174,0,0,0.00918079,0,0.00954125,0.00141794,0.0443682,0.0246483,0.0161547,0.032705,0.0347504,0.0120077,0.0141035,0.0167319,0.0133044,0.0141392,0.0270069,0.0106479,0.0287969,0.0260059,0.0239728,0.00834837,0.00586416,0.00560649,0.0153196,0.00826495,0,0,0,0.027329
453,0,0,0,0,0.00641738,0.0137768,0,0,0,0.0208173,0.0183653,0.0118089,0.0180047,0,0,0.020105,0,0.0114002,0.040036,0.0222354,0.00847229,0.0195891,0.0383391,0.00652427,0.0124866,0.0155747,0.0107966,0.0135558,0.0193746,0.0212437,0.01688,0.0179196,0.0187243,0.0111384,0.0137626,0.0103259,0.0223844,0.00597245,0.0241659,0.0253049,0.00836457,0,0,0.00936634,0,0.00940283,0.00141548,0.0443678,0.0246564,0.0161271,0.0327831,0.0347058,0.0125069,0.0140778,0.0166536,0.0132907,0.0140649,0.0269377,0.0106116,0.0282965,0.0259419,0.0240455,0.00862994,0.00611471,0.00578285,0.0149238,0.00818602,0,0,0,0.0271281
454,0,0,0,0,0.0065122,0.0138669,0,0,0,0.020717,0.018916,0.0117883,0.0179072,0,0,0.0202211,0,0.0116881,0.0400435,0.0221932,0.00847238,0.0195596,0.0382837,0.00646562,0.0124967,0.0155706,0.0108112,0.0135474,0.0193704,0.0212694,0.0168797,0.0179135,0.0186503,0.011114,0.0137293,0.0106311,0.0223561,0.0060345,0.0241662,0.0252275,0.0085112,0,0,0.00946343,0,0.00929679,0.00143654,0.0443437,0.0244887,0.0161042,0.0327385,0.0346631,0.0129745,0.0140263,0.0166297,0.0132356,0.013962,0.0269075,0.0106317,0.0282196,0.0258992,0.0240601,0.00881985,0.00631,0.00606574,0.0145594,0.00820873,0,0,0,0.0269993
455,0,0,0,0,0.00663228,0.0139745,0,0,0,0.020623,0.0193722,0.0117714,0.0178108,0,0,0.0203242,0,0.0119052,0.0400668,0.0221608,0.00845493,0.01953,0.0381843,0.00646288,0.0125073,0.0155651,0.0108244,0.0135248,0.0193542,0.0212276,0.0168618,0.0179156,0.0185506,0.0111,0.0137193,0.0108549,0.0224425,0.00607098,0.0242013,0.0251163,0.00867622,0,0,0.00948933,0,0.00923089,0.00128194,0.0442889,0.0241427,0.0160548,0.0328602,0.0345717,0.0133527,0.0139068,0.0166415,0.0131931,0.0138603,0.027147,0.0109329,0.0284725,0.0260682,0.0240954,0.00878235,0.00648564,0.00624642,0.0143027,0.00840471,0,0,0,0.0268863
456,0,0,0,0,0.00682679,0.0140898,0,0,0,0.0205275,0.0196842,0.011774,0.0176543,0,0,0.0204682,0,0.0120378,0.0400304,0.0221746,0.00842398,0.0195927,0.0379415,0.00652904,0.0124904,0.0155167,0.0107754,0.0135733,0.0193275,0.0211191,0.0168622,0.01793,0.0184187,0.0111979,0.0136778,0.0109878,0.0224385,0.00609643,0.0241974,0.0249323,0.00886456,0,0,0.00961493,0,0.00921727,0.00115693,0.0442083,0.0241295,0.0159991,0.0329494,0.0343548,0.0136946,0.0138103,0.0167516,0.0131069,0.0137785,0.0272594,0.0110685,0.0285757,0.0261837,0.0241001,0.00858232,0.00662899,0.00636163,0.0141519,0.00859328,0,0,0,0.0267694
457,0,0,0,0,0.00706853,0.0141887,0,0,0,0.0204722,0.0198255,0.011756,0.0175244,0,0,0.0206256,0,0.0121278,0.0399825,0.0221779,0.00839101,0.0196529,0.0376932,0.00671517,0.0124626,0.0154716,0.0107235,0.0136197,0.019284,0.0210331,0.0168595,0.0179602,0.0183168,0.0114135,0.0136344,0.0110116,0.0222911,0.00613294,0.0241458,0.0248084,0.00904882,0,0,0.00984488,0,0.00926239,0.00122275,0.0441621,0.0243407,0.0159602,0.032935,0.034116,0.0137572,0.0137851,0.0167515,0.0130876,0.0137477,0.0271844,0.0110648,0.0285156,0.0261609,0.0240934,0.00838771,0.00666583,0.00636176,0.0140666,0.00875149,0,0,0,0.0266519
458,0,0,0,0,0.00708811,0.0138545,0,0,0,0.0205022,0.0198533,0.0117388,0.0177251,0,0,0.0207804,0,0.0122042,0.039984,0.0221606,0.00838458,0.0196332,0.0378172,0.00676511,0.0124702,0.0154825,0.0107482,0.0136451,0.0192816,0.0210453,0.0168775,0.0179718,0.0183183,0.0117785,0.0135944,0.0109135,0.0223425,0.00638949,0.0241637,0.0249855,0.00888802,0,0,0.0090778,0,0.00920613,0.00148955,0.044207,0.0243032,0.0159993,0.0328519,0.0341889,0.0124869,0.0138271,0.0166755,0.0131551,0.013769,0.0270591,0.0110077,0.0284083,0.0260309,0.0241603,0.0083935,0.00509751,0.00495076,0.0136252,0.00885685,0,0,0,0.0265057
459,0,0,0,0,0.00724313,0.0138178,0,0,0,0.0204415,0.0197043,0.0117201,0.0177467,0,0,0.0209125,0,0.0122166,0.0399309,0.022152,0.00833101,0.0196451,0.0376771,0.00701797,0.0124391,0.0154086,0.010716,0.0136366,0.0191931,0.021007,0.0168491,0.018023,0.0183553,0.0121658,0.0135814,0.0106893,0.0225147,0.00640989,0.0241151,0.0248923,0.00895276,0,0,0.00910272,0,0.00931125,0.00166711,0.04412,0.0241749,0.0159088,0.0327652,0.0340428,0.0123974,0.0138354,0.0166166,0.0131538,0.0137765,0.026918,0.0109919,0.028365,0.0258896,0.0242041,0.00829074,0.00507467,0.00473214,0.0135736,0.00901127,0,0,0,0.026398
460,0,0,0,0,0.00730818,0.0136886,0,0,0,0.0204709,0.0195198,0.0116982,0.0177913,0,0,0.0210947,0,0.0122608,0.0398613,0.022125,0.00828941,0.0196605,0.0375727,0.00724052,0.0124031,0.0153692,0.0106667,0.0136234,0.019084,0.0209432,0.0168056,0.0180743,0.0184391,0.012604,0.0135747,0.0104653,0.0225307,0.00644468,0.0240846,0.0248331,0.00893579,0,0,0.00891813,0,0.00940406,0.00192909,0.0439897,0.024128,0.0158373,0.0327213,0.0339273,0.012198,0.0138411,0.0166306,0.0131367,0.0137606,0.0268105,0.0109682,0.0284798,0.0257631,0.0241959,0.00816051,0.00509358,0.00433894,0.0135601,0.00911523,0,0,0,0.0262868
461,0,0,0,0,0.00721464,0.0135028,0,0,0,0.0205628,0.0193229,0.0116817,0.0178385,0,0,0.0211376,0,0.012219,0.0398326,0.0220953,0.0082563,0.0197056,0.0375435,0.00727361,0.012353,0.0153731,0.0106171,0.0136203,0.0189744,0.0208504,0.0167438,0.0181341,0.0185406,0.0127114,0.0135843,0.0103259,0.0225147,0.00652342,0.0240502,0.0247584,0.00883914,0,0,0.00872994,0,0.00953912,0.00230644,0.044029,0.0240422,0.0158276,0.0327319,0.0338856,0.0121082,0.0138093,0.0166021,0.013096,0.0137268,0.0266682,0.0109372,0.0284687,0.0256305,0.0241604,0.00818885,0.00527111,0.00415062,0.0135849,0.00916978,0,0,0,0.0262062
462,0,0,0,0,0.00708687,0.0133846,0,0,0,0.0206608,0.0191807,0.0116209,0.0178336,0,0,0.0212935,0,0.0122637,0.0398255,0.0220279,0.00811547,0.0197022,0.0374382,0.00728662,0.0122838,0.0154153,0.0106022,0.0135859,0.0188599,0.0207348,0.0166596,0.0182318,0.0186508,0.0127807,0.01358,0.0103916,0.0225456,0.00629774,0.0240804,0.0246261,0.00871011,0,0,0.0094876,0,0.00984573,0.00248782,0.0440615,0.0239199,0.0158805,0.0327067,0.0338125,0.0124926,0.0137587,0.0165812,0.0130406,0.0136812,0.0265307,0.0109231,0.0284048,0.0255084,0.0242936,0.00826855,0.00602502,0.00476934,0.0137421,0.00909069,0,0,0,0.0262161
463,0,0,0,0,0.00705156,0.0131767,0,0,0,0.0208217,0.0190912,0.0115896,0.0178993,0,0,0.0213141,0,0.0121972,0.0398426,0.021991,0.00807949,0.0196209,0.0374996,0.00716298,0.0122241,0.0154483,0.0105778,0.0134796,0.0187704,0.0206712,0.0165789,0.0183257,0.0188181,0.0126891,0.0134848,0.0104728,0.0227404,0.0064363,0.0242016,0.0246468,0.00862602,0,0,0.0093757,0,0.00997634,0.00298749,0.0440686,0.0239596,0.0159374,0.0327256,0.033814,0.01242,0.0137163,0.016638,0.012972,0.0136456,0.0264963,0.010868,0.0284196,0.0255004,0.0244023,0.00839937,0.00619561,0.00483638,0.0138294,0.00906086,0,0,0,0.0261949
464,0,0,0,0,0.00702771,0.0129724,0,0,0,0.0210289,0.0190766,0.0115411,0.0179698,0,0,0.0213124,0,0.0121851,0.039852,0.0219231,0.00806087,0.0195459,0.0375636,0.00703572,0.0121756,0.015532,0.0106188,0.0133368,0.0186915,0.0206426,0.0165081,0.0184139,0.0189934,0.0125833,0.0133805,0.0105611,0.0227231,0.00659676,0.0242474,0.0246592,0.00855134,0,0,0.00930656,0,0.0101163,0.00351418,0.0440386,0.0239743,0.0160361,0.0327704,0.0338225,0.0123665,0.0136619,0.0168022,0.012889,0.0135901,0.0265322,0.0108245,0.0284192,0.0255581,0.0243764,0.0085286,0.00639932,0.00502918,0.0139298,0.00898814,0,0,0,0.0262313
465,0,0,0,0,0.00691416,0.0127415,0,0,0,0.0212364,0.0192635,0.011525,0.0180594,0,0,0.0212503,0,0.0122667,0.0398212,0.0218887,0.00805689,0.0195357,0.0376348,0.0068016,0.0121259,0.015584,0.01066,0.0132514,0.0186475,0.02061,0.0164568,0.0184769,0.0191495,0.0123908,0.0135083,0.0106889,0.02252,0.00679059,0.0241618,0.0246883,0.00839713,0,0,0.00922455,0,0.0102424,0.0040472,0.0440548,0.0238717,0.0160192,0.0327453,0.033839,0.0125395,0.0136848,0.0167645,0.0128851,0.0135595,0.0265301,0.0108392,0.0282508,0.0255643,0.024244,0.00860135,0.00666642,0.00508349,0.0140012,0.00879343,0,0,0,0.0262908
