Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
525,0,0,0,0,0.01731,0.0093813,0,0,0,0.0258188,0.0128702,0.0116331,0.0186634,0,0,0.0167558,0,0.0263385,0.00517876,0.0283916,0.0122286,0.0147848,0.0181736,0.0258276,0.0117492,0.00847528,0.00965505,0.00171999,0.021801,0.0078134,0.00713153,0.00689392,0.0377372,0.0307667,0.00851695,0.0140454,0.00187726,0.0168774,0.0146006,0.0190389,0.0248218,0.0166603,0,0,0.0148678,0,0.0173972,0.00536795,0.0395474,0.0201079,0.02327,0.0291364,0.0203021,0.0127934,0.00560443,0.00749615,0.00696355,0.00833857,0.0204787,0.0554418,0.0169284,0.0221869,0.0314244,0.00955495,0.0109086,0.00919862,0.0101484,0.0171117,0,0,0
526,0,0,0,0,0.0172181,0.00916107,0,0,0,0.026403,0.0126497,0.0120076,0.0191208,0,0,0.0167746,0,0.0263183,0.00491131,0.0284893,0.0123954,0.0146947,0.018773,0.0270723,0.0126491,0.00873328,0.0100995,0.00173328,0.0220333,0.00789034,0.00703981,0.00687798,0.0376557,0.031359,0.00853028,0.0140489,0.0020205,0.0170188,0.0147624,0.0193138,0.0253869,0.0161022,0,0,0.0145708,0,0.0177901,0.00533145,0.0399369,0.0203271,0.0230527,0.0301172,0.0213519,0.0137409,0.00543997,0.00784066,0.00739089,0.00861747,0.0208192,0.0553445,0.0170808,0.022621,0.0322641,0.0101959,0.0114019,0.00970624,0.00946136,0.016994,0,0,0
527,0,0,0,0,0.0163198,0.00892857,0,0,0,0.0269621,0.0123553,0.0120678,0.0189363,0,0,0.0163142,0,0.0260909,0.00443558,0.028378,0.0125033,0.0146219,0.0186181,0.0273725,0.0126968,0.00877417,0.0107014,0.00193022,0.0220913,0.00771007,0.00707878,0.00687369,0.0376139,0.0318627,0.00801949,0.0141317,0.00219904,0.0172007,0.0150125,0.0189649,0.0252282,0.0145283,0,0,0.01296,0,0.0182932,0.00523281,0.0399765,0.0210291,0.0227808,0.0296669,0.0215831,0.0143513,0.00559431,0.00802798,0.00721709,0.00832267,0.0208112,0.0555906,0.017294,0.022589,0.0324292,0.0111375,0.0131198,0.011452,0.00875131,0.0159735,0,0,0
528,0,0,0,0,0.016246,0.00891393,0,0,0,0.0276109,0.012142,0.0125057,0.0194639,0,0,0.0163267,0,0.0260395,0.00411129,0.0284818,0.0128805,0.0145515,0.0191992,0.0286861,0.0133044,0.0090457,0.0108546,0.00190873,0.0224394,0.00780234,0.00701743,0.00684448,0.0375072,0.0325435,0.00822393,0.0141867,0.0024728,0.0177316,0.0150626,0.0193249,0.0257656,0.01419,0,0,0.0129236,0,0.0185812,0.0050513,0.0402235,0.0213616,0.0224612,0.030841,0.0227459,0.0160336,0.00547752,0.00833608,0.00777877,0.00865615,0.0212855,0.0554743,0.0173796,0.0231302,0.0332878,0.0118166,0.0136692,0.0119163,0.00825815,0.016103,0,0,0
529,0,0,0,0,0.0161883,0.0089675,0,0,0,0.0282481,0.0119609,0.0130175,0.020063,0,0,0.0163532,0,0.0259913,0.00384068,0.0286176,0.0134372,0.0144746,0.0198892,0.0301638,0.0139791,0.0094345,0.0109567,0.00185361,0.0228749,0.00800851,0.00698672,0.00681735,0.0373893,0.0332043,0.00850721,0.0142167,0.00269492,0.0180572,0.015122,0.0197576,0.0263703,0.013937,0,0,0.0127752,0,0.018815,0.00492771,0.0405061,0.0216567,0.0221463,0.0321901,0.0240012,0.0176948,0.00539427,0.00859795,0.00834458,0.00907129,0.0217839,0.055296,0.0174074,0.0237079,0.0341041,0.0124272,0.0140601,0.0122758,0.00780774,0.0165397,0,0,0
530,0,0,0,0,0.0161056,0.0090111,0,0,0,0.0288816,0.0117831,0.0134739,0.0205647,0,0,0.0161881,0,0.0259387,0.00361486,0.028758,0.0138237,0.0143844,0.0204543,0.0316586,0.0144086,0.010052,0.0112109,0.00183357,0.0232332,0.00817437,0.00697432,0.0067938,0.0372908,0.0338552,0.00871104,0.0142685,0.00287638,0.018113,0.0151735,0.0201008,0.0268907,0.0137419,0,0,0.0127459,0,0.0191062,0.00480522,0.0407876,0.0217769,0.0218712,0.0332968,0.0251776,0.0193733,0.00555044,0.00884999,0.00878681,0.00941069,0.0221957,0.0551558,0.0174173,0.0241853,0.0346794,0.0129968,0.0144087,0.0125782,0.0074005,0.0167202,0,0,0
531,0,0,0,0,0.0160038,0.0090751,0,0,0,0.0295598,0.0115964,0.0138352,0.0209329,0,0,0.0158908,0,0.025912,0.00340386,0.0288888,0.0139929,0.0142732,0.0208337,0.0330814,0.0145788,0.0107381,0.011588,0.00184596,0.0235055,0.00825925,0.00696735,0.00678361,0.0372108,0.0345621,0.00883059,0.0143661,0.0030401,0.0180577,0.0151976,0.0203641,0.027282,0.0135166,0,0,0.0128244,0,0.0195884,0.00474212,0.0410841,0.0219363,0.0215534,0.0341548,0.0263127,0.0208545,0.00572093,0.00905642,0.00916411,0.00971834,0.0225642,0.0550691,0.0174405,0.0245901,0.0352365,0.0135645,0.0146023,0.0126529,0.00712676,0.0166422,0,0,0
532,0,0,0,0,0.0158537,0.00909801,0,0,0,0.0302063,0.0113642,0.0140715,0.0210529,0,0,0.0153501,0,0.0258692,0.00319543,0.0289535,0.013972,0.0141671,0.0209282,0.0341497,0.0139968,0.0110572,0.0120712,0.00190297,0.0236641,0.00825298,0.00697546,0.00679135,0.0371912,0.0352236,0.00869368,0.0144891,0.00320293,0.0181934,0.015138,0.020443,0.0274488,0.0132983,0,0,0.0128082,0,0.0202244,0.0048518,0.0412895,0.0220607,0.0211889,0.0345105,0.0270576,0.0222967,0.00562955,0.00918685,0.00935028,0.00983939,0.0227729,0.0551064,0.017523,0.0247974,0.0354944,0.0142186,0.0145365,0.0125566,0.00691668,0.0164137,0,0,0
533,0,0,0,0,0.0158134,0.00936378,0,0,0,0.0307527,0.011191,0.0143023,0.0213143,0,0,0.0149421,0,0.0258733,0.00311347,0.0290814,0.014094,0.0140501,0.0211525,0.0353431,0.0139589,0.0112622,0.0122792,0.00190391,0.0238649,0.00829601,0.00698428,0.00678183,0.0371321,0.0358108,0.00872578,0.0145674,0.00338168,0.0181596,0.0151174,0.0205456,0.0277692,0.013112,0,0,0.0127034,0,0.0207225,0.0049158,0.041538,0.0222142,0.0208555,0.0350597,0.0279507,0.0236013,0.00534667,0.00933201,0.00957996,0.0100465,0.0229933,0.0550647,0.0175984,0.0250481,0.0357381,0.0148053,0.0146348,0.0126013,0.00688222,0.0163241,0,0,0
534,0,0,0,0,0.0157447,0.00965355,0,0,0,0.0311713,0.0110975,0.01455,0.0217161,0,0,0.0146682,0,0.0259135,0.00312162,0.029261,0.0143601,0.0139191,0.0214707,0.0366547,0.014301,0.0114735,0.0122511,0.00186032,0.0241049,0.00835602,0.00698934,0.00677936,0.037032,0.036309,0.0088954,0.0146135,0.00349086,0.01835,0.0151723,0.0207382,0.0282307,0.0128628,0,0,0.0125795,0,0.0211669,0.00496735,0.0418433,0.022258,0.0205631,0.0358419,0.0290523,0.0246583,0.00570943,0.009495,0.00986169,0.0102658,0.0232527,0.0549136,0.0176336,0.0253631,0.0358638,0.0152669,0.0147384,0.0126752,0.00693302,0.0162603,0,0,0
535,0,0,0,0,0.0157014,0.00989486,0,0,0,0.0315133,0.0110373,0.0147476,0.0221028,0,0,0.0143808,0,0.0259324,0.00316753,0.0294094,0.0145069,0.0138247,0.0217494,0.0378567,0.0146303,0.0116441,0.012334,0.00182023,0.0243205,0.00842064,0.00703946,0.00678796,0.0369467,0.0367485,0.00905955,0.014652,0.00352697,0.0182524,0.0152094,0.0209311,0.0286781,0.0126678,0,0,0.0124177,0,0.0214438,0.00503544,0.0421194,0.022414,0.0202893,0.0366323,0.0301725,0.0255371,0.00622223,0.00965751,0.0101336,0.0104987,0.0235105,0.0547778,0.017553,0.0256677,0.0359135,0.015639,0.0148678,0.0127977,0.00702897,0.0162054,0,0,0
536,0,0,0,0,0.0156674,0.0101052,0,0,0,0.0318116,0.0109985,0.0149082,0.0224457,0,0,0.0140875,0,0.0259329,0.00325599,0.0295678,0.0145589,0.0137518,0.0219978,0.038946,0.0149459,0.0118337,0.0125708,0.00179789,0.0244593,0.00848774,0.00711858,0.0067773,0.036871,0.0371625,0.00922453,0.0146732,0.00352849,0.0179095,0.0152127,0.0211351,0.0291024,0.0125282,0,0,0.0122228,0,0.0215882,0.00514815,0.042335,0.0226604,0.0200491,0.0373629,0.0313262,0.0263198,0.00646796,0.00979205,0.0104416,0.0108458,0.0237538,0.0546579,0.0174794,0.0259739,0.035876,0.0159029,0.01499,0.0129169,0.00713859,0.0161939,0,0,0
537,0,0,0,0,0.0156112,0.0102519,0,0,0,0.0320962,0.0109655,0.0149952,0.0226779,0,0,0.0138047,0,0.025902,0.00335625,0.0297113,0.0144951,0.0136589,0.0221326,0.0398401,0.0150403,0.0119791,0.0128937,0.00177108,0.024491,0.00849417,0.00721968,0.00675941,0.0368224,0.0375432,0.00932574,0.0146927,0.00352128,0.0179589,0.0152349,0.0212778,0.0294493,0.0124879,0,0,0.0120552,0,0.0217243,0.00529194,0.0424416,0.0228599,0.0198642,0.0378074,0.0325135,0.0270037,0.00661157,0.00983069,0.0106584,0.0110494,0.0238815,0.0545714,0.0174398,0.0261766,0.0357061,0.0161216,0.015055,0.0130344,0.00720661,0.0161759,0,0,0
538,0,0,0,0,0.0155102,0.0103949,0,0,0,0.0324033,0.0109708,0.0151022,0.022958,0,0,0.0135983,0,0.0258566,0.00350304,0.0298465,0.0143818,0.0135969,0.0223218,0.0407993,0.0153261,0.0120942,0.0129814,0.00177417,0.0245782,0.00851171,0.00729152,0.00673214,0.036734,0.038029,0.00948695,0.0146989,0.00352797,0.0179938,0.0152924,0.0214744,0.0298433,0.0123523,0,0,0.0118976,0,0.0218389,0.00540342,0.042614,0.0229579,0.0197486,0.0384876,0.033828,0.0274927,0.00677999,0.00984933,0.010863,0.0113295,0.0241388,0.0544249,0.0174042,0.0264329,0.0357148,0.016275,0.0151551,0.0130953,0.0072804,0.0161065,0,0,0
