Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
1083,0,0,0,0,0.0530478,0.0548995,0,0,0,0.0241013,0,0.0381833,0.0522568,0,0,0.0166516,0,0,0.0553904,0.0317587,0.050971,0.0182268,0.0162626,0.0545113,0.0439519,0.02733,0.0362303,0.0585806,0.0440077,0.0487614,0.0455573,0.0500274,0.050236,0.0779169,0.0354123,0.0122268,0.0164028,0.0299356,0,0.026579,0.0605296,0.013088,0,0,0.0214642,0,0,0.0335868,0.0347006,0.0348906,0.00377013,0.0205465,0.0568361,0.0224255,0.0317427,0.00632922,0.0334665,0.0404661,0.0480387,0.0247935,0.0226251,0.0490599,0.0273559,0.00963115,0.00860242,0.00381757,0.039754,0.0259934,0,0,0
1084,0,0,0,0,0.0529035,0.0549354,0,0,0,0.0240636,0,0.0380461,0.0523128,0,0,0.0167125,0,0,0.0554598,0.0317376,0.0507934,0.0180889,0.0161237,0.0544162,0.0439593,0.0273751,0.0363907,0.0587403,0.0441425,0.0489408,0.0457417,0.0501731,0.0503462,0.0775934,0.0352946,0.0121813,0.0165574,0.0296661,0,0.0259467,0.060486,0.0130822,0,0,0.0216812,0,0,0.03359,0.0347331,0.034807,0.00387587,0.0209722,0.0566745,0.0223328,0.031875,0.00645851,0.0336995,0.0406974,0.0483965,0.0249698,0.0231069,0.0496603,0.0278017,0.00953818,0.00853594,0.00364405,0.0393138,0.0258062,0,0,0
1085,0,0,0,0,0.0527638,0.0548795,0,0,0,0.0240276,0,0.037886,0.0523369,0,0,0.0167468,0,0,0.0555484,0.0316843,0.05052,0.0179557,0.0160275,0.0542975,0.044005,0.0273751,0.0365674,0.058891,0.0442704,0.0490782,0.046024,0.0502885,0.0504286,0.0773481,0.0351754,0.0122056,0.0166453,0.0289734,0,0.0260642,0.0604716,0.0131929,0,0,0.0217541,0,0,0.0336011,0.0348067,0.0349514,0.00386524,0.0209315,0.0564413,0.0221896,0.031986,0.00625951,0.03389,0.0408764,0.0488459,0.0255087,0.0235779,0.0498502,0.0280655,0.00943405,0.00848371,0.00354233,0.0389412,0.0256694,0,0,0
1086,0,0,0,0,0.052617,0.0547507,0,0,0,0.0239728,0,0.0377287,0.0523542,0,0,0.0168008,0,0,0.0556344,0.0316251,0.0504845,0.0178287,0.015927,0.0541857,0.0440039,0.0273421,0.0367584,0.0590693,0.0444029,0.0492337,0.0462855,0.0504421,0.0505627,0.0771064,0.0350614,0.0121903,0.0167476,0.0284968,0,0.0255178,0.0604754,0.0132624,0,0,0.0219427,0,0,0.0335836,0.0348956,0.0349865,0.00387132,0.0205076,0.0561873,0.0220753,0.0321012,0.00616791,0.034093,0.041054,0.0494446,0.0257816,0.023706,0.0497512,0.0283377,0.00933172,0.0084025,0.00339952,0.0386706,0.0255186,0,0,0
1087,0,0,0,0,0.0524235,0.0545893,0,0,0,0.0239312,0,0.0375588,0.0523643,0,0,0.0167929,0,0,0.055693,0.0315473,0.0502901,0.0176627,0.0158515,0.0541448,0.0439238,0.0272732,0.0369562,0.0592509,0.0445118,0.0494116,0.0464582,0.050585,0.050689,0.0768113,0.0349974,0.0120562,0.0168441,0.028607,0,0.0254342,0.0604712,0.0133453,0,0,0.0221653,0,0,0.0336703,0.0350145,0.0351569,0.00386341,0.0200299,0.0559144,0.0219781,0.0321806,0.00637089,0.034408,0.041292,0.0497075,0.0258416,0.0236959,0.0498338,0.0285668,0.00923688,0.00835278,0.00330279,0.0385469,0.0253386,0,0,0
1088,0,0,0,0,0.0522554,0.0543859,0,0,0,0.0238789,0,0.0374029,0.0523525,0,0,0.0167547,0,0,0.0557105,0.0314547,0.0502387,0.0174987,0.0157887,0.0540693,0.0438241,0.0272534,0.0371631,0.0594384,0.0446056,0.0496551,0.0466733,0.0507586,0.05084,0.0764662,0.0349957,0.012051,0.016843,0.0289947,0,0.0256299,0.0604919,0.0134792,0,0,0.0221616,0,0,0.0337227,0.0351184,0.0352647,0.00389768,0.019878,0.0556777,0.0219639,0.0321685,0.00649373,0.0347915,0.0415408,0.0494508,0.0260057,0.0238445,0.0504369,0.028683,0.00913836,0.00830825,0.00329778,0.0384631,0.025156,0,0,0
1089,0,0,0,0,0.0521131,0.0542169,0,0,0,0.023827,0,0.0372318,0.0523573,0,0,0.0167123,0,0,0.0556993,0.0313711,0.0500035,0.017365,0.0157171,0.0539013,0.0437068,0.0272849,0.0374204,0.0596148,0.0447085,0.0498592,0.0468928,0.0508998,0.0509485,0.0760828,0.0349946,0.0121195,0.0168294,0.0291024,0,0.0249359,0.0605231,0.0135968,0,0,0.0222185,0,0,0.0338301,0.0351931,0.0350185,0.00398982,0.0202591,0.055459,0.0219922,0.0320879,0.00665708,0.035243,0.0418659,0.0500751,0.0265285,0.02431,0.0513956,0.0286368,0.00900576,0.00826606,0.00333052,0.0383854,0.0249765,0,0,0
1090,0,0,0,0,0.0520204,0.054104,0,0,0,0.0237446,0,0.0370486,0.0523758,0,0,0.0167198,0,0,0.0557102,0.0312843,0.0499092,0.0172324,0.0156607,0.0536899,0.0435596,0.0273227,0.0376784,0.0597867,0.0448023,0.050059,0.0471123,0.051087,0.0510928,0.0756501,0.0349911,0.0121442,0.0168116,0.0293802,0,0.0247541,0.0605554,0.0135983,0,0,0.0223364,0,0,0.033894,0.0352887,0.035077,0.0040783,0.0203069,0.0552586,0.0220248,0.0321192,0.00684809,0.0356922,0.0421283,0.0512862,0.0269589,0.0246831,0.0517914,0.0285604,0.00888664,0.00823278,0.0033704,0.0383163,0.0248106,0,0,0
1091,0,0,0,0,0.0519172,0.0540483,0,0,0,0.0236772,0,0.0368472,0.052383,0,0,0.016733,0,0,0.0557889,0.0312057,0.0496649,0.0171198,0.0156493,0.0534555,0.0434346,0.0273427,0.0379026,0.05995,0.0448948,0.0502854,0.0472773,0.0512073,0.0512131,0.0751984,0.03495,0.0120647,0.0168325,0.0298309,0,0.0250924,0.0605912,0.0135346,0,0,0.0225033,0,0,0.0340025,0.0354005,0.0351872,0.00412334,0.0201923,0.055079,0.0220759,0.0322458,0.00697899,0.0361028,0.0424217,0.0518689,0.0272174,0.0249136,0.0518865,0.0285814,0.00879763,0.00821996,0.00346524,0.0382586,0.0246729,0,0,0
1092,0,0,0,0,0.0517991,0.0539725,0,0,0,0.0235808,0,0.036612,0.0523684,0,0,0.0167505,0,0,0.0558891,0.0311467,0.0496456,0.0169634,0.0156696,0.0533887,0.0433018,0.0273699,0.0381613,0.0601353,0.0449566,0.050549,0.0474378,0.0513946,0.051373,0.0747008,0.0348861,0.012016,0.0168418,0.0301413,0,0.0249376,0.0606334,0.0135826,0,0,0.0225227,0,0,0.0340493,0.0355218,0.0352178,0.00415795,0.0200783,0.0548672,0.0221601,0.0323827,0.00704721,0.0365319,0.0427083,0.0520399,0.0273739,0.0251278,0.052104,0.0286403,0.00869124,0.00818732,0.00360391,0.0381845,0.024545,0,0,0
