Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTIBA,RKNE,IMUL_M,RASI,IMUL_R,LTHII,L5FT,IMUR_M
184,0.0383667,0.0470048,0,0,0,0,0.0265136,0.0580444,0,0,0.0117069,0,0,0.0328136,0.0299994,0.0347316,0.0226843,0.0467083,0.0258758,0.0302768,0.0223335,0.0304859,0.0280466,0.0449102,0.0392697,0.0368394,0.0122964,0.048209,0.008489,0.0169779,0.0708527,0,0.0222189,0.0203168,0,0,0.0134525,0,0,0.033424,0.0458975,0.048645,0.0310408,0.0298825,0.014838,0.034772,0.0231117,0.0540538,0.0594608,0.0589127,0.0583365,0.058887,0.0335468,0.0389773,0.0173217,0.0187439,0.0427973,0.0225359,0,0,0,0,0,0,0,0,0,0.0487611,0.0221347,0,0.0620167,0,0,0.0438057,0
185,0.0381925,0.0472134,0,0,0,0,0.0265233,0.0580762,0,0,0.0118014,0,0,0.0330091,0.0294372,0.0335945,0.0225186,0.0463061,0.0259808,0.0305755,0.0223063,0.0310734,0.0264611,0.0445939,0.0389919,0.0365377,0.0129038,0.0480434,0.00850172,0.0171412,0.0701097,0,0.0224641,0.0201046,0,0,0.013488,0,0,0.0333753,0.0461067,0.0494617,0.0312984,0.0297169,0.0147399,0.0349767,0.0232875,0.0541093,0.059138,0.0584171,0.0580836,0.0586412,0.0327351,0.038966,0.017344,0.0186519,0.042928,0.0226337,0,0,0,0,0,0,0,0,0,0.0484527,0.0224352,0,0.0618948,0,0,0.0425765,0
186,0.0382125,0.0473661,0,0,0,0,0.0259819,0.0580676,0,0,0.01161,0,0,0.0332546,0.0290407,0.03245,0.0226347,0.0460481,0.0263037,0.0305716,0.0220789,0.0313939,0.0249936,0.0442139,0.0387956,0.0362299,0.0133573,0.0479156,0.0083743,0.0176426,0.0692121,0,0.0222504,0.0199363,0,0,0.0129233,0,0,0.0335066,0.0464075,0.0502163,0.0312564,0.0296254,0.0141507,0.035045,0.0232988,0.0540268,0.0588709,0.0580698,0.0578166,0.0582621,0.0321654,0.0389886,0.0175708,0.0186941,0.04307,0.0229211,0,0,0,0,0,0,0,0,0,0.047969,0.0227588,0,0.0617984,0,0,0.0415982,0
187,0.0382257,0.0476075,0,0,0,0,0.0241774,0.0583078,0,0,0.0116849,0,0,0.0334018,0.0284967,0.0309355,0.0229764,0.0462558,0.0266116,0.0308811,0.0219579,0.0317182,0.0239336,0.0438101,0.038835,0.0362382,0.0141668,0.0478301,0.00841763,0.0177124,0.0674871,0,0.0220802,0.0197847,0,0,0.0129929,0,0,0.0335288,0.0465985,0.0507103,0.0311895,0.0295523,0.0140096,0.0351211,0.0228857,0.0539873,0.0585934,0.0576627,0.0574746,0.0578549,0.0310654,0.0390066,0.0175336,0.0185177,0.0433169,0.0231159,0,0,0,0,0,0,0,0,0,0.047414,0.0231709,0,0.0617519,0,0,0.0402689,0
188,0.0383587,0.0477519,0,0,0,0,0.021832,0.0587345,0,0,0.0117208,0,0,0.0335194,0.0275733,0.0294407,0.0233273,0.0465388,0.0269459,0.0312621,0.021725,0.0323071,0.0233993,0.0433131,0.0386611,0.0361712,0.0154899,0.047771,0.00848823,0.0178157,0.0654022,0,0.021961,0.0197062,0,0,0.0131147,0,0,0.0335418,0.0468044,0.0512054,0.0312355,0.0294382,0.0137546,0.0353289,0.0225407,0.0539598,0.0583352,0.0573136,0.0572694,0.0576668,0.0298373,0.039092,0.0174155,0.0182724,0.0435229,0.023478,0,0,0,0,0,0,0,0,0,0.0468251,0.0236918,0,0.0614647,0,0,0.0386314,0
189,0.0384707,0.0477164,0,0,0,0,0.0213195,0.0589945,0,0,0.0117861,0,0,0.0335698,0.0264409,0.0289652,0.023317,0.0467816,0.0274391,0.031726,0.0212473,0.0324546,0.0231011,0.0430498,0.0380034,0.0354945,0.0174257,0.0476737,0.008497,0.0179172,0.0626425,0,0.0216803,0.0196806,0,0,0.0132045,0,0,0.0335325,0.0469446,0.0516743,0.0313375,0.029484,0.0135234,0.0356447,0.0226667,0.0539722,0.0581747,0.0570559,0.0572199,0.0576422,0.0282572,0.0393391,0.0172812,0.0179865,0.0435698,0.0239594,0,0,0,0,0,0,0,0,0,0.0468137,0.0243686,0,0.0608749,0,0,0.0367429,0
190,0.0384347,0.0475295,0,0,0,0,0.0223942,0.0587976,0,0,0.011819,0,0,0.0336601,0.0254395,0.0298718,0.0229475,0.0468241,0.0277544,0.032025,0.0203474,0.0324364,0.0225101,0.043093,0.0370956,0.0346062,0.0195677,0.0476085,0.00847415,0.0180934,0.059874,0,0.0217165,0.0196997,0,0,0.0131277,0,0,0.0335554,0.0471003,0.0524636,0.0313411,0.0298453,0.0133341,0.035655,0.022974,0.0539831,0.0581027,0.0569472,0.05731,0.0578632,0.0265086,0.0396655,0.0170886,0.0177208,0.0434167,0.0243013,0,0,0,0,0,0,0,0,0,0.0476393,0.0249741,0,0.0600563,0,0,0.034802,0
191,0.0383129,0.0472677,0,0,0,0,0.0241488,0.0583005,0,0,0.0118454,0,0,0.0337378,0.025069,0.0318285,0.0223225,0.046702,0.0279702,0.0321235,0.0195197,0.0322683,0.0220803,0.043178,0.0362685,0.0338959,0.0221899,0.0476344,0.00849064,0.0182788,0.0569841,0,0.0222423,0.0197395,0,0,0.0126705,0,0,0.0336939,0.0473227,0.0533313,0.0313583,0.0304452,0.013024,0.0357887,0.0227392,0.0540916,0.0581053,0.0569053,0.0573751,0.0583329,0.0251861,0.0398147,0.0170776,0.0175887,0.0431873,0.0245375,0,0,0,0,0,0,0,0,0,0.048581,0.025274,0,0.0591922,0,0,0.0326224,0
192,0.0381289,0.047193,0,0,0,0,0.0258447,0.0576457,0,0,0.0121571,0,0,0.0336238,0.0251143,0.0339634,0.0218451,0.0464078,0.0279945,0.032464,0.0189374,0.031986,0.0213601,0.0430341,0.0355491,0.0332931,0.0250439,0.0476342,0.00852157,0.0180366,0.0540032,0,0.0225452,0.0197655,0,0,0.0126053,0,0,0.0337299,0.0478534,0.0543983,0.0313372,0.0310466,0.0130821,0.0361554,0.0225837,0.0543073,0.0578925,0.0566642,0.0573874,0.0587878,0.0241846,0.0398207,0.0168158,0.0173211,0.0431788,0.0247987,0,0,0,0,0,0,0,0,0,0.0488531,0.0252252,0,0.0583054,0,0,0.0306108,0
193,0.038076,0.0472208,0,0,0,0,0.0267167,0.0570327,0,0,0.0123591,0,0,0.0335833,0.0254805,0.0355067,0.0216008,0.0460988,0.0277148,0.0326612,0.0187498,0.0315634,0.0211541,0.0426303,0.0350026,0.0329514,0.0270265,0.0475909,0.00853719,0.0179626,0.0509667,0,0.0224411,0.0197963,0,0,0.0125885,0,0,0.0337311,0.0485674,0.0551431,0.0311951,0.0315189,0.0129977,0.0368212,0.0219131,0.0546084,0.0576282,0.0563419,0.0573273,0.0591106,0.0238273,0.0398123,0.016606,0.0171453,0.0431987,0.0251493,0,0,0,0,0,0,0,0,0,0.0483734,0.0255852,0,0.0573888,0,0,0.0294339,0
