Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,IMUR_M
105,0.0309413,0.0492111,0,0,0,0,0,0.0195864,0,0.0286491,0.0496033,0,0,0.0138067,0,0,0.0320494,0.0395103,0.0464683,0.0250171,0.0569918,0.0274611,0.028745,0.0128026,0.0440129,0.0261212,0.0435395,0.0467358,0.0387724,0.0343492,0.0492496,0.0454385,0.00722479,0.0152615,0.065088,0,0.0118392,0.0639417,0.0181428,0,0,0.0144728,0,0,0.0343474,0.0491677,0.0495515,0.0296782,0.0178805,0.0255222,0.0233441,0.0352678,0.0251465,0.0568589,0.0642733,0.0644789,0.0652614,0.0648669,0.0247498,0.031886,0.0187474,0.0222262,0.0423785,0.0156479,0,0,0,0,0,0,0,0,0,0,0
106,0.0309844,0.0491696,0,0,0,0,0,0.02025,0,0.0281843,0.0494216,0,0,0.0137495,0,0,0.0321704,0.0394802,0.0460513,0.0248298,0.0573847,0.0275201,0.0286555,0.0123369,0.0437893,0.025371,0.0434305,0.0470267,0.0390369,0.0348009,0.0484575,0.0454212,0.0072494,0.0154381,0.0656775,0,0.0120371,0.0642729,0.0181619,0,0,0.0144567,0,0,0.0342398,0.0488777,0.0496594,0.0296362,0.0179222,0.0252296,0.0232215,0.0355083,0.0249153,0.0570791,0.0641936,0.0643341,0.0651554,0.0647008,0.0251407,0.0318969,0.0187669,0.0222739,0.0423053,0.0157157,0,0,0,0,0,0,0,0,0,0,0
107,0.0310641,0.0491599,0,0,0,0,0,0.0207224,0,0.0277911,0.0493028,0,0,0.0137107,0,0,0.0323329,0.0395161,0.0459845,0.0248106,0.0575795,0.0276138,0.0285549,0.0123586,0.0436924,0.0248144,0.0441344,0.0473984,0.0393376,0.0353824,0.0479649,0.0454093,0.0072686,0.0155483,0.0655191,0,0.0122897,0.0648038,0.0181375,0,0,0.0143683,0,0,0.0341217,0.0485262,0.0497986,0.0295937,0.0178084,0.0249914,0.0231017,0.0357586,0.0247391,0.0572329,0.0642005,0.0643036,0.0650045,0.0645741,0.0263093,0.0319823,0.0188129,0.022282,0.0423078,0.0157487,0,0,0,0,0,0,0,0,0,0,0
108,0.0311236,0.049184,0,0,0,0,0,0.0212078,0,0.0275375,0.0492959,0,0,0.0136024,0,0,0.0323423,0.0394896,0.0460084,0.024839,0.05764,0.0276561,0.028458,0.0127443,0.0436053,0.0243356,0.0446451,0.0478429,0.0397562,0.0360073,0.0477282,0.0454346,0.00725723,0.0155913,0.0656945,0,0.0125138,0.0652905,0.018121,0,0,0.014427,0,0,0.034097,0.0481265,0.0499707,0.029635,0.0176492,0.0248371,0.0229663,0.035943,0.0245441,0.0572576,0.0642721,0.0642325,0.0647951,0.0644328,0.0269848,0.032074,0.018827,0.0222326,0.0423363,0.0156359,0,0,0,0,0,0,0,0,0,0,0
109,0.0312683,0.0491631,0,0,0,0,0,0.0215772,0,0.027181,0.0493252,0,0,0.0134962,0,0,0.0324682,0.0392985,0.0456773,0.0248135,0.0576341,0.0277928,0.0284868,0.0133467,0.0435072,0.0239034,0.0450426,0.0481503,0.0402499,0.0366249,0.0475788,0.0454999,0.00728781,0.015701,0.0660818,0,0.0127035,0.0656574,0.0180427,0,0,0.0145307,0,0,0.0340222,0.0477784,0.05017,0.0294813,0.0174824,0.0246987,0.0228629,0.0361725,0.0244926,0.0573217,0.064161,0.06415,0.0646744,0.0643291,0.027272,0.032147,0.0188628,0.0222097,0.0423579,0.0155427,0,0,0,0,0,0,0,0,0,0,0
110,0.0313411,0.0493479,0,0,0,0,0,0.022073,0,0.0265671,0.0495319,0,0,0.013256,0,0,0.0326135,0.0389178,0.0454154,0.0247941,0.057516,0.0277779,0.0284231,0.0142529,0.0435858,0.0235407,0.0456479,0.0482085,0.04053,0.0370439,0.0468013,0.0455554,0.00701007,0.0156266,0.0670056,0,0.0128706,0.0659293,0.0179649,0,0,0.0144321,0,0,0.0340508,0.0472213,0.0504627,0.02943,0.0171908,0.0244751,0.0227452,0.0359945,0.0247185,0.0573788,0.0640569,0.0640988,0.0645042,0.0641499,0.0275805,0.0322128,0.0187181,0.0220668,0.0425461,0.0153095,0,0,0,0,0,0,0,0,0,0,0
111,0.0314175,0.0493642,0,0,0,0,0,0.0226579,0,0.0261141,0.0497173,0,0,0.0131495,0,0,0.0326297,0.0386682,0.0451536,0.0247785,0.0571157,0.027815,0.0284978,0.0154305,0.0435989,0.0234715,0.0464258,0.0482696,0.0407956,0.0374353,0.0453867,0.0456302,0.00700326,0.0156941,0.0674292,0,0.0132094,0.0661375,0.0178912,0,0,0.0144536,0,0,0.0340141,0.0470118,0.050484,0.0293302,0.0166616,0.0242754,0.0226192,0.035762,0.024688,0.0577175,0.0638614,0.0640601,0.0644052,0.0640304,0.0276619,0.0323581,0.0186133,0.0219396,0.0425757,0.0152688,0,0,0,0,0,0,0,0,0,0,0
112,0.0313913,0.0493492,0,0,0,0,0,0.0235387,0,0.0256783,0.0500228,0,0,0.0131169,0,0,0.0325755,0.0385928,0.0448326,0.0247192,0.0565945,0.0277898,0.0285464,0.0166791,0.0435225,0.0235839,0.0469541,0.0486393,0.0408017,0.0375522,0.0432802,0.04562,0.00704825,0.0157229,0.0675178,0,0.0135863,0.0663404,0.017855,0,0,0.0144158,0,0,0.0340646,0.046983,0.0501128,0.0292909,0.0166036,0.0242069,0.0225723,0.0356294,0.0250468,0.0576397,0.0637033,0.0640248,0.0642871,0.063913,0.0279564,0.03249,0.0185804,0.0218596,0.0425661,0.0151603,0,0,0,0,0,0,0,0,0,0,0
113,0.0313354,0.0493076,0,0,0,0,0,0.0247558,0,0.0253356,0.0503395,0,0,0.0131516,0,0,0.0327244,0.0386939,0.0448149,0.0245956,0.0557004,0.0277103,0.0286433,0.0177988,0.0432299,0.0235701,0.047136,0.0491194,0.0401986,0.0375011,0.0406073,0.0455443,0.00710468,0.0157646,0.0675438,0,0.013855,0.066491,0.0178424,0,0,0.0144454,0,0,0.0341277,0.0470874,0.0502416,0.0292594,0.0165734,0.0241912,0.0225664,0.0358236,0.0251716,0.0575345,0.0636962,0.0639648,0.0642821,0.0638332,0.0286215,0.0325513,0.0185535,0.0218738,0.0425353,0.0150561,0,0,0,0,0,0,0,0,0,0,0
114,0.0313076,0.0492783,0,0,0,0,0,0.0263291,0,0.0250366,0.0506887,0,0,0.0131873,0,0,0.0328868,0.0390641,0.0444408,0.0244362,0.0547695,0.0275831,0.0287665,0.0187436,0.0429441,0.0232964,0.046667,0.0492987,0.0399747,0.0371164,0.0373003,0.0454845,0.00714872,0.0158394,0.0678118,0,0.014061,0.0665729,0.0178085,0,0,0.014414,0,0,0.0341176,0.0471492,0.0503683,0.0291993,0.0164802,0.0241887,0.02252,0.0359203,0.0250901,0.0574893,0.0637468,0.0639645,0.0642627,0.0637395,0.0292133,0.0325237,0.0185736,0.0219051,0.0425029,0.014984,0,0,0,0,0,0,0,0,0,0,0
