Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,LTHIP,LKNE,RKNE,IMUR_M
117,0.0341468,0.0471906,0,0,0,0,0,0.0246875,0,0.0261278,0.0507847,0,0,0.0130852,0,0,0.037268,0.0398388,0.0432637,0.0250959,0.0257776,0.028024,0.0122762,0.042667,0.0444807,0.0479442,0.0374927,0.0327284,0.0385543,0.0475462,0.011561,0.0210883,0.0530753,0,0.0145465,0.0669949,0.0186036,0,0,0.0147311,0,0,0.0343402,0.0448734,0.0440287,0.0332056,0.0257483,0.0260047,0.0386311,0.0317995,0.0620767,0.0628617,0.0624345,0.0632504,0.0634485,0.0150587,0.0304032,0.0211957,0.0238544,0.0417242,0.0124327,0,0,0,0,0,0,0,0,0,0.02267,0.0593393,0.0217948,0
118,0.0342535,0.047169,0,0,0,0,0,0.0255069,0,0.0259077,0.0509727,0,0,0.0130271,0,0,0.0371829,0.0396578,0.0429699,0.0251747,0.0257329,0.0279157,0.0127487,0.0424377,0.0449681,0.0481613,0.0377464,0.0328961,0.0369312,0.0476732,0.0115547,0.0209887,0.053273,0,0.01481,0.067273,0.0186544,0,0,0.0144146,0,0,0.0342345,0.0449394,0.0443286,0.0330679,0.0254022,0.0257374,0.038601,0.0316608,0.0620166,0.0628838,0.0624266,0.0631959,0.063374,0.015415,0.0305652,0.0210616,0.0236562,0.041685,0.0124056,0,0,0,0,0,0,0,0,0,0.0223765,0.0592067,0.0218006,0
119,0.0347266,0.0469171,0,0,0,0,0,0.0254752,0,0.0247141,0.0508771,0,0,0.0132033,0,0,0.0363706,0.0391508,0.042725,0.0239095,0.0255208,0.027612,0.0128374,0.0413335,0.0450228,0.0483137,0.0379718,0.0334127,0.0380503,0.0479003,0.0119101,0.0210328,0.0612295,0,0.0183778,0.0676542,0.0194723,0,0,0.0137628,0,0,0.0343917,0.0441445,0.0428008,0.0339091,0.0260352,0.0255195,0.0377826,0.0340202,0.0620552,0.062182,0.0613608,0.0614378,0.0622068,0.0229821,0.030766,0.0209184,0.0234407,0.0415287,0.0124333,0,0,0,0,0,0,0,0,0,0.0229338,0.0575177,0.0244909,0
120,0.0348859,0.0469184,0,0,0,0,0,0.0271866,0,0.0241515,0.0511986,0,0,0.0132153,0,0,0.0363727,0.0388741,0.04225,0.0239107,0.0255205,0.0275757,0.0134262,0.0415143,0.0449251,0.0484434,0.0380443,0.0339183,0.0348805,0.048019,0.0120941,0.02087,0.061737,0,0.018636,0.0678133,0.0195278,0,0,0.0136688,0,0,0.0342396,0.04424,0.042805,0.0337351,0.0258649,0.0252469,0.0379055,0.0339486,0.0622156,0.0622008,0.0612775,0.0613077,0.0620497,0.0233833,0.0309634,0.0208782,0.0232872,0.041599,0.0124268,0,0,0,0,0,0,0,0,0,0.0230424,0.0571758,0.0241849,0
121,0.0355118,0.0469427,0,0,0,0,0,0.0301243,0,0.0248717,0.0533838,0,0,0.0128995,0,0,0.0362758,0.0380142,0.0430997,0.0261602,0.0260943,0.0274814,0.0155962,0,0.0436431,0.0470042,0.0368771,0.0328933,0.0293262,0.048535,0.0120846,0.0205527,0.0615729,0,0.0190781,0.0678858,0.0197741,0,0,0.0134729,0,0,0.0338408,0.0443778,0.0431134,0.0335974,0.0251532,0.0240892,0.0379802,0.034072,0.0623364,0.0620162,0.0611093,0.0610681,0.0618074,0.0235543,0.0317691,0.0203767,0.0224751,0.0419916,0.0124043,0,0,0,0,0,0,0,0,0,0.0229206,0.0596745,0.0233998,0
122,0.0351614,0.0468363,0,0,0,0,0,0.032198,0,0.0237747,0.051912,0,0,0.0133785,0,0,0.0365493,0.0384195,0.0409462,0.0235362,0.0256187,0.0275594,0.0147651,0.0426103,0.045252,0.0485546,0.0389413,0.0351659,0.0251299,0.0481337,0.0127297,0.0206536,0.0618644,0,0.0192133,0.0683164,0.0196002,0,0,0.0137401,0,0,0.0340218,0.0442554,0.0433556,0.033353,0.0256519,0.0247559,0.0382516,0.0336105,0.0628253,0.0619965,0.0610723,0.060852,0.0616015,0.0246774,0.0311679,0.021022,0.0229394,0.0415405,0.0125592,0,0,0,0,0,0,0,0,0,0.0237085,0.0557747,0.0233586,0
123,0.0357336,0.046866,0,0,0,0,0,0.036443,0,0.024787,0.0544132,0,0,0.0131174,0,0,0.0363828,0.0376379,0.0416543,0.0259171,0.0261825,0.0275003,0.0172802,0,0.0436751,0.04742,0.0375821,0.0339498,0.0194689,0.0485447,0.0126451,0.0203809,0.0617045,0,0.0196077,0.0679754,0.0198071,0,0,0.0136567,0,0,0.0337412,0.0445449,0.0435338,0.0331075,0.0254364,0.0237237,0.038095,0.0338231,0.0628351,0.0618413,0.0610031,0.0608542,0.0614937,0.0243175,0.0318563,0.0203597,0.0221165,0.0419767,0.0124557,0,0,0,0,0,0,0,0,0,0.0239115,0.0580335,0.0233225,0
124,0.0358162,0.0468883,0,0,0,0,0,0.0394034,0,0.0247447,0.0550766,0,0,0.0131067,0,0,0.0364552,0.0374737,0.0412943,0.0259149,0.026238,0.0275796,0.0180411,0,0.0436176,0.0477633,0.0378041,0.0345548,0.0173365,0.0485515,0.0127594,0.0203992,0.0624187,0,0.0197124,0.0677165,0.019809,0,0,0.013644,0,0,0.0336392,0.0449475,0.0434246,0.0327967,0.0256021,0.023529,0.0381331,0.0336777,0.0629809,0.0617842,0.061057,0.0607725,0.0614676,0.0244845,0.0319288,0.0203425,0.0220269,0.0419814,0.012463,0,0,0,0,0,0,0,0,0,0.0247206,0.057158,0.02326,0
125,0.0358843,0.046925,0,0,0,0,0,0.0430756,0,0.0248521,0.0557578,0,0,0.013135,0,0,0.0365065,0.0372806,0.0408951,0.0259904,0.0262103,0.0276243,0.018657,0,0.0435722,0.0478148,0.037827,0.0350687,0.0150656,0.0485616,0.0128564,0.0204398,0.0631102,0,0.0197957,0.0673743,0.019805,0,0,0.013698,0,0,0.0336174,0.0453184,0.0434785,0.0324985,0.0257106,0.0234089,0.0385602,0.0334641,0.0630941,0.0618123,0.0611833,0.0608369,0.0615719,0.0246056,0.0319525,0.0202376,0.0219903,0.0419569,0.0125062,0,0,0,0,0,0,0,0,0,0.0257241,0.056152,0.0231796,0
126,0.0358941,0.0469294,0,0,0,0,0,0.0469106,0,0.0250946,0.0564964,0,0,0.0131755,0,0,0.0365029,0.0369672,0.0405401,0.0261719,0.0261907,0.0276965,0.0191102,0,0.0435908,0.047949,0.0377113,0.0356442,0.013093,0.0485247,0.0129063,0.0204641,0.063614,0,0.0200058,0.0669116,0.0197872,0,0,0.0137651,0,0,0.0336955,0.0454549,0.0436117,0.0321334,0.0260571,0.0233221,0.0389411,0.0334864,0.0631415,0.0619411,0.0613664,0.0609017,0.0615637,0.0247411,0.032016,0.0201807,0.0219342,0.0419772,0.0125326,0,0,0,0,0,0,0,0,0,0.0268214,0.0550577,0.0227184,0
127,0.0359124,0.0469353,0,0,0,0,0,0.0506842,0,0.0253796,0.057312,0,0,0.0132549,0,0,0.0364917,0.036549,0.0401233,0.0264972,0.0262071,0.0277808,0.0195631,0,0.0436269,0.0480263,0.0376593,0.0362335,0.0126616,0.0485222,0.0129293,0.0204554,0.0639145,0,0.0201614,0.0663355,0.019724,0,0,0.0137918,0,0,0.0337475,0.0458135,0.043524,0.0320534,0.0263355,0.0232145,0.039082,0.0340612,0.0630954,0.0621023,0.0615746,0.060994,0.0616363,0.024992,0.0321446,0.0201537,0.0218518,0.0419685,0.0125522,0,0,0,0,0,0,0,0,0,0.0279384,0.0540488,0.0222926,0
128,0.036037,0.0469834,0,0,0,0,0,0.0506744,0,0.0257944,0.0585105,0,0,0.0133242,0,0,0.0365057,0.0355804,0.0385067,0.0274134,0.0263395,0.0278968,0.0206679,0,0.0438169,0.0479415,0.0380415,0.0364847,0.0120481,0.0485578,0.0129377,0.0204491,0.0642046,0,0.0203636,0.065936,0.0196503,0,0,0.0137001,0,0,0.033645,0.0463388,0.0435253,0.0319752,0.02625,0.0229133,0.0391589,0.0343459,0.0630556,0.0621447,0.0617077,0.0610566,0.0616705,0.0253844,0.0323801,0.0199423,0.0216312,0.0419562,0.0125614,0,0,0,0,0,0,0,0,0,0.0291242,0.0533992,0.0220934,0
