Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,LTHIP,LKNE,RKNE,IMUR_M
169,0.033005,0.0471792,0,0,0,0,0,0.0385283,0,0.0237032,0.0530387,0,0,0.0208353,0,0,0.0375315,0.0233962,0.0330759,0.0266793,0.0276658,0.0303969,0.0214247,0.0365842,0.0429246,0.0466572,0.0367986,0.0347734,0.0167309,0.0448984,0.0227418,0.0182759,0.0296545,0,0.0257264,0.0576165,0.0151838,0,0,0.0127546,0,0,0.034952,0.0527637,0.0607602,0.0296643,0.02861,0.0222328,0.052338,0.0387654,0.0719783,0.0547982,0.0491701,0.054651,0.0620303,0.0499883,0.0315287,0.0200581,0.0223311,0.0397945,0.015238,0,0,0,0,0,0,0,0,0,0.0145232,0.0485766,0,0
170,0.0330787,0.046988,0,0,0,0,0,0.0389938,0,0.0238578,0.0534224,0,0,0.0206193,0,0,0.0374256,0.0234269,0.0331575,0.0267026,0.027345,0.0301099,0.0213743,0.0365943,0.0428301,0.0467079,0.0367401,0.0348337,0.0163864,0.0450645,0.02241,0.018087,0.0306725,0,0.0259766,0.0574422,0.0153344,0,0,0.0127078,0,0,0.0348854,0.0527804,0.0612728,0.0294671,0.028771,0.0222041,0.0510913,0.0383811,0.070852,0.0545248,0.0492812,0.0547449,0.0618939,0.0472431,0.0314792,0.0200363,0.0222923,0.039756,0.0150236,0,0,0,0,0,0,0,0,0,0.0145024,0.0484097,0,0
171,0.0331767,0.0467378,0,0,0,0,0,0.0392165,0,0.0240681,0.0538863,0,0,0.020379,0,0,0.0372703,0.0234265,0.0328418,0.0268272,0.0269701,0.0297586,0.0213127,0.0363881,0.0427727,0.0466627,0.0367255,0.0350628,0.0161573,0.0452908,0.0220685,0.0177981,0.0318147,0,0.0260754,0.0572396,0.015489,0,0,0.0126744,0,0,0.0347603,0.0528463,0.0617343,0.0293164,0.0289231,0.022163,0.0498497,0.0381543,0.0697382,0.0542567,0.0494831,0.0553218,0.0619348,0.0448081,0.031472,0.0200147,0.0222366,0.039774,0.0148947,0,0,0,0,0,0,0,0,0,0.0145006,0.0483134,0,0
172,0.0332761,0.0464383,0,0,0,0,0,0.0398159,0,0.0242257,0.0544271,0,0,0.0200901,0,0,0.0371615,0.0234514,0.0327361,0.0269127,0.0266182,0.0294421,0.0211171,0.0361164,0.0427618,0.0465273,0.0366405,0.0350324,0.0157955,0.0455331,0.0216974,0.0175133,0.0329375,0,0.0260979,0.0570459,0.0156428,0,0,0.012701,0,0,0.0346469,0.0528784,0.0622076,0.0292934,0.029001,0.0221327,0.0486456,0.0379579,0.0686971,0.0541458,0.0497966,0.0561663,0.0621681,0.04284,0.0315304,0.0200183,0.0221626,0.0398196,0.0147421,0,0,0,0,0,0,0,0,0,0.0146204,0.0482737,0,0
173,0.0333803,0.0463032,0,0,0,0,0,0.0407636,0,0.0242796,0.054944,0,0,0.0197315,0,0,0.0370078,0.023519,0.0328833,0.0269819,0.0263058,0.0291694,0.0208927,0.0360702,0.0428324,0.0463743,0.0364849,0.034833,0.0152643,0.0457576,0.0213159,0.017315,0.033909,0,0.0260512,0.0568998,0.01579,0,0,0.0127195,0,0,0.0345482,0.0528486,0.0625862,0.029364,0.0291014,0.0220681,0.0474928,0.0379338,0.067716,0.054301,0.0503833,0.0569937,0.0624988,0.0413309,0.0316761,0.0200303,0.0221212,0.0397905,0.0145262,0,0,0,0,0,0,0,0,0,0.014713,0.0482998,0,0
174,0.0334828,0.0462762,0,0,0,0,0,0.0413727,0,0.0243825,0.0554892,0,0,0.0192384,0,0,0.0368515,0.0235768,0.0327665,0.0270849,0.025898,0.028767,0.020707,0.0362043,0.0427766,0.0463007,0.0364088,0.0348526,0.0148257,0.0459879,0.0206277,0.0172637,0.0345454,0,0.0258972,0.0568143,0.0159809,0,0,0.0127779,0,0,0.034437,0.0527425,0.0627024,0.0294512,0.0292009,0.0219866,0.0464446,0.0381007,0.066672,0.0547031,0.0511816,0.0577746,0.0629089,0.0400178,0.031789,0.0200476,0.0220514,0.0397747,0.0142203,0,0,0,0,0,0,0,0,0,0.0147085,0.0483833,0,0
175,0.0336276,0.0462705,0,0,0,0,0,0.0417697,0,0.0245506,0.0559591,0,0,0.0186751,0,0,0.0366964,0.023637,0.0323486,0.0273014,0.0254737,0.028375,0.0204423,0.0362743,0.0427751,0.0462245,0.0364207,0.0346685,0.0145412,0.0462622,0.0199217,0.0171741,0.0350708,0,0.025507,0.0567894,0.0162225,0,0,0.0126964,0,0,0.0343148,0.0527388,0.0623731,0.0297121,0.0292796,0.0218669,0.0455768,0.0383416,0.0659457,0.0551474,0.0520856,0.0585738,0.0633138,0.0388851,0.0318434,0.0200046,0.0218975,0.0397854,0.0139513,0,0,0,0,0,0,0,0,0,0.0147241,0.0484242,0,0
176,0.0337964,0.0462281,0,0,0,0,0,0.0419572,0,0.024731,0.0564867,0,0,0.0180604,0,0,0.0365244,0.0235813,0.031782,0.0275079,0.0250094,0.0280449,0.0201511,0.0362523,0.0427216,0.0461166,0.036352,0.034523,0.0144839,0.0465997,0.0191801,0.0170746,0.0355931,0,0.0249524,0.0567571,0.0164348,0,0,0.0125612,0,0,0.0342266,0.0527298,0.0620092,0.0300734,0.0293382,0.0217338,0.0448146,0.0386439,0.0654406,0.0557665,0.0531341,0.0594329,0.0638579,0.0377707,0.0319453,0.0199889,0.0217149,0.0398483,0.0136524,0,0,0,0,0,0,0,0,0,0.0147061,0.0483986,0,0
177,0.0339741,0.0461404,0,0,0,0,0,0.0421384,0,0.0248881,0.0569976,0,0,0.0174923,0,0,0.0363489,0.0233599,0.0315927,0.0276134,0.024498,0.0277126,0.0199744,0.0361321,0.0427339,0.0461165,0.0362542,0.0345297,0.0145062,0.0469622,0.0184611,0.0169952,0.0360792,0,0.0241798,0.0567893,0.0166284,0,0,0.0125184,0,0,0.0341156,0.0526349,0.0618147,0.0303022,0.0294174,0.0216091,0.0441325,0.0389925,0.0649853,0.0565821,0.0542671,0.0602528,0.0646894,0.0365976,0.0320871,0.0199855,0.0215885,0.0399253,0.0133519,0,0,0,0,0,0,0,0,0,0.0146927,0.0484582,0,0
178,0.0341547,0.0460416,0,0,0,0,0,0.0423081,0,0.0250899,0.0573481,0,0,0.0170519,0,0,0.0361897,0.0232224,0.0315541,0.0278,0.0241146,0.0273026,0.0198705,0.0359612,0.042479,0.0460973,0.0361677,0.0344497,0.0145134,0.0472884,0.0179418,0.0168134,0.0365915,0,0.0232708,0.0569031,0.0168451,0,0,0.0125345,0,0,0.0340198,0.052498,0.0613823,0.0305458,0.0295321,0.0215099,0.0435085,0.0395275,0.0645621,0.0574739,0.0554414,0.0610484,0.0654464,0.0353554,0.0322097,0.0199247,0.0215258,0.0399437,0.013054,0,0,0,0,0,0,0,0,0,0.0147663,0.0485445,0,0
179,0.0343259,0.0459996,0,0,0,0,0,0.0424459,0,0.0253344,0.057779,0,0,0.0166039,0,0,0.0360417,0.023268,0.0314453,0.027809,0.0237859,0.0269524,0.0197411,0.0359149,0.0416785,0.0459659,0.0361321,0.0344491,0.0142851,0.0475925,0.0174411,0.0166756,0.0371877,0,0.0220837,0.0569913,0.0171159,0,0,0.0125152,0,0,0.0338782,0.0522882,0.0607105,0.0307198,0.0296548,0.0215106,0.0429742,0.040348,0.0642437,0.0584404,0.0568017,0.0618464,0.0661216,0.0338327,0.0322797,0.0198816,0.0215242,0.0399801,0.0126889,0,0,0,0,0,0,0,0,0,0.0148837,0.0486282,0,0
180,0.034474,0.0459903,0,0,0,0,0,0.0427404,0,0.0256165,0.0580612,0,0,0.0162476,0,0,0.0358884,0.0233515,0.031289,0.0279236,0.0235353,0.0266646,0.0194922,0.0359968,0.0413376,0.0457973,0.0360336,0.0344748,0.0138753,0.0478329,0.017023,0.0165756,0.0382383,0,0.0209772,0.0571576,0.0173256,0,0,0.0125125,0,0,0.0337825,0.052039,0.0600844,0.0310317,0.0298521,0.0215415,0.0423991,0.0412902,0.0640642,0.0595712,0.0583611,0.0626065,0.0666595,0.0317846,0.0323313,0.0198169,0.0214618,0.0400756,0.0123432,0,0,0,0,0,0,0,0,0,0.0150858,0.0486506,0,0
181,0.034597,0.0459722,0,0,0,0,0,0.0430081,0,0.0258582,0.0583963,0,0,0.0159887,0,0,0.0357516,0.0235089,0.0313567,0.0278161,0.0232764,0.0263933,0.019424,0.0359736,0.0413054,0.0456949,0.0358759,0.034156,0.0136312,0.0480334,0.0166687,0.016523,0.0398502,0,0.0199658,0.0573542,0.0174877,0,0,0.0125996,0,0,0.0338176,0.0516792,0.0593401,0.0313154,0.0298987,0.0216347,0.0419057,0.0422819,0.0641841,0.0608716,0.0598801,0.0633687,0.0668773,0.0290752,0.0324072,0.0197834,0.021431,0.0402232,0.0119913,0,0,0,0,0,0,0,0,0,0.0152941,0.0486515,0,0
182,0.0347254,0.0459239,0,0,0,0,0,0.0432353,0,0.026108,0.0587127,0,0,0.0157181,0,0,0.0356688,0.0237809,0.0316677,0.0277625,0.0230187,0.0261739,0.0195223,0.0356383,0.0412563,0.0455836,0.0357262,0.0336911,0.0136322,0.0482098,0.0163262,0.0164473,0.0420047,0,0.0189677,0.0576116,0.0176861,0,0,0.0126826,0,0,0.0338769,0.0512879,0.058373,0.0316148,0.0299459,0.0216467,0.0415341,0.04339,0.064388,0.0619791,0.0612899,0.0639934,0.0669348,0.0256307,0.0324576,0.0197481,0.0213919,0.0403524,0.0117428,0,0,0,0,0,0,0,0,0,0.0154057,0.0487002,0,0
183,0.0348491,0.0458832,0,0,0,0,0,0.0436493,0,0.0262921,0.05891,0,0,0.0154572,0,0,0.0356147,0.0242278,0.0319598,0.027805,0.0228891,0.0260294,0.0197466,0.03513,0.041147,0.045573,0.0356958,0.0331827,0.0137498,0.0483419,0.016013,0.0164259,0.0448167,0,0.0180213,0.0579623,0.0179171,0,0,0.0127506,0,0,0.033891,0.0509764,0.0571783,0.0320171,0.0300566,0.0216725,0.0413388,0.0444517,0.0645902,0.062796,0.0624186,0.0644618,0.0668801,0.0215555,0.0324201,0.0196841,0.0213365,0.0404037,0.0115368,0,0,0,0,0,0,0,0,0,0.0154734,0.0487936,0,0
184,0.034988,0.045872,0,0,0,0,0,0.0442233,0,0.02641,0.0588069,0,0,0.0152356,0,0,0.0354949,0.024967,0.0321132,0.0276922,0.0227623,0.0259186,0.0200219,0.0349547,0.0411009,0.0455289,0.0356074,0.0330108,0.0137795,0.0484208,0.0157029,0.0165315,0.0483535,0,0.0171558,0.0586396,0.0181412,0,0,0.0127157,0,0,0.0338164,0.0506093,0.055798,0.0324502,0.0301561,0.0216626,0.0412712,0.0452777,0.0649931,0.0634492,0.0634252,0.0647372,0.0667032,0.0174815,0.0323661,0.0195867,0.0212817,0.0404334,0.0113962,0,0,0,0,0,0,0,0,0,0.0158331,0.0487238,0,0
185,0.0351841,0.045851,0,0,0,0,0,0.0452587,0,0.0264316,0.0585319,0,0,0.0149674,0,0,0.0354108,0.0260606,0.0321369,0.0274151,0.0224613,0.0257476,0.0204755,0.0348884,0.04113,0.0454871,0.0354035,0.0333588,0.0137818,0.0484972,0.015287,0.0167261,0.052252,0,0.016331,0.0597258,0.0183385,0,0,0.0128141,0,0,0.0337951,0.0500758,0.0539796,0.0329338,0.0302782,0.0216368,0.0413727,0.0457289,0.0656724,0.0640396,0.0643283,0.0649534,0.0665286,0.0144041,0.0323497,0.0194502,0.0212813,0.040499,0.011243,0,0,0,0,0,0,0,0,0,0.016513,0.0486296,0,0
186,0.0353929,0.045887,0,0,0,0,0,0.0459286,0,0.0264534,0.0579824,0,0,0.0147272,0,0,0.0353886,0.0273363,0.0322748,0.0271042,0.0222044,0.025672,0.021012,0.0347966,0.0410368,0.0454338,0.0352955,0.0334617,0.0139774,0.0485772,0.0148139,0.0170388,0.0562338,0,0.015408,0.0610876,0.0185274,0,0,0.0130215,0,0,0.0338481,0.0494347,0.0519891,0.0337191,0.0304147,0.0216395,0.041539,0.0457783,0.0663813,0.0645387,0.0650917,0.065179,0.0665102,0.0140169,0.0323849,0.0193529,0.0212883,0.0405819,0.0111247,0,0,0,0,0,0,0,0,0,0.017208,0.0485861,0,0
187,0.0354325,0.0459239,0,0,0,0,0,0.046385,0,0.0266032,0.0573663,0,0,0.0147521,0,0,0.0354904,0.0283445,0.0324475,0.0268136,0.0221224,0.0259036,0.021276,0.034646,0.0409974,0.0454019,0.0354317,0.0333463,0.0141328,0.0484214,0.0145813,0.0175617,0.0556088,0,0.0129808,0.0618979,0.0184876,0,0,0.0131369,0,0,0.0338647,0.0493289,0.0470557,0.0337528,0.0302806,0.0216268,0.04166,0.041875,0.0664138,0.0664935,0.0670278,0.0671258,0.0682827,0.0127353,0.0323434,0.0192987,0.021288,0.0406201,0.0111911,0,0,0,0,0,0,0,0,0,0.0178063,0.0484553,0.0279236,0
188,0.0355107,0.0459657,0,0,0,0,0,0.0470895,0,0.0267197,0.0566778,0,0,0.0146911,0,0,0.0355167,0.0296059,0.0326223,0.0265696,0.022127,0.0260596,0.0215257,0.0345169,0.0409555,0.04539,0.0356017,0.03335,0.014381,0.0483531,0.0142891,0.0179321,0.0587542,0,0.0133866,0.0630242,0.0185373,0,0,0.0132943,0,0,0.0338796,0.0484049,0.0452936,0.034437,0.0303995,0.0215261,0.0420041,0.0416218,0.06709,0.0667298,0.0673436,0.0673169,0.0683333,0.0144761,0.0322769,0.0192273,0.0212547,0.0407047,0.0111984,0,0,0,0,0,0,0,0,0,0.0184585,0.0482636,0.0266984,0
189,0.0355864,0.0459728,0,0,0,0,0,0.0478932,0,0.0267277,0.0559109,0,0,0.0144852,0,0,0.0355146,0.0309348,0.0325794,0.0263735,0.022153,0.0262082,0.0219375,0.0344277,0.0407328,0.0454347,0.0354684,0.0334606,0.0146947,0.0483026,0.0137746,0.0183913,0.0620297,0,0.0140431,0.0642588,0.0185699,0,0,0.0133586,0,0,0.0339211,0.047873,0.0438466,0.0352953,0.0304982,0.0213912,0.0422126,0.041458,0.0678414,0.0670304,0.0675132,0.0674933,0.0684365,0.0163054,0.0323065,0.0191794,0.0212243,0.040729,0.0112312,0,0,0,0,0,0,0,0,0,0.0191657,0.0481052,0.0256539,0
190,0.0359647,0.0459906,0,0,0,0,0,0.0493143,0,0.0268836,0.0551936,0,0,0.0139133,0,0,0.0353215,0.0331176,0.0324817,0.0261789,0.0218273,0.0258744,0.0228519,0.0345399,0.0400947,0.045359,0.0350566,0.0334465,0.0152644,0.0486496,0.0130987,0.0182843,0.0649123,0,0.0158539,0.0667825,0.0190122,0,0,0.0132512,0,0,0.0339361,0.0453047,0.0428531,0.0379038,0.0309341,0.0213466,0.0429136,0.0421425,0.0696533,0.0666406,0.0663774,0.0664117,0.0676829,0.018112,0.0325294,0.0190549,0.0211051,0.0409098,0.0110702,0,0,0,0,0,0,0,0,0,0.0204477,0.04803,0,0
191,0.0357265,0.0460203,0,0,0,0,0,0.0497577,0,0.0266833,0.0546573,0,0,0.014254,0,0,0.0356519,0.0330399,0.0322662,0.0260358,0.0220877,0.0264937,0.0223292,0.0342102,0.040056,0.0455419,0.0351395,0.0333995,0.0154559,0.048258,0.0134469,0.018761,0.0661075,0,0.0159151,0.0663214,0.0185846,0,0,0.0132579,0,0,0.0339025,0.0464022,0.0419087,0.0367605,0.0304265,0.0212169,0.0424384,0.0400538,0.0687953,0.0676445,0.0677992,0.0676673,0.0687278,0.0181607,0.0325483,0.0190525,0.0210814,0.0407938,0.011285,0,0,0,0,0,0,0,0,0,0.0204584,0.0476984,0.0244432,0
192,0.036099,0.04602,0,0,0,0,0,0.0511317,0,0.0269916,0.0542889,0,0,0.0137672,0,0,0.0353963,0.0350268,0.0324257,0.0260173,0.0214422,0.0260851,0.0226454,0.0342776,0.0399675,0.0452164,0.0347519,0.0332756,0.0163339,0.0487121,0.0130097,0.0184244,0.0624069,0,0.0178725,0.0688551,0.01903,0,0,0.0130931,0,0,0.033799,0.0440805,0.0404757,0.039524,0.0310755,0.0212343,0.0429699,0.0393908,0.0705454,0.0673803,0.0658968,0.0661677,0.0680212,0.0157478,0.0327713,0.0189314,0.0209647,0.041124,0.0111158,0,0,0,0,0,0,0,0,0,0.0218851,0.0476437,0,0
193,0.0357941,0.0460823,0,0,0,0,0,0.0510789,0,0.0268329,0.0538788,0,0,0.0141407,0,0,0.0356183,0.0344541,0.0325073,0.0258696,0.0216051,0.0266903,0.0217629,0.0337805,0.0406029,0.0453469,0.0347674,0.0331983,0.0162096,0.0483705,0.0133921,0.018812,0.0643747,0,0.01711,0.067906,0.0185283,0,0,0.0131286,0,0,0.0337157,0.045763,0.0406128,0.0381802,0.0305759,0.0211396,0.0421796,0.0381602,0.0688373,0.0677449,0.0672774,0.0674559,0.0688293,0.0172971,0.0327732,0.0188968,0.0208898,0.0410718,0.0113587,0,0,0,0,0,0,0,0,0,0.0214611,0.0472239,0.0254294,0
194,0.0356766,0.0462095,0,0,0,0,0,0.0508786,0,0.0268092,0.0539054,0,0,0.0141264,0,0,0.0355983,0.0344148,0.0327751,0.025933,0.0215962,0.0267718,0.0215248,0.0336294,0.0405712,0.0452589,0.0347334,0.0330285,0.0161848,0.0484231,0.0134567,0.0186958,0.0651113,0,0.016915,0.067737,0.0185113,0,0,0.0131981,0,0,0.033693,0.0459508,0.0403141,0.0382841,0.0305293,0.0211155,0.0417485,0.0379939,0.0680062,0.0675656,0.0671669,0.0672714,0.0685753,0.0183642,0.0328424,0.0187927,0.0207381,0.0412911,0.0113434,0,0,0,0,0,0,0,0,0,0.0212536,0.0468764,0.0247007,0
195,0.0358146,0.0462879,0,0,0,0,0,0.0515566,0,0.0270802,0.0542059,0,0,0.0135991,0,0,0.0353712,0.0357901,0.0332126,0.026075,0.0209103,0.0264615,0.021991,0.0339697,0.0400318,0.0446581,0.0342835,0.032669,0.0169481,0.0487622,0.0128833,0.0184461,0.0598714,0,0.0181383,0.0693695,0.0190045,0,0,0.0128758,0,0,0.0338352,0.043564,0.0386973,0.0402914,0.0306795,0.0214013,0.042166,0.0378558,0.0691599,0.0669141,0.064772,0.0652496,0.067355,0.0150771,0.0327494,0.0188059,0.0208434,0.0416506,0.0111525,0,0,0,0,0,0,0,0,0,0.0222653,0.0468809,0,0
196,0.0356854,0.0463608,0,0,0,0,0,0.0510972,0,0.0270668,0.0543351,0,0,0.0135496,0,0,0.0353811,0.0356946,0.0334051,0.02615,0.0207932,0.0264054,0.0217416,0.0339041,0.0399108,0.0444387,0.0341323,0.0324333,0.0170906,0.0487512,0.0129076,0.0183002,0.0593378,0,0.0177418,0.0693048,0.018806,0,0,0.0128603,0,0,0.0338452,0.0435066,0.0371667,0.0403675,0.03071,0.0216798,0.0416635,0.0376138,0.0683531,0.0664667,0.064544,0.0648832,0.0669317,0.0149543,0.0328713,0.0188131,0.0208202,0.0417713,0.0111339,0,0,0,0,0,0,0,0,0,0.0221642,0.0467155,0,0
197,0.0352893,0.0463856,0,0,0,0,0,0.0501149,0,0.0266944,0.0545488,0,0,0.0138237,0,0,0.0356239,0.0345233,0.033554,0.0258269,0.0206616,0.0267584,0.0208815,0.0334696,0.0397925,0.0443762,0.0340641,0.0320663,0.0168703,0.0483185,0.0131689,0.0186146,0.0610747,0,0.0158464,0.0678879,0.018298,0,0,0.0128994,0,0,0.0339616,0.0451107,0.0366977,0.03879,0.0301545,0.0219695,0.0406453,0.0366,0.0659484,0.0661483,0.0657132,0.0658267,0.0671937,0.0160952,0.0328189,0.0189815,0.0210044,0.0417007,0.011194,0,0,0,0,0,0,0,0,0,0.0214497,0.0464753,0.0235411,0
198,0.0351226,0.0464857,0,0,0,0,0,0.0487056,0,0.0265744,0.0552271,0,0,0.0137396,0,0,0.0355923,0.0339031,0.0340961,0.0256047,0.020346,0.026715,0.0204208,0.033294,0.0395561,0.0440436,0.0339044,0.0315899,0.0169156,0.0483333,0.0131642,0.0185495,0.061979,0,0.0144347,0.0671441,0.0183308,0,0,0.0128797,0,0,0.0339903,0.0454906,0.0362576,0.0384444,0.0303894,0.0221761,0.0397824,0.0370266,0.0646096,0.0654777,0.0653899,0.0656657,0.0668919,0.0169324,0.0329467,0.0189605,0.020988,0.0418812,0.0111453,0,0,0,0,0,0,0,0,0,0.02085,0.0463715,0.0219214,0
199,0.0350166,0.0466134,0,0,0,0,0,0.0472089,0,0.0265338,0.0558737,0,0,0.013558,0,0,0.0355445,0.0335204,0.0346163,0.0255003,0.0199874,0.0267774,0.0198924,0.0332653,0.0393818,0.0437096,0.0336769,0.0311091,0.0174278,0.0484457,0.0131438,0.0184886,0.0616285,0,0.0128059,0.066726,0.0185897,0,0,0.0128264,0,0,0.0340433,0.0452925,0.0354291,0.0381762,0.0307421,0.0224065,0.0394381,0.0374335,0.0639064,0.0651941,0.0651998,0.0659967,0.0672719,0.0168046,0.0329793,0.0189284,0.0209892,0.0420886,0.0110181,0,0,0,0,0,0,0,0,0,0.0202795,0.0463428,0.0218982,0
200,0.0350434,0.0466795,0,0,0,0,0,0.0454674,0,0.0262916,0.0562403,0,0,0.0132683,0,0,0.0354995,0.0332816,0.0350099,0.0257526,0.0197936,0.0268253,0.0193091,0.0334657,0.0391906,0.0433521,0.0333581,0.0305201,0.018235,0.0487007,0.01304,0.0182512,0.0606932,0,0.0113999,0.0666207,0.0187616,0,0,0.0128186,0,0,0.0341614,0.0448445,0.0345265,0.0380783,0.0304292,0.0226476,0.0395006,0.0377277,0.0635403,0.0653849,0.0655129,0.0663726,0.0677575,0.0160922,0.0329492,0.0189078,0.0209843,0.0421523,0.0108643,0,0,0,0,0,0,0,0,0,0.0195784,0.0465246,0.0226681,0
201,0.0349548,0.0466638,0,0,0,0,0,0.0436287,0,0.0257292,0.0561982,0,0,0.0129909,0,0,0.0353891,0.033167,0.0355013,0.0261953,0.0198527,0.0268745,0.0186503,0.0338049,0.0388354,0.0426945,0.0329709,0.0298359,0.019507,0.0489623,0.0128667,0.0180113,0.0595965,0,0.0105716,0.0665064,0.0187469,0,0,0.0129635,0,0,0.0342585,0.044778,0.034695,0.037789,0.0303449,0.0229496,0.0393294,0.0376288,0.0630662,0.0658177,0.0662592,0.0661823,0.0675598,0.0151156,0.0328393,0.0189793,0.0210128,0.0419506,0.010671,0,0,0,0,0,0,0,0,0,0.0188746,0.0469377,0.0238401,0
202,0.0345676,0.0465201,0,0,0,0,0,0.041605,0,0.0252557,0.0559813,0,0,0.012789,0,0,0.0353267,0.0329965,0.0364232,0.0263096,0.0201958,0.0269088,0.0178699,0.0343225,0.038526,0.0419008,0.0325924,0.0292162,0.0213343,0.0490467,0.0126178,0.0179748,0.0582417,0,0.0106979,0.0659329,0.0185144,0,0,0.0130644,0,0,0.0343898,0.045306,0.0359712,0.037085,0.0304217,0.0232726,0.0386388,0.0375264,0.0622115,0.0660097,0.0666371,0.0653986,0.0666009,0.0138589,0.032745,0.0191011,0.0211814,0.0415341,0.01043,0,0,0,0,0,0,0,0,0,0.0182009,0.0474745,0.0249326,0
203,0.0341399,0.0463665,0,0,0,0,0,0.039385,0,0.0250708,0.0555376,0,0,0.0125463,0,0,0.0352427,0.0332759,0.0377984,0.0261088,0.0203619,0.026762,0.0171322,0.0351651,0.0383052,0.0415834,0.0322573,0.0285877,0.0236541,0.0490841,0.0121921,0.0179258,0.0600234,0,0.0130807,0.065794,0.0182387,0,0,0.0130712,0,0,0.0344317,0.0451234,0.0396121,0.0372061,0.0304763,0.0236851,0.0382985,0.0403242,0.0622915,0.0643897,0.0651304,0.0631215,0.0641776,0.0156978,0.0326138,0.0191982,0.0214,0.0413533,0.0101753,0,0,0,0,0,0,0,0,0,0.0179068,0.0481338,0,0
204,0.0336583,0.0463682,0,0,0,0,0,0.036054,0,0.0248357,0.0552674,0,0,0.0123301,0,0,0.0353626,0.0328295,0.0393618,0.0258127,0.0206509,0.0270513,0.0157568,0.0361197,0.0384752,0.0418942,0.0322775,0.0282702,0.0264708,0.0487792,0.0117854,0.0182841,0.0587459,0,0.014351,0.064405,0.018256,0,0,0.0131108,0,0,0.034405,0.0459826,0.0417988,0.0360001,0.0299162,0.0238841,0.037969,0.040759,0.0618862,0.0636979,0.0645886,0.0622948,0.063245,0.0149529,0.0323555,0.0192351,0.0216434,0.0413304,0.0101718,0,0,0,0,0,0,0,0,0,0.0174946,0.049246,0,0
205,0.0335023,0.0464389,0,0,0,0,0,0.0324647,0,0.0245255,0.0547534,0,0,0.012066,0,0,0.0354666,0.032683,0.0407676,0.0255363,0.0207853,0.0275517,0.0143756,0.0375066,0.0387721,0.0424068,0.0323435,0.0279507,0.0293408,0.0484003,0.0110428,0.0188951,0.0567338,0,0.0150027,0.0635528,0.0180806,0,0,0.0130924,0,0,0.0344282,0.0462407,0.0429516,0.0353176,0.0293233,0.0240029,0.0378599,0.0407376,0.0616519,0.0629892,0.0638337,0.0617195,0.0627903,0.0145662,0.0322324,0.0193203,0.0217979,0.0413495,0.0102466,0,0,0,0,0,0,0,0,0,0.0176929,0.0502679,0,0
206,0.033552,0.0464397,0,0,0,0,0,0.0286398,0,0.0241129,0.0544488,0,0,0.0120701,0,0,0.0356148,0.0323135,0.0415923,0.0253265,0.0206496,0.0281305,0.0134089,0.0387592,0.039038,0.0428013,0.0323766,0.0275018,0.0320962,0.0480496,0.0105659,0.0196082,0.0513424,0,0.0132712,0.0625665,0.0174292,0,0,0.0129653,0,0,0.0344693,0.0469375,0.0411766,0.0346422,0.0288665,0.0241487,0.0378789,0.0372867,0.060978,0.0636114,0.0641498,0.062916,0.0639767,0.0128279,0.032134,0.0194166,0.0219241,0.0412665,0.0104865,0,0,0,0,0,0,0,0,0,0.0180624,0.0508845,0.025263,0
207,0.033722,0.046448,0,0,0,0,0,0.0252868,0,0.0240553,0.0537409,0,0,0.0121734,0,0,0.0356142,0.0329082,0.0417565,0.0252651,0.0202023,0.0282608,0.0133869,0.0401589,0.0391569,0.0430894,0.0324135,0.0269991,0.0347515,0.0480466,0.0105122,0.0198971,0.0550495,0,0.014113,0.0630195,0.017274,0,0,0.0129382,0,0,0.0345432,0.0461904,0.0432205,0.0356644,0.0290815,0.0243129,0.0378934,0.0406012,0.0614367,0.0620589,0.0626883,0.0613369,0.0624438,0.0147286,0.0320735,0.0194996,0.0220534,0.0413775,0.0105819,0,0,0,0,0,0,0,0,0,0.0189031,0.0515448,0,0
208,0.0335312,0.0463286,0,0,0,0,0,0.0212185,0,0.0241266,0.0550959,0,0,0.0127418,0,0,0.0360586,0.0294667,0.0421794,0.0251838,0.0204406,0.0292152,0.0121981,0.0410029,0.039867,0.0437337,0.0331735,0.0273008,0.0410498,0.0474014,0.0108948,0.0208904,0.0566361,0,0.0120215,0.0593154,0.0170694,0,0,0.0131815,0,0,0.0347261,0,0.0427288,0.0331985,0.0291937,0.0247501,0.0356853,0.039498,0.058403,0.0637228,0.0647436,0.0629769,0.0639694,0.0158666,0.0315838,0.0198276,0.0226469,0.0410395,0.0111634,0,0,0,0,0,0,0,0,0,0.0187442,0.0518451,0,0
