Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75,RKNE
23,0.0330365,0.0511259,0,0,0,0,0,0,0.0332288,0,0.0250728,0.05472,0,0,0.0119626,0,0,0.0332428,0.0385184,0.0431537,0.0269571,0,0.0282137,0.0287911,0.016141,0.0306926,0.0414135,0,0.0440695,0.0478208,0.0380163,0.03387,0.027302,0.0471131,0.00705843,0.0172031,0.0558756,0,0.0196752,0.0723549,0.016616,0,0,0.0116473,0,0,0.0331113,0.0464269,0.0462131,0.0326487,0.0271026,0.0175672,0.0371434,0.0217123,0.0592312,0.0597972,0.0559589,0.0583913,0.0591911,0.0192252,0.0368681,0.0192572,0.0185277,0.0458242,0.0152153,0,0,0,0,0,0,0,0,0,0,0
24,0.0332048,0.0507017,0,0,0,0,0,0,0.0371714,0,0.0260872,0.053517,0,0,0.0127349,0,0,0.0324788,0.0389548,0,0.0245214,0.0546912,0.0277416,0.0286481,0.015855,0.0253508,0.0399977,0,0.0420327,0.0451136,0.035473,0.032868,0.0294768,0.0471756,0.00745266,0.0173222,0.0654458,0,0.0231001,0.0717525,0.0175669,0,0,0.010916,0,0,0.0334152,0.0448075,0.0437874,0.0336475,0.0285317,0.0181552,0.0353899,0.0242034,0.0590496,0.0595569,0.0552695,0.0565321,0.0581221,0.0293255,0.0365812,0.0197332,0.0187738,0.0454009,0.0154404,0,0,0,0,0,0,0,0,0,0,0
25,0.0329616,0.05066,0,0,0,0,0,0,0.0363219,0,0.0235419,0.0530013,0,0,0.012901,0,0,0.0325143,0.0388985,0.0419197,0.023241,0.0521691,0.0277263,0.0287927,0.0176792,0.0249408,0.0377985,0,0.0464477,0.0485801,0.0404652,0.0372553,0.0240713,0.0469852,0.00738811,0.0173742,0.0656591,0,0.0234052,0.071744,0.0175943,0,0,0.0109006,0,0,0.0333038,0.0450688,0.0438497,0.0332414,0.0289042,0.0184865,0.0357471,0.0238945,0.059335,0.0595811,0.0551422,0.0563762,0.0577034,0.0294499,0.0363335,0.0198234,0.0191038,0.0452124,0.0156742,0,0,0,0,0,0,0,0,0,0,0
26,0.0328707,0.0506759,0,0,0,0,0,0,0.0400875,0,0.0229568,0.054148,0,0,0.0128851,0,0,0.0323313,0.0372969,0.0403992,0.0230627,0.0516363,0.0273507,0.0284966,0.0175581,0.026412,0.0374079,0.0302627,0.0467354,0.0490763,0.0397573,0.0372383,0.0195185,0.047088,0.00735628,0.0171519,0.0663129,0,0.0234867,0.0697537,0.0178096,0,0,0.0107019,0,0,0.0333589,0.0453443,0.0434027,0.0327194,0.0293554,0.0188303,0.0358574,0.0234573,0.0589315,0.0599536,0.0556125,0.0568287,0.0579851,0.0297886,0.0361503,0.019958,0.0194085,0.0451539,0.0156442,0,0,0,0,0,0,0,0,0,0,0
27,0.0328852,0.0507249,0,0,0,0,0,0,0.0431776,0,0.022949,0.0545433,0,0,0.0129002,0,0,0.0323398,0.0369525,0.0398793,0.0232389,0.0507653,0.0273637,0.0284946,0.0178867,0.0263153,0.0372901,0.0295381,0.0466393,0.0491152,0.0395192,0.0373589,0.0163685,0.047115,0.0073903,0.0171311,0.0668791,0,0.0237939,0.0695989,0.017817,0,0,0.0107323,0,0,0.0333786,0.0459297,0.0431831,0.0324761,0.029268,0.0188243,0.0360375,0.0234095,0.0590285,0.0599064,0.0555205,0.0567803,0.0582456,0.0302591,0.0362041,0.0199163,0.0193514,0.0451699,0.0155873,0,0,0,0,0,0,0,0,0,0,0
28,0.0328152,0.0507564,0,0,0,0,0,0,0.0509078,0,0.0232877,0.0534277,0,0,0.0130896,0,0,0.0325303,0.0375791,0.0420103,0.0226654,0.0501377,0.0276165,0.0289297,0.0172068,0.0276297,0.0371816,0,0.0456652,0.0486506,0.038914,0.0373459,0.0128348,0.0468944,0.00743208,0.0173753,0.0661536,0,0.0243208,0.0709739,0.0176938,0,0,0.010852,0,0,0.0334316,0.0460665,0.0438637,0.0324356,0.0290922,0.0187953,0.0361256,0.0235754,0.0594157,0.0596161,0.0550095,0.0563276,0.0578103,0.0297935,0.0361896,0.0200083,0.0192706,0.045097,0.0157347,0,0,0,0,0,0,0,0,0,0,0
29,0.0329283,0.0508352,0,0,0,0,0,0,0.0492423,0,0.0230987,0.0543258,0,0,0.0130409,0,0,0.0325122,0.0376755,0.0413482,0.023625,0.0493551,0.0277108,0.0290533,0.0193634,0.0254759,0.0372998,0,0.0463815,0.0488512,0.0402308,0.0380612,0.0129748,0.0469833,0.00739592,0.0173616,0.0663247,0,0.0246409,0.0711498,0.0176094,0,0,0.0109316,0,0,0.0332845,0.0461633,0.0439001,0.0321738,0.0288227,0.0184796,0.036336,0.0236957,0.0595379,0.0594674,0.0549529,0.0563001,0.0575387,0.0299936,0.0363959,0.0197854,0.0190301,0.0452287,0.0156035,0,0,0,0,0,0,0,0,0,0,0
30,0.0328632,0.0508535,0,0,0,0,0,0,0.0514355,0,0.0237901,0.054661,0,0,0.0130402,0,0,0.0325467,0.0374488,0.0407927,0.0237039,0.0491964,0.0277607,0.0291631,0.0200361,0.0254406,0.0371509,0,0.0463708,0.0488147,0.0403529,0.0380667,0.0123292,0.0470003,0.00737527,0.0173709,0.0663616,0,0.0248219,0.0710343,0.0175942,0,0,0.0109104,0,0,0.0332662,0.0462908,0.0438835,0.0319094,0.028916,0.0184424,0.0366136,0.0238508,0.0595842,0.0593964,0.054992,0.0563298,0.0574399,0.030322,0.0363478,0.0197597,0.0190577,0.0452,0.0156353,0,0,0,0,0,0,0,0,0,0,0
31,0.0327314,0.0508449,0,0,0,0,0,0,0.0533487,0,0.0241235,0.0557282,0,0,0.0130253,0,0,0.0324438,0.0361258,0.0403935,0.0234886,0.0493256,0.0274962,0.0288526,0.0199041,0.0265899,0.0366135,0.0300871,0.0466071,0.0493296,0.0403859,0.037797,0.0120516,0.0472476,0.00736918,0.017174,0.067345,0,0.0247472,0.0691705,0.0178782,0,0,0.010857,0,0,0.0334711,0.0471174,0.0431717,0.0316046,0.0295779,0.0189041,0.0369108,0.0234192,0.059329,0.0597797,0.0555345,0.0567805,0.0578059,0.0310992,0.0360819,0.020014,0.0194195,0.0451332,0.0156924,0,0,0,0,0,0,0,0,0,0,0
32,0.03278,0.0508151,0,0,0,0,0,0,0.0539974,0,0.0240841,0.0550237,0,0,0.0130855,0,0,0.0325417,0.0372641,0.0406783,0.0239392,0.0490785,0.0279444,0.0293563,0.0210669,0.02598,0.0370738,0,0.0467637,0.0495673,0.0404258,0.0383867,0.0121822,0.0469569,0.00734713,0.0173973,0.0674815,0,0.0249727,0.0708373,0.0176453,0,0,0.0110492,0,0,0.0334789,0.0464486,0.0441733,0.031501,0.0290782,0.0184111,0.0369872,0.0238285,0.0597233,0.0593719,0.0550437,0.0563123,0.0572788,0.0311534,0.0363496,0.0197734,0.0191254,0.045152,0.0157782,0,0,0,0,0,0,0,0,0,0,0
