Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,x75
34,0.0378259,0.0460653,0,0,0,0,0,0,0.0305016,0,0.0274678,0.0567651,0,0,0.0112044,0,0,0.0309603,0.0246053,0.0357291,0.0242834,0.0473917,0.0284131,0.0300915,0.0190462,0.0315072,0,0.0209739,0.0429838,0.0465117,0.0354146,0.033743,0.0269113,0.0495607,0.00817448,0.0157413,0.0332188,0,0.0180653,0.0561306,0.0214186,0,0,0.0117842,0,0,0.0326201,0.0570565,0.0541686,0.0307434,0.0310177,0.0327537,0.0180332,0.0417792,0.0225269,0.0602831,0.0586146,0.0559509,0.057677,0.0600383,0.0347519,0.0374318,0.0172396,0.0163471,0.0414186,0.0255684,0,0,0,0,0,0,0,0,0,0
35,0.0377531,0.0461621,0,0,0,0,0,0,0.0304512,0,0.0270039,0.0557813,0,0,0.0113254,0,0,0.0311764,0.0256671,0.0365012,0.023988,0.048322,0.028774,0.0303372,0.0195671,0.0313203,0,0.0202493,0.0424916,0.0460893,0.0350525,0.033817,0.0270155,0.0491754,0.00813267,0.0161068,0.0309451,0,0.0180379,0.0557577,0.0213028,0,0,0.0118036,0,0,0.0326185,0.0589793,0.0546351,0.0311447,0.0317016,0.0330173,0.0180599,0.042522,0.0223098,0.0607148,0.0583803,0.0554823,0.0576193,0.0609506,0.0389581,0.0373246,0.0171976,0.0164798,0.041401,0.0257085,0,0,0,0,0,0,0,0,0,0
36,0.0376627,0.0461619,0,0,0,0,0,0,0.0308245,0,0.0263033,0.054955,0,0,0.0114498,0,0,0.0314521,0.0261339,0.0358503,0.023863,0.0500658,0.0291658,0.0306726,0.0199094,0.0313558,0,0.0193156,0.0422768,0.0460901,0.0346019,0.0339798,0.0265649,0.0487055,0.00810258,0.0165529,0.0292817,0,0.0179889,0.055419,0.0212147,0,0,0.0117847,0,0,0.0326519,0.0607637,0.054959,0.0314188,0.0326748,0.0330175,0.018323,0.0433414,0.0225655,0.0614293,0.0583754,0.0552234,0.0578008,0.0615529,0.0434205,0.0370665,0.0172404,0.0167313,0.0413373,0.0258982,0,0,0,0,0,0,0,0,0,0
37,0.0374495,0.0463134,0,0,0,0,0,0,0.0307466,0,0.0262247,0.0534191,0,0,0.0123646,0,0,0.0311526,0.0263096,0.0352818,0.0235672,0.0515693,0.0301382,0.0319002,0.0202794,0.0317462,0,0.0181421,0.0424742,0.0461133,0.0343095,0.0339823,0.0267112,0.048137,0.00818089,0.0159603,0.0280077,0,0.0181216,0.0554417,0.0211277,0,0,0.0112669,0,0,0.0328285,0.0621174,0.0554524,0.0321158,0.0338482,0.0331085,0.0185151,0.0439289,0.0229963,0.0618136,0.0583835,0.0551946,0.0578092,0.061918,0.0479968,0.0369074,0.0172083,0.0172107,0.0414474,0.02626,0,0,0,0,0,0,0,0,0,0
38,0.037441,0.04627,0,0,0,0,0,0,0.0301585,0,0.0258219,0.0527458,0,0,0.0124856,0,0,0.0315871,0.0255489,0.0348062,0.0237053,0.0511958,0.0307514,0.032384,0.0203935,0.0323277,0,0.0173545,0.0425085,0.045686,0.0343933,0.0337761,0.026785,0.0476337,0.00810278,0.016732,0.0272585,0,0.0180673,0.055416,0.0211759,0,0,0.011238,0,0,0.0330014,0.0622971,0.0551298,0.0325416,0.0351871,0.0329685,0.018856,0.0451881,0.0240635,0.0630795,0.0588058,0.0554218,0.0576102,0.0622091,0.0523289,0.0364391,0.01756,0.0175362,0.0413778,0.0266924,0,0,0,0,0,0,0,0,0,0
39,0.0374465,0.0462783,0,0,0,0,0,0,0.0293193,0,0.0254719,0.0519146,0,0,0.012616,0,0,0.0319893,0.0244609,0.0347007,0.024029,0.0503052,0.0318475,0.0328703,0.0208472,0.0331663,0,0.0167912,0.0424228,0.045306,0.0349675,0.0337097,0.0275696,0.0471612,0.00810136,0.0173804,0.0271863,0,0.0180185,0.0557139,0.0211933,0,0,0.0113175,0,0,0.0331961,0.061477,0.0546234,0.0331955,0.0365725,0.0329469,0.0190291,0.0464237,0.0251809,0.0644122,0.0592002,0.0556771,0.0574158,0.0626367,0.0565379,0.0360895,0.0178494,0.0177496,0.0413678,0.0270744,0,0,0,0,0,0,0,0,0,0
40,0.037426,0.0461971,0,0,0,0,0,0,0.0285727,0,0.0256525,0.0512227,0,0,0.012781,0,0,0.0322832,0.0234187,0.0349896,0.0244247,0.0491298,0.0328783,0.0332953,0.0215303,0.0338654,0,0.0163797,0.0423336,0.0456343,0.0352831,0.0336847,0.0285961,0.0467483,0.00812309,0.0178442,0.0277664,0,0.0179833,0.0560172,0.0211982,0,0,0.0114521,0,0,0.0333487,0.0602852,0.053664,0.033714,0.0378933,0.0330164,0.0191495,0.0476771,0.0263844,0.0654802,0.059514,0.0557967,0.057336,0.0633212,0.0607192,0.0358412,0.0179829,0.0178719,0.0412618,0.0273375,0,0,0,0,0,0,0,0,0,0
41,0.0373962,0.0460173,0,0,0,0,0,0,0.0278105,0,0.0261452,0.0508407,0,0,0.0129256,0,0,0.0324115,0.0227703,0.0353467,0.0247622,0.0479568,0.0335139,0.033616,0.0215817,0.0342386,0,0.0161544,0.042454,0.0458515,0.0354296,0.0337475,0.0298844,0.0465097,0.00813709,0.0180443,0.0288419,0,0.0178664,0.0561328,0.0212009,0,0,0.0115109,0,0,0.0333842,0.059,0.0519202,0.0339403,0.0397246,0.0331765,0.0192375,0.0485933,0.0276626,0.066199,0.0600621,0.0558308,0.0576286,0.0643521,0.0647942,0.0356478,0.0178199,0.0180536,0.0410393,0.0275672,0,0,0,0,0,0,0,0,0,0
42,0.0373015,0.0456741,0,0,0,0,0,0,0.0267108,0,0.0256301,0.0495958,0,0,0.0130123,0,0,0.0324324,0.0237428,0.0347501,0.0227735,0.0455703,0.033295,0.0335019,0.0213061,0.032554,0.031293,0.0166545,0.0442486,0.0472261,0.0369689,0.0351126,0.0319082,0.0463538,0.00811855,0.017957,0.0302164,0,0.0175991,0.056312,0.0216926,0,0,0.0114441,0,0,0.0335278,0.0582225,0.0500947,0.0339672,0.0410521,0.0338433,0.0198454,0.0492674,0.0280398,0.066589,0.0608717,0.0563762,0.058591,0.065979,0.0700753,0.0351743,0.0180771,0.018548,0.0405607,0.0280772,0,0,0,0,0,0,0,0,0,0
43,0.0373027,0.0454441,0,0,0,0,0,0,0.0263809,0,0.0258554,0.0493679,0,0,0.0129135,0,0,0.0322561,0.0244563,0.0349747,0.0227596,0.0457482,0.0331142,0.033231,0.0219025,0.0320641,0.031925,0.0167779,0.0444523,0.0468831,0.0371605,0.0353107,0.0324117,0.0466253,0.00808002,0.0176603,0.0305178,0,0.0172916,0.0564987,0.0218001,0,0,0.0116186,0,0,0.0335268,0.0580959,0.0493868,0.0340557,0.0433099,0.0339186,0.0199018,0.0498079,0.0286133,0.0671917,0.0618109,0.057054,0.0593854,0.0677393,0.0723186,0.0352535,0.0179716,0.0184468,0.0402957,0.028166,0,0,0,0,0,0,0,0,0,0
