Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x70,x71,x72,x73,,x74
114,0.0331769,0.0491402,0,0,0,0,0,0,0.0473142,0,0.0211132,0.0539302,0,0,0.0153145,0,0,0.0354819,0.0257633,0.0331897,0.0191175,0.0465909,0.0298516,0.0368814,0.0212222,0.0351244,0.0183818,0.0455416,0.0491831,0.0398519,0.0375046,0.0121522,0.0446833,0.00845837,0.020962,0.0273781,0,0.0291297,0.0545028,0.0199446,0,0,0.0123681,0,0,0.0344549,0.0519359,0.0617154,0.0324502,0,0.0369361,0.0237898,0.0635436,0.0467266,0.0563867,0.0473681,0.0550339,0.0662732,0.0585814,0.0318759,0.0184883,0.0210758,0.043077,0.0156996,0,0,0,0,0,0,0,0,0,0,0
115,0.0332389,0.0491076,0,0,0,0,0,0,0.0481481,0,0.0210973,0.0541117,0,0,0.0154096,0,0,0.0355813,0.0254672,0.0333272,0.019292,0.0461585,0.0300776,0.0367999,0.0212284,0.0351189,0.0183169,0.0457923,0.0493021,0.0400574,0.0377062,0.0122129,0.0445592,0.00844314,0.0211175,0.0274608,0,0.0292694,0.054565,0.0201214,0,0,0.0122869,0,0,0.0345911,0.0519181,0.0619019,0.032307,0,0.0370843,0.0240884,0.0631683,0.0465647,0.056387,0.0474301,0.0547795,0.0658954,0.0584622,0.0317289,0.0185867,0.0213168,0.0430757,0.0155477,0,0,0,0,0,0,0,0,0,0,0
116,0.0332551,0.0490724,0,0,0,0,0,0,0.0488955,0,0.020911,0.0541849,0,0,0.0154151,0,0,0.0356283,0.0252121,0.0336039,0.0193802,0.0458589,0.0303379,0.0367765,0.0213057,0.0350166,0.0184128,0.0459686,0.0492004,0.0402895,0.0379388,0.0123748,0.044466,0.00840114,0.0211773,0.027583,0,0.0294891,0.054657,0.0202566,0,0,0.0123522,0,0,0.0347968,0.0518039,0.0621764,0.0322651,0,0.0372917,0.0243673,0.0626511,0.0462646,0.0564033,0.0475988,0.0546014,0.0655667,0.0583877,0.0314745,0.018665,0.0215977,0.0430519,0.0154095,0,0,0,0,0,0,0,0,0,0,0
117,0.0332491,0.0490183,0,0,0,0,0,0,0.0494371,0,0.0208067,0.0543057,0,0,0.0155341,0,0,0.0355803,0.0247819,0.033974,0.0194061,0.0457445,0.0305235,0.0366029,0.0212619,0.0347838,0.0183454,0.0460158,0.0487595,0.0404213,0.0380649,0.0127127,0.0443888,0.00834059,0.0211932,0.0280011,0,0.0294721,0.0546666,0.0204782,0,0,0.0123738,0,0,0.0348814,0.0517572,0.0623659,0.0324642,0,0.0377091,0.0247049,0.061928,0.04578,0.0563379,0.0478346,0.0546255,0.0652652,0.0586821,0.0312485,0.0186951,0.0217994,0.0428539,0.0152419,0,0,0,0,0,0,0,0,0,0,0
118,0.0332395,0.048973,0,0,0,0,0,0,0.0494102,0,0.0207806,0.0543124,0,0,0.0155251,0,0,0.035414,0.0244221,0.0340305,0.0194567,0.0457731,0.0306016,0.0363869,0.021214,0.0345049,0.0183116,0.0459829,0.0486351,0.0403492,0.0381493,0.0128862,0.0445212,0.00822836,0.0210307,0.0283695,0,0.0294436,0.0548422,0.0206093,0,0,0.0124971,0,0,0.034973,0.0516326,0.062589,0.0326698,0,0.0380374,0.0249635,0.0609527,0.0452168,0.0562374,0.0480289,0.0548581,0.0651092,0.0584971,0.0310826,0.0186987,0.0219,0.042536,0.0150582,0,0,0,0,0,0,0,0,0,0,0
119,0.0332611,0.0489217,0,0,0,0,0,0,0.0493707,0,0.0208962,0.0543223,0,0,0.0154565,0,0,0.0350853,0.0241467,0.0340361,0.0194669,0.0459237,0.0305511,0.0360685,0.0212072,0.0348283,0.0182225,0.045959,0.0486393,0.0402403,0.038233,0.0130382,0.0447528,0.00812615,0.0208015,0.0286708,0,0.0293838,0.0550255,0.0208125,0,0,0.0124626,0,0,0.0350846,0.0514136,0.0628012,0.0327946,0,0.0383193,0.0252442,0.0597546,0.0446616,0.0560817,0.048154,0.0551899,0.0651513,0.0581203,0.0309835,0.018715,0.0220334,0.0421541,0.0148621,0,0,0,0,0,0,0,0,0,0,0
120,0.0334715,0.0486981,0,0,0,0,0,0,0.0491605,0,0.0211897,0.0543908,0,0,0.0154467,0,0,0.0344545,0.0238617,0.0347597,0.0192898,0.0460971,0.0304925,0.0356046,0.0210052,0.034949,0.018104,0.0459979,0.0485562,0.0402349,0.038314,0.0136685,0.0449992,0.00821194,0.0205671,0.0290899,0,0.0293444,0.0550403,0.0211699,0,0,0.0123282,0,0,0.0350036,0.0513455,0.0630511,0.0328131,0,0.0386342,0.0256212,0.0584902,0.0441027,0.0556535,0.0482397,0.0556805,0.065285,0.0579941,0.0310689,0.0188044,0.0222271,0.0417983,0.0148817,0,0,0,0,0,0,0,0,0,0,0
121,0.0333872,0.0488226,0,0,0,0,0,0,0.0492122,0,0.0211878,0.0545616,0,0,0.0151531,0,0,0.0342036,0.0237537,0.0356318,0.019442,0.0463416,0.030244,0.0349904,0.020984,0.0349791,0.0177053,0.0458582,0.0483538,0.0399348,0.0378985,0.0138833,0.0452838,0.00792955,0.020105,0.0295709,0,0.0289107,0.0553178,0.0213799,0,0,0.0121499,0,0,0.0351722,0.0508924,0.0632083,0.0330181,0,0.0387456,0.0258111,0.0570387,0.0437747,0.0554043,0.0487152,0.0564424,0.0657315,0.0577639,0.0310424,0.0187254,0.0221054,0.0418477,0.0146265,0,0,0,0,0,0,0,0,0,0,0
122,0.0334497,0.0488577,0,0,0,0,0,0,0.0490783,0,0.0213276,0.054746,0,0,0.0149156,0,0,0.0340474,0.0237208,0.0357677,0.019557,0.0464605,0.0299888,0.0344465,0.0208356,0.0349605,0.017488,0.045673,0.0482355,0.0397238,0.0376651,0.0139895,0.0456179,0.00790199,0.0196647,0.0300594,0,0.0286487,0.0554903,0.0214907,0,0,0.0121063,0,0,0.0351658,0.0504533,0.0634472,0.0332161,0,0.0388036,0.0259553,0.055612,0.0434769,0.0551463,0.0492857,0.0574047,0.0662819,0.0576363,0.0310286,0.0186991,0.0220547,0.0418335,0.0145379,0,0,0,0,0,0,0,0,0,0,0
123,0.0335182,0.0489091,0,0,0,0,0,0,0.0490515,0,0.021617,0.055082,0,0,0.0147925,0,0,0.0339903,0.0235814,0.0355501,0.0196602,0.0465727,0.0296599,0.0337951,0.0206478,0.0349586,0.0171877,0.0453793,0.0481044,0.0395292,0.0374484,0.0140582,0.0459961,0.0079793,0.0192656,0.0306563,0,0.0282828,0.0555355,0.0216714,0,0,0.012023,0,0,0.035098,0.0500296,0.0637652,0.0334472,0,0.0389635,0.0261233,0.0542601,0.0433412,0.0552507,0.0500176,0.0583209,0.0670993,0.0576852,0.0310629,0.0187531,0.0221076,0.0418487,0.0144579,0,0,0,0,0,0,0,0,0,0,0
