Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,IMUR_M,x75
150,0.03098,0.0520462,0,0,0,0,0,0.0424283,0,0.024555,0.0534148,0,0,0.0111588,0,0,0.0332876,0.0337801,0.0408949,0.0174494,0.0479275,0.025516,0.0315891,0.0133911,0.0225547,0.034308,0.0207792,0.0397503,0.0429164,0.0331446,0.028193,0.0197497,0.0484118,0.00839368,0.0183866,0,0,0.0161407,0.0610946,0.0200715,0,0,0.0117269,0,0,0.0338066,0.0457666,0.0469304,0.0396505,0,0.0397719,0.0195488,0.0353133,0.0296998,0.0556826,0.0610495,0.0615862,0.0566508,0.0583493,0.0179896,0.038016,0.0162418,0.0205921,0.046147,0.0151004,0,0,0,0,0,0,0,0,0,0,0
151,0.0309562,0.0521114,0,0,0,0,0,0.0400247,0,0.0245104,0.0526348,0,0,0.0114569,0,0,0.0331077,0.0346649,0.0405997,0.0178646,0.0492687,0.0257102,0.0321671,0.0131627,0.0223625,0.0353512,0.021597,0.0397772,0.043175,0.0329349,0.0278103,0.0191774,0.0481688,0.00839893,0.0181068,0.0506736,0,0.0135729,0.0617479,0.02014,0,0,0.0117141,0,0,0.0338204,0.0450399,0.0426009,0.0409329,0,0.0404212,0.019867,0.0348191,0.0287084,0.0553479,0.0614087,0.0612428,0.0592565,0.0610691,0.015997,0.0378261,0.0163233,0.020804,0.0460784,0.015169,0,0,0,0,0,0,0,0,0,0,0
152,0.0308931,0.0520987,0,0,0,0,0,0.0373425,0,0.0245142,0.0524399,0,0,0.0116923,0,0,0.0328679,0.0345332,0.0397452,0.0181287,0.0507819,0.025923,0.0327595,0.0125736,0.0225285,0.0364463,0.022382,0.039938,0.0434663,0.0329955,0.0276472,0.0194841,0.0478953,0.00839275,0.0180474,0.0493693,0,0.013871,0.0614197,0.020107,0,0,0.0117351,0,0,0.0338868,0.0448844,0.0426056,0.041075,0,0.0407948,0.0201154,0.0342606,0.0289419,0.0549285,0.0611651,0.0609787,0.0591947,0.0609646,0.0160396,0.0376777,0.0164045,0.0210554,0.0459195,0.0151122,0,0,0,0,0,0,0,0,0,0,0
153,0.0309108,0.0520303,0,0,0,0,0,0.0350383,0,0.0247377,0.0522515,0,0,0.0119527,0,0,0.0326864,0.0343254,0.0385767,0.018416,0.0519669,0.0260853,0.0330844,0.0122447,0.0228417,0.037971,0.0230905,0.0401499,0.0437252,0.0332773,0.0277141,0.0209434,0.0476859,0.00840255,0.0179839,0.048689,0,0.0144663,0.0611214,0.0200825,0,0,0.0118435,0,0,0.0340384,0.0448917,0.0425674,0.0410905,0,0.0409983,0.0202598,0.0336689,0.0294238,0.0548101,0.0610482,0.060684,0.0591317,0.0608259,0.0158707,0.037507,0.0164826,0.0212483,0.0458469,0.0152632,0,0,0,0,0,0,0,0,0,0,0
154,0.0309678,0.0519755,0,0,0,0,0,0.032894,0,0.0250089,0.0519628,0,0,0.0122313,0,0,0.032649,0.0341287,0.0376971,0.0186981,0.052843,0.026291,0.0332076,0.0120547,0.0230708,0.0392508,0.0237334,0.0406287,0.0441396,0.0338123,0.0281538,0.0239231,0.0475178,0.00838845,0.0178985,0.0485934,0,0.015042,0.0608638,0.0200779,0,0,0.0119606,0,0,0.0339624,0.0450412,0.0428116,0.0409654,0,0.0409053,0.020314,0.033184,0.0301246,0.0550441,0.0610312,0.0604682,0.0590745,0.0607141,0.015689,0.0372639,0.0165169,0.0213162,0.0457937,0.015663,0,0,0,0,0,0,0,0,0,0,0
155,0.0309507,0.0519542,0,0,0,0,0,0.0308681,0,0.0252589,0.0516744,0,0,0.0124803,0,0,0.0326877,0.034079,0.0376874,0.0189624,0.0535126,0.0263506,0.0334325,0.0119617,0.0231261,0.040082,0.0243488,0.0414679,0.0446381,0.0344558,0.0287089,0.0277171,0.0474498,0.00840466,0.017667,0.0486113,0,0.0155428,0.0607476,0.0200403,0,0,0.0120768,0,0,0.0338573,0.0450981,0.0430288,0.0409836,0,0.0407237,0.0202973,0.0330177,0.0306746,0.0551002,0.0609363,0.0602534,0.0589499,0.0605511,0.0156316,0.0371535,0.0164746,0.0213391,0.0457552,0.0159322,0,0,0,0,0,0,0,0,0,0,0
156,0.0309092,0.0519178,0,0,0,0,0,0.0287841,0,0.0255587,0.0513737,0,0,0.0126832,0,0,0.0328014,0.0342956,0.0383196,0.0191973,0.0540313,0.0263316,0.0335333,0.0121185,0.0232321,0.0406854,0.0252614,0.0421387,0.0450861,0.0351569,0.0291974,0.0311134,0.0474051,0.00841935,0.0174965,0.0487218,0,0.0159523,0.0608151,0.0199307,0,0,0.0121792,0,0,0.0338679,0.0449699,0.0431727,0.041142,0,0.0405352,0.0202009,0.033139,0.0307895,0.0551206,0.0607729,0.0600239,0.0587439,0.0603519,0.015707,0.0371854,0.0164358,0.0213343,0.0457414,0.0160628,0,0,0,0,0,0,0,0,0,0,0
157,0.030885,0.0518803,0,0,0,0,0,0.0266299,0,0.0253525,0.0511632,0,0,0.0128151,0,0,0.0327321,0.0344966,0.0389149,0.0194027,0.0544877,0.0262738,0.0336191,0.0122403,0.0234314,0.041359,0.026656,0.042713,0.0455985,0.0359593,0.0297627,0.034418,0.0473502,0.00840754,0.0173527,0.0489381,0,0.0162803,0.0609798,0.0197607,0,0,0.0122101,0,0,0.0338339,0.0446857,0.043319,0.0412187,0,0.0402087,0.0199485,0.0330159,0.0305317,0.0552136,0.0605729,0.0597428,0.0584882,0.0601217,0.0158361,0.0372581,0.0163761,0.021221,0.0458091,0.0163911,0,0,0,0,0,0,0,0,0,0,0
158,0.0308427,0.0518848,0,0,0,0,0,0.0244069,0,0.0250942,0.0509635,0,0,0.0129026,0,0,0.0327237,0.034669,0.0395784,0.0193881,0.0546501,0.0261237,0.0336445,0.0123265,0.0232833,0.0418779,0.0262197,0.0432233,0.0460179,0.0366662,0.0305144,0.0381067,0.0473215,0.00834728,0.0172747,0.0493633,0,0.0163575,0.061103,0.0196722,0,0,0.0121713,0,0,0.0338368,0.0443963,0.0433125,0.0410712,0,0.0398497,0.0197794,0.0329731,0.0301395,0.0552113,0.0604836,0.059525,0.0582916,0.0599563,0.0160011,0.0373774,0.0164272,0.0211436,0.0458427,0.0164211,0,0,0,0,0,0,0,0,0,0,0
159,0.0308002,0.0518812,0,0,0,0,0,0.0225301,0,0.0251599,0.05084,0,0,0.0128764,0,0,0.032663,0.0348778,0.0402899,0.0192914,0.0545116,0.0260368,0.0336228,0.0126265,0.0233288,0.0424081,0.0262333,0.0437853,0.0463649,0.0373228,0.0312872,0.0419509,0.0473801,0.00831998,0.0172162,0.0501466,0,0.0163068,0.0613278,0.0196192,0,0,0.0121792,0,0,0.0339131,0.0441485,0.0432771,0.0411545,0,0.0395235,0.0196202,0.033007,0.0298183,0.0552532,0.0605333,0.0594617,0.0582372,0.059901,0.0163377,0.0375969,0.0164874,0.0211005,0.0458828,0.0164105,0,0,0,0,0,0,0,0,0,0,0
160,0.0307867,0.0518964,0,0,0,0,0,0.0211055,0,0.0252446,0.0507545,0,0,0.0128054,0,0,0.0326133,0.035301,0.0410435,0.0192932,0.0541847,0.0259272,0.0336018,0.012759,0.0236331,0.0429043,0.0270036,0.0443768,0.0467657,0.0379083,0.0320655,0.0457625,0.0474434,0.0083402,0.0171579,0.0510195,0,0.0162371,0.0615888,0.0195255,0,0,0.0120381,0,0,0.0338242,0.043967,0.0432046,0.0414571,0,0.0394401,0.0193728,0.0331201,0.0294178,0.0553844,0.0606529,0.0594472,0.0582635,0.0599713,0.016814,0.037773,0.0165449,0.0210363,0.0459183,0.0165353,0,0,0,0,0,0,0,0,0,0,0
161,0.030737,0.0519092,0,0,0,0,0,0.0201252,0,0.0252493,0.0508714,0,0,0.0128591,0,0,0.0327478,0.0352168,0.0417763,0.0190148,0.0536972,0.0260339,0.0338604,0.0124151,0.0236612,0.0431167,0.0273893,0.0449094,0.0472327,0.0385154,0.0330543,0.0501408,0.0472879,0.00836273,0.0173103,0.0489328,0,0.0151773,0.0609348,0.0193302,0,0,0.0119729,0,0,0.0337431,0.0453464,0.0421385,0.0405519,0.0251963,0.0390061,0.0190475,0.0334607,0.026589,0.0546919,0.0615515,0.0602532,0.059588,0.0611757,0.0156706,0.03796,0.0165115,0.0208894,0.0458857,0.016861,0,0,0,0,0,0,0,0,0,0,0
