Timestep,C7,CLAV,IMUL_L,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,x76,IMUL_R,IMUL_M,IMUR_M,
38,0.0368648,0.0465613,0,0,0,0.0193225,0,0.0259003,0.0521192,0,0,0.0113482,0,0,0.0320488,0.0324806,0.0424752,0.0231531,0.052747,0.0226129,0.0324612,0.0128251,0.0219632,0.0365535,0.0250967,0.0436862,0.0466739,0.0363711,0.029651,0.0571679,0.0489409,0.00847456,0.0172723,0.0472121,0,0.0162825,0.0603517,0.0199176,0,0,0.0117966,0,0,0.032407,0.0466021,0.0465551,0.0395624,0.0274455,0.037548,0.0228778,0.0272696,0.0250706,0,0.0459479,0.061522,0.0608257,0.0602401,0.0614483,0.0165372,0.0385063,0.0164088,0.0192016,0.0436961,0.0260508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.0370762,0.0464134,0,0,0,0.0177407,0,0.0290078,0.0517348,0,0,0.0106104,0,0,0.0328985,0.0328422,0.0435248,0.0242605,0.0546738,0.0224686,0.0322576,0.0116432,0.0232476,0.0376819,0.0253426,0.0438866,0.0465478,0.037026,0.0309036,0.0512695,0.0489531,0.00810673,0.0178265,0.0439973,0,0.0147397,0.0608289,0.0191595,0,0,0.0114729,0,0,0.0322236,0.0466427,0.0478094,0.0387268,0.025474,0.0360456,0.0215987,0.0278559,0.0232283,0,0.0462578,0.0616325,0.0610336,0.0610513,0.0618734,0.0163366,0.0388362,0.0167848,0.0195446,0.0435867,0.0261812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0371197,0.0464143,0,0,0,0.0173695,0,0.0287984,0.0515455,0,0,0.0104566,0,0,0.0327386,0.0337,0.0435442,0.0247409,0.0548176,0.021974,0.0319417,0.0120309,0.0233277,0.0381346,0.025884,0.0443851,0.0467584,0.037753,0.0319166,0.0522846,0.0492184,0.00802099,0.0175408,0.0469511,0,0.015816,0.0618584,0.0190127,0,0,0.0116213,0,0,0.0320324,0.0450836,0.050263,0.0399221,0,0.035773,0.0214497,0.0278747,0.0253436,0,0.0472095,0.0600646,0.0597549,0.0598778,0.060598,0.0159743,0.0390336,0.0165477,0.0194479,0.0436182,0.0258948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.0370886,0.0463838,0,0,0,0.0171842,0,0.0288079,0.0516795,0,0,0.010519,0,0,0.0328096,0.0335561,0.0438796,0.0245113,0.0545493,0.02199,0.0321142,0.011726,0.0233351,0.0382101,0.0265586,0.0450044,0.0470014,0.0385119,0.0330962,0.0535103,0.0490787,0.00801686,0.0176337,0.045483,0,0.0145878,0.0614245,0.0188549,0,0,0.0117513,0,0,0.0319386,0.0461991,0.0478157,0.0388956,0.0249395,0.0351728,0.021171,0.027853,0.0226138,0,0.0463466,0.0614964,0.0610028,0.0614052,0.0621262,0.0156907,0.0391427,0.0162665,0.0192322,0.0435537,0.0259794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.0370531,0.0463632,0,0,0,0.0165507,0,0.0287131,0.0516464,0,0,0.0105255,0,0,0.0327732,0.0342689,0.0442358,0.0244376,0.0547309,0.0218017,0.0319854,0.0118092,0.0231529,0.0383341,0.0269737,0.0454914,0.0472419,0.0389426,0.0338035,0.0537262,0.0490511,0.00801813,0.0175226,0.0464254,0,0.0142934,0.0617373,0.0187329,0,0,0.0119086,0,0,0.031902,0.0460704,0.0478177,0.0388788,0.0243907,0.0347658,0.021143,0.0279865,0.0221524,0,0.046345,0.0616571,0.0610092,0.061542,0.0621773,0.0154812,0.0392133,0.0161667,0.0190962,0.0435327,0.0258897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.0369111,0.0464217,0,0,0,0.0160717,0,0.028742,0.0514668,0,0,0.0107908,0,0,0.0324311,0.0350817,0.0448628,0.0241473,0.055175,0.0217043,0.0321297,0.012036,0.0226539,0.0386759,0.0266739,0.0457713,0.047443,0.0391997,0.034156,0.0541789,0.0490356,0.00791281,0.0170633,0.0474488,0,0.0139574,0.0618734,0.0186869,0,0,0.0124103,0,0,0.0318332,0.0461584,0.0480593,0.038789,0.0238689,0.0345265,0.0214447,0.0280605,0.0215657,0,0.0462366,0.0618069,0.0610963,0.0616942,0.0622377,0.0153948,0.0392316,0.0161649,0.0188463,0.043615,0.0258273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.0368767,0.0463933,0,0,0,0.0161384,0,0.0288976,0.0512175,0,0,0.0107916,0,0,0.0324024,0.0360468,0.0454423,0.0238444,0.0558704,0.0215956,0.0320017,0.012375,0.0223557,0.0396184,0.0265887,0.0458959,0.0475982,0.0393048,0.0343372,0.0548088,0.0489958,0.00791304,0.016917,0.048414,0,0.0139294,0.0621543,0.0186582,0,0,0.0123838,0,0,0.0317879,0.0462335,0.0481508,0.0386382,0.0234607,0.0342107,0.0214774,0.0283698,0.0208463,0,0.0465856,0.0618433,0.0610731,0.0617603,0.0622212,0.0154081,0.039197,0.0163092,0.0190529,0.0435953,0.0258379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.0367998,0.0463788,0,0,0,0.0160998,0,0.0290259,0.0509556,0,0,0.0107293,0,0,0.0324876,0.0368468,0.0458151,0.023567,0.0563592,0.0215654,0.0319082,0.0126482,0.0226356,0.0397995,0.0265538,0.0459226,0.0476001,0.0391591,0.0343003,0.0551625,0.0489844,0.00798988,0.0168512,0.0493759,0,0.0140761,0.0625392,0.0186505,0,0,0.0123256,0,0,0.0317228,0.0462169,0.0479891,0.0384395,0.0233587,0.033838,0.0214888,0.0287085,0.0202149,0,0.0472042,0.0618174,0.0610294,0.0617749,0.0621742,0.0154508,0.0391721,0.0162802,0.0191481,0.0435426,0.0258357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.0369222,0.0465475,0,0,0,0.0160339,0,0.0303849,0.0511277,0,0,0.0104496,0,0,0.0324641,0.0369784,0.0475596,0.0233375,0.0585605,0.0219094,0.0319578,0.0123275,0.0244448,0,0.0274124,0.0444283,0.045929,0.0377327,0.033228,0.0552468,0.0494139,0.00812392,0.0167196,0.0501335,0,0.0146608,0.064085,0.0180179,0,0,0.0127548,0,0,0.0314423,0.0456781,0.0481523,0.0381705,0.0235951,0.0325985,0.0206613,0.0294011,0.0198033,0,0.0482506,0.0613972,0.0604981,0.0613916,0.0617207,0.0156797,0.0399162,0.0155071,0.0183843,0.0439042,0.0251932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.0369808,0.0464174,0,0,0,0.0161577,0,0.0305844,0.0512965,0,0,0.0104486,0,0,0.0326455,0.0372502,0.0478103,0.0230121,0.0583629,0.0219489,0.0320447,0.012919,0.0246491,0,0.0274232,0.0443189,0.0458438,0.0376929,0.0332222,0.0557987,0.0493583,0.00812772,0.0169069,0.0511228,0,0.0148645,0.0646634,0.0179035,0,0,0.0127472,0,0,0.0314022,0.04556,0.0481932,0.0377523,0.0234291,0.0319078,0.0205935,0.0298699,0.0193501,0,0.0487498,0.0613583,0.060374,0.0613023,0.0616384,0.0161498,0.039767,0.015596,0.0184518,0.0438232,0.0250831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
