Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,LTHII,IMUL_R,RTHII,,IMUR_M
25,0.0380434,0.0485596,0,0,0,0,0.0390496,0,0.0225471,0.0531151,0,0,0.0126579,0,0,0.033197,0.0356054,0.0404754,0.0204967,0.0495354,0.0275127,0.031856,0.0186379,0.0292708,0.0277858,0.0458882,0.0491196,0.039973,0.0367321,0.0182534,0.0462587,0.00839634,0.0187055,0.0698238,0,0.0216156,0.0637593,0.0177836,0,0,0.0115263,0,0,0.0337831,0.0436854,0.0456739,0.0360452,0.0232634,0.0335695,0.0158512,0.0309711,0.0233029,0.0516397,0.0597083,0.0582317,0.0592166,0.0594019,0.0304908,0.0386348,0.0178406,0.0209631,0.0456914,0.0202064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0374145,0.0483703,0,0,0,0,0.0398114,0,0.0214292,0.0522634,0,0,0.0131572,0,0,0.0337897,0.0345965,0.0393869,0.0187548,0.0466789,0.0281448,0.0326511,0.0187697,0.0280142,0.0276293,0.0476064,0.0511215,0.0414571,0.0381601,0.0172063,0.0454675,0.00867649,0.0194048,0.0681756,0,0.0198977,0.0612993,0.0176783,0,0,0.0112402,0,0,0.0340107,0.0469784,0.0431263,0.0329709,0.01946,0.0336887,0.0161846,0.0309769,0.0194674,0.0497724,0.062159,0.0609719,0.0618943,0.0619948,0.0278244,0.0380362,0.018654,0.0217259,0.0451703,0.0211313,0,0,0,0,0,0,0,0,0,0.032688,0,0.0524763,0,0
27,0.0375264,0.0483756,0,0,0,0,0.0412658,0,0.0211755,0.0512548,0,0,0.0129168,0,0,0.0341421,0.035591,0.0394209,0.0187332,0.0452538,0.0285051,0.0325698,0.0201173,0.0265084,0,0.0478485,0.0512326,0.0411166,0.0381588,0.0163896,0.045315,0.00883642,0.0198155,0.0673585,0,0.0203072,0.0631017,0.0174795,0,0,0.0112048,0,0,0.0340103,0.0463684,0.0435,0.0328525,0.0200002,0.0331508,0.0155587,0.0311245,0.0196606,0.0501443,0.0617666,0.0605393,0.0614337,0.0615634,0.0275021,0.0383477,0.0185347,0.021547,0.0452275,0.0211336,0,0,0,0,0,0,0,0,0,0.0323677,0,0.0522852,0,0
28,0.0374829,0.0483828,0,0,0,0,0.0426001,0,0.0216017,0.0529397,0,0,0.0130236,0,0,0.0338187,0.0343907,0.0380627,0.0189939,0.0454169,0.0283237,0.0323982,0.0202645,0.027943,0.0287985,0.0477835,0.0505936,0.0406394,0.0376018,0.0153923,0.0454958,0.00868449,0.019292,0.0679674,0,0.0203811,0.0611629,0.0177507,0,0,0.0109658,0,0,0.0340403,0.0476616,0.0431308,0.0326674,0.0192607,0.0337072,0.0159277,0.0312306,0.0192678,0.0499309,0.0622179,0.0610517,0.0618776,0.0619817,0.02807,0.0381491,0.0186458,0.0219132,0.0452157,0.0210094,0,0,0,0,0,0,0,0,0,0.0324171,0,0.0515458,0,0
29,0.0374885,0.0484488,0,0,0,0,0.0435791,0,0.021988,0.0533381,0,0,0.0129954,0,0,0.0337919,0.0341999,0.0374403,0.0193771,0.0452533,0.0284482,0.0322564,0.0207301,0.0280197,0.0297509,0.0478293,0.0502503,0.0406508,0.0376962,0.0152719,0.0456628,0.00870503,0.019273,0.0682686,0,0.020484,0.0607594,0.0178094,0,0,0.0108883,0,0,0.0340449,0.0481765,0.0430836,0.0323907,0.0190436,0.0337313,0.0159411,0.0313738,0.0193543,0.0499059,0.0623293,0.0611506,0.0619942,0.0620886,0.0281111,0.0382283,0.0183016,0.0219551,0.0453328,0.020919,0,0,0,0,0,0,0,0,0,0.032494,0,0.0518452,0,0
30,0.0374301,0.0485991,0,0,0,0,0.0447713,0,0.022366,0.0541044,0,0,0.0129512,0,0,0.0339261,0.0338736,0.0369572,0.0197471,0.0450468,0.0284627,0.032021,0.0208476,0.0278523,0.030566,0.0478235,0.0502421,0.0408142,0.0378058,0.015194,0.0456366,0.00870937,0.0194046,0.0687962,0,0.0206981,0.0608295,0.0178276,0,0,0.0113851,0,0,0.0339621,0.04863,0.0426906,0.0322086,0.0190746,0.033584,0.0165842,0.0317881,0.0189931,0.0500302,0.0623778,0.0611562,0.0619188,0.061988,0.0282895,0.0380992,0.0181761,0.021863,0.045424,0.0207317,0,0,0,0,0,0,0,0,0,0.0326215,0,0.0523979,0,0
31,0.0375692,0.0486912,0,0,0,0,0.0461053,0,0.0220962,0.0528489,0,0,0.013053,0,0,0.0340521,0.0353687,0.0364963,0.0196017,0.0440744,0.0290316,0.0322882,0.0216817,0.0266224,0,0.0481383,0.0507276,0.0412449,0.0386688,0.0139218,0.0454471,0.00878845,0.0196288,0.0682429,0,0.0208502,0.0629298,0.0176725,0,0,0.0107234,0,0,0.0340407,0.047663,0.0431506,0.0321339,0.019745,0.0331086,0.0154844,0.0318457,0.0192123,0.0504566,0.0619846,0.0605881,0.0614561,0.0615224,0.0276755,0.0384406,0.0186366,0.0217763,0.0455653,0.0208328,0,0,0,0,0,0,0,0,0,0.0325202,0,0.052464,0,0
32,0.0373922,0.0488692,0,0,0,0,0.0454712,0,0.0232449,0.0551464,0,0,0.0130397,0,0,0.0337635,0.0333971,0.0364748,0.0201413,0.0447473,0.0290191,0.0318873,0.0212125,0.0279107,0.0312118,0.0478825,0.0504814,0.0411076,0.0382599,0.0136308,0.0456581,0.00867335,0.0192734,0.0696551,0,0.0207746,0.0606645,0.0179524,0,0,0.0116685,0,0,0.0338159,0.0491971,0.0427469,0.0319394,0.0187463,0.0337769,0.0168594,0.0321105,0.0186288,0.050277,0.0624916,0.0611882,0.0618471,0.0618713,0.0286199,0.038038,0.0182758,0.0218463,0.0457286,0.0206343,0,0,0,0,0,0,0,0,0,0.0328922,0,0.0519425,0,0
33,0.0376355,0.0487731,0,0,0,0,0.0459912,0,0.0235212,0.0551351,0,0,0.0124307,0,0,0.0344516,0.0331565,0.0363254,0.0204618,0.0448324,0.0292562,0.0303466,0.0212027,0.0278998,0.0313796,0.0478621,0.0505246,0.0411904,0.0384333,0.0131781,0.0457707,0.00888822,0.0204039,0.0691011,0,0.0208967,0.0609196,0.0180864,0,0,0.010647,0,0,0.0340386,0.0493113,0.0425267,0.031815,0.018915,0.0338353,0.0159917,0.0324444,0.0185232,0.0506195,0.0624111,0.0610913,0.061745,0.0618276,0.0281421,0.0379926,0.0189353,0.0221429,0.0457286,0.020758,0,0,0,0,0,0,0,0,0,0.032962,0,0.0528603,0,0
34,0.0375762,0.0488629,0,0,0,0,0.0471145,0,0.0228548,0.0532561,0,0,0.0125848,0,0,0.0346406,0.0347495,0.0360433,0.0204894,0.0442081,0.0296152,0.0307609,0.0217361,0.0271509,0,0.0482549,0.0511421,0.0415974,0.0393089,0.0125781,0.045579,0.00888899,0.0206588,0.0679438,0,0.0209933,0.0631667,0.0179068,0,0,0.0107871,0,0,0.0339475,0.0480992,0.0433307,0.0316514,0.0197932,0.0331852,0.0157397,0.0325973,0.0189086,0.0512329,0.0618136,0.0604404,0.0611125,0.0612099,0.0274434,0.0381541,0.0185366,0.0218103,0.0458215,0.0207805,0,0,0,0,0,0,0,0,0,0.0328581,0,0.0529181,0,0
