Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RPSI,RSHO,RTHI,RTHIA,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x71,x72,x73,x74,RTHIP,RKNE,IMUL_R,IMUR_M,x75
9,0.0377474,0.0471682,0,0,0,0,0,0,0.0237529,0.0520644,0,0,0.0120626,0,0,0.0318112,0.0331178,0.00701053,0.0202777,0.058912,0.0253386,0.0303467,0.0135631,0.0237645,0.0399024,0.0336288,0.0409453,0.0450036,0,0.024113,0,0.0482494,0.00805231,0.0172012,0.0577426,0,0.0151348,0.0558194,0.0218147,0,0,0.0113772,0,0,0.0334102,0.0497679,0.0415806,0.0374672,0.0391274,0.0237714,0.0294031,0.0277454,0.0626274,0.0624028,0.0631627,0.0635263,0.0173936,0.0348069,0.0197277,0.0196416,0.0421087,0.0232736,0,0,0,0,0,0,0,0,0,0.0500244,0.0224205,0,0,0
10,0.0379684,0.0474235,0,0,0,0,0,0,0.0263335,0.0501387,0,0,0.0120715,0,0,0.0313772,0.0355997,0.0417436,0.0190111,0.0610266,0.0252018,0.0306669,0.0161403,0.025234,0,0,0.0402663,0.0437198,0.0318148,0.0235342,0.017302,0.0486424,0.00833098,0.0164962,0.0627339,0,0.0167702,0.0604274,0.0213187,0,0,0.011526,0,0,0.0331061,0.046893,0.0432531,0.0382179,0.0374105,0.0223162,0.0309398,0.0293355,0.0610173,0.0604877,0.0611518,0.0616518,0.0227242,0.0357925,0.0190993,0.0185637,0.0425717,0.0222704,0,0,0,0,0,0,0,0,0,0.0522062,0,0,0,0
11,0.0380524,0.0471881,0,0,0,0,0,0,0.0264226,0.0495399,0,0,0.0123324,0,0,0.031606,0.0359853,0.0415479,0.0180868,0.0615015,0.0251083,0.0308174,0.0165729,0.0254414,0,0,0.0407374,0.0439182,0.0318624,0.0233043,0.0181908,0.0483112,0.00825578,0.0170025,0.0599332,0,0.0158877,0.0606801,0.0213875,0,0,0.0114412,0,0,0.0332016,0.0470558,0.0412397,0.0377024,0.0366967,0.0224713,0.0316006,0.0261049,0.0622007,0.0614108,0.06254,0.0630384,0.019749,0.0354383,0.0193744,0.0189232,0.042165,0.0223938,0,0,0,0,0,0,0,0,0,0.0516615,0.0224504,0,0,0
12,0.03841,0.0468096,0,0,0,0,0,0,0.0287969,0.0424622,0,0,0.0126987,0,0,0.0323081,0.0392409,0.0459004,0.0149252,0.0679741,0.0243885,0.031565,0.0176275,0.0299251,0.0944708,0.0434441,0.0387517,0.0415486,0.0283068,0.019603,0.0185791,0.0474869,0.00819272,0.0181665,0.0585422,0,0.0168598,0,0.0210601,0,0,0.0114104,0,0,0.0333573,0.0436597,0.0430014,0.0428345,0.0341879,0.0221189,0.032072,0.0279831,0.060514,0.0593653,0.0608431,0.0614204,0.0188987,0.0348018,0.0196952,0.0194295,0.0418024,0.0214133,0,0,0,0,0,0,0,0,0,0.0533888,0.0247004,0,0,0
13,0.037961,0.047184,0,0,0,0,0,0,0.0300157,0.0501619,0,0,0.0118733,0,0,0.0322401,0.033473,0.046309,0.0167797,0.0680732,0.0254547,0.0302681,0.0126783,0.030228,0.102283,0.0413777,0.038451,0.0415267,0.0275948,0.0196842,0.020352,0.0482708,0.0077664,0.0169698,0.0565694,0,0.0121638,0.0603026,0.0212276,0,0,0.0116189,0,0,0.0331551,0.0493183,0.0431783,0.0359845,0.0357738,0.0226838,0.034045,0.0220091,0.0632813,0.0626397,0.0640276,0.0640068,0.0152802,0.0348709,0.0198421,0.0195562,0.0419643,0.0225783,0,0,0,0,0,0,0,0,0,0.0525635,0.0188729,0,0,0
14,0.0378244,0.0473469,0,0,0,0,0,0,0.0298626,0.0504054,0,0,0.0118032,0,0,0.0320802,0.0333187,0.045751,0.01754,0.0674814,0.0258144,0.03003,0.0115626,0.0303986,0.094819,0.040089,0.0387631,0.0421841,0.027516,0.0202709,0.0208949,0.0484244,0.00796904,0.0163521,0.0574307,0,0.0117806,0.0596549,0.0213724,0,0,0.0121517,0,0,0.0331667,0.0491305,0.0433143,0.0357279,0.0359588,0.0229432,0.0340258,0.021762,0.0634112,0.0627937,0.0642606,0.0639291,0.016089,0.0347206,0.0196291,0.0195315,0.0420846,0.0227443,0,0,0,0,0,0,0,0,0,0.0524319,0.0186587,0,0,0
15,0.0381356,0.047319,0,0,0,0,0.0343214,0,0.0267041,0.0499351,0,0,0.0120211,0,0,0.0310519,0.0366802,0.038432,0.0205042,0.0604949,0.0258069,0.0295941,0.0153641,0.0265367,0,0.0353374,0.0439743,0.0469015,0.0349609,0.0279395,0.0220108,0.0489008,0.00836509,0.0158959,0.0658848,0,0.0166858,0.0609877,0.0220381,0,0,0.0117304,0,0,0.0331851,0.0444992,0.041197,0.0388061,0.0368168,0.0228197,0.0314827,0.0271728,0.0615148,0.0603955,0.0611719,0.0615915,0.0263501,0.0349182,0.0192415,0.0192522,0.0422877,0.0226088,0,0,0,0,0,0,0,0,0,0.0526639,0,0,0,0
16,0.0380562,0.047252,0,0,0,0,0.0330047,0,0.0262458,0.0500031,0,0,0.0121651,0,0,0.0311261,0.0359296,0.0389764,0.0202763,0.0603742,0.0261653,0.029713,0.0150314,0.0262217,0,0.0350369,0.0438858,0.0470093,0.0351956,0.0279602,0.0234482,0.0487177,0.00839051,0.0160184,0.0645069,0,0.0156822,0.0605165,0.0220212,0,0,0.0118296,0,0,0.0331881,0.0453951,0.0404441,0.0373852,0.0362374,0.0228198,0.031648,0.0250151,0.0623995,0.0613305,0.0624101,0.0626745,0.0246351,0.0347625,0.0192888,0.0193601,0.0421603,0.0228382,0,0,0,0,0,0,0,0,0,0.0520965,0.022085,0,0,0
17,0.03807,0.0472235,0,0,0,0,0.0313359,0,0.0260668,0.0498984,0,0,0.0122331,0,0,0.0310374,0.0360707,0.0393271,0.0204146,0.0598922,0.0261722,0.0296348,0.0152427,0.0259397,0,0.0347607,0.0439558,0.0471601,0.0354748,0.0280655,0.0247532,0.0487803,0.00837402,0.015943,0.0653487,0,0.0159133,0.0611025,0.0220641,0,0,0.0118632,0,0,0.0331901,0.0452082,0.0404219,0.0373487,0.0356805,0.022778,0.0318106,0.0249354,0.062413,0.0611918,0.0624825,0.0623348,0.0255647,0.0347409,0.0192584,0.0193702,0.042078,0.0228139,0,0,0,0,0,0,0,0,0,0.0523101,0.0221443,0,0,0
18,0.0380225,0.0472616,0,0,0,0,0.0307734,0,0.0275221,0.0485381,0,0,0.012243,0,0,0.0310119,0.0372483,0.041825,0.0191339,0.059053,0.0264541,0.0296533,0.0166579,0.0243304,0,0,0.042207,0.0448076,0.0342957,0.0271227,0.0264317,0.0488492,0.00841141,0.0158575,0.0666696,0,0.0162728,0.0627806,0.0219439,0,0,0.0118702,0,0,0.0331685,0.0447531,0.0408146,0.0370293,0.0349453,0.0224175,0.0325645,0.024912,0.0621618,0.0608287,0.0620708,0.061847,0.0270545,0.0349882,0.0191167,0.0192005,0.0420031,0.0228593,0,0,0,0,0,0,0,0,0,0.0531167,0.022428,0,0,0
