Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
771,0,0,0,0,0,0,0.0756129,0.0478724,0,0,0,0.0370188,0,0.0246385,0.0730754,0,0,0.0144529,0,0,0.0347203,0.0689481,0.0316573,0.0395945,0.0158486,0.0749954,0.0610322,0.0631923,0.0812647,0.08414,0.065028,0.0440699,0.0450094,0.0420402,0.04416,0.0420972,0.0224905,0.00929889,0.0230583,0.0427252,0,0.0241107,0.0741303,0.0286549,0,0,0.0135209,0,0,0.0376645,0.0564855,0.0234129,0.0511935,0.0197163,0.081793,0.0633004,0.0592663,0.0893578,0.0705418,0.0413474,0.0663985,0.0383019,0.0466989,0.079151,0.0284657,0.0226045,0.0110699,0.0216623,0.0289887,0.037621,0,0,0,0
772,0,0,0,0,0,0,0.0756315,0.0478198,0,0,0,0.0370738,0,0.0246335,0.0730376,0,0,0.0145094,0,0,0.0347312,0.0689914,0.0316743,0.0396129,0.0157868,0.0750032,0.0610228,0.0631893,0.0812598,0.0841431,0.0650446,0.0440731,0.0450054,0.0421056,0.0441437,0.0420388,0.0224134,0.00929755,0.0231014,0.0427198,0,0.024094,0.0741002,0.0286841,0,0,0.0134506,0,0,0.0376076,0.0565106,0.0233567,0.0511558,0.0197194,0.0818144,0.0632696,0.0592612,0.0893929,0.0705504,0.0413897,0.0664453,0.0383158,0.0467017,0.0791441,0.0284847,0.0225714,0.0110574,0.021677,0.0289643,0.0376594,0,0,0,0
773,0,0,0,0,0,0,0.0756252,0.0478074,0,0,0,0.0371229,0,0.0245639,0.0730051,0,0,0.0145216,0,0,0.0347632,0.0690594,0.0316272,0.039614,0.0157657,0.0750234,0.061001,0.0631714,0.0812386,0.0841343,0.0650461,0.044094,0.0450391,0.0419579,0.0441599,0.0420151,0.0223485,0.00923559,0.0230921,0.0427519,0,0.0240791,0.0740933,0.028692,0,0,0.0133469,0,0,0.0375432,0.0565177,0.0233636,0.0511239,0.01972,0.0818074,0.0632332,0.0592617,0.0894244,0.0705436,0.0414124,0.0665161,0.0383317,0.0467217,0.079005,0.0284631,0.0225727,0.0109964,0.021663,0.028897,0.0376811,0,0,0,0
774,0,0,0,0,0,0,0.0756479,0.0478081,0,0,0,0.0371791,0,0.0245061,0.0730191,0,0,0.0145205,0,0,0.0346692,0.0691002,0.0315534,0.0396278,0.0157692,0.0750573,0.0609756,0.0631757,0.081129,0.084133,0.0650348,0.0441258,0.0450794,0.0418772,0.0442309,0.0419397,0.022288,0.0092088,0.0230756,0.0427221,0,0.0240826,0.0740688,0.0287182,0,0,0.0132961,0,0,0.0375234,0.0564777,0.0233677,0.051094,0.0197009,0.0818002,0.0631788,0.0592465,0.0894089,0.0705281,0.0414726,0.0665041,0.038347,0.0467504,0.0790229,0.0284651,0.0226202,0.0109448,0.0216591,0.0287437,0.0377077,0,0,0,0
775,0,0,0,0,0,0,0.075697,0.0478055,0,0,0,0.0372365,0,0.0244447,0.0730578,0,0,0.0145141,0,0,0.0345716,0.0691099,0.0314393,0.0396437,0.015783,0.0750694,0.0609418,0.0632008,0.0809652,0.0841187,0.065051,0.0441686,0.0451306,0.0416498,0.0442925,0.0418589,0.0222321,0.0092222,0.0230399,0.0427065,0,0.024087,0.0740158,0.028763,0,0,0.0133093,0,0,0.0375588,0.0563549,0.0233626,0.0510656,0.0196688,0.0818157,0.0631125,0.0592369,0.0894082,0.0705088,0.0415481,0.0664811,0.038344,0.0467578,0.0791115,0.0285155,0.0226444,0.0109185,0.0216003,0.0286881,0.0377671,0,0,0,0
776,0,0,0,0,0,0,0.0757428,0.0477794,0,0,0,0.0372422,0,0.0243922,0.0730475,0,0,0.0145079,0,0,0.0345179,0.0691243,0.0313614,0.0396564,0.0158255,0.0750845,0.0608971,0.0631573,0.0809415,0.0840871,0.0650888,0.0441875,0.0451942,0.0415839,0.0443248,0.0418552,0.0222045,0.00924321,0.0229927,0.0427308,0,0.0240826,0.0739925,0.0287961,0,0,0.0133117,0,0,0.037569,0.0562956,0.0233442,0.0510474,0.0196535,0.0818535,0.0630108,0.0592257,0.0894432,0.0705207,0.0416293,0.0664632,0.038346,0.0467412,0.0790351,0.0285555,0.0226209,0.010884,0.0215532,0.0287308,0.0378454,0,0,0,0
777,0,0,0,0,0,0,0.0757839,0.0477446,0,0,0,0.037228,0,0.0243569,0.0730146,0,0,0.014517,0,0,0.034503,0.0691614,0.0313392,0.0396386,0.0158645,0.0751106,0.0608528,0.063147,0.0810065,0.0840813,0.0651325,0.0442075,0.0452201,0.0416246,0.0443357,0.0418622,0.0221682,0.00922377,0.022983,0.0427716,0,0.0240582,0.0739734,0.0288175,0,0,0.0133026,0,0,0.0375288,0.0563104,0.0233445,0.0510291,0.0196409,0.0818956,0.0629003,0.0592147,0.089488,0.0705423,0.0417133,0.0664523,0.0383715,0.0467378,0.0790401,0.028556,0.0225781,0.0108538,0.0215154,0.0286967,0.0379297,0,0,0,0
778,0,0,0,0,0,0,0.0758235,0.0476902,0,0,0,0.0371902,0,0.0243679,0.0729967,0,0,0.0145431,0,0,0.0343746,0.0691914,0.0313115,0.0395946,0.0158653,0.075137,0.0608103,0.063136,0.0810061,0.084079,0.0651735,0.0442412,0.0452539,0.0417136,0.0443786,0.0418137,0.0221244,0.00924634,0.0229743,0.0428046,0,0.0240206,0.0739274,0.0288553,0,0,0.0133099,0,0,0.037466,0.0563732,0.0233121,0.0510095,0.0196122,0.0819554,0.0627765,0.0592006,0.0895015,0.070553,0.0417904,0.0664665,0.0383841,0.0467622,0.0791829,0.0285514,0.0225516,0.0108498,0.021496,0.0285501,0.0380003,0,0,0,0
779,0,0,0,0,0,0,0.0758599,0.0476675,0,0,0,0.0372151,0,0.0243197,0.0729695,0,0,0.0145249,0,0,0.0342614,0.069239,0.031298,0.0395828,0.0158945,0.0751508,0.0607616,0.0631554,0.0809908,0.0840772,0.0652291,0.0442539,0.045297,0.0417275,0.0443746,0.0417998,0.0221199,0.00923705,0.0228695,0.0429017,0,0.0239732,0.073901,0.0288904,0,0,0.0133044,0,0,0.037387,0.0564184,0.0232913,0.0509794,0.0195951,0.0820068,0.0625719,0.0592104,0.0895387,0.0705578,0.0418431,0.0664706,0.0383831,0.0467602,0.0791994,0.0284942,0.0224715,0.0108107,0.0214428,0.0284743,0.0380644,0,0,0,0
780,0,0,0,0,0,0,0.0759447,0.0476186,0,0,0,0.0372066,0,0.0243205,0.072936,0,0,0.0145298,0,0,0.0342504,0.0692768,0.0312776,0.0395601,0.0159323,0.0751691,0.0606963,0.0631199,0.0809424,0.0840707,0.0652689,0.0443051,0.0453696,0.0417737,0.0444362,0.0417628,0.0221106,0.00931054,0.0228387,0.0429371,0,0.02391,0.0738626,0.0289539,0,0,0.0133162,0,0,0.0373209,0.0565099,0.0231891,0.0509551,0.0195724,0.0820706,0.0622869,0.0592121,0.0895614,0.0705995,0.0419209,0.066496,0.038383,0.046782,0.0791527,0.0284442,0.0224124,0.0107877,0.0214169,0.0284383,0.0381649,0,0,0,0
