Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LASI,,RASI
43,0,0,0,0,0,0,0.0664914,0.0509278,0,0,0,0.0355772,0,0.0283394,0,0,0.0254294,0,0,0.0261951,0.0631545,0.0252653,0.0628157,0.0158807,0.101296,0.0616087,0.0589263,0.0803922,0.0838275,0.0745797,0.0415025,0.0385699,0.0372963,0.0423642,0.0312227,0.01894,0.00668886,0.0185503,0.0418971,0,0.02658,0.0291529,0,0,0.021554,0,0,0.0333161,0.0624673,0.0356879,0.0625327,0.0267315,0.102667,0.0720166,0.0529421,0.0882079,0.0711094,0.0514982,0.0661654,0.0401813,0.0466817,0.0792083,0.0330384,0.0224009,0.0103509,0.0184904,0.0361508,0.0267388,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0.0665595,0.0507792,0,0,0,0.0367308,0,0.0278576,0,0,0.0255721,0,0,0.0262256,0.0633385,0.0243706,0.0634533,0.0153822,0.10209,0.0618791,0.0583777,0.0802524,0.0832546,0.0741833,0.0418118,0.0388315,0.0375449,0.0431344,0.0302871,0.0191289,0.00666513,0.0186437,0.0417028,0,0.0269315,0.0290146,0,0,0.0214859,0,0,0.0331177,0.0627739,0.0364359,0.0624736,0.0269558,0.103145,0.0720071,0.052825,0.0876066,0.070965,0.0513283,0.0654486,0.0395457,0.0459752,0.0784291,0.0333431,0.0221321,0.0102838,0.0183436,0.0368272,0.0270274,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0.0666819,0.0506316,0,0,0,0.0378893,0,0.027307,0,0,0.0257918,0,0,0.0262432,0.0636258,0.0234828,0.0641227,0.0150062,0.103039,0.0622189,0.0578079,0.0801878,0.0826275,0.0738292,0.0421202,0.03909,0.0378499,0.0436875,0.0294581,0.0194172,0.00662417,0.0186801,0.0414938,0,0.0272105,0.0288842,0,0,0.021438,0,0,0.0329895,0.0629769,0.0371207,0.0624704,0.0271197,0.103618,0.0720734,0.0526488,0.0870512,0.0708989,0.0511445,0.0647196,0.0388752,0.0452285,0.0776373,0.0335246,0.0218767,0.0102078,0.0181965,0.0374295,0.0274357,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0.0668961,0.0505012,0,0,0,0.0393105,0,0.0266612,0,0,0.0261083,0,0,0.0263442,0.0639611,0.0225965,0.064794,0.0147799,0.1041,0.0626377,0.057216,0.0802518,0.0819311,0.0734631,0.04235,0.0392463,0.038208,0.044172,0.0286604,0.0197133,0.00660986,0.0186479,0.0413681,0,0.0274816,0.0287829,0,0,0.0214748,0,0,0.0329166,0.0631076,0.0378123,0.0625017,0.0272569,0.104187,0.0721481,0.0525371,0.0865465,0.0709041,0.050926,0.0639971,0.0382215,0.0444794,0.0768611,0.033656,0.021709,0.0101036,0.0180615,0.0379651,0.0279301,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0.0671447,0.0504708,0,0,0,0.0412887,0,0.0258778,0,0,0.0264598,0,0,0.0264613,0.064359,0.0216547,0.0654524,0.0148028,0.105252,0.0630718,0.0566336,0.0804409,0.0811586,0.0729304,0.0424704,0.0392656,0.0385026,0.0448571,0.0278359,0.0200113,0.00662207,0.0185864,0.0414697,0,0.0277476,0.0287342,0,0,0.0215689,0,0,0.0328619,0.0632617,0.0385508,0.0626021,0.0274906,0.104906,0.0722052,0.0523515,0.0859873,0.070811,0.0506644,0.0633237,0.0376444,0.043781,0.0761123,0.0337909,0.0215928,0.0100196,0.0179549,0.0384653,0.0284653,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0.0673231,0.05054,0,0,0,0.0424126,0,0.0254375,0,0,0.0267931,0,0,0.0265791,0.064689,0.0212194,0.0662459,0.0153068,0.10652,0.0634604,0.0562243,0.0801085,0.0804121,0.0724344,0.0425675,0.0393426,0.0387144,0.0453874,0.0275729,0.0202335,0.00663394,0.0185748,0.0415358,0,0.0280786,0.0286629,0,0,0.0216724,0,0,0.0328103,0.0634609,0.0393267,0.062699,0.0276596,0.105749,0.0721824,0.0520151,0.0853479,0.0705428,0.0504873,0.0626598,0.0370516,0.0431346,0.0754113,0.0337776,0.021418,0.00996216,0.0178506,0.0389803,0.0288953,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0.0673967,0.0507611,0,0,0,0.0431755,0,0.0251394,0,0,0.0270491,0,0,0.0266765,0.0650105,0.0209924,0.0670444,0.0159812,0.107796,0.06372,0.0557906,0.0796932,0.0795863,0.0718463,0.0426405,0.0394697,0.0389445,0.0458921,0.0273613,0.0203635,0.00667201,0.0185033,0.0415305,0,0.0283955,0.0285392,0,0,0.0217174,0,0,0.0327199,0.0636763,0.0400086,0.0628809,0.0278663,0.106641,0.0721329,0.0515603,0.0845608,0.070242,0.0503575,0.0620696,0.0364751,0.0425611,0.0747967,0.0335371,0.021156,0.0099914,0.0177395,0.0395219,0.0292048,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0.0675103,0.0510571,0,0,0,0.0440958,0,0.0247633,0,0,0.0272378,0,0,0.0268278,0.0653007,0.0210183,0.0677543,0.0167133,0.108923,0.0639368,0.0552986,0.0793277,0.0787352,0.0711495,0.0427487,0.0395323,0.0391128,0.046298,0.0268626,0.0203726,0.00676066,0.0183764,0.0415209,0,0.0287053,0.0283961,0,0,0.0217142,0,0,0.0326817,0.0638033,0.0406436,0.0630112,0.0281189,0.107417,0.0720648,0.0510811,0.0837366,0.0699454,0.0501974,0.0614324,0.0358827,0.0419077,0.0741316,0.0332341,0.0208352,0.0099998,0.0176553,0.0399904,0.029446,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0.0676328,0.0514284,0,0,0,0.0449388,0,0.0244002,0,0,0.0273047,0,0,0.0270008,0.0655802,0.0212844,0.0684147,0.0175243,0.109897,0.0641395,0.0548743,0.0789302,0.0778482,0.0704353,0.0431089,0.0395568,0.0392935,0.0466976,0.0265467,0.0203192,0.00685232,0.0182647,0.0415732,0,0.0291163,0.0282602,0,0,0.0216448,0,0,0.03268,0.063902,0.0413064,0.0630656,0.0283672,0.108058,0.0719656,0.0505721,0.0829275,0.0696156,0.0500256,0.0606737,0.0352473,0.0411345,0.073351,0.0329172,0.0204886,0.00992589,0.017582,0.0403896,0.029678,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0.0677523,0.0518426,0,0,0,0.0455677,0,0.0240106,0,0,0.0273029,0,0,0.0271787,0.065849,0.0210738,0.0689809,0.0185157,0.110756,0.0643404,0.0545288,0.0784198,0.076932,0.0697669,0.0430556,0.0395409,0.0394245,0.047022,0.026565,0.0202648,0.00689231,0.0182547,0.0416862,0,0.0296287,0.0281618,0,0,0.0215277,0,0,0.0327024,0.0639817,0.0420521,0.0630473,0.0285516,0.108574,0.071882,0.0501148,0.0821485,0.069258,0.0499041,0.0597093,0.0345193,0.0402516,0.0724565,0.0325355,0.0201463,0.00976471,0.0175422,0.0406852,0.0299301,0,0,0,0,0,0,0
