Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,,LFHD,LWRA
1574,0.00911811,0.000873613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271704,0,0.00667344,0,0,0,0.0150766,0.025561,0.0129757,0.0623434,0.0133945,0.00672083,0.0129944,0.0111409,0.0061501,0.0110134,0.0099395,0.0220908,0,0.0109768,0.00930823,0.00607312,0.0323919,0.00292659,0.0110326,0.0177374,0.00694841,0.017566,0.014171,0.00647188,0.00703817,0,0,0.0334003,0,0.0175592,0.0161179,0.0535724,0.0179428,0.0131896,0.00791564,0.0113575,0.0125423,0.00502702,0.0213193,0.00918972,0.0124043,0.0143452,0.0566706,0.0146569,0.0160837,0.00581905,0.0239808,0.0305111,0.00654087,0.00427275,0.00969481,0,0,0,0,0,0.0156859
1575,0.00904673,0.000892433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296077,0,0.00684025,0,0,0,0.0150896,0.0260162,0.0129927,0.0623315,0.0135462,0.0067395,0.0128702,0.0113652,0.00606462,0.010995,0.00982911,0.0222919,0,0.0109427,0.00933016,0.00612518,0.0324803,0.00273424,0.0110115,0.0176542,0.00685462,0.0175502,0.0140765,0.00651582,0.00697707,0,0,0.0334346,0,0.0175392,0.0161,0.0536017,0.0177794,0.0132308,0.00772785,0.0115349,0.0124475,0.00501434,0.0212576,0.00917304,0.0124335,0.0142827,0.0567127,0.0146328,0.0159843,0.00573227,0.0239833,0.0304827,0.00655506,0.00425673,0.00964099,0,0,0,0,0,0.016048
1576,0.00875731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00281262,0,0.00680236,0,0,0,0.0151437,0.0260074,0.0132871,0.0623479,0.0135072,0.00665366,0.0127664,0.0105442,0.00620933,0.011039,0.0108345,0.0224673,0,0.0108996,0.00953798,0.00623734,0.0324906,0.00285236,0.0112293,0.0181423,0.00698574,0.0175409,0.0141744,0.00622988,0.00702953,0,0,0.0332759,0,0.017459,0.0160222,0.0535497,0.0178921,0.0133513,0.00766489,0.0106825,0.0121032,0.00503996,0.0212943,0.00907872,0.0123779,0.0143465,0.0567719,0.0146839,0.0160582,0.00583808,0.0237154,0.0304895,0.00653687,0.00455805,0.00944899,0,0,0,0,0,0.0160696
1577,0.0101646,0.00121795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275376,0,0.00680012,0,0,0,0.0291345,0.0152934,0.0217885,0.0621047,0.0133338,0.00668577,0.0125597,0.0103648,0.00384008,0.0109403,0.0105974,0,0,0.0108852,0.00914421,0.00619579,0.0321834,0.00305555,0.0175889,0.0302955,0.00715398,0.0173821,0.0142628,0.0062248,0.00781506,0,0,0.0335852,0,0.0175312,0.0160681,0.053396,0.0182619,0.0133795,0.00817844,0.0104306,0.0123024,0.0049138,0.0213045,0.00927675,0.0124554,0.0143476,0.0565044,0.0145865,0.0161602,0.00609527,0.0239541,0.0303188,0.00666229,0.00392896,0.0103992,0,0,0,0,0,0
1578,0.00987288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303607,0,0.0070639,0,0,0,0.0290022,0.0151448,0.0217092,0.0621603,0.0136,0.00662589,0.0126563,0.00990003,0.00425744,0.0110179,0.00960359,0,0,0.0108329,0.00899215,0.00623698,0.0323749,0.00280924,0.0177055,0.0300096,0.00717358,0.0174129,0.0142288,0.006082,0.00779989,0,0,0.0334559,0,0.0175102,0.0159466,0.0535219,0.0181786,0.0134778,0.00803782,0.0100088,0.0120184,0.0049374,0.0213038,0.00921871,0.012439,0.0143101,0.0565781,0.0146119,0.0161022,0.00612485,0.0237066,0.0303889,0.00667414,0.00418452,0.0102267,0,0,0,0,0,0
1579,0.00897045,0.000646426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315127,0,0.00689717,0,0,0,0.0144339,0.0257393,0.0125754,0.0622814,0.0136004,0.00670507,0.0130194,0.0114136,0.0068469,0.0111464,0.0106757,0.0221865,0,0.0109351,0.0096,0.00615565,0.0325631,0.00258402,0.011144,0.0173821,0.00693561,0.0175227,0.0141401,0.00662273,0.00676693,0,0,0.0332303,0,0.0175094,0.0157824,0.0535913,0.0177958,0.0132713,0.00766969,0.0115761,0.0123713,0.00505646,0.0211947,0.00906764,0.0124081,0.0142878,0.0567641,0.0146766,0.0159949,0.00563844,0.0236979,0.0303422,0.00658468,0.00416401,0.00944252,0,0,0,0,0,0.0160925
1580,0.00914922,0.00274195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326585,0,0.00687311,0,0,0,0.0140052,0.0257434,0.0119279,0.0622653,0.0135883,0.00665388,0.0130681,0.0115277,0.00704727,0.0111899,0.0113437,0.0218977,0,0.0109388,0.00955573,0.00597178,0.0326037,0.00259654,0.010928,0.0166887,0.00686526,0.0175622,0.0141501,0.00665879,0.00678131,0,0,0.033281,0,0.0175758,0.0157526,0.0534461,0.0178048,0.0132911,0.00769232,0.0117326,0.0125674,0.00504016,0.0211749,0.00904003,0.0124537,0.0143199,0.0567764,0.0146905,0.0160268,0.00555151,0.023762,0.030415,0.00658104,0.00399832,0.00952377,0,0,0,0,0,0.0160916
1581,0.009105,0.00268406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353857,0,0.00704204,0,0,0,0.0137687,0.0258156,0.0115222,0.0622734,0.0137453,0.00660502,0.0129989,0.0114852,0.00721197,0.011202,0.0107935,0.022085,0,0.0109056,0.00955334,0.00571392,0.0326947,0.00238669,0.0108679,0.0163141,0.00689516,0.017527,0.0141852,0.00666123,0.00677129,0,0,0.0333051,0,0.0175953,0.0157377,0.0534415,0.0178692,0.0133247,0.00771426,0.0116929,0.0126556,0.0050406,0.021168,0.00904285,0.0124698,0.0143573,0.0567949,0.0147112,0.0160592,0.00552574,0.023785,0.0305533,0.00661911,0.00402225,0.00948295,0,0,0,0,0,0.0161138
1582,0.008905,0.000649282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393458,0,0.00729592,0,0,0,0,0.0253795,0.0110047,0.062219,0.013963,0.00649681,0.0126756,0.0113586,0.00812944,0.0111157,0.00962454,0.0223548,0,0.0108919,0.00968806,0.00594916,0.0327592,0.0019861,0.0116258,0.0159807,0.00698705,0.0175033,0.0141914,0.00656475,0.0068184,0,0,0.0331963,0,0.0175798,0.0157427,0.0534658,0.0179652,0.0134429,0.00789059,0.0115971,0.0121999,0.00499373,0.0211048,0.00916484,0.012509,0.0143143,0.0566632,0.0146286,0.0160536,0.0056221,0.0235919,0.0305571,0.0066005,0.00431582,0.00951235,0,0,0,0,0,0.0163716
1583,0.00868648,0.000452799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439256,0,0.0076245,0,0,0,0.0137759,0.025285,0.0114917,0.0622773,0.0142801,0.00656585,0.0123838,0.0114332,0.00736782,0.0112171,0.00973063,0.0223541,0,0.0108682,0.00977582,0.00583375,0.0329248,0.00166093,0.010952,0.0162682,0.00697673,0.0174414,0.0142407,0.00666628,0.00667039,0,0,0.0332255,0,0.0176012,0.0157865,0.0534422,0.0179842,0.0133641,0.00771307,0.0116105,0.0125584,0.00505627,0.0211161,0.00911782,0.0124616,0.0143538,0.0567843,0.0146995,0.0160991,0.0057361,0.023815,0.0305305,0.00665417,0.00433303,0.0092362,0,0,0,0,0,0.015762
1584,0.00883792,0.000395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469522,0,0.00764375,0.00915036,0,0,0.0140862,0.0252191,0.0118032,0.0622432,0.0142353,0.00646658,0.0126309,0.0106619,0.00710767,0.0112391,0.00892047,0.0223233,0,0.0110419,0.00993995,0,0.0329039,0.00158319,0.0110195,0.0165021,0.00700647,0.0174244,0.014344,0.00649314,0.0069543,0,0,0.0333963,0,0.0176236,0.0158179,0.0534294,0.0180794,0.0132981,0.00770305,0.0108528,0.0124892,0.00502087,0.0211228,0.00912436,0.0124558,0.0143849,0.0568042,0.0147464,0.0161667,0.00609275,0.0238551,0.0304114,0.00666048,0.00441823,0.00932544,0,0,0,0,0,0.0157884
