Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x74,x75,x76,x81,LBHD,LEAR,RTHI,RWRB,,x77
969,0.00295518,0.00334585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284463,0.0100012,0.00466713,0.00642057,0.125808,0,0.0362122,0.0644751,0.0628595,0,0.0116777,0.00879865,0.0131691,0.0591205,0.00447324,0.0160476,0.0188195,0.0291772,0.00957187,0.0106912,0.00440224,0.0265916,0.0317859,0,0.0111881,0.0303592,0.0218802,0,0.0204273,0.00356577,0.00477812,0,0,0.105026,0,0.00918485,0.0512981,0.0553366,0.0452217,0.0153491,0.00539273,0.00744251,0.0369086,0.0189091,0.0101239,0.00641238,0.0229968,0.0626002,0.0196231,0.0268934,0.0368901,0.0635605,0.0193566,0.00655538,0.00927008,0,0,0,0,0,0,0.0125007,0.0216064,0,0
970,0.00270128,0.00317773,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262995,0.0098959,0.00422211,0.00567363,0.126143,0,0.0363968,0.0645766,0.0628783,0,0.0123105,0.0104804,0.0133673,0.0594962,0.00404073,0.0175366,0.0188859,0.0281775,0.0100995,0.010903,0.00471731,0.0260939,0.0299912,0,0.0112712,0.0303515,0.0204854,0,0.0208422,0.00317085,0.00450278,0,0,0.105242,0,0.0092268,0.0514348,0.0550547,0.0443693,0.0158357,0.00364241,0.00757495,0.0372631,0.0182822,0.0102243,0.00692751,0.0228304,0.0624421,0.0201489,0.0265591,0.0363003,0.0637868,0.0193186,0.0065431,0.00907305,0,0,0,0,0,0,0.0111647,0.0215721,0,0
971,0.00264226,0.0031904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235375,0.00949925,0.00497467,0.00482575,0.126452,0,0.0369342,0.0645856,0.0627557,0,0.0128498,0.0117114,0.0134349,0.0599649,0.00420139,0.0183941,0.0188351,0.0268595,0.0103913,0.0104995,0.00485605,0.0256844,0.0275109,0,0.0115679,0.0303437,0.0213598,0,0.0209482,0.00306791,0.00425291,0,0,0.105426,0,0.00924979,0.0515362,0.0544868,0.0427218,0.0163631,0.00360532,0.00797846,0.0376644,0.0175963,0.0104372,0.00745079,0.0221182,0.0622841,0.020283,0.0251179,0.0367448,0.0639908,0.0191908,0.00668711,0.00896915,0,0,0,0,0,0,0.0100883,0.0215395,0,0
972,0.00264015,0.0033527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204525,0.00938256,0.00631127,0.00379541,0.126813,0,0.0370283,0.0648664,0.0624181,0,0.0133636,0.0126678,0.0134551,0.0605285,0.00495594,0.0192996,0.0190674,0.0254048,0.0107098,0.00959802,0.00505269,0.0253721,0.0248361,0,0.0115677,0.0303376,0.0234811,0,0.0205199,0.00334839,0.00419087,0,0,0.10557,0,0.00927614,0.0516747,0.0538858,0.0406083,0.016769,0.00418109,0.00858745,0.0380049,0.0171866,0.010451,0.00811911,0.0208415,0.062124,0.0200201,0.0229508,0.0375651,0.0641422,0.0191999,0.00678275,0.00895964,0,0,0,0,0,0,0.00947358,0.021624,0,0
973,0.00273472,0.00375315,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183015,0.00978625,0.00826326,0.00303012,0.126549,0,0.0363914,0.0650374,0.0618249,0,0.0137869,0.0127822,0.0135878,0.060785,0.00592067,0.0203565,0.01951,0.0240675,0.0107254,0.00799629,0.00528597,0.0253874,0.021861,0,0.0110279,0.030553,0.0248912,0,0.0197233,0.00356052,0.00417165,0,0,0.105143,0,0.00892959,0.0513416,0.0534746,0.038317,0.0170418,0.00428666,0.00908364,0.0384036,0.0173312,0.00984976,0.00846982,0.0193401,0.0618945,0.0194313,0.0206792,0.0375046,0.0640683,0.00898521,0.00708311,0.00897861,0,0,0,0,0,0,0.0093681,0.0182488,0,0
974,0.00325137,0.00422853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149082,0.0127921,0.0112769,0.00175048,0.133877,0,0.0278605,0.0731402,0.0614585,0,0.0141513,0.0134404,0.0133991,0.0614736,0.00745028,0.0222219,0.0204307,0.0225442,0.0112622,0.00691747,0.00572358,0.0253813,0.0192555,0,0,0.0301042,0.0249811,0,0.0184048,0.00399132,0.00490532,0,0,0.105882,0,0.00933138,0.0517969,0.0536167,0.0357291,0.0171407,0.00565932,0.00949716,0.038476,0.0175545,0.00879685,0.00851735,0.0176768,0.0616455,0.0181067,0.0178824,0.0378972,0.0643044,0.0192669,0.00756134,0.0096565,0,0,0,0,0,0,0.00934635,0.0217223,0,0
975,0.00248481,0.00414848,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014641,0.00894914,0.0142991,0.000816363,0.128569,0,0.0371568,0.0656882,0.0611699,0,0.0143705,0.0141976,0.0132106,0.0626957,0.00860057,0.0227343,0.0215015,0.021147,0.0118373,0.00559359,0.00649844,0.0255761,0.0181983,0,0.0114429,0.0301554,0.0249211,0,0.0171148,0.00398263,0.00411573,0,0,0.105911,0,0.00911348,0.0516116,0.0540904,0.0332476,0.01721,0.00763704,0.00939808,0.039075,0.0184363,0.00791495,0.0082207,0.0167813,0.0611319,0.0169383,0.0161907,0.0378258,0.0645049,0.0161361,0.00729473,0.00902552,0,0,0,0,0,0,0.00955384,0.0197185,0,0
976,0.00252844,0.00443415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187106,0.00902196,0.0175586,0.000625736,0.129123,0,0.0370715,0.0658984,0.0610997,0,0.0146467,0.0151616,0.0132575,0.0633498,0.00926727,0.0223888,0.0223428,0.0200938,0.0128914,0.00501154,0.00749897,0.0257636,0.0208299,0,0.0112368,0.0301945,0.0245736,0,0.0160008,0.00370251,0.00425155,0,0,0.106062,0,0.00903049,0.0515399,0.0547843,0.0309768,0.0174252,0.00925048,0.00891943,0.039468,0.0197095,0.00741638,0.00783069,0.0163841,0.060563,0.0161141,0.0148901,0.0371429,0.0646141,0.0160296,0.00765548,0.00909537,0,0,0,0,0,0,0.0100876,0.0194725,0,0
977,0.00252459,0.0047261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247007,0.00939391,0.0211293,0.00129112,0.129826,0,0.0366041,0.0663655,0.0611457,0,0.0147766,0.0163314,0.0133973,0.0639227,0.00977563,0.0220731,0.023201,0.0195162,0.0143699,0.00539198,0.00869653,0.0258575,0.0272596,0,0.0107874,0.0302757,0.0238582,0,0.0150817,0.00374331,0.00445647,0,0,0.106251,0,0.00893125,0.0515049,0.0554747,0.0289088,0.0175,0.0106247,0.00867456,0.0398497,0.0208508,0.00715839,0.00767435,0.0161787,0.0602203,0.0155021,0.0132107,0.0362527,0.0647397,0.0159574,0.00811188,0.00902491,0,0,0,0,0,0,0.0108129,0.0192295,0,0
978,0.00250464,0.005021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316829,0.00979828,0.0248133,0.00218241,0.130826,0,0.0360787,0.0670337,0.0611878,0,0.0148923,0.0179052,0.0135763,0.0644527,0.0107446,0.0222103,0.0242849,0.0193778,0.0161363,0.00627175,0.0100526,0.0258364,0.0349088,0,0.0103323,0.0303503,0.0225963,0,0.0143194,0.00375323,0.00480403,0,0,0.106528,0,0.00881492,0.0515843,0.0558593,0.0270971,0.0172408,0.01161,0.00860716,0.0400915,0.0215376,0.00694804,0.00785174,0.0161707,0.0598321,0.0149606,0.0123567,0.0348606,0.0648276,0.0160258,0.00856033,0.00883713,0,0,0,0,0,0,0.0113893,0.0190101,0,0
