Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LEAR,,LBHD,LTHII,LTHI,x80,x90
534,0.154319,0.120033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334332,0,0.0447287,0,0,0,0,0.0531827,0,0.0533926,0.114284,0.170728,0,0.0190008,0,0.0910886,0,0.0127869,0.0818275,0.0631636,0,0,0.0236806,0.0225474,0.0208269,0,0.105092,0,0,0,0,0.0129885,0.0644121,0.0385382,0,0,0.0535374,0.0848628,0.0343077,0.0265427,0,0.0391927,0.0415886,0.0347334,0.0273245,0.0235406,0.0382505,0.0380303,0.0717311,0.00682972,0.0348161,0.144353,0.0921631,0,0,0,0,0,0,0.0317958,0.0592081,0,0
535,0.156075,0.116901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345938,0,0,0,0,0.0427565,0.0534273,0.0502408,0.0563677,0.190564,0,0.0278974,0.0414766,0,0,0.00957038,0.0993368,0.0723962,0,0.071598,0.0414345,0.0272487,0.0174481,0,0.113411,0,0,0,0,0.0141035,0.0615769,0.0314833,0,0,0.0566594,0.0372803,0.03002,0.0293169,0,0.0432645,0.0398185,0.0403231,0.0300783,0.0213405,0.044702,0.0562255,0.0646676,0.00984191,0.0355238,0.131573,0.109024,0,0,0,0,0,0,0,0.087712,0,0
536,0.157391,0.118334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599083,0.0314932,0,0,0.0461143,0,0.0403682,0.0573656,0.0554707,0.0590508,0.19456,0.0409738,0.0292475,0.0462232,0,0.0362824,0.0126037,0,0.0758509,0,0.0722662,0.0489364,0.0273689,0.0193835,0,0.113665,0,0,0,0,0.014841,0.0611052,0.0301652,0,0,0.0594648,0.0394977,0.029504,0.0311971,0,0.0458578,0.041324,0.0413702,0.0292746,0.0208204,0.0454864,0.0646087,0.0644585,0.00979458,0.0353532,0,0.109582,0,0,0,0,0,0,0,0,0,0
537,0.153616,0.119526,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304723,0,0,0.105012,0.0378214,0,0,0.0763927,0,0.0520574,0,0.0522724,0.11186,0.175199,0.0316351,0.0535814,0.0372737,0.0354311,0.0240909,0.025024,0,0.0673307,0,0,0.045378,0.0256772,0.0236189,0,0.104968,0,0,0,0,0.0135109,0.0622,0.0425256,0,0.0289963,0.06064,0.080025,0.03012,0.0332817,0,0.0475741,0.0417283,0,0.0330635,0.0228053,0.0489734,0.0605484,0.0660491,0.00819791,0.0348154,0.142466,0.0941275,0,0,0,0,0,0,0,0,0,0
538,0.153446,0.119968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304067,0,0,0.112268,0.0261531,0,0,0.0496697,0,0.0616231,0,0,0.114549,0.192163,0.026072,0.054012,0,0,0.0538325,0,0,0.0694379,0,0.0745616,0.0456028,0.0286234,0.0284786,0,0.105577,0,0,0,0,0.0146723,0.0609407,0,0,0.0307137,0.0575303,0.0776378,0.0271507,0.0420572,0,0.0513685,0.0455987,0.0428509,0.037454,0.0224101,0.048926,0.0556779,0.0609163,0.0101757,0.0360309,0.141861,0.0965867,0,0,0,0,0,0,0,0,0,0
539,0.1545,0.114835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226148,0,0,0.0520653,0.0434404,0,0,0.0704953,0,0.0462153,0.0600535,0.0454538,0.0570205,0.173483,0.030681,0.0707352,0.0359473,0.0280208,0.0260936,0.0273328,0,0.0725187,0,0,0.0490862,0.0293662,0.0331864,0,0.112612,0,0,0,0,0.015991,0.0598653,0.0374284,0,0.0293034,0.0214486,0.035497,0.0291276,0.013455,0.0255811,0.020534,0.0136694,0.0402898,0.041313,0.0233078,0.0538359,0.0855377,0.0608256,0.010496,0.0365299,0.126471,0.112714,0,0,0,0,0,0,0,0.0103059,0,0
540,0.154569,0.115197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189091,0,0,0.0529001,0.0523384,0,0,0,0,0.0472953,0.060119,0.0437082,0.0577912,0.167105,0.0290324,0.0694976,0,0.0271476,0.0271297,0.0266396,0,0.0719615,0,0,0.0503821,0.0292085,0.0293159,0,0.112307,0,0,0,0,0.0160905,0.0591247,0.0372561,0,0.0294534,0.0234504,0.0363479,0.0288589,0.0135408,0.0257533,0.0225388,0.0142753,0,0.0404492,0.0228486,0.0541735,0.0834215,0.0606655,0.00993764,0.0362787,0.126829,0.11249,0,0,0,0,0,0,0,0.00843411,0,0
541,0.155255,0.117224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609879,0,0,0.0646226,0.0517041,0,0,0,0,0.0617755,0.0589757,0.0519602,0.0590631,0.168027,0.057805,0,0.0397828,0.0469258,0.0319561,0.0241962,0,0.0728803,0,0,0.0501739,0.0265906,0.0218517,0,0.109978,0,0,0,0,0.0153471,0.0592416,0.0371,0,0.0261924,0.0544041,0.0435996,0.0297376,0.0277617,0,0.044028,0.0338583,0,0.0328234,0.0223857,0.0504885,0.067425,0.0636574,0.00753346,0.0353749,0,0.107526,0,0,0,0,0,0,0,0.034737,0,0
542,0.155107,0.117542,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0804805,0,0,0,0.0510955,0,0,0,0,0.0887745,0.0617518,0.0587149,0.0624258,0.167489,0,0,0,0.0577946,0.0490142,0.0416953,0,0.0725757,0,0,0.0476912,0.0264233,0.0208538,0,0.109167,0,0,0,0,0.0153897,0.0588055,0.0350644,0,0.0269434,0.0367937,0.0468579,0.029577,0.0131965,0.024317,0.0276371,0.0234349,0,0.0344637,0.019333,0.0441336,0.0697241,0.063156,0.00697534,0.0349611,0,0.105581,0,0,0,0,0,0,0,0,0,0
543,0.152492,0.11993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204363,0,0,0,0.0412555,0,0,0.0774825,0,0.0620398,0,0.0598514,0.111716,0.168004,0.0820626,0,0,0.0420123,0.0250983,0.0119124,0,0.069133,0,0,0.0244866,0.022536,0.0222213,0,0.0995371,0,0,0,0,0.015145,0.0607033,0.0430042,0,0.0210349,0.0263528,0.0873369,0.0337353,0.0178037,0.011492,0.0234226,0.0272811,0,0.032191,0.0205923,0,0.0473513,0.0690959,0.00412835,0.0343368,0.145317,0.085439,0,0,0,0,0,0,0.0616644,0.0647248,0,0
