Timestep,C7,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,LSHO,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIBA,RTIBI,RTOE,RUPA,RWRA,RWRB,x74,x75,LFHD,LTHIA,T10,LWRA,RTIBP,LBHD,LKNE,LPSI,RTIB,LTHIP,RASI,LHEE,RPSI,CLAV,LFIN,STRN,LTHII,L5HD,x76,LTHI,LTIB,LWRB,LANK,LFRM,LEAR,LTIBP,LTOE,L5FT,LGTR,LTIBA,RFHD,LASI,LILC,,LTIBI,LELB
1479,0.0262177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231269,0.0387351,0.0132077,0,0.0317325,0.0202671,0,0,0.0401693,0.0151606,0.0251953,0.0432938,0.0495641,0.0296207,0.0292169,0.02449,0.00816545,0.0224313,0.0190781,0.0221135,0.0253693,0.02194,0.0189334,0.0276292,0.0404098,0.0323718,0,0,0,0.0263758,0.0173439,0.0106419,0.0302351,0,0,0.0134308,0.0249686,0.0709396,0.0345971,0.0358628,0.0122836,0.00684173,0.0235713,0.00322509,0,0.0191717,0,0.0136957,0.0294097,0.0198492,0.0211357,0.0239397,0,0.0281107,0.0297145,0.0274148,0.0628152,0.0161552,0,0.00986136,0.00971463,0,0.0188855,0.0456472
1480,0.0261704,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229168,0.0385024,0.0129527,0,0.0321607,0.0201145,0,0,0.0404148,0.0150074,0.0253794,0.042642,0.0502215,0.0292386,0.0295102,0.0242806,0.00858414,0.0220081,0.0191123,0.0223775,0.0251276,0.0222843,0.0196146,0.0274563,0.0407419,0.0324114,0,0,0,0.0275078,0.0174831,0.0107292,0.0308344,0,0,0.0134073,0.0255117,0.0704372,0.0347605,0.036057,0.0127965,0.00683959,0.0237209,0.00324883,0,0.0190118,0,0.0135766,0.0310891,0.019318,0.0214523,0.0236253,0,0.0269383,0.0300878,0.0291074,0.0627252,0.016966,0,0.0101519,0.00915738,0,0.0182064,0.0452875
1481,0.025971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225648,0.0381599,0.0128768,0,0.032722,0.0197383,0,0,0.040496,0.0148896,0.0255229,0.042975,0.0510618,0.0291457,0.0298262,0.0238293,0.00887186,0.0220214,0.0193239,0.0226803,0.0248091,0.0225459,0.0203111,0.0270829,0.0411744,0.0325267,0,0,0,0.0263627,0.0174689,0.0107283,0.0312235,0,0,0.0135185,0.0257932,0.0711085,0.0348583,0.0371154,0.0128584,0.00679172,0.0236974,0.00323206,0,0.0190155,0,0.0138149,0.0302962,0.0189688,0.0217342,0.0233796,0,0.0283373,0.0297303,0.0275975,0.0629052,0.0167094,0,0.00938527,0.00946801,0,0,0.0448727
1482,0.0258201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222945,0.0378521,0.0124664,0,0.0333866,0.0193865,0,0,0.0405625,0.0148349,0.0257477,0.0438427,0.0521704,0.0290633,0.0299161,0.0233678,0.00893545,0.0221872,0.0194598,0.0228329,0.0244876,0.0229319,0.021114,0.0267591,0.0416867,0.0327247,0,0,0,0.0263081,0.0175316,0.0107583,0.0318933,0,0,0.0134282,0.0262749,0.0711761,0.0347985,0.0377372,0.0129153,0.00676282,0.0237291,0.00327482,0,0.0189414,0,0.013883,0.0303762,0.0186739,0.0220447,0.0231167,0,0.0284408,0.0299623,0.0273694,0.0633045,0.0167226,0,0.00919859,0.00953157,0,0.0199145,0.0444387
1483,0.0257855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221412,0.037624,0.0120519,0,0.033931,0.019146,0,0,0.0408184,0.0149053,0.0261111,0.0441238,0.0530749,0.0289659,0.0298828,0.0230335,0.00884644,0.0222553,0.0195065,0.0229245,0.024248,0.0233204,0.0217359,0.0266603,0.0421685,0.0329591,0,0,0,0.0264228,0.0176355,0.0108412,0.032531,0,0,0.0131341,0.0267628,0.071156,0.0346949,0.0379872,0.0128337,0.0067789,0.0238248,0.00339747,0,0.0186714,0,0.0139205,0.0304942,0.0183019,0.0221965,0.0227609,0,0.0282939,0.0300716,0.0273212,0.063473,0.0167421,0,0.00926848,0.00950019,0,0,0.0440191
1484,0.025835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220585,0.037402,0.0116441,0,0.0344071,0.0189983,0,0,0.0412225,0.0150178,0.0264512,0.0439452,0.0538618,0.0287873,0.0298918,0.0227758,0.00885366,0.0220299,0.0194896,0.0232038,0.0239978,0.0237501,0.0223913,0.0266369,0.0425779,0.0332261,0,0,0,0.027739,0.0178096,0.0109246,0.0332983,0,0,0.0129045,0.0273938,0.070339,0.0346713,0.0374188,0.0129435,0.00680941,0.0238924,0.00355866,0,0.0184167,0,0.0140303,0.0316536,0.0177796,0.0220442,0.0222508,0,0.0267273,0.0307218,0.029321,0.0631995,0.0171499,0,0.0096764,0.00920007,0,0.018776,0.043502
1485,0.0257953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218949,0.0370613,0.0115585,0,0.0348434,0.018747,0,0,0.0412228,0.0149497,0.0266157,0.0437322,0.0543417,0.0287435,0.0301451,0.0225172,0.00913182,0.021866,0.01959,0.0235243,0.02377,0.0240352,0.0230466,0.0263546,0.0429301,0.0334222,0,0,0,0.0277417,0.0178892,0.0108796,0.0336303,0,0,0.0127902,0.0278005,0.0700829,0.0346051,0.0375783,0.012791,0.00683454,0.0238306,0.00368289,0,0.0184129,0,0.0144417,0.0315176,0.0171092,0.0222938,0.0219579,0,0.026548,0.0308054,0.0297473,0.0626285,0.017068,0,0.00951139,0.00930871,0,0.0187072,0.0431335
1486,0.0256725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216507,0.0365538,0.0116688,0,0.0351966,0.0183859,0,0,0.0409679,0.014886,0.0267079,0.0435575,0.0547064,0.0288346,0.0305009,0.0222438,0.00923804,0.0218652,0.0197482,0.0236296,0.0235602,0.0242435,0.0236951,0.0258807,0.0432331,0.033564,0,0,0,0.0263771,0.0179093,0.0108956,0.0336983,0,0,0.0127788,0.0280227,0.0705315,0.0344639,0.0385347,0.0124164,0.00682797,0.0237845,0.00377793,0,0.0184663,0,0.0148439,0.0298995,0.0157499,0.0230915,0.0217957,0,0.0280129,0.0305594,0.0282639,0.0623049,0.0165419,0,0.00886828,0.0098286,0,0.0202558,0.0424604
1487,0.0258435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216557,0.0362452,0.0110777,0,0.0353136,0.0182409,0,0,0.0408073,0.0148589,0.0268657,0.0441366,0.0549088,0.0286733,0.0305123,0.0222884,0.0090382,0.0218038,0.0197055,0.0236676,0.0232849,0.0244542,0.0244826,0.0256356,0.0435969,0.033824,0,0,0,0.0282298,0.0181496,0.0109796,0.0340599,0,0,0.0122679,0.0284098,0.0698107,0.0343152,0.0375948,0.0122566,0.00686008,0.0239297,0.0040161,0,0.018299,0,0.0148596,0.0312049,0.0153003,0.0228935,0.0215456,0,0.0261078,0.0315287,0.0303137,0.0623807,0.0166696,0,0.00914314,0.00955339,0,0.0188596,0.0416631
1488,0.0258111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217351,0.0358051,0.0109918,0,0.0355719,0.0178619,0,0,0.040349,0.0148395,0.026824,0.0440647,0.0549873,0.0286493,0.0305164,0.0220639,0.00877425,0.0218905,0.0196965,0.0237001,0.0230708,0.0245929,0.0249601,0.0250839,0.0438551,0.0340152,0,0,0,0.0269131,0.0183236,0.0111198,0.03407,0,0,0.0121897,0.0284512,0.0704631,0.0341802,0.0377466,0.0118493,0.00666962,0.0240252,0.00421031,0,0.0182048,0,0.0148016,0.0297862,0.0153413,0.023983,0.0211432,0,0.0274807,0.0315381,0.028854,0.062179,0.0164683,0,0.00852734,0.0102225,0,0.0207329,0.0410729
