Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,LHEE,x77,LBHD,RFRM
1417,0,0.0132743,0.00756963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177423,0.0143032,0.0125235,0.0107956,0,0.0151254,0,0.0274153,0.00757745,0,0.016129,0.0270501,0.00945351,0.0133332,0,0.0314887,0.0161393,0.0322193,0.0222592,0.0218992,0.0141273,0.0342415,0.0226365,0.00978236,0.0142212,0.00914349,0.0379009,0.0196928,0.0314082,0.015535,0.00299835,0,0,0.0222843,0,0.0157049,0.0520143,0.0552924,0.0179746,0.030971,0.012879,0.0138955,0.062103,0.0299487,0.00858391,0,0,0.0550638,0.0142865,0.0346305,0.0569882,0.0145585,0.0311837,0.00849573,0.00320005,0.00248473,0,0,0,0.0170558,0,0,0.00994651
1418,0,0.0131139,0.00741021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174891,0.0144401,0.0123491,0.0109531,0,0.0147436,0,0.0274844,0.0073602,0,0.0160941,0.0272347,0.00996538,0.0133784,0,0.0316882,0.0161511,0.0322176,0.0223292,0.021966,0.0142214,0.0342635,0.022496,0.00992158,0.0141637,0.00920283,0.0382492,0.0197401,0.0314873,0.0155753,0.0031556,0,0,0.022322,0,0.0156785,0.0520199,0.0555447,0.0180864,0.031,0.0128049,0.0140873,0.062342,0.0298376,0.00877389,0,0,0.0553227,0.0141255,0.0344603,0.0577543,0.0146981,0.0312795,0.00831835,0.00321865,0.00257342,0,0,0,0.0170795,0,0,0.0100159
1419,0,0.0130641,0.0072874,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170169,0.0146439,0.0118969,0.0111559,0,0.0146184,0,0.0274736,0.00727047,0,0.0160118,0.027387,0.0102842,0.0132913,0,0.0318559,0.0162331,0.0321663,0.0224098,0.0219915,0.0142027,0.0343866,0.0220519,0.0100665,0.0139394,0.00939458,0.0384038,0.0197557,0.0318379,0.015785,0.00322501,0,0,0.0223509,0,0.0156561,0.0520393,0.0555986,0.0182027,0.0308942,0.0129026,0.0141806,0.0626722,0.0296171,0.00884809,0,0,0.0554648,0.0139532,0.0342089,0.0583293,0.014753,0.0311455,0.0082038,0.00321219,0.00252978,0,0,0,0.0169145,0,0,0.0100631
1420,0,0.0130966,0.00730987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162828,0.0153736,0.0114497,0.0113098,0,0.014822,0,0.0274199,0.00755212,0,0.0161276,0.0274644,0.0103848,0.0132555,0,0.0320573,0.0162347,0.0320367,0.022445,0.0219725,0.0141377,0.0345456,0.0213298,0.0101153,0.0133436,0.00989265,0.0383832,0.0197693,0.0319135,0.0158847,0.00327933,0,0,0.0223223,0,0.0156578,0.052093,0.0549372,0.0182017,0.0307061,0.0130379,0.0141824,0.0631284,0.0293884,0.00884268,0,0,0.0554511,0.0137958,0.0340374,0.0585055,0.0147366,0.0310442,0.00809298,0.00326274,0.0023067,0,0,0,0.0163315,0,0,0.0100482
1421,0,0.0131258,0.00746782,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153092,0.0157063,0.0107649,0.0117568,0,0.0146448,0,0.0274135,0.00778353,0,0.0164192,0.0268053,0.0101629,0.0134366,0,0.0323747,0.0161613,0.0318958,0.0224334,0.0218811,0.0140152,0.0348225,0.020397,0.0101182,0.0131587,0.0101408,0.038129,0.0197386,0.0312167,0.0160879,0.00320883,0,0,0.0223386,0,0.0157148,0.0520357,0.0529435,0.018219,0.030566,0.0131565,0.0140174,0.0636096,0.0289189,0.00878832,0,0,0.0553332,0.0137492,0.0337974,0.0578387,0.0147048,0.030891,0.00795318,0.00319607,0.00279305,0,0,0,0.0153645,0,0,0.0100658
1422,0,0.0129365,0.00749447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144286,0.01564,0.0102265,0.0127829,0,0.0144593,0,0.0274427,0.00793189,0,0.0165646,0.0247652,0.00998552,0.0134089,0,0.0327798,0.0159264,0.0317838,0.0225599,0.0219458,0.0140752,0.0352467,0.0196197,0.0100101,0.0132802,0.0100924,0.0376468,0.0197266,0.0299225,0.0166084,0.00321084,0,0,0.0223958,0,0.0157821,0.0518642,0.0497971,0.0183189,0.0304123,0.0132187,0.0138261,0.0640747,0.028369,0.00884841,0,0,0.0552925,0.0138616,0.033215,0.0569507,0.0147269,0.0308984,0.00775841,0.00314624,0.00204902,0,0,0,0.014516,0,0,0.0101445
1423,0,0.012795,0.007425,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138745,0.0155953,0.00998735,0,0,0.0143817,0,0.0275638,0.00797545,0,0.0168607,0.0230053,0.0100008,0.0133317,0,0.0331659,0.0158354,0.0316505,0.0228885,0.0221929,0.0143204,0.0356026,0.0190481,0.00991833,0.0134324,0.0100235,0.0373075,0.0197293,0.0286343,0.0174893,0.00330924,0,0,0.0224899,0,0.0158619,0.0517563,0.0472677,0.0186421,0.030216,0.0134033,0.0136929,0.0645775,0.0279129,0.0090134,0,0,0.0553173,0.0140232,0.0325284,0.0566605,0.0147821,0.0310445,0.00753638,0.00312387,0.00191881,0,0,0,0.0141087,0,0,0.0102316
1424,0,0.0129266,0.00752728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155281,0.0153572,0.0122112,0,0,0,0,0.0276109,0.00695594,0,0.0171043,0,0.0101239,0.0142878,0,0.0334802,0.0171285,0.0307197,0.0249694,0.0244368,0.016645,0.0361799,0.0204393,0.0107469,0.0133997,0.00988306,0.0372256,0.0197546,0.027758,0.0176124,0.00339473,0,0,0.0224791,0,0.0158529,0.051658,0.0456416,0.0186627,0.0300511,0.0137265,0.0134134,0.0653345,0.0274331,0.00940526,0,0,0.0554133,0.0141338,0.031777,0.0567308,0.0146987,0.0310653,0.00740724,0.00326363,0.0018213,0,0,0,0.0159646,0,0,0.0103204
1425,0,0.0129705,0.007352,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116343,0.0155353,0.00798668,0.0125561,0,0.0137174,0,0.0278102,0.00750476,0,0.0173666,0.0241719,0.0103287,0.0137676,0,0.0331582,0.0207294,0.030968,0.0227181,0.0216123,0.0139462,0.0364061,0.0169251,0.0103553,0.0133942,0.0102367,0.0368839,0.0196355,0.0272102,0.0171458,0.00328931,0,0,0.0226206,0,0.0159043,0.0516926,0.0441123,0.0183381,0.0304491,0.0136309,0.0135448,0.0660616,0.0270138,0.0102488,0,0,0.0556952,0.01385,0.030823,0.0561661,0.0148708,0.031081,0.00736708,0.00329749,0.00192468,0,0,0,0.0115679,0,0,0.0104796
1426,0,0.0131182,0.00749893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010906,0.0156364,0.00692864,0.0126338,0,0.0135134,0,0.0280351,0.00790139,0,0.0175931,0.0258679,0.010267,0.0139714,0,0.0330235,0,0.0306302,0.0224653,0.0209916,0.0135451,0.0369252,0.0158396,0.0104549,0.0134932,0.0103866,0.0360819,0.0195508,0.025878,0.0172869,0.00327328,0,0,0.0225079,0,0.0159383,0.0517644,0.0421217,0.0181821,0.031193,0.0138726,0.0134127,0.0666872,0.0266159,0.010922,0,0,0.0558006,0.013154,0.0298932,0.0552122,0.0147808,0.0311825,0.00731941,0.00321,0.00212976,0,0,0,0.010185,0,0,0.0105512
1427,0,0.0131766,0.0075993,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101191,0.0156795,0.0057095,0.0129701,0,0.01358,0,0.0281116,0.00803258,0,0.0178636,0.0243056,0.00959613,0.0140265,0,0.0332957,0.0220416,0.0302707,0.0221997,0.0205126,0.0130129,0.0373437,0.0139662,0.0105544,0.0135892,0.0104523,0.0351889,0.0194174,0.0240045,0.0175809,0.00324578,0,0,0.022536,0,0.0160164,0.0519864,0.0401236,0.0181271,0.0318473,0.0142768,0.0132975,0.0671306,0.0261945,0.0114237,0,0,0.0551657,0.0123726,0.0290594,0.0540734,0.0148293,0.0312628,0.00726379,0.00308527,0.00232412,0,0,0,0.00993421,0,0,0.0105519
1428,0,0.0130889,0.00755596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106008,0.015657,0.0048762,0.0133234,0,0.0133853,0,0.0280277,0.00790067,0,0.018329,0.0248317,0.00920024,0.0139627,0,0.033525,0.0215764,0.0297531,0.0220752,0.0201024,0.0124986,0.037646,0.0127172,0.0105769,0.0136293,0.0104871,0.0345008,0.0193219,0.0221591,0.017822,0.00332473,0,0,0.0225305,0,0.016113,0.0521998,0.0384926,0.0179413,0.0317275,0.0145452,0.0131953,0.0672955,0.0257736,0.0118075,0,0,0.0540614,0.0120335,0.0283297,0.0527566,0.014792,0.0314196,0.00712071,0.00299427,0.00245158,0,0,0,0.0102557,0,0,0.0105553
1429,0,0.0128329,0.00715788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130912,0.015705,0.00540307,0.0137463,0,0.0130205,0,0.0280688,0.00794765,0,0.0188285,0.0276812,0.00888592,0.0136202,0,0.0334759,0.0191182,0.0293128,0.0213277,0.018931,0.0114735,0.0381035,0.0138004,0.0105659,0.0136834,0.0107064,0.0336368,0.0192521,0.0214702,0.0183541,0.00382199,0,0,0.0222478,0,0.0163312,0.0522969,0.0390298,0.0175988,0.0320564,0.014969,0.0131084,0.0674094,0.0252365,0.0120901,0,0,0.052672,0.0128201,0.0283565,0.0510671,0.0144565,0.0313641,0.00673077,0.00324,0.00252525,0,0,0,0.011872,0,0,0.0109045
