Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x74,x75,RTHI,RTHIP,LWRA,RWRB,x76,RFHD,,x108,x97,x89,x90,x98,x106,x87,x100,x99,x94,x95,x82,x101,x103,x96,x107,x109,x112,x105,x77
19,0.0288765,0.021486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645655,0.0261487,0.021024,0.00745344,0,0,0.0158439,0,0.021645,0.0173104,0.0606949,0.0321882,0.00503188,0.0213273,0.00395583,0.0315101,0.017572,0.018631,0.0236418,0.0288826,0.0178808,0.0272071,0.0178686,0.0355276,0.0787876,0.0231299,0.0109783,0.00522373,0.0221728,0.00844998,0.00664487,0.0343832,0,0,0.104051,0.0276307,0.0658233,0.0530437,0.0173721,0.0136726,0.00715519,0.0013281,0.0242748,0.0234602,0.00882947,0.00927674,0.051876,0,0.00946952,0.0108275,0.0635468,0.0373207,0.0121285,0.0225624,0,0,0.0126928,0.00824308,0.0183807,0.0169718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0291098,0.0214073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602811,0.0261932,0.0201103,0.00711312,0,0,0.0152751,0,0.0212193,0.0165996,0.060206,0.030053,0.00489588,0.0201556,0.00440721,0.031372,0.0166716,0.0179063,0.0231576,0.0284291,0.0173449,0.0257973,0.017277,0.0349179,0.0727341,0.0229554,0.0109658,0.00526764,0.0223303,0.00799829,0.0068398,0.0338531,0,0,0.104792,0.0281107,0.0662228,0.0523256,0.0165674,0.0136234,0.00758767,0.00186679,0.0241776,0.0232247,0.00866204,0.00946453,0.0518402,0.00858061,0.0091762,0.0105834,0.0639674,0.0373118,0.0122298,0.0217321,0,0,0.0125271,0.00847234,0.0186375,0.0173767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0295904,0.0216634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548279,0.0256994,0.0186152,0.00685425,0,0,0.0142933,0,0.0217822,0.0156975,0.0596971,0.029281,0.00474345,0.0183975,0.00497669,0.031193,0.0151885,0.01676,0.0221877,0.0270881,0.0159148,0.0228816,0.0160557,0.0339298,0.0659063,0.0224209,0.0105244,0.00559118,0.0225546,0.00828974,0.00718131,0.0338479,0,0,0.105063,0.0282987,0.0660311,0.0520979,0.016979,0.0141554,0.00773414,0.0027907,0.0239604,0.0233564,0.00926198,0.00872267,0.0513256,0.00803335,0.00896291,0.0113053,0.0636672,0.0369077,0.0127321,0.0212274,0,0,0.0130456,0.00877995,0.0182401,0.0180372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0299406,0.0207727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503244,0.0255107,0.0175859,0.00709446,0,0,0.0111391,0,0.0213833,0.0121737,0.0587214,0.0282495,0.00435384,0.0170348,0.00688212,0.0282205,0.013469,0.015672,0.02182,0.0262145,0.0151986,0.0203022,0.0151505,0.0325355,0.0602852,0.0196428,0.0112213,0.00642294,0.0231115,0.00811812,0.00802701,0.0348629,0,0,0.105964,0.0286341,0.0666835,0.0518943,0.0168186,0.0150802,0.00870761,0.00494596,0.023495,0.0231484,0.0103837,0.00788464,0.0504052,0.00729102,0.00851217,0.0118677,0.0636595,0.0370862,0.0121279,0.0220127,0,0,0.0133413,0.00974579,0.0204323,0.0192868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0302014,0.0216878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453711,0.0265346,0.0166865,0.00631591,0,0,0.0178124,0,0.0208885,0.0184681,0.0591945,0.0262743,0.00495739,0.015291,0.00531285,0.0332457,0.0125385,0.0140957,0.0211806,0.0261423,0.0147084,0.0179986,0.0147424,0.0322921,0.0540063,0.0249436,0.0115482,0.00632737,0.0227017,0.00929096,0.00749674,0.0329486,0,0,0.106673,0.0296219,0.0668214,0.0521995,0.0178854,0.0139953,0.00790766,0.00282359,0.0244206,0.0236912,0.00930725,0.0087859,0.0514483,0.0083794,0.00968956,0.0115194,0.0646779,0.037277,0.0125407,0.0203398,0,0,0.0125123,0.00886086,0.018544,0.0190551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0302287,0.0221756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411684,0.0263452,0.0154637,0.00608543,0,0,0.0184358,0,0.0208692,0.0187609,0.0591723,0.0236891,0.00511841,0.0140513,0.00568111,0.0334424,0.0113601,0.0127817,0.0206563,0.025545,0.0141326,0.0160518,0.0140033,0.0316334,0.0488522,0.0254039,0.0115885,0.00669003,0.0227665,0.00965868,0.00770192,0.0321388,0,0,0.107392,0.0303089,0.0670964,0.0523698,0.0182892,0.0139588,0.00796841,0.00303413,0.0247363,0.0238319,0.00915924,0.00872573,0.0514486,0.00844501,0.00987603,0.0120421,0.0651883,0.0374244,0.0131252,0.0197633,0,0,0.0122104,0.00875,0.0183836,0.0194511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0303113,0.0227233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378191,0.0262941,0.0141981,0.00598517,0,0,0.0183442,0,0.0209178,0.0185835,0.0591163,0.0208791,0.00524189,0.0129853,0.00605136,0.0334184,0.0101975,0.0115227,0.0201588,0.0248763,0.0137584,0.0147601,0.0135918,0.031211,0.0447565,0.0253647,0.0116121,0.00681153,0.0226434,0.00999745,0.00791549,0.0316308,0,0,0.10818,0.0308316,0.0674914,0.0523563,0.0186212,0.0141281,0.00808439,0.00330686,0.0250657,0.0239547,0.00955356,0.00856691,0.0513852,0.00843934,0.0099731,0.0122983,0.0655398,0.0375987,0.0137462,0.0195258,0,0,0.012087,0.00871754,0.018268,0.0200847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0309166,0.0232016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360425,0.0266125,0.01341,0.00643782,0,0,0.0157491,0,0.0203258,0.0168761,0.0586698,0.0182738,0.00513804,0.0122526,0.00719316,0.0324611,0.00902365,0.0105062,0.0201449,0.0246965,0.0141153,0.0144315,0.0138865,0.0308587,0.0424647,0.023824,0.0119488,0.00717924,0.0226815,0.0100094,0.00852945,0.0319077,0,0,0.109993,0.0310926,0.0689557,0.0519204,0.0185496,0.0144757,0.00866251,0.00441667,0.0258599,0.0235236,0.0101101,0.00843072,0.0511323,0.0082901,0.00985536,0.012234,0.0666448,0.0378684,0.0142176,0.0204269,0,0,0.0117291,0.00919668,0.0196595,0.0214934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.0312267,0.0245852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333948,0.0268153,0.0119429,0.00602445,0,0,0.0211368,0,0.0208255,0.0205201,0.0590127,0.01677,0.00577475,0.0107718,0.00611186,0.0356135,0.00853807,0.00947887,0.0193657,0.0239515,0.0138768,0.0133575,0.0137193,0.0307778,0.0398696,0.0275138,0.0122647,0.00624656,0.0226614,0.0105099,0.00830134,0.0305797,0,0,0.110933,0.0324434,0.0689041,0.0518307,0.0188699,0.0140028,0.00824929,0.00306914,0.0268485,0.0238406,0.00955106,0.00856137,0.0514342,0.00849262,0.0100539,0.0117949,0.0672844,0.037532,0.0155661,0.0200946,0,0,0.0116286,0.00862693,0.0182862,0.0215145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.0306154,0.0271185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314348,0.0268724,0.0112501,0.00567964,0,0,0.0252505,0,0.0216839,0.0231195,0.0596147,0.0157914,0.00658227,0.00957148,0.00614827,0.0393031,0.00881952,0.00918241,0.018592,0.0234057,0.0141177,0.0126244,0.0139921,0.0308615,0.0376148,0.0307389,0.0130856,0.0055405,0.0323685,0.0111646,0.00811807,0.0268609,0,0,0.119937,0.0454727,0.0816982,0.0516885,0.0194342,0.0129482,0.00782342,0.00319979,0.0279686,0.0234975,0.00841817,0.00884392,0.0518431,0.00881249,0.0103438,0.0118272,0.0746839,0.0504816,0.0189405,0.0177435,0,0,0.0104594,0.00830873,0.0166587,0.0294065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
