Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,LFHD,LTHII,LASI,,x76,x83
19,0.00660043,0.0050675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210349,0.0124368,0.00945948,0,0,0.0151548,0.0304743,0.00955221,0.0585863,0.00845238,0.00613864,0.0158816,0.00949976,0.00924211,0.0340852,0.0319761,0.0277956,0.01735,0.0132519,0.00531333,0.0270867,0.0262963,0.01278,0.01205,0.0128542,0.0233444,0.00494241,0.0388202,0.010426,0.0113256,0,0,0.0524102,0,0.0308937,0.0554524,0.0580275,0.020966,0.0294023,0.0134816,0.0198795,0.0481962,0.0495674,0.0291036,0.0392917,0.0422173,0.0389032,0.0332925,0.0423722,0.0238826,0.0310884,0.0200651,0.0199121,0.0046676,0.0138167,0,0,0,0.0207559,0.0110759,0,0,0
20,0.00672984,0.00526592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207217,0.0122591,0.00955212,0,0,0.0154829,0.030461,0.0101243,0.0585812,0.00873098,0.00601229,0.0159083,0.00982763,0.00971673,0.0340981,0.0320571,0.0276939,0.0172013,0.0131161,0.00498318,0.0272873,0.0260273,0.0133434,0.0120452,0.0126934,0.0232647,0.0048786,0.0375011,0.0109639,0.0115337,0,0,0.052689,0,0.0308043,0.0553693,0.0568011,0.0216174,0.0299823,0.0141919,0.0200385,0.0479391,0.0492721,0.0289728,0.0392976,0.0417224,0.0400091,0.0321755,0.0417072,0.0251321,0.0311478,0.0202489,0.0199851,0.00478671,0.0139542,0,0,0,0.0206122,0.0111176,0,0,0
21,0.00688935,0.00563937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206063,0.0118388,0.00973017,0,0,0,0.030511,0.0101552,0.0583796,0.00900794,0.00576276,0.0159166,0.0101417,0.0109608,0.0340949,0.0320422,0.0275481,0.0170824,0.0129158,0.00476706,0.0274228,0.0259348,0.0151916,0.0120062,0.0126667,0.023437,0.00490898,0.0358746,0.0107467,0.011653,0,0,0.0528,0,0.0308224,0.0554143,0.0545905,0.0221515,0.0306248,0.0146814,0.0202913,0.0476119,0.0486847,0.0287126,0.0392891,0.0411189,0.0410917,0.0309791,0.0407955,0.025957,0.0311243,0.020085,0.0200545,0.00494264,0.0141004,0,0,0,0.0203615,0.010898,0,0,0
22,0.00431589,0.00418443,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236809,0.0136457,0.0101531,0,0,0.0147425,0.0291246,0.01056,0.058485,0.00862628,0.00688479,0.0154189,0.00705239,0.00861029,0.0344536,0.0321454,0.0283713,0.0172406,0.0131689,0.00550222,0.027294,0.029578,0.0109287,0.0124359,0.0114754,0.0132208,0.00540029,0.0185034,0.00954378,0.00993417,0,0,0.0535186,0,0.0313342,0.0587855,0.0300793,0.0174828,0.0148148,0.00817259,0.0203782,0.0557935,0,0.0352256,0.0436426,0.0221297,0.0465622,0.0153719,0.0214712,0.0147481,0.0315402,0.0203752,0.0199924,0.00344044,0.0118427,0,0,0,0.0206941,0.0113238,0,0,0
23,0.00707767,0.00537552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212925,0.012465,0.0100172,0,0,0.0159301,0.0304797,0.0109428,0.0581429,0.00948773,0.00553464,0.0155913,0.0110347,0.00952093,0.0343419,0.0322025,0.0272458,0.0167617,0.012497,0.00461253,0.0275486,0.0267147,0.0131359,0.0123425,0.0128403,0.0232684,0.00492813,0.031907,0.0108909,0.0118918,0,0,0.054564,0,0.0314124,0.0559396,0.0502902,0.0226483,0.0314546,0.0146771,0.0213624,0.0476633,0.0476954,0.0286962,0.0398053,0.0391738,0.0435295,0.0277375,0.0381116,0.0271229,0.0322535,0.0206716,0.0202733,0.00473944,0.01414,0,0,0,0.0204853,0.010852,0,0,0
24,0.00721782,0.00534481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021457,0.0124148,0.0100557,0,0,0.0159162,0.030604,0.0105546,0.0581216,0.00965476,0.00551953,0.015645,0.0113738,0.00961768,0.0343159,0.0322345,0.0275543,0.0167782,0.0124558,0.00452895,0.0275799,0.0270086,0.0130995,0.0124144,0.0128069,0.0233662,0.00493747,0.0302024,0.0117023,0.0120885,0,0,0.0549713,0,0.031428,0.0559571,0.0483297,0.022807,0.0319127,0.0151519,0.0216176,0.0473822,0.0471818,0.0285921,0.0399756,0.0383909,0.0445676,0.0262982,0.0369256,0.0274221,0.0323769,0.0211636,0.0203432,0.00478476,0.014296,0,0,0,0.0200826,0.0111123,0,0,0
25,0.00749671,0.00552301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218904,0.0124361,0.00979341,0,0,0.0161704,0.0307382,0.0101712,0.0580633,0.00933651,0.00554107,0.0163136,0.0114751,0.00977196,0.0341345,0.0322534,0.0294806,0.0173945,0.0131223,0.00517145,0.0274179,0.02752,0.0131389,0.0124254,0.0129918,0.0235882,0.00481753,0.0286427,0.0111242,0.0124552,0,0,0.0553678,0,0.031404,0.0559208,0.0462262,0.023028,0.0324695,0.0159879,0.0218808,0.0466912,0.0466775,0.0283872,0.0400298,0.0377622,0.0455762,0.0251044,0.0360032,0.0274213,0.0324601,0.021552,0.020506,0.00491551,0.0145963,0,0,0,0.0194834,0.0111413,0,0,0
26,0.00772901,0.00610632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224937,0.0123243,0.0103413,0,0,0.0166123,0.0309176,0.0107552,0.0582283,0.0101674,0.00564478,0.0158692,0.0117862,0.0101201,0.0342892,0.032279,0.0300782,0.0168135,0.0125852,0.00440982,0.0276904,0.0284965,0.0135762,0.0124348,0.0132737,0.0237619,0.00463909,0.0267689,0.0109311,0.0125103,0,0,0.0557143,0,0.0314813,0.0560025,0.0437687,0.022954,0.0324973,0.0169312,0.0222388,0.0462214,0.045957,0.028202,0.0400727,0.0366631,0.0466493,0.0235974,0.0348112,0.0271668,0.0327521,0.0217665,0.0207262,0.00510493,0.014633,0,0,0,0.0227575,0,0,0,0
27,0.00679751,0.00521323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020103,0.012498,0.0133176,0,0,0.0162001,0.0304748,0.0104175,0.0598634,0.0140024,0.0054714,0.00895334,0.0118301,0.00955298,0.0367413,0.0330632,0.0177895,0.0100945,0.00506396,0.00475191,0.0311057,0.0261175,0.0129078,0.0124698,0.0128357,0.0245024,0.00543479,0.0260751,0.0118067,0.0113097,0,0,0.0554851,0,0.0315088,0.056433,0.042643,0.0231618,0.0330919,0.0172377,0.0223377,0.046366,0.0450909,0.0283176,0.0405917,0.0360343,0.047825,0.0222002,0.0339441,0.0279204,0.0328512,0.0218182,0.0204076,0.00473153,0.0136899,0,0,0,0,0.00865418,0,0,0
28,0.00348961,0.00372617,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240983,0.0131539,0.00721954,0,0,0.0153495,0.0296846,0.00963562,0.0641275,0.0115194,0.0105681,0.0275031,0.0124547,0.00836345,0.0417645,0.0339909,0.0239935,0.020119,0.0151134,0.0129605,0.0333083,0.0266524,0.0113154,0.0123994,0.0120708,0.0264944,0.0073021,0.0265184,0.0135062,0.0066165,0,0,0.0554905,0,0.0321954,0.0571981,0.043595,0.0223351,0.0346859,0.019402,0.022935,0.0469426,0.0442397,0.0286801,0.0416911,0.0365288,0.0492642,0.0214946,0.0341616,0.0307385,0.033843,0.0240492,0.019879,0.00486858,0.0097581,0,0,0,0,0.00651589,0,0,0
