Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,x74,,x79
1806,0.0376903,0,0,0,0,0.0357316,0,0,0,0,0,0,0,0.0329843,0.0180324,0,0,0,0.0183737,0,0.0291452,0.0292921,0.0373166,0.0169169,0.0122863,0.0113772,0.018174,0.0294842,0.015138,0.0171286,0.0155308,0.0132262,0.0168799,0.011207,0.0310392,0.0205953,0.0201698,0,0.0335115,0.0129193,0.0338751,0.0433906,0.0453128,0.0624889,0,0,0.0353483,0,0.0417337,0.0219168,0.0583934,0.0483748,0.0243221,0,0.0111919,0.0612141,0.0383955,0.0514171,0.0813957,0.0413887,0,0.0276695,0,0.0563416,0.00977316,0,0.00843156,0.015559,0.0431469,0.0414506,0,0,0,0,0,0
1807,0.037906,0,0,0,0,0.0348581,0,0,0,0,0,0,0.0170571,0.0329124,0.0195475,0,0,0,0.0189328,0,0.0291839,0.0296508,0.0395259,0,0.0130679,0.012353,0.0174522,0.0293422,0.0152535,0.0172714,0.0168041,0.013443,0,0.0112228,0.0304779,0.0234061,0.0206397,0,0.0338031,0.0318731,0.0340368,0.0549036,0,0.0623633,0,0,0.0347592,0,0.0419363,0.0216538,0.0552874,0.0709189,0.0229201,0,0.00979868,0.0612081,0.0375852,0.05075,0.0772781,0.0463845,0,0.024035,0,0.081819,0.0191137,0,0.00849673,0.0151735,0.0422408,0.0419626,0,0,0,0,0,0
1808,0.0376258,0,0,0,0,0.0347178,0,0,0,0,0,0,0,0.0328738,0.0201139,0,0,0,0.0189879,0,0.0292755,0.0295454,0.0395618,0,0.0131444,0.012738,0.0172906,0.0290826,0.0153316,0.017819,0.0168974,0.013731,0,0.0114627,0.0301752,0.0258844,0.0209022,0,0.0338244,0.0326653,0.0341963,0.0547403,0,0.0617614,0,0,0.0349955,0,0.0421943,0.0219052,0.0552021,0.0708706,0.0228604,0,0.00971418,0.0609868,0.0374919,0.050546,0.0771558,0.0464198,0,0.0240167,0,0.0823791,0.0208889,0,0.00813299,0.0145011,0.0421508,0.0416908,0,0,0,0,0,0
1809,0.0371846,0,0,0,0,0.0345941,0,0,0,0,0,0,0,0.032729,0.019194,0,0,0,0.0189083,0,0.0293497,0.0293246,0.0393505,0.0171772,0.0129839,0.0127218,0.0168171,0.0287848,0.0151906,0.0179274,0.0167027,0.0137423,0,0.0112323,0.0305219,0.0265216,0.0210503,0,0.0336564,0.0337252,0.0343739,0.0544028,0.0449209,0.0610145,0,0,0.0353023,0,0.0424713,0.0222336,0.0548247,0.070377,0.0226368,0,0.00947675,0.0606578,0.0371774,0.0507995,0.0773358,0.0463793,0,0.0236537,0,0.0829329,0.0230549,0,0.00771124,0.013733,0.0419941,0.0411707,0,0,0,0,0,0
1810,0.0364015,0,0,0,0,0.0346856,0,0,0,0,0,0,0,0.0327094,0.0194848,0,0,0,0.0186124,0,0.029533,0.0290022,0.0368232,0,0.0120294,0.0124912,0.017775,0.0282313,0.0158995,0.0183789,0.0164518,0.0139538,0,0.0115943,0.0304598,0.0250591,0.0203033,0,0.0333419,0.0118328,0.0345877,0.044264,0.0454785,0.0599646,0,0,0.0360925,0,0.0427831,0.0228465,0.0578107,0.0503105,0.0239285,0,0.0108878,0.0601762,0.0388,0.0512811,0.0809875,0.0417941,0,0.028301,0,0.0576129,0.0053287,0,0.00709384,0.0129668,0.042326,0.0402613,0,0,0,0,0,0
1811,0.0363804,0,0,0,0,0.0338157,0,0,0,0,0,0,0,0.0327424,0.0194745,0,0,0,0.0193568,0,0.029683,0.0294374,0.0391171,0.0172072,0.0132036,0.0123304,0.0171211,0.0282372,0.0151946,0.0179702,0.0166113,0.0139711,0,0.0114352,0.0307234,0.0273354,0.0202946,0,0.0334958,0.0348198,0.0347731,0.0544958,0,0.0597918,0,0,0.0357434,0,0.0430335,0.0226423,0.0551335,0.0710008,0.0230203,0,0.00957884,0.0601161,0.0376735,0.050807,0.0768723,0.0466564,0,0.0237427,0,0.0833808,0.0260777,0,0.00666015,0.0125217,0.0412933,0.0405295,0,0,0,0,0,0
1812,0.0359188,0,0,0,0,0.0338664,0,0,0,0,0,0,0.0193042,0.0327244,0.0189494,0,0,0,0.0194925,0,0.0297997,0.0291353,0.0387374,0.0172062,0.0129309,0.0120063,0.0169124,0.0271808,0.0152084,0.0175626,0.0164555,0.0136208,0,0.0111269,0.0308748,0.0258205,0.0196802,0,0.0333154,0.0357189,0.0349042,0.0542182,0.0452579,0.0591262,0,0,0.0360924,0,0.0433177,0.0228891,0.0551294,0.0707547,0.0227956,0,0.00959039,0.059815,0.0374562,0.0509552,0.0771832,0.0463483,0,0.0231867,0,0.0832907,0.0280127,0,0.0055446,0.0115206,0.041189,0.0398745,0,0,0,0,0,0
1813,0.0351289,0,0,0,0,0.0338772,0,0,0,0,0,0,0.0180959,0.0325894,0.0183934,0,0,0,0.0184003,0,0.0299393,0.0284278,0.0372526,0.0169671,0.0123801,0.011611,0.0175149,0.0254293,0.0153908,0.0175237,0.0158174,0.013508,0,0.0112979,0.0311184,0.0247275,0.0186663,0,0.0328997,0.0196116,0.0350445,0.0484049,0.0451205,0.0579364,0,0,0.0365397,0,0.0435454,0.0233014,0.0566502,0.0590334,0.0233236,0,0.0104567,0.0590372,0.039112,0.0507261,0.0791015,0.043619,0,0.0265874,0,0.0660971,0.010217,0,0.00497695,0.0107138,0.0410949,0.0388006,0,0,0,0,0,0
1814,0.0347742,0,0,0,0,0.0334454,0,0,0,0,0,0,0.0194303,0.0325168,0.0187188,0,0,0,0.0178926,0,0.0299791,0.0283478,0.0384944,0.0170799,0.0129939,0.0117662,0.0170155,0.0243296,0.0152288,0.0173259,0.0160433,0.0135357,0,0.0113068,0.0310794,0.0263119,0.0180423,0,0.0327812,0.0387011,0.0352256,0.0544708,0.0452464,0.0572901,0,0,0.0362505,0,0.043814,0.0232589,0.0553207,0.0719256,0.0228102,0,0.00961635,0.058502,0.0374735,0.0509213,0.0772215,0.0464719,0,0.0233228,0,0.082755,0.0333728,0,0.00492019,0.010151,0.0402783,0.0385026,0,0,0,0,0,0
1815,0.0342448,0,0,0,0,0.033149,0,0,0,0,0,0,0.019578,0.032515,0.0190537,0,0,0,0.0174403,0,0.0300701,0.0282636,0.0373579,0,0.0124677,0.011729,0.017441,0.0230152,0.0155594,0.0171936,0.0158708,0.0135442,0,0.0114655,0.0307901,0.026113,0.017454,0,0.0325497,0.0273569,0.035417,0.0507776,0.0452168,0.0563491,0,0,0.0368145,0,0.0441074,0.023653,0.0562689,0.0642468,0.0231595,0,0.0102959,0.0579826,0.0387713,0.0506513,0.0782316,0.0446009,0,0.0254961,0,0.0713482,0.0211954,0,0.00475147,0.00946351,0.040142,0.0376948,0,0,0,0,0,0
